	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)	(10)
VARIABLES	OLS	IV	CF	OLS	PSM	PSM2	OLS	DiD Pr	OLS	DiD Pd
										
ReggioMaterna	-0.006	-0.080	-0.043	0.034	0.088	0.057	-0.007	0.338***	-0.019	0.077
	[0.044]	[0.162]	[0.148]	[0.035]	[0.058]	[0.071]	[0.043]	[0.093]	[0.043]	[0.187]
unobs			0.064							
			[0.257]							
unobs2			-0.215							
			[0.179]							
unobs3			-0.117							
			[0.486]							
Age	0.004	0.006	0.002	0.036	0.307**	-0.508***	-0.034	0.155*	0.063	0.113
	[0.064]	[0.065]	[0.064]	[0.044]	[0.147]	[0.179]	[0.049]	[0.082]	[0.045]	[0.123]
Male	0.022	0.024	0.022	0.031	-0.061	-0.494***	0.023	0.118*	0.033	-0.065
	[0.044]	[0.044]	[0.044]	[0.030]	[0.091]	[0.136]	[0.033]	[0.061]	[0.032]	[0.054]
poorBHealth	-0.118	-0.114	-0.122	0.020	0.069	-0.023	0.002	0.071	-0.069	0.138
	[0.082]	[0.084]	[0.084]	[0.049]	[0.143]	[0.201]	[0.053]	[0.066]	[0.061]	[0.178]
oldsibs	0.152*	0.135	0.121	0.002	-0.004	-0.171	0.161***	0.210**	-0.007	-0.008
	[0.085]	[0.096]	[0.097]	[0.085]	[0.125]	[0.217]	[0.058]	[0.085]	[0.086]	[0.114]
momMaxEdu_Uni_F	-0.088	-0.087	-0.090	-0.052	0.494***	-0.357*	-0.072*	0.127**	-0.053	0.399***
	[0.060]	[0.060]	[0.060]	[0.038]	[0.142]	[0.197]	[0.042]	[0.055]	[0.043]	[0.145]
dadMaxEdu_Uni_F	0.130**	0.127**	0.126**	0.092**	0.349**	-0.143	0.100**	0.156**	0.106***	0.165
	[0.054]	[0.053]	[0.053]	[0.037]	[0.149]	[0.239]	[0.041]	[0.064]	[0.039]	[0.118]
momMaxEdu_Uni_Miss	-0.347*	-0.357*	-0.340	-0.331*	0.001	-0.179	-0.327*	-0.241	-0.306	-0.008
	[0.197]	[0.197]	[0.210]	[0.198]	[0.321]	[0.353]	[0.169]	[0.179]	[0.187]	[0.210]
dadMaxEdu_Uni_Miss	-0.062	-0.052	-0.061	-0.030	0.305**	-0.681***	-0.062	0.003	-0.027	-0.122
	[0.091]	[0.096]	[0.094]	[0.056]	[0.119]	[0.099]	[0.069]	[0.083]	[0.061]	[0.089]
HighInc_F	-0.009	-0.004	-0.012	0.015	0.134	-0.069	0.019	0.189***	0.022	-0.200**
	[0.056]	[0.057]	[0.057]	[0.043]	[0.101]	[0.105]	[0.043]	[0.056]	[0.044]	[0.087]
HighInc_Miss	0.035	0.036	0.039	0.035	0.106	-0.506***	0.053	0.417***	0.020	-0.041
	[0.052]	[0.052]	[0.051]	[0.035]	[0.094]	[0.171]	[0.038]	[0.067]	[0.038]	[0.085]
houseOwn_F	0.032	0.025	0.039	-0.013	-0.099	0.473**	0.004	-0.125***	0.016	0.008
	[0.045]	[0.046]	[0.048]	[0.032]	[0.087]	[0.184]	[0.035]	[0.047]	[0.034]	[0.053]
o.houseOwn_Miss			-		-			-		-
										
distCenter	0.009	0.008	0.007	0.005	0.002	-0.057**	0.006	-0.010	0.011	-0.016
	[0.008]	[0.009]	[0.009]	[0.008]	[0.019]	[0.025]	[0.007]	[0.010]	[0.008]	[0.015]
cgRelig_F	0.037	0.024	0.058	0.009	0.067	-0.160	0.029	0.087	0.003	0.017
	[0.064]	[0.065]	[0.072]	[0.043]	[0.095]	[0.109]	[0.049]	[0.062]	[0.047]	[0.093]
cgRelig_Miss	0.290**	0.292**	0.158	-0.218*	-0.066	0.316*	0.069	-0.005	-0.184	-0.459***
	[0.125]	[0.130]	[0.107]	[0.122]	[0.113]	[0.165]	[0.127]	[0.090]	[0.135]	[0.157]
CAPI	-0.027	-0.019	-0.036	-0.038	-0.406***	0.334*	-0.030	-0.028	-0.051	-0.116*
	[0.043]	[0.046]	[0.046]	[0.030]	[0.104]	[0.179]	[0.033]	[0.062]	[0.033]	[0.070]
houseOwn_Miss	-0.623***	-0.658***		-0.193		0.413	-0.165		-0.542*	
	[0.238]	[0.249]		[0.296]		[0.331]	[0.238]		[0.317]	
Parma							-0.050			
							[0.039]			
Reggio								-0.128*		0.035
								[0.068]		[0.083]
materna_Municipal								-0.349***		-0.088
								[0.075]		[0.179]
Padova									-0.056	
									[0.039]	
Constant	0.736*	0.776*	0.810*	0.519*	-1.417	4.729***	1.009***	-0.356	0.380	0.062
	[0.438]	[0.447]	[0.446]	[0.303]	[1.032]	[1.188]	[0.339]	[0.588]	[0.311]	[0.774]
										
Observations	309	309	307	731	728	728	597	593	586	583
R-squared	0.086	0.077	0.081	0.031	0.998	0.958	0.044	0.792	0.056	0.788
Sample	Reggio	Reggio	Reggio	RAvsPrPd	RAvsPP	RAvsPP	RePr	RePr	RePd	RePd
Mean	.8300000000000001	.8300000000000001	.8300000000000001	.8300000000000001	.8300000000000001	.8300000000000001	.8300000000000001	.8300000000000001	.8300000000000001	.8300000000000001
Robust standard errors in brackets										
*** p<0.01, ** p<0.05, * p<0.1										
Mean = average of the y-variable for the whole sample considered. Sample: Reggio = only respondents in the city of Reggio Emilia. RAvsPrPd = Reggio Approach and all the respondents in Parma and Padova. RePr= all of the respondents in Reggio Emilia and Parma. RePd= all of the respondents in Reggio Emilia and Padova. Estimation Procedure: OLS = Ordinary Least Square; IV = Instrumental variable approach; CF = control function approach										
cubic polynomial or residuals. PSM = simple propensity score matching. PSM2 = propensity sore matching using both demand and supply. DiD = differences-in-differences approach										
municipal schools vs other schools across different cities										
