	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)	(10)
VARIABLES	OLS	IV	CF	OLS	PSM	PSM2	OLS	DiD Pr	OLS	DiD Pd
										
ReggioMaterna	-0.007	-0.462	-0.730*	-0.174***	-0.165***	-0.174***	-0.022	0.079	-0.017	0.175**
	[0.059]	[0.323]	[0.423]	[0.044]	[0.045]	[0.044]	[0.057]	[0.084]	[0.058]	[0.088]
unobsM			1.010*							
			[0.599]							
unobsM2			-0.183							
			[0.234]							
unobsM3			-0.884							
			[0.713]							
Age	-0.148*	-0.184*	-0.182**	-0.099**	-0.086	-0.091*	-0.167***	-0.140**	-0.007	0.039
	[0.088]	[0.098]	[0.087]	[0.050]	[0.053]	[0.049]	[0.060]	[0.060]	[0.056]	[0.059]
Male	-0.017	-0.027	-0.021	-0.029	-0.044	-0.030	-0.012	-0.032	-0.023	-0.032
	[0.058]	[0.065]	[0.059]	[0.034]	[0.037]	[0.034]	[0.040]	[0.043]	[0.039]	[0.043]
poorBHealth	-0.058	-0.105	-0.111	-0.141**	-0.137**	-0.142**	-0.090	-0.085	-0.116	-0.114
	[0.095]	[0.109]	[0.101]	[0.065]	[0.067]	[0.064]	[0.068]	[0.067]	[0.071]	[0.076]
oldsibs	-0.091	-0.094	-0.097	0.012	0.012	0.013	-0.035	-0.041	-0.022	-0.025
	[0.061]	[0.067]	[0.062]	[0.036]	[0.037]	[0.036]	[0.043]	[0.045]	[0.040]	[0.042]
momMaxEdu_Uni_F	0.168**	0.121	0.106	0.060	0.060	0.055	0.100**	0.113**	0.087*	0.076
	[0.069]	[0.083]	[0.077]	[0.043]	[0.048]	[0.043]	[0.048]	[0.050]	[0.049]	[0.056]
dadMaxEdu_Uni_F	0.017	0.041	0.027	-0.047	-0.046	-0.050	0.023	-0.001	-0.078	-0.076
	[0.077]	[0.090]	[0.079]	[0.047]	[0.054]	[0.047]	[0.052]	[0.055]	[0.054]	[0.062]
momMaxEdu_Uni_Miss	-0.082	-0.093	-0.087	0.063	0.090	0.080	-0.020	0.026	0.082	0.162*
	[0.193]	[0.177]	[0.196]	[0.089]	[0.081]	[0.080]	[0.150]	[0.155]	[0.095]	[0.092]
dadMaxEdu_Uni_Miss	-0.046	0.004	-0.003	0.004	0.035	0.009	0.036	0.048	-0.056	-0.069
	[0.087]	[0.098]	[0.091]	[0.052]	[0.047]	[0.051]	[0.059]	[0.061]	[0.063]	[0.067]
HighInc_F	-0.076	-0.045	-0.033	-0.043	-0.058	-0.037	-0.028	-0.023	-0.082	-0.079
	[0.074]	[0.084]	[0.076]	[0.049]	[0.054]	[0.049]	[0.052]	[0.054]	[0.057]	[0.062]
HighInc_Miss	0.236***	0.261***	0.274***	0.065*	0.085**	0.064	0.144***	0.149***	0.084*	0.113**
	[0.070]	[0.076]	[0.072]	[0.039]	[0.039]	[0.039]	[0.048]	[0.050]	[0.045]	[0.047]
houseOwn_F	-0.051	-0.044	-0.033	-0.084**	-0.061	-0.087**	-0.048	-0.049	-0.071	-0.034
	[0.084]	[0.095]	[0.083]	[0.043]	[0.047]	[0.042]	[0.056]	[0.060]	[0.048]	[0.056]
distCenter	-0.054***	-0.055***	-0.060***	-0.036***	-0.035***	-0.034***	-0.048***	-0.049***	-0.037***	-0.036***
	[0.014]	[0.014]	[0.012]	[0.009]	[0.010]	[0.009]	[0.010]	[0.011]	[0.010]	[0.011]
cgRelig_F	-0.039	-0.158	-0.149	-0.032	-0.072*	-0.037	-0.065	-0.099*	-0.009	-0.002
	[0.070]	[0.114]	[0.105]	[0.046]	[0.043]	[0.046]	[0.051]	[0.052]	[0.053]	[0.053]
o.cgRelig_Miss			-		-			-		-
										
CAPI	-0.039	0.010	0.001	0.044	0.064*	0.043	-0.047	-0.062	0.044	0.074*
	[0.058]	[0.073]	[0.065]	[0.034]	[0.037]	[0.034]	[0.040]	[0.042]	[0.039]	[0.043]
cgRelig_Miss	-0.558**	-0.440		-0.101		-0.096	-0.353		-0.114	
	[0.272]	[0.287]		[0.086]		[0.085]	[0.239]		[0.094]	
Parma							0.118**			
							[0.051]			
Reggio								-0.198***		-0.250***
								[0.063]		[0.058]
materna_Municipal								-0.067		-0.163**
								[0.057]		[0.064]
Padova									0.166***	
									[0.051]	
Constant	3.585**	4.571**	4.712***	2.789***	2.542**	2.628***	3.942***	3.664***	0.908	0.217
	[1.641]	[1.870]	[1.696]	[0.934]	[1.007]	[0.929]	[1.121]	[1.126]	[1.065]	[1.122]
										
Observations	293	293	290	686	647	686	541	537	569	531
R-squared	0.135	-0.057	0.144	0.084	0.101	0.078	0.121	0.145	0.107	0.150
Sample	Reggio	Reggio	Reggio	RAvsPrPd	RAvsPP	RAvsPP	RePr	RePr	RePd	RePd
Mean	.5700000000000001	.5700000000000001	.5700000000000001	.5700000000000001	.5700000000000001	.5700000000000001	.5700000000000001	.5700000000000001	.5700000000000001	.5700000000000001
Robust standard errors in brackets										
*** p<0.01, ** p<0.05, * p<0.1										
Mean = average of the y-variable for the whole sample considered. Sample: Reggio = only respondents in the city of Reggio Emilia. RAvsPrPd = Reggio Approach and all the respondents in Parma and Padova. RePr= all of the respondents in Reggio Emilia and Parma. RePd= all of the respondents in Reggio Emilia and Padova. Estimation Procedure: OLS = Ordinary Least Square; IV = Instrumental variable approach; CF = control function approach										
cubic polynomial or residuals. PSM = simple propensity score matching. PSM2 = propensity sore matching using both demand and supply. DiD = differences-in-differences approach										
municipal schools vs other schools across different cities										
