	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)	(10)
VARIABLES	OLS	IV	CF	OLS	PSM	PSM2	OLS	DiD Pr	OLS	DiD Pd
										
ReggioMaterna	-0.019	-0.440**	-0.521*	-0.038	-0.031	-0.040	-0.014	-0.018	-0.020	-0.026
	[0.047]	[0.223]	[0.299]	[0.037]	[0.039]	[0.037]	[0.046]	[0.070]	[0.046]	[0.079]
unobsM			0.634							
			[0.448]							
unobsM2			0.103							
			[0.181]							
unobsM3			-0.338							
			[0.544]							
Age	0.141*	0.107	0.113	0.074	0.071	0.072	0.114**	0.084	0.097*	0.131**
	[0.082]	[0.089]	[0.082]	[0.045]	[0.050]	[0.045]	[0.055]	[0.061]	[0.053]	[0.055]
Male	-0.089*	-0.097*	-0.102**	-0.036	-0.027	-0.033	-0.075**	-0.067*	-0.045	-0.032
	[0.045]	[0.054]	[0.047]	[0.031]	[0.036]	[0.031]	[0.034]	[0.036]	[0.034]	[0.040]
poorBHealth	-0.052	-0.096	-0.091	-0.044	-0.056	-0.042	-0.025	-0.020	-0.041	-0.064
	[0.080]	[0.097]	[0.087]	[0.053]	[0.052]	[0.055]	[0.058]	[0.058]	[0.058]	[0.059]
oldsibs	-0.020	-0.023	-0.024	-0.044	-0.046	-0.044	-0.021	-0.003	-0.026	-0.040
	[0.049]	[0.055]	[0.050]	[0.033]	[0.037]	[0.033]	[0.037]	[0.042]	[0.035]	[0.037]
momMaxEdu_Uni_F	0.177***	0.133*	0.142**	0.058	0.087	0.052	0.105**	0.116**	0.122***	0.156***
	[0.061]	[0.072]	[0.064]	[0.043]	[0.054]	[0.043]	[0.045]	[0.051]	[0.046]	[0.058]
dadMaxEdu_Uni_F	-0.068	-0.046	-0.047	0.067	0.059	0.073	0.015	-0.019	-0.004	-0.014
	[0.071]	[0.083]	[0.072]	[0.047]	[0.058]	[0.047]	[0.052]	[0.056]	[0.051]	[0.061]
momMaxEdu_Uni_Miss	0.072	0.062	0.058	0.111	0.065	0.114	0.120	0.150	0.115	0.066
	[0.184]	[0.169]	[0.181]	[0.132]	[0.137]	[0.133]	[0.171]	[0.177]	[0.131]	[0.145]
dadMaxEdu_Uni_Miss	0.017	0.063	0.058	0.009	-0.005	0.015	0.048	0.037	0.024	-0.014
	[0.065]	[0.073]	[0.067]	[0.047]	[0.048]	[0.048]	[0.050]	[0.053]	[0.052]	[0.048]
HighInc_F	-0.009	0.020	0.021	-0.005	0.046	-0.006	0.003	0.029	0.011	0.041
	[0.060]	[0.070]	[0.060]	[0.047]	[0.052]	[0.047]	[0.046]	[0.049]	[0.051]	[0.058]
HighInc_Miss	0.012	0.035	0.040	-0.091**	-0.092**	-0.097***	0.015	0.012	-0.098**	-0.116***
	[0.062]	[0.070]	[0.061]	[0.037]	[0.036]	[0.037]	[0.044]	[0.042]	[0.042]	[0.043]
houseOwn_F	0.153***	0.160***	0.169***	0.064*	0.044	0.058	0.082**	0.073	0.120***	0.117***
	[0.043]	[0.058]	[0.045]	[0.035]	[0.041]	[0.036]	[0.040]	[0.046]	[0.033]	[0.036]
distCenter	-0.032***	-0.033***	-0.033***	-0.041***	-0.047***	-0.042***	-0.043***	-0.049***	-0.029***	-0.034***
	[0.010]	[0.011]	[0.010]	[0.007]	[0.007]	[0.007]	[0.007]	[0.007]	[0.008]	[0.008]
cgRelig_F	0.032	-0.079	-0.080	0.030	0.009	0.029	0.060	0.059	0.010	-0.023
	[0.056]	[0.090]	[0.078]	[0.044]	[0.049]	[0.045]	[0.045]	[0.052]	[0.048]	[0.051]
o.cgRelig_Miss			-		-			-		-
										
CAPI	0.012	0.056	0.050	-0.048	-0.060*	-0.055*	-0.027	-0.026	-0.033	-0.048
	[0.048]	[0.057]	[0.050]	[0.032]	[0.036]	[0.032]	[0.035]	[0.037]	[0.034]	[0.040]
cgRelig_Miss	-0.180**	-0.070		-0.084		-0.078	-0.196***		-0.111*	
	[0.082]	[0.101]		[0.060]		[0.060]	[0.058]		[0.065]	
Parma							-0.012			
							[0.043]			
Reggio								0.020		-0.060
								[0.047]		[0.052]
materna_Municipal								0.009		0.018
								[0.053]		[0.063]
Padova									0.056	
									[0.046]	
Constant	-2.459	-1.547	-1.636	-1.060	-0.948	-1.004	-1.880*	-1.336	-1.594	-2.120**
	[1.526]	[1.672]	[1.550]	[0.856]	[0.958]	[0.857]	[1.022]	[1.158]	[0.993]	[1.013]
										
Observations	293	293	290	686	647	686	541	537	569	531
R-squared	0.134	-0.113	0.145	0.095	0.117	0.097	0.108	0.120	0.111	0.145
Sample	Reggio	Reggio	Reggio	RAvsPrPd	RAvsPP	RAvsPP	RePr	RePr	RePd	RePd
Mean	.2	.2	.2	.2	.2	.2	.2	.2	.2	.2
Robust standard errors in brackets										
*** p<0.01, ** p<0.05, * p<0.1										
Mean = average of the y-variable for the whole sample considered. Sample: Reggio = only respondents in the city of Reggio Emilia. RAvsPrPd = Reggio Approach and all the respondents in Parma and Padova. RePr= all of the respondents in Reggio Emilia and Parma. RePd= all of the respondents in Reggio Emilia and Padova. Estimation Procedure: OLS = Ordinary Least Square; IV = Instrumental variable approach; CF = control function approach										
cubic polynomial or residuals. PSM = simple propensity score matching. PSM2 = propensity sore matching using both demand and supply. DiD = differences-in-differences approach										
municipal schools vs other schools across different cities										
