	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)	(10)
VARIABLES	OLS	IV	CF	OLS	PSM	PSM2	OLS	DiD Pr	OLS	DiD Pd
										
ReggioMaterna	0.051	-0.132	-0.121	-0.149***	-0.161***	-0.149***	0.047	0.272***	0.048	0.215***
	[0.051]	[0.263]	[0.360]	[0.043]	[0.045]	[0.043]	[0.051]	[0.082]	[0.051]	[0.080]
unobsM			0.140							
			[0.507]							
unobsM2			-0.427**							
			[0.202]							
unobsM3			0.024							
			[0.586]							
Age	-0.321***	-0.335***	-0.336***	-0.120**	-0.165***	-0.103*	-0.222***	-0.187***	-0.131**	-0.157**
	[0.078]	[0.082]	[0.079]	[0.053]	[0.061]	[0.053]	[0.061]	[0.066]	[0.056]	[0.062]
Male	-0.042	-0.045	-0.034	-0.132***	-0.130***	-0.134***	-0.071*	-0.083*	-0.080**	-0.107***
	[0.051]	[0.052]	[0.052]	[0.036]	[0.041]	[0.036]	[0.040]	[0.042]	[0.038]	[0.041]
poorBHealth	-0.208**	-0.227**	-0.241***	-0.119**	-0.127*	-0.112*	-0.070	-0.076	-0.280***	-0.292***
	[0.089]	[0.095]	[0.093]	[0.059]	[0.065]	[0.060]	[0.062]	[0.064]	[0.058]	[0.058]
oldsibs	-0.096*	-0.097*	-0.104**	0.022	0.002	0.018	-0.040	-0.054	-0.038	-0.055
	[0.052]	[0.055]	[0.052]	[0.038]	[0.043]	[0.038]	[0.042]	[0.045]	[0.039]	[0.042]
momMaxEdu_Uni_F	-0.067	-0.086	-0.108	-0.091**	-0.091*	-0.095**	-0.114**	-0.115**	-0.064	-0.056
	[0.063]	[0.068]	[0.067]	[0.044]	[0.053]	[0.045]	[0.050]	[0.056]	[0.047]	[0.051]
dadMaxEdu_Uni_F	0.110	0.120	0.118	-0.040	-0.026	-0.053	0.022	0.010	0.010	0.030
	[0.074]	[0.077]	[0.075]	[0.050]	[0.059]	[0.050]	[0.058]	[0.066]	[0.054]	[0.060]
momMaxEdu_Uni_Miss	0.024	0.020	0.030	-0.047	-0.003	-0.065	0.123	0.085	-0.146	-0.099
	[0.186]	[0.213]	[0.181]	[0.143]	[0.158]	[0.142]	[0.149]	[0.170]	[0.137]	[0.166]
dadMaxEdu_Uni_Miss	-0.101	-0.081	-0.084	-0.086	-0.074	-0.081	-0.071	-0.086	-0.126**	-0.113
	[0.070]	[0.077]	[0.075]	[0.055]	[0.065]	[0.056]	[0.055]	[0.060]	[0.058]	[0.068]
HighInc_F	-0.066	-0.053	-0.049	-0.030	-0.056	-0.020	-0.017	-0.026	-0.102**	-0.124**
	[0.063]	[0.068]	[0.066]	[0.049]	[0.056]	[0.049]	[0.049]	[0.052]	[0.051]	[0.055]
HighInc_Miss	0.197***	0.207***	0.205***	0.171***	0.190***	0.178***	0.117**	0.121**	0.203***	0.239***
	[0.072]	[0.072]	[0.073]	[0.045]	[0.047]	[0.044]	[0.053]	[0.056]	[0.048]	[0.052]
houseOwn_F	-0.233***	-0.230***	-0.242***	-0.140***	-0.098*	-0.136***	-0.159***	-0.138**	-0.182***	-0.166***
	[0.078]	[0.080]	[0.077]	[0.047]	[0.053]	[0.047]	[0.056]	[0.060]	[0.050]	[0.057]
distCenter	0.006	0.005	0.002	0.042***	0.050***	0.045***	0.023**	0.027**	0.026***	0.028***
	[0.012]	[0.012]	[0.012]	[0.010]	[0.011]	[0.010]	[0.010]	[0.010]	[0.010]	[0.011]
cgRelig_F	-0.036	-0.084	-0.059	-0.070	-0.074	-0.064	-0.036	-0.015	-0.035	-0.039
	[0.066]	[0.095]	[0.090]	[0.051]	[0.056]	[0.051]	[0.055]	[0.060]	[0.051]	[0.052]
o.cgRelig_Miss			-		-			-		-
										
CAPI	-0.092*	-0.072	-0.070	0.010	0.047	0.012	-0.082**	-0.075*	-0.005	0.030
	[0.052]	[0.063]	[0.061]	[0.036]	[0.041]	[0.036]	[0.041]	[0.043]	[0.038]	[0.041]
cgRelig_Miss	0.069	0.117		0.054		0.056	0.317		0.050	
	[0.259]	[0.270]		[0.089]		[0.088]	[0.226]		[0.092]	
Parma							0.221***			
							[0.048]			
Reggio								-0.366***		-0.235***
								[0.055]		[0.057]
materna_Municipal								-0.200***		-0.144**
								[0.065]		[0.062]
Padova									0.138***	
									[0.048]	
Constant	6.579***	6.975***	7.088***	2.824***	3.611***	2.490**	4.629***	4.270***	2.920***	3.592***
	[1.459]	[1.577]	[1.539]	[0.995]	[1.151]	[0.995]	[1.145]	[1.235]	[1.069]	[1.161]
										
Observations	293	293	290	686	647	686	541	537	569	531
R-squared	0.180	0.145	0.193	0.156	0.176	0.160	0.140	0.179	0.208	0.257
Sample	Reggio	Reggio	Reggio	RAvsPrPd	RAvsPP	RAvsPP	RePr	RePr	RePd	RePd
Mean	.31	.31	.31	.31	.31	.31	.31	.31	.31	.31
Robust standard errors in brackets										
*** p<0.01, ** p<0.05, * p<0.1										
Mean = average of the y-variable for the whole sample considered. Sample: Reggio = only respondents in the city of Reggio Emilia. RAvsPrPd = Reggio Approach and all the respondents in Parma and Padova. RePr= all of the respondents in Reggio Emilia and Parma. RePd= all of the respondents in Reggio Emilia and Padova. Estimation Procedure: OLS = Ordinary Least Square; IV = Instrumental variable approach; CF = control function approach										
cubic polynomial or residuals. PSM = simple propensity score matching. PSM2 = propensity sore matching using both demand and supply. DiD = differences-in-differences approach										
municipal schools vs other schools across different cities										
