	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)	(10)
VARIABLES	OLS	IV	CF	OLS	PSM	PSM2	OLS	DiD Pr	OLS	DiD Pd
										
ReggioAsilo	0.197	0.430	0.098	-0.066	-0.104**	-0.073	-0.005	0.135	0.017	0.084
	[0.154]	[0.805]	[0.240]	[0.044]	[0.042]	[0.045]	[0.064]	[0.209]	[0.070]	[0.278]
asilo_Municipal								0.035		0.118
								[0.107]		[0.218]
nido	-0.277*	-0.514	-0.323**	-0.030	0.017	-0.021	-0.070	-0.005	-0.102*	-0.129
	[0.153]	[0.756]	[0.162]	[0.035]	[0.031]	[0.036]	[0.044]	[0.115]	[0.055]	[0.217]
unobsA			0.138							
			[0.284]							
unobsA2			0.027							
			[0.123]							
unobsA3			0.024							
			[0.369]							
Age	0.181***	0.205**	0.193***	0.040	-0.010	0.014	0.094*	0.032	0.089*	0.071
	[0.067]	[0.083]	[0.070]	[0.046]	[0.051]	[0.048]	[0.050]	[0.058]	[0.049]	[0.049]
Male	-0.154***	-0.169***	-0.168***	-0.120***	-0.119***	-0.111***	-0.116***	-0.140***	-0.128***	-0.118***
	[0.048]	[0.049]	[0.049]	[0.029]	[0.035]	[0.030]	[0.033]	[0.048]	[0.032]	[0.034]
poorBHealth	0.027	0.026	0.029	0.019	0.056	-0.014	0.009	0.063	-0.022	-0.009
	[0.081]	[0.090]	[0.090]	[0.051]	[0.054]	[0.060]	[0.054]	[0.061]	[0.062]	[0.067]
oldsibs	-0.089*	-0.066	-0.074	-0.013	-0.033	-0.015	-0.036	-0.064	-0.055	-0.048
	[0.050]	[0.056]	[0.051]	[0.031]	[0.038]	[0.033]	[0.034]	[0.050]	[0.035]	[0.035]
momMaxEdu_Uni_F	0.008	0.017	0.011	0.035	0.041	0.026	0.031	0.047	0.009	-0.022
	[0.066]	[0.078]	[0.069]	[0.038]	[0.038]	[0.039]	[0.045]	[0.049]	[0.043]	[0.044]
dadMaxEdu_Uni_F	0.004	-0.013	-0.014	0.033	0.010	0.031	-0.008	-0.009	0.039	0.034
	[0.076]	[0.080]	[0.081]	[0.041]	[0.039]	[0.042]	[0.051]	[0.049]	[0.047]	[0.043]
o.momMaxEdu_Uni_Miss			-		-			-		-
										
dadMaxEdu_Uni_Miss	-0.030	-0.068	-0.032	0.004	-0.004	-0.018	-0.017	-0.021	0.008	0.006
	[0.064]	[0.093]	[0.073]	[0.046]	[0.038]	[0.052]	[0.046]	[0.040]	[0.052]	[0.051]
HighInc_F	-0.055	-0.090	-0.056	-0.077*	-0.073	-0.070*	-0.045	-0.050	-0.073	-0.128**
	[0.058]	[0.080]	[0.066]	[0.042]	[0.047]	[0.041]	[0.041]	[0.048]	[0.049]	[0.054]
HighInc_Miss	0.048	0.046	0.035	-0.003	0.006	-0.022	0.027	0.049	0.004	0.013
	[0.057]	[0.058]	[0.060]	[0.034]	[0.040]	[0.036]	[0.038]	[0.048]	[0.039]	[0.042]
houseOwn_F	-0.125**	-0.138**	-0.132**	-0.014	-0.005	-0.026	-0.106***	-0.104**	-0.031	-0.009
	[0.050]	[0.059]	[0.053]	[0.038]	[0.043]	[0.039]	[0.034]	[0.053]	[0.039]	[0.039]
distCenter	0.009	0.007	0.003	0.007	0.017**	0.009	0.005	0.012*	0.015**	0.016**
	[0.008]	[0.008]	[0.009]	[0.007]	[0.007]	[0.007]	[0.006]	[0.007]	[0.007]	[0.008]
cgRelig_F	0.038	0.021	-0.007	-0.040	-0.048	-0.028	0.016	-0.018	-0.002	-0.027
	[0.057]	[0.079]	[0.062]	[0.040]	[0.042]	[0.043]	[0.043]	[0.046]	[0.044]	[0.046]
cgRelig_Miss	-0.040	-0.077	-0.048	0.061	0.035	0.089*	0.013	0.177	0.132**	0.073
	[0.315]	[0.310]	[0.308]	[0.053]	[0.048]	[0.051]	[0.230]	[0.151]	[0.059]	[0.052]
CAPI	-0.008	-0.024	-0.022	0.027	-0.019	0.023	-0.020	-0.043	0.023	0.010
	[0.046]	[0.050]	[0.048]	[0.029]	[0.033]	[0.031]	[0.032]	[0.034]	[0.033]	[0.035]
momMaxEdu_Uni_Miss	-0.161			0.018		0.005	-0.072		-0.050	
	[0.198]			[0.089]		[0.096]	[0.153]		[0.104]	
Parma							0.066			
							[0.042]			
Reggio								-0.026		0.019
								[0.059]		[0.046]
nidoXreggio								-0.242		-0.151
								[0.209]		[0.276]
Padova									-0.019	
									[0.042]	
Constant	-2.367*	-2.755*	-2.460*	0.176	1.108	0.664	-0.787	0.442	-0.765	-0.420
	[1.271]	[1.601]	[1.330]	[0.858]	[0.949]	[0.888]	[0.931]	[1.064]	[0.920]	[0.934]
										
Observations	293	274	274	676	638	676	541	508	569	536
R-squared	0.138	0.153	0.165	0.062	0.100	0.054	0.078	0.124	0.086	0.136
Sample	Reggio	Reggio	Reggio	RAvsPrPd	RAvsPP	RAvsPP	RePr	RePr	RePd	RePd
Mean	.8	.8	.8	.8	.8	.8	.8	.8	.8	.8
Robust standard errors in brackets										
*** p<0.01, ** p<0.05, * p<0.1										
Mean = average of the y-variable for the whole sample considered. Sample: Reggio = only respondents in the city of Reggio Emilia. RAvsPrPd = Reggio Approach and all the respondents in Parma and Padova. RePr= all of the respondents in Reggio Emilia and Parma. RePd= all of the respondents in Reggio Emilia and Padova. Estimation Procedure: OLS = Ordinary Least Square; IV = Instrumental variable approach; CF = control function approach										
cubic polynomial or residuals. PSM = simple propensity score matching. PSM2 = propensity sore matching using both demand and supply. DiD = differences-in-differences approach										
municipal schools vs other schools across different cities										
