	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)	(10)
VARIABLES	OLS	IV	CF	OLS	PSM	PSM2	OLS	DiD Pr	OLS	DiD Pd
										
ReggioAsilo	-0.025	-0.099	-0.022	0.035	0.057	0.432**	-0.006	-0.018	0.005	-0.114
	[0.048]	[0.384]	[0.119]	[0.030]	[0.036]	[0.185]	[0.040]	[0.067]	[0.040]	[0.085]
asilo_Municipal								-0.021		0.091
								[0.054]		[0.074]
nido	0.029	0.091	0.024	-0.005	-0.028	-0.891***	0.006	-0.047	0.000	-0.096
	[0.049]	[0.318]	[0.050]	[0.030]	[0.047]	[0.233]	[0.034]	[0.068]	[0.033]	[0.070]
unobs			0.008							
			[0.180]							
unobs2			0.079							
			[0.083]							
unobs3			-0.018							
			[0.240]							
Age	0.072	0.071	0.072	0.086***	0.053	0.295	0.040	-0.013	0.101***	0.129***
	[0.045]	[0.046]	[0.046]	[0.032]	[0.038]	[0.288]	[0.036]	[0.045]	[0.034]	[0.043]
Male	-0.006	-0.006	-0.007	-0.023	-0.006	0.056	-0.007	0.007	-0.024	-0.024
	[0.031]	[0.032]	[0.035]	[0.024]	[0.030]	[0.282]	[0.025]	[0.032]	[0.025]	[0.029]
poorBHealth	0.006	0.008	0.007	0.028	-0.020	-0.276*	-0.005	-0.049	0.045	0.046
	[0.053]	[0.059]	[0.069]	[0.036]	[0.076]	[0.155]	[0.042]	[0.087]	[0.037]	[0.048]
oldsibs	-0.103	-0.118	-0.106	-0.019	-0.041	0.173	-0.016	0.013	-0.074	-0.064
	[0.108]	[0.132]	[0.112]	[0.065]	[0.093]	[0.265]	[0.071]	[0.058]	[0.072]	[0.091]
momMaxEdu_Uni_F	-0.028	-0.027	-0.025	-0.013	0.006	0.044	-0.004	-0.001	-0.032	-0.013
	[0.040]	[0.040]	[0.043]	[0.027]	[0.037]	[0.285]	[0.029]	[0.037]	[0.030]	[0.037]
dadMaxEdu_Uni_F	-0.017	-0.026	-0.020	-0.006	-0.030	-0.131	-0.008	-0.057	-0.012	-0.001
	[0.039]	[0.058]	[0.040]	[0.028]	[0.039]	[0.171]	[0.030]	[0.039]	[0.031]	[0.036]
momMaxEdu_Uni_Miss	0.056	0.057	0.047	0.101***	0.097**	0.135	0.093***	0.078*	0.064**	0.057
	[0.044]	[0.044]	[0.049]	[0.025]	[0.042]	[0.235]	[0.030]	[0.041]	[0.031]	[0.039]
dadMaxEdu_Uni_Miss	-0.047	-0.042	-0.048	-0.022	-0.024	-0.017	-0.080	-0.091	-0.030	-0.024
	[0.065]	[0.075]	[0.066]	[0.045]	[0.055]	[0.313]	[0.056]	[0.066]	[0.046]	[0.057]
HighInc_F	0.011	0.008	0.007	0.014	-0.040	-0.161	-0.005	-0.059	0.042	0.067*
	[0.042]	[0.041]	[0.041]	[0.032]	[0.074]	[0.192]	[0.034]	[0.071]	[0.033]	[0.037]
HighInc_Miss	0.036	0.033	0.037	0.029	-0.016	-0.386	0.014	0.012	0.041	0.054**
	[0.031]	[0.034]	[0.040]	[0.029]	[0.039]	[0.375]	[0.030]	[0.032]	[0.026]	[0.026]
houseOwn_F	-0.021	-0.024	-0.021	-0.032	-0.048	0.127	-0.045*	-0.057*	-0.010	-0.028
	[0.032]	[0.038]	[0.033]	[0.025]	[0.032]	[0.279]	[0.025]	[0.031]	[0.026]	[0.032]
o.houseOwn_Miss			-		-			-		-
										
distCenter	0.002	0.002	0.003	-0.001	-0.004	0.000	0.001	-0.002	0.003	0.002
	[0.007]	[0.007]	[0.008]	[0.007]	[0.010]	[0.057]	[0.006]	[0.009]	[0.006]	[0.008]
cgRelig_F	-0.042	-0.041	-0.046	0.000	-0.082*	-0.491*	-0.025	-0.110**	-0.023	-0.061
	[0.036]	[0.036]	[0.038]	[0.036]	[0.045]	[0.298]	[0.034]	[0.052]	[0.035]	[0.042]
cgRelig_Miss	0.050	0.043	0.042	-0.098	-0.068	-0.602	0.107**	0.058	-0.157	-0.174
	[0.056]	[0.076]	[0.063]	[0.105]	[0.083]	[0.448]	[0.044]	[0.074]	[0.115]	[0.112]
CAPI	-0.007	-0.006	-0.007	-0.022	-0.008	0.278	-0.010	-0.002	-0.021	-0.027
	[0.032]	[0.033]	[0.032]	[0.025]	[0.038]	[0.239]	[0.025]	[0.040]	[0.026]	[0.033]
houseOwn_Miss	-1.005***	-1.006***		0.092**		0.232	-0.275		-0.447	
	[0.042]	[0.043]		[0.039]		[0.438]	[0.296]		[0.405]	
Parma							-0.037			
							[0.033]			
Reggio								-0.012		0.008
								[0.064]		[0.040]
nidoXreggio								0.087		0.118
								[0.098]		[0.082]
Padova									-0.022	
									[0.030]	
Constant	0.486	0.498	0.471	0.351	0.682**	-0.218	0.712***	1.192***	0.268	0.109
	[0.314]	[0.320]	[0.337]	[0.227]	[0.295]	[1.829]	[0.245]	[0.368]	[0.236]	[0.285]
										
Observations	307	307	306	721	718	721	592	589	583	581
R-squared	0.072	0.066	0.037	0.024	0.030	0.899	0.025	0.071	0.048	0.071
Sample	Reggio	Reggio	Reggio	RAvsPrPd	RAvsPP	RAvsPP	RePr	RePr	RePd	RePd
Mean	.92	.92	.92	.92	.92	.92	.92	.92	.92	.92
Robust standard errors in brackets										
*** p<0.01, ** p<0.05, * p<0.1										
Mean = average of the y-variable for the whole sample considered. Sample: Reggio = only respondents in the city of Reggio Emilia. RAvsPrPd = Reggio Approach and all the respondents in Parma and Padova. RePr= all of the respondents in Reggio Emilia and Parma. RePd= all of the respondents in Reggio Emilia and Padova. Estimation Procedure: OLS = Ordinary Least Square; IV = Instrumental variable approach; CF = control function approach										
cubic polynomial or residuals. PSM = simple propensity score matching. PSM2 = propensity sore matching using both demand and supply. DiD = differences-in-differences approach										
municipal schools vs other schools across different cities										
