	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)	(10)
VARIABLES	OLS	IV	CF	OLS	PSM	PSM2	OLS	DiD Pr	OLS	DiD Pd
										
ReggioAsilo	-0.186**	-0.246	-0.148	-0.066	-0.084	-0.070	-0.150**	-0.146	-0.103	-0.299**
	[0.079]	[0.752]	[0.255]	[0.048]	[0.054]	[0.057]	[0.066]	[0.136]	[0.065]	[0.137]
asilo_Municipal								-0.083		0.129
								[0.092]		[0.101]
nido	0.184**	0.234	0.211***	0.083*	0.122**	0.128**	0.143***	0.231**	0.079	-0.082
	[0.080]	[0.623]	[0.081]	[0.044]	[0.054]	[0.062]	[0.050]	[0.100]	[0.051]	[0.084]
unobs			0.014							
			[0.391]							
unobs2			-0.315*							
			[0.171]							
unobs3			-0.262							
			[0.540]							
Age	-0.029	-0.030	-0.021	0.023	0.082	-0.025	-0.014	0.010	0.029	0.087
	[0.080]	[0.082]	[0.080]	[0.054]	[0.066]	[0.074]	[0.060]	[0.072]	[0.058]	[0.068]
Male	0.092	0.092	0.082	0.011	0.036	-0.012	0.019	0.017	0.078*	0.129***
	[0.056]	[0.056]	[0.060]	[0.037]	[0.045]	[0.047]	[0.040]	[0.047]	[0.040]	[0.047]
poorBHealth	0.010	0.012	-0.029	0.045	0.101	0.109	0.032	0.066	0.053	0.117
	[0.102]	[0.106]	[0.109]	[0.058]	[0.067]	[0.070]	[0.066]	[0.079]	[0.069]	[0.084]
oldsibs	-0.124	-0.130	-0.042	-0.017	0.003	0.019	-0.104	-0.026	-0.052	0.058
	[0.122]	[0.149]	[0.139]	[0.089]	[0.101]	[0.098]	[0.096]	[0.125]	[0.081]	[0.084]
momMaxEdu_Uni_F	0.075	0.075	0.040	0.001	0.006	-0.001	0.037	0.042	0.029	0.023
	[0.069]	[0.070]	[0.072]	[0.042]	[0.051]	[0.061]	[0.046]	[0.054]	[0.049]	[0.061]
dadMaxEdu_Uni_F	0.069	0.062	0.092	-0.001	-0.012	-0.037	-0.017	-0.082	0.072	0.087
	[0.073]	[0.112]	[0.072]	[0.044]	[0.057]	[0.066]	[0.049]	[0.062]	[0.051]	[0.062]
momMaxEdu_Uni_Miss	0.095	0.096	0.151	-0.016	-0.263	-0.089	0.160	-0.024	0.099	-0.073
	[0.205]	[0.204]	[0.183]	[0.214]	[0.211]	[0.238]	[0.157]	[0.215]	[0.171]	[0.216]
dadMaxEdu_Uni_Miss	-0.145	-0.141	-0.158	-0.072	-0.004	-0.027	-0.046	0.019	-0.153**	-0.092
	[0.105]	[0.115]	[0.105]	[0.067]	[0.076]	[0.084]	[0.078]	[0.081]	[0.074]	[0.085]
HighInc_F	-0.120	-0.122	-0.108	0.052	0.013	0.130**	0.025	0.010	-0.012	0.063
	[0.076]	[0.081]	[0.077]	[0.050]	[0.070]	[0.058]	[0.053]	[0.070]	[0.058]	[0.063]
HighInc_Miss	0.009	0.006	0.035	0.041	0.022	0.084	0.055	0.053	0.056	0.061
	[0.073]	[0.082]	[0.088]	[0.045]	[0.051]	[0.052]	[0.051]	[0.058]	[0.049]	[0.055]
houseOwn_F	-0.028	-0.030	-0.015	-0.014	0.045	-0.002	0.020	0.029	-0.056	-0.019
	[0.058]	[0.067]	[0.060]	[0.039]	[0.049]	[0.053]	[0.043]	[0.050]	[0.041]	[0.050]
o.houseOwn_Miss			-		-			-		-
										
distCenter	0.001	0.001	-0.004	-0.002	-0.006	0.007	-0.001	-0.004	0.001	-0.005
	[0.011]	[0.011]	[0.011]	[0.009]	[0.014]	[0.013]	[0.008]	[0.013]	[0.010]	[0.012]
cgRelig_F	-0.018	-0.017	-0.004	-0.006	0.069	-0.022	0.006	0.056	-0.037	0.019
	[0.078]	[0.081]	[0.077]	[0.052]	[0.074]	[0.073]	[0.060]	[0.090]	[0.056]	[0.067]
cgRelig_Miss	0.082	0.072	0.245*	0.071	0.228**	0.182	0.123	0.292***	0.025	-0.037
	[0.199]	[0.245]	[0.148]	[0.121]	[0.115]	[0.119]	[0.154]	[0.108]	[0.125]	[0.158]
CAPI	-0.157***	-0.156***	-0.161***	-0.009	-0.060	-0.031	-0.097**	-0.125**	-0.059	-0.052
	[0.058]	[0.058]	[0.057]	[0.036]	[0.046]	[0.052]	[0.040]	[0.051]	[0.040]	[0.047]
houseOwn_Miss	-0.280	-0.293		-0.641***		-0.573***	-0.446*		-0.438	
	[0.410]	[0.449]		[0.045]		[0.061]	[0.236]		[0.289]	
Parma							-0.086*			
							[0.052]			
Reggio								0.078		-0.016
								[0.079]		[0.069]
nidoXreggio								-0.009		0.226*
								[0.141]		[0.132]
Padova									-0.055	
									[0.049]	
Constant	0.881	0.892	0.852	0.439	-0.078	0.685	0.728*	0.441	0.466	-0.060
	[0.542]	[0.559]	[0.568]	[0.370]	[0.448]	[0.509]	[0.409]	[0.486]	[0.398]	[0.462]
										
Observations	309	309	307	725	722	725	597	593	586	583
R-squared	0.085	0.083	0.102	0.019	0.045	0.032	0.040	0.080	0.042	0.063
Sample	Reggio	Reggio	Reggio	RAvsPrPd	RAvsPP	RAvsPP	RePr	RePr	RePd	RePd
Mean	.63	.63	.63	.63	.63	.63	.63	.63	.63	.63
Robust standard errors in brackets										
*** p<0.01, ** p<0.05, * p<0.1										
Mean = average of the y-variable for the whole sample considered. Sample: Reggio = only respondents in the city of Reggio Emilia. RAvsPrPd = Reggio Approach and all the respondents in Parma and Padova. RePr= all of the respondents in Reggio Emilia and Parma. RePd= all of the respondents in Reggio Emilia and Padova. Estimation Procedure: OLS = Ordinary Least Square; IV = Instrumental variable approach; CF = control function approach										
cubic polynomial or residuals. PSM = simple propensity score matching. PSM2 = propensity sore matching using both demand and supply. DiD = differences-in-differences approach										
municipal schools vs other schools across different cities										
