	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)	(10)
VARIABLES	OLS	IV	CF	OLS	PSM	PSM2	OLS	DiD Pr	OLS	DiD Pd
										
ReggioAsilo	-0.013	0.006	-0.412	-0.016	-0.020	-0.018	0.010	-0.051	-0.001	-0.159
	[0.097]	[0.746]	[0.253]	[0.048]	[0.052]	[0.054]	[0.070]	[0.149]	[0.070]	[0.137]
asilo_Municipal								-0.010		0.101
								[0.121]		[0.100]
nido	0.110	0.095	0.106	0.091**	0.120**	0.099*	0.076	0.059	0.095*	0.072
	[0.103]	[0.622]	[0.103]	[0.043]	[0.051]	[0.055]	[0.051]	[0.126]	[0.055]	[0.093]
unobs			0.743**							
			[0.369]							
unobs2			0.228							
			[0.171]							
unobs3			-0.916*							
			[0.482]							
Age	0.004	0.004	0.004	0.126**	0.136**	0.039	0.075	0.115	0.036	0.017
	[0.083]	[0.085]	[0.084]	[0.054]	[0.068]	[0.070]	[0.061]	[0.073]	[0.061]	[0.071]
Male	-0.006	-0.006	0.016	-0.096***	-0.082**	-0.099**	-0.052	-0.038	-0.066	-0.084*
	[0.059]	[0.059]	[0.063]	[0.036]	[0.042]	[0.041]	[0.040]	[0.044]	[0.041]	[0.047]
poorBHealth	-0.196**	-0.197**	-0.142	-0.139**	-0.140**	-0.203***	-0.112*	-0.086	-0.175**	-0.223***
	[0.096]	[0.099]	[0.104]	[0.060]	[0.067]	[0.070]	[0.066]	[0.076]	[0.071]	[0.073]
oldsibs	-0.023	-0.021	-0.030	0.007	0.075	0.006	-0.001	0.134*	-0.020	0.064
	[0.098]	[0.131]	[0.102]	[0.089]	[0.082]	[0.099]	[0.084]	[0.077]	[0.076]	[0.083]
momMaxEdu_Uni_F	0.022	0.022	0.043	0.028	-0.031	-0.028	0.027	-0.010	0.052	0.053
	[0.075]	[0.075]	[0.078]	[0.041]	[0.052]	[0.057]	[0.047]	[0.057]	[0.052]	[0.058]
dadMaxEdu_Uni_F	0.028	0.031	-0.006	0.033	0.100*	0.091	0.027	0.105*	0.051	0.025
	[0.079]	[0.117]	[0.081]	[0.044]	[0.053]	[0.057]	[0.050]	[0.058]	[0.053]	[0.060]
momMaxEdu_Uni_Miss	-0.010	-0.011	-0.026	-0.182	-0.325*	-0.295	0.086	-0.131	-0.055	-0.150
	[0.210]	[0.211]	[0.228]	[0.247]	[0.167]	[0.205]	[0.169]	[0.179]	[0.199]	[0.179]
dadMaxEdu_Uni_Miss	-0.102	-0.104	-0.083	-0.095	-0.130*	-0.061	-0.018	0.057	-0.167**	-0.247***
	[0.104]	[0.115]	[0.104]	[0.065]	[0.073]	[0.077]	[0.073]	[0.078]	[0.070]	[0.078]
HighInc_F	-0.034	-0.034	-0.046	-0.075	-0.107*	-0.111**	-0.032	-0.048	-0.071	-0.099
	[0.080]	[0.084]	[0.079]	[0.049]	[0.061]	[0.052]	[0.054]	[0.063]	[0.061]	[0.063]
HighInc_Miss	-0.083	-0.082	-0.117	-0.187***	-0.226***	-0.251***	-0.130**	-0.158***	-0.141***	-0.138**
	[0.077]	[0.084]	[0.088]	[0.046]	[0.052]	[0.051]	[0.053]	[0.059]	[0.051]	[0.053]
houseOwn_F	-0.057	-0.056	-0.066	0.079**	0.103**	0.099*	0.010	-0.001	0.009	0.009
	[0.060]	[0.069]	[0.061]	[0.039]	[0.046]	[0.050]	[0.044]	[0.050]	[0.043]	[0.048]
o.houseOwn_Miss			-		-			-		-
										
distCenter	0.013	0.013	0.015	0.012	0.018	0.004	0.020**	0.021**	0.014	0.006
	[0.011]	[0.011]	[0.011]	[0.009]	[0.012]	[0.013]	[0.008]	[0.011]	[0.010]	[0.011]
cgRelig_F	-0.068	-0.068	-0.093	0.026	0.028	0.052	0.007	0.017	-0.006	0.024
	[0.084]	[0.086]	[0.086]	[0.052]	[0.064]	[0.070]	[0.061]	[0.073]	[0.059]	[0.064]
cgRelig_Miss	0.007	0.011	0.057	0.029	0.242**	0.149	0.118	0.248**	-0.009	0.087
	[0.270]	[0.293]	[0.339]	[0.121]	[0.109]	[0.122]	[0.169]	[0.101]	[0.129]	[0.153]
CAPI	-0.064	-0.064	-0.050	-0.063*	-0.137***	-0.083*	-0.072*	-0.104**	-0.056	-0.099**
	[0.060]	[0.061]	[0.060]	[0.036]	[0.044]	[0.047]	[0.040]	[0.048]	[0.042]	[0.048]
houseOwn_Miss	-0.640***	-0.636***		-0.476***		-0.590***	-0.642***		-0.462***	
	[0.171]	[0.237]		[0.092]		[0.120]	[0.082]		[0.092]	
Parma							0.092			
							[0.056]			
Reggio								-0.123		0.081
								[0.080]		[0.073]
nidoXreggio								0.105		0.093
								[0.156]		[0.135]
Padova									-0.050	
									[0.054]	
Constant	0.613	0.610	0.784	-0.279	-0.336	0.361	0.033	-0.122	0.346	0.450
	[0.578]	[0.600]	[0.608]	[0.369]	[0.471]	[0.488]	[0.425]	[0.513]	[0.419]	[0.476]
										
Observations	309	309	307	725	722	725	597	593	586	583
R-squared	0.059	0.059	0.069	0.086	0.126	0.101	0.064	0.095	0.076	0.119
Sample	Reggio	Reggio	Reggio	RAvsPrPd	RAvsPP	RAvsPP	RePr	RePr	RePd	RePd
Mean	.5600000000000001	.5600000000000001	.5600000000000001	.5600000000000001	.5600000000000001	.5600000000000001	.5600000000000001	.5600000000000001	.5600000000000001	.5600000000000001
Robust standard errors in brackets										
*** p<0.01, ** p<0.05, * p<0.1										
Mean = average of the y-variable for the whole sample considered. Sample: Reggio = only respondents in the city of Reggio Emilia. RAvsPrPd = Reggio Approach and all the respondents in Parma and Padova. RePr= all of the respondents in Reggio Emilia and Parma. RePd= all of the respondents in Reggio Emilia and Padova. Estimation Procedure: OLS = Ordinary Least Square; IV = Instrumental variable approach; CF = control function approach										
cubic polynomial or residuals. PSM = simple propensity score matching. PSM2 = propensity sore matching using both demand and supply. DiD = differences-in-differences approach										
municipal schools vs other schools across different cities										
