	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)	(10)
VARIABLES	OLS	IV	CF	OLS	PSM	PSM2	OLS	DiD Pr	OLS	DiD Pd
										
ReggioMaterna	0.033	-0.113	-0.205	0.008	-0.015	0.035	0.041	-0.093	0.047	0.177
	[0.059]	[0.237]	[0.245]	[0.046]	[0.063]	[0.060]	[0.058]	[0.093]	[0.057]	[0.114]
unobs			0.379							
			[0.388]							
unobs2			0.174							
			[0.222]							
unobs3			-0.383							
			[0.611]							
Age	0.004	0.008	0.007	0.102*	0.402***	0.322***	0.070	0.061	0.046	-0.134
	[0.084]	[0.084]	[0.084]	[0.054]	[0.131]	[0.087]	[0.061]	[0.096]	[0.059]	[0.114]
Male	0.002	0.004	-0.001	-0.102***	-0.358***	0.218***	-0.057	-0.022	-0.054	-0.033
	[0.059]	[0.060]	[0.060]	[0.036]	[0.093]	[0.062]	[0.040]	[0.050]	[0.042]	[0.051]
poorBHealth	-0.183**	-0.175*	-0.174*	-0.062	-0.174*	0.009	-0.113*	-0.131*	-0.164**	0.159
	[0.091]	[0.095]	[0.093]	[0.060]	[0.100]	[0.071]	[0.064]	[0.073]	[0.069]	[0.195]
oldsibs	0.070	0.036	0.050	0.033	-0.013	0.091	0.077	0.122	0.052	0.183
	[0.153]	[0.162]	[0.165]	[0.098]	[0.144]	[0.146]	[0.111]	[0.127]	[0.105]	[0.126]
momMaxEdu_Uni_F	0.034	0.035	0.045	0.068*	0.335**	0.264***	0.034	0.126**	0.071	0.290**
	[0.074]	[0.075]	[0.074]	[0.041]	[0.165]	[0.102]	[0.047]	[0.060]	[0.051]	[0.118]
dadMaxEdu_Uni_F	0.037	0.031	0.031	0.025	0.416**	0.127	0.028	0.005	0.051	0.363***
	[0.078]	[0.079]	[0.079]	[0.044]	[0.185]	[0.124]	[0.050]	[0.083]	[0.054]	[0.093]
momMaxEdu_Uni_Miss	-0.023	-0.043	-0.023	-0.181	-0.020	-0.046	0.076	0.008	-0.066	0.068
	[0.201]	[0.177]	[0.210]	[0.202]	[0.258]	[0.299]	[0.163]	[0.216]	[0.189]	[0.192]
dadMaxEdu_Uni_Miss	-0.115	-0.095	-0.101	-0.101	-0.033	-0.191***	-0.025	-0.079	-0.157**	-0.174*
	[0.105]	[0.111]	[0.110]	[0.065]	[0.147]	[0.044]	[0.074]	[0.076]	[0.071]	[0.103]
HighInc_F	-0.030	-0.019	-0.018	-0.051	-0.194**	-0.030	-0.026	0.015	-0.069	-0.226***
	[0.080]	[0.083]	[0.082]	[0.050]	[0.085]	[0.070]	[0.054]	[0.082]	[0.061]	[0.087]
HighInc_Miss	-0.099	-0.095	-0.096	-0.202***	-0.226	-0.102	-0.136***	-0.045	-0.168***	-0.202***
	[0.075]	[0.076]	[0.075]	[0.044]	[0.152]	[0.080]	[0.053]	[0.050]	[0.048]	[0.065]
houseOwn_F	-0.055	-0.068	-0.070	0.051	-0.153	-0.170	0.013	0.060	0.013	0.005
	[0.060]	[0.062]	[0.063]	[0.040]	[0.123]	[0.112]	[0.044]	[0.067]	[0.043]	[0.038]
o.houseOwn_Miss			-		-			-		-
										
distCenter	0.013	0.011	0.012	0.019**	0.066***	0.034**	0.020**	0.053***	0.015	-0.009
	[0.011]	[0.012]	[0.012]	[0.009]	[0.025]	[0.014]	[0.008]	[0.014]	[0.010]	[0.013]
cgRelig_F	-0.075	-0.100	-0.122	0.042	-0.203***	0.363***	0.003	-0.039	-0.011	0.023
	[0.085]	[0.092]	[0.091]	[0.053]	[0.078]	[0.064]	[0.061]	[0.069]	[0.059]	[0.086]
cgRelig_Miss	0.063	0.066	0.100	0.056	0.009	0.131*	0.260	0.438***	-0.022	-0.102
	[0.307]	[0.285]	[0.289]	[0.121]	[0.097]	[0.074]	[0.164]	[0.123]	[0.133]	[0.119]
CAPI	-0.061	-0.045	-0.042	-0.069*	-0.622***	-0.537***	-0.076*	-0.100**	-0.064	-0.237***
	[0.061]	[0.067]	[0.066]	[0.036]	[0.194]	[0.082]	[0.040]	[0.043]	[0.042]	[0.083]
houseOwn_Miss	-0.602***	-0.672***		-0.499***		-0.825***	-0.634***		-0.446***	
	[0.099]	[0.144]		[0.084]		[0.224]	[0.062]		[0.079]	
Parma							0.115**			
							[0.051]			
Reggio								-0.035		0.072
								[0.075]		[0.070]
materna_Municipal								0.127*		-0.141
								[0.070]		[0.092]
Padova									-0.035	
									[0.053]	
Constant	0.646	0.722	0.752	-0.091	-1.602*	-1.856***	0.101	0.060	0.306	1.469**
	[0.582]	[0.596]	[0.601]	[0.368]	[0.912]	[0.514]	[0.426]	[0.668]	[0.413]	[0.731]
										
Observations	307	307	306	726	723	723	592	589	582	580
R-squared	0.047	0.026	0.049	0.080	0.997	0.706	0.061	0.408	0.069	0.654
Sample	Reggio	Reggio	Reggio	RAvsPrPd	RAvsPP	RAvsPP	RePr	RePr	RePd	RePd
Mean	.5600000000000001	.5600000000000001	.5600000000000001	.5600000000000001	.5600000000000001	.5600000000000001	.5600000000000001	.5600000000000001	.5600000000000001	.5600000000000001
Robust standard errors in brackets										
*** p<0.01, ** p<0.05, * p<0.1										
Mean = average of the y-variable for the whole sample considered. Sample: Reggio = only respondents in the city of Reggio Emilia. RAvsPrPd = Reggio Approach and all the respondents in Parma and Padova. RePr= all of the respondents in Reggio Emilia and Parma. RePd= all of the respondents in Reggio Emilia and Padova. Estimation Procedure: OLS = Ordinary Least Square; IV = Instrumental variable approach; CF = control function approach										
cubic polynomial or residuals. PSM = simple propensity score matching. PSM2 = propensity sore matching using both demand and supply. DiD = differences-in-differences approach										
municipal schools vs other schools across different cities										
