	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)	(10)
VARIABLES	OLS	IV	CF	OLS	PSM	PSM2	OLS	DiD Pr	OLS	DiD Pd
										
ReggioAsilo	0.019	1.326	0.160	0.092**	0.049	0.108**	0.087	-0.271*	0.127*	0.114
	[0.095]	[1.036]	[0.260]	[0.045]	[0.049]	[0.053]	[0.065]	[0.139]	[0.068]	[0.136]
asilo_Municipal								0.215**		-0.154
								[0.098]		[0.098]
nido	0.079	-1.001	0.085	-0.025	0.014	-0.057	0.014	-0.137	-0.032	-0.029
	[0.101]	[0.871]	[0.102]	[0.042]	[0.053]	[0.060]	[0.048]	[0.104]	[0.055]	[0.091]
unobs			-0.113							
			[0.385]							
unobs2			-0.169							
			[0.147]							
unobs3			-0.152							
			[0.484]							
Age	0.017	0.045	0.024	0.071	0.019	0.026	0.013	0.025	0.024	-0.021
	[0.078]	[0.105]	[0.078]	[0.052]	[0.067]	[0.071]	[0.055]	[0.068]	[0.058]	[0.064]
Male	-0.172***	-0.181**	-0.189***	-0.212***	-0.189***	-0.206***	-0.197***	-0.190***	-0.196***	-0.208***
	[0.054]	[0.072]	[0.059]	[0.034]	[0.041]	[0.042]	[0.037]	[0.039]	[0.040]	[0.044]
poorBHealth	-0.022	-0.065	-0.068	-0.041	0.004	-0.025	-0.013	0.065	-0.025	-0.054
	[0.090]	[0.124]	[0.098]	[0.058]	[0.075]	[0.068]	[0.062]	[0.065]	[0.066]	[0.070]
oldsibs	0.034	0.183	0.080	0.086	0.128*	0.096	0.050	0.117*	0.076	0.141**
	[0.075]	[0.155]	[0.088]	[0.081]	[0.066]	[0.086]	[0.062]	[0.064]	[0.070]	[0.065]
momMaxEdu_Uni_F	0.001	-0.014	-0.029	-0.034	-0.070	-0.125**	-0.037	-0.084*	-0.013	0.003
	[0.068]	[0.096]	[0.071]	[0.040]	[0.052]	[0.060]	[0.043]	[0.049]	[0.049]	[0.054]
dadMaxEdu_Uni_F	0.060	0.214	0.080	0.013	0.072	0.096	0.026	0.055	0.055	0.066
	[0.073]	[0.157]	[0.073]	[0.043]	[0.055]	[0.062]	[0.045]	[0.053]	[0.051]	[0.056]
momMaxEdu_Uni_Miss	-0.062	-0.079	-0.014	-0.106	-0.264*	-0.231	-0.014	-0.138	-0.007	-0.080
	[0.213]	[0.244]	[0.200]	[0.189]	[0.154]	[0.171]	[0.166]	[0.184]	[0.190]	[0.204]
dadMaxEdu_Uni_Miss	0.078	-0.007	0.064	-0.017	0.076	0.060	0.064	0.146**	-0.039	0.022
	[0.092]	[0.117]	[0.093]	[0.063]	[0.083]	[0.078]	[0.067]	[0.069]	[0.068]	[0.074]
HighInc_F	0.032	0.076	0.040	-0.028	0.049	-0.080	0.055	0.086	-0.036	-0.026
	[0.070]	[0.107]	[0.070]	[0.050]	[0.069]	[0.057]	[0.050]	[0.060]	[0.059]	[0.063]
HighInc_Miss	-0.152**	-0.088	-0.109	-0.124***	-0.175***	-0.157***	-0.082*	-0.117**	-0.117**	-0.149***
	[0.072]	[0.107]	[0.086]	[0.045]	[0.056]	[0.052]	[0.050]	[0.056]	[0.050]	[0.053]
houseOwn_F	0.064	0.124	0.081	0.008	0.070	0.062	0.029	0.039	0.014	0.016
	[0.056]	[0.081]	[0.058]	[0.038]	[0.048]	[0.051]	[0.040]	[0.046]	[0.042]	[0.045]
o.houseOwn_Miss			-		-			-		-
										
distCenter	0.011	0.011	0.007	-0.011	-0.007	-0.018	0.001	-0.002	-0.001	-0.010
	[0.011]	[0.014]	[0.011]	[0.009]	[0.013]	[0.013]	[0.008]	[0.010]	[0.010]	[0.011]
cgRelig_F	0.059	0.036	0.075	0.057	0.037	0.079	0.022	-0.020	0.081	0.084
	[0.078]	[0.095]	[0.079]	[0.050]	[0.072]	[0.068]	[0.054]	[0.064]	[0.056]	[0.061]
cgRelig_Miss	0.296**	0.517	0.327**	-0.136	-0.033	-0.042	-0.019	-0.046	-0.009	-0.049
	[0.128]	[0.450]	[0.134]	[0.117]	[0.151]	[0.140]	[0.172]	[0.142]	[0.120]	[0.122]
CAPI	-0.049	-0.067	-0.054	-0.050	-0.140***	-0.102**	-0.030	-0.078*	-0.070*	-0.128***
	[0.056]	[0.077]	[0.056]	[0.035]	[0.048]	[0.050]	[0.038]	[0.044]	[0.040]	[0.044]
houseOwn_Miss	-0.623***	-0.336		-0.256		-0.403**	-0.345*		-0.467***	
	[0.181]	[0.339]		[0.223]		[0.179]	[0.196]		[0.085]	
Parma							0.111**			
							[0.053]			
Reggio								-0.126*		0.038
								[0.072]		[0.066]
nidoXreggio								0.285**		0.161
								[0.145]		[0.133]
Padova									-0.084	
									[0.053]	
Constant	0.500	0.248	0.398	0.334	0.658	0.665	0.611	0.698	0.560	0.863**
	[0.539]	[0.739]	[0.561]	[0.351]	[0.448]	[0.475]	[0.378]	[0.461]	[0.400]	[0.425]
										
Observations	309	309	307	725	722	725	597	593	586	583
R-squared	0.102	-0.515	0.100	0.090	0.116	0.107	0.080	0.132	0.104	0.174
Sample	Reggio	Reggio	Reggio	RAvsPrPd	RAvsPP	RAvsPP	RePr	RePr	RePd	RePd
Mean	.66	.66	.66	.66	.66	.66	.66	.66	.66	.66
Robust standard errors in brackets										
*** p<0.01, ** p<0.05, * p<0.1										
Mean = average of the y-variable for the whole sample considered. Sample: Reggio = only respondents in the city of Reggio Emilia. RAvsPrPd = Reggio Approach and all the respondents in Parma and Padova. RePr= all of the respondents in Reggio Emilia and Parma. RePd= all of the respondents in Reggio Emilia and Padova. Estimation Procedure: OLS = Ordinary Least Square; IV = Instrumental variable approach; CF = control function approach										
cubic polynomial or residuals. PSM = simple propensity score matching. PSM2 = propensity sore matching using both demand and supply. DiD = differences-in-differences approach										
municipal schools vs other schools across different cities										
