	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)	(10)
VARIABLES	OLS	IV	CF	OLS	PSM	PSM2	OLS	DiD Pr	OLS	DiD Pd
										
ReggioAsilo	0.018	0.490	0.049	0.090**	0.037	-0.380*	0.080	-0.307**	0.127*	0.066
	[0.095]	[0.740]	[0.230]	[0.045]	[0.051]	[0.196]	[0.065]	[0.137]	[0.068]	[0.140]
asilo_Municipal								0.215**		-0.149
								[0.099]		[0.106]
nido	0.079	-0.313	0.080	-0.018	0.053	0.496***	0.021	-0.087	-0.035	-0.011
	[0.101]	[0.620]	[0.101]	[0.042]	[0.061]	[0.180]	[0.048]	[0.106]	[0.055]	[0.097]
unobs			0.113							
			[0.334]							
unobs2			-0.152							
			[0.146]							
unobs3			-0.461							
			[0.434]							
Age	0.023	0.030	0.025	0.064	0.033	0.620*	0.007	0.057	0.027	-0.014
	[0.078]	[0.083]	[0.078]	[0.052]	[0.074]	[0.318]	[0.055]	[0.074]	[0.058]	[0.068]
Male	-0.176***	-0.179***	-0.189***	-0.216***	-0.192***	-0.025	-0.205***	-0.194***	-0.198***	-0.227***
	[0.055]	[0.057]	[0.058]	[0.034]	[0.044]	[0.303]	[0.036]	[0.039]	[0.040]	[0.046]
poorBHealth	-0.026	-0.043	-0.060	-0.042	-0.003	-0.065	-0.015	0.090	-0.029	-0.074
	[0.090]	[0.096]	[0.095]	[0.058]	[0.077]	[0.182]	[0.062]	[0.056]	[0.066]	[0.070]
oldsibs	0.068	0.164	0.084	0.128	0.019	0.020	0.083	0.147*	0.141	0.094
	[0.128]	[0.182]	[0.128]	[0.079]	[0.130]	[0.367]	[0.087]	[0.081]	[0.088]	[0.124]
momMaxEdu_Uni_F	-0.001	-0.006	-0.028	-0.039	-0.072	-0.279	-0.047	-0.086*	-0.014	0.017
	[0.068]	[0.073]	[0.071]	[0.040]	[0.056]	[0.202]	[0.043]	[0.052]	[0.049]	[0.056]
dadMaxEdu_Uni_F	0.057	0.113	0.070	0.014	0.133**	0.868***	0.026	0.074	0.054	0.055
	[0.073]	[0.115]	[0.073]	[0.043]	[0.064]	[0.148]	[0.045]	[0.057]	[0.051]	[0.058]
momMaxEdu_Uni_Miss	-0.063	-0.068	-0.013	-0.108	-0.305**	-0.546*	-0.013	-0.136	-0.008	-0.056
	[0.214]	[0.222]	[0.196]	[0.186]	[0.139]	[0.283]	[0.165]	[0.193]	[0.190]	[0.230]
dadMaxEdu_Uni_Miss	0.074	0.042	0.068	-0.019	0.034	-0.444	0.056	0.138**	-0.040	0.017
	[0.092]	[0.105]	[0.094]	[0.063]	[0.103]	[0.290]	[0.067]	[0.070]	[0.068]	[0.073]
HighInc_F	0.033	0.050	0.038	-0.022	0.001	-0.564***	0.064	0.058	-0.036	-0.055
	[0.070]	[0.082]	[0.071]	[0.050]	[0.074]	[0.076]	[0.049]	[0.066]	[0.059]	[0.065]
HighInc_Miss	-0.145**	-0.121	-0.104	-0.122***	-0.186***	0.397	-0.072	-0.114**	-0.113**	-0.137**
	[0.072]	[0.087]	[0.084]	[0.045]	[0.063]	[0.525]	[0.050]	[0.055]	[0.050]	[0.054]
houseOwn_F	0.067	0.089	0.084	0.012	0.105*	0.506***	0.034	0.030	0.017	0.044
	[0.056]	[0.065]	[0.058]	[0.038]	[0.055]	[0.134]	[0.041]	[0.046]	[0.042]	[0.046]
o.houseOwn_Miss			-		-			-		-
										
distCenter	0.010	0.009	0.006	-0.011	0.008	-0.091**	0.000	0.010	-0.002	-0.012
	[0.011]	[0.012]	[0.011]	[0.009]	[0.014]	[0.036]	[0.008]	[0.009]	[0.010]	[0.011]
cgRelig_F	0.059	0.051	0.071	0.058	0.088	0.104	0.023	-0.033	0.081	0.096
	[0.078]	[0.079]	[0.079]	[0.050]	[0.081]	[0.274]	[0.054]	[0.062]	[0.057]	[0.062]
cgRelig_Miss	0.355***	0.401	0.320**	-0.108	-0.044	0.040	0.138	-0.064	-0.006	-0.089
	[0.122]	[0.246]	[0.127]	[0.119]	[0.169]	[0.544]	[0.155]	[0.162]	[0.125]	[0.110]
CAPI	-0.043	-0.049	-0.048	-0.053	-0.151***	-0.350**	-0.031	-0.079*	-0.068*	-0.109**
	[0.056]	[0.060]	[0.056]	[0.035]	[0.055]	[0.136]	[0.038]	[0.043]	[0.040]	[0.046]
houseOwn_Miss	-0.435***	-0.428***		-0.253		-0.788	-0.285		-0.436***	
	[0.091]	[0.095]		[0.223]		[0.489]	[0.224]		[0.071]	
Parma							0.111**			
							[0.053]			
Reggio								-0.115		0.058
								[0.077]		[0.067]
nidoXreggio								0.275*		0.191
								[0.144]		[0.135]
Padova									-0.089*	
									[0.053]	
Constant	0.462	0.390	0.457	0.384	0.435	-3.679*	0.657*	0.445	0.544	0.774*
	[0.539]	[0.572]	[0.559]	[0.351]	[0.490]	[1.983]	[0.376]	[0.504]	[0.400]	[0.454]
										
Observations	307	307	306	723	720	723	593	590	584	582
R-squared	0.097	0.016	0.099	0.091	0.142	0.974	0.082	0.147	0.104	0.214
Sample	Reggio	Reggio	Reggio	RAvsPrPd	RAvsPP	RAvsPP	RePr	RePr	RePd	RePd
Mean	.66	.66	.66	.66	.66	.66	.66	.66	.66	.66
Robust standard errors in brackets										
*** p<0.01, ** p<0.05, * p<0.1										
Mean = average of the y-variable for the whole sample considered. Sample: Reggio = only respondents in the city of Reggio Emilia. RAvsPrPd = Reggio Approach and all the respondents in Parma and Padova. RePr= all of the respondents in Reggio Emilia and Parma. RePd= all of the respondents in Reggio Emilia and Padova. Estimation Procedure: OLS = Ordinary Least Square; IV = Instrumental variable approach; CF = control function approach										
cubic polynomial or residuals. PSM = simple propensity score matching. PSM2 = propensity sore matching using both demand and supply. DiD = differences-in-differences approach										
municipal schools vs other schools across different cities										
