	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)	(10)
VARIABLES	OLS	IV	CF	OLS	PSM	PSM2	OLS	DiD Pr	OLS	DiD Pd
										
ReggioAsilo	0.014	0.068	0.089	0.039	0.030	0.021	0.002	0.026	0.030	0.119
	[0.049]	[0.345]	[0.111]	[0.026]	[0.032]	[0.032]	[0.038]	[0.055]	[0.038]	[0.091]
asilo_Municipal								-0.027		-0.123*
								[0.031]		[0.074]
nido	0.025	-0.020	0.023	0.036	0.046	0.038	0.039	0.079*	0.023	0.042
	[0.052]	[0.288]	[0.054]	[0.029]	[0.034]	[0.036]	[0.033]	[0.041]	[0.033]	[0.052]
unobs			-0.079							
			[0.141]							
unobs2			-0.039							
			[0.096]							
unobs3			-0.008							
			[0.196]							
Age	0.087*	0.088*	0.089**	0.063*	0.064	0.091**	0.031	0.034	0.097***	0.131**
	[0.044]	[0.045]	[0.045]	[0.033]	[0.044]	[0.046]	[0.033]	[0.034]	[0.037]	[0.055]
Male	0.022	0.022	0.014	0.011	-0.002	0.006	0.013	0.017	0.019	-0.019
	[0.030]	[0.031]	[0.035]	[0.023]	[0.027]	[0.027]	[0.024]	[0.026]	[0.025]	[0.034]
poorBHealth	-0.024	-0.026	-0.042	0.019	-0.007	0.006	0.036	0.067**	-0.006	-0.065
	[0.056]	[0.062]	[0.070]	[0.033]	[0.055]	[0.042]	[0.031]	[0.028]	[0.044]	[0.083]
oldsibs	-0.076	-0.070	-0.068	0.018	0.040	0.009	-0.096	-0.054	-0.038	0.006
	[0.074]	[0.091]	[0.084]	[0.043]	[0.033]	[0.067]	[0.065]	[0.064]	[0.054]	[0.050]
momMaxEdu_Uni_F	-0.017	-0.018	-0.027	-0.021	0.014	0.009	-0.007	0.016	-0.033	0.007
	[0.028]	[0.030]	[0.032]	[0.026]	[0.033]	[0.030]	[0.027]	[0.029]	[0.027]	[0.046]
dadMaxEdu_Uni_F	0.043	0.049	0.050*	0.038	0.053*	0.033	0.044*	0.027	0.035	0.037
	[0.029]	[0.048]	[0.028]	[0.026]	[0.030]	[0.031]	[0.026]	[0.025]	[0.027]	[0.042]
momMaxEdu_Uni_Miss	-0.152	-0.153	-0.137	0.069**	0.080**	0.072**	-0.076	-0.045	-0.106	-0.030
	[0.165]	[0.165]	[0.166]	[0.031]	[0.032]	[0.030]	[0.119]	[0.098]	[0.142]	[0.114]
dadMaxEdu_Uni_Miss	0.019	0.015	0.013	0.031	0.011	-0.005	0.031	0.030	-0.011	-0.054
	[0.062]	[0.064]	[0.062]	[0.036]	[0.074]	[0.062]	[0.043]	[0.049]	[0.045]	[0.077]
HighInc_F	-0.018	-0.016	-0.015	-0.018	-0.018	-0.057	-0.028	-0.018	-0.010	-0.021
	[0.039]	[0.038]	[0.039]	[0.031]	[0.030]	[0.039]	[0.032]	[0.029]	[0.033]	[0.040]
HighInc_Miss	0.037	0.040	0.055	0.038	-0.005	0.027	0.034	0.026	0.046*	0.035
	[0.035]	[0.039]	[0.044]	[0.025]	[0.033]	[0.029]	[0.026]	[0.026]	[0.027]	[0.030]
houseOwn_F	0.011	0.014	0.018	-0.009	0.023	0.019	-0.022	-0.018	0.019	0.060*
	[0.031]	[0.040]	[0.033]	[0.024]	[0.037]	[0.033]	[0.024]	[0.025]	[0.026]	[0.036]
o.houseOwn_Miss			-		-			-		-
										
distCenter	0.002	0.002	0.001	0.004	0.005	0.002	0.002	0.003	0.002	0.003
	[0.007]	[0.007]	[0.008]	[0.006]	[0.006]	[0.006]	[0.005]	[0.005]	[0.006]	[0.009]
cgRelig_F	-0.058**	-0.059**	-0.052*	-0.011	0.044	-0.004	-0.005	-0.008	-0.053*	-0.015
	[0.028]	[0.029]	[0.029]	[0.031]	[0.048]	[0.041]	[0.034]	[0.034]	[0.028]	[0.054]
cgRelig_Miss	0.027	0.036	0.006	-0.224**	-0.028	-0.120	-0.121	0.039	-0.268**	-0.250*
	[0.042]	[0.065]	[0.042]	[0.112]	[0.109]	[0.101]	[0.133]	[0.057]	[0.115]	[0.142]
CAPI	0.019	0.018	0.016	-0.006	-0.028	0.021	0.023	0.025	-0.017	-0.034
	[0.033]	[0.033]	[0.033]	[0.023]	[0.033]	[0.028]	[0.023]	[0.024]	[0.025]	[0.034]
houseOwn_Miss	-0.950***	-0.938***		0.086***		0.103***	-0.367		-0.548*	
	[0.071]	[0.109]		[0.026]		[0.037]	[0.245]		[0.285]	
Parma							-0.024			
							[0.033]			
Reggio								0.035		0.010
								[0.047]		[0.046]
nidoXreggio								-0.046		0.002
								[0.064]		[0.075]
Padova									-0.026	
									[0.031]	
Constant	0.328	0.318	0.279	0.431*	0.361	0.216	0.672***	0.607**	0.262	-0.001
	[0.302]	[0.310]	[0.309]	[0.224]	[0.305]	[0.338]	[0.230]	[0.241]	[0.256]	[0.368]
										
Observations	309	309	307	725	722	725	597	593	586	583
R-squared	0.128	0.125	0.054	0.036	0.034	0.026	0.047	0.036	0.072	0.103
Sample	Reggio	Reggio	Reggio	RAvsPrPd	RAvsPP	RAvsPP	RePr	RePr	RePd	RePd
Mean	.9300000000000001	.9300000000000001	.9300000000000001	.9300000000000001	.9300000000000001	.9300000000000001	.9300000000000001	.9300000000000001	.9300000000000001	.9300000000000001
Robust standard errors in brackets										
*** p<0.01, ** p<0.05, * p<0.1										
Mean = average of the y-variable for the whole sample considered. Sample: Reggio = only respondents in the city of Reggio Emilia. RAvsPrPd = Reggio Approach and all the respondents in Parma and Padova. RePr= all of the respondents in Reggio Emilia and Parma. RePd= all of the respondents in Reggio Emilia and Padova. Estimation Procedure: OLS = Ordinary Least Square; IV = Instrumental variable approach; CF = control function approach										
cubic polynomial or residuals. PSM = simple propensity score matching. PSM2 = propensity sore matching using both demand and supply. DiD = differences-in-differences approach										
municipal schools vs other schools across different cities										
