	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)	(10)
VARIABLES	OLS	IV	CF	OLS	PSM	PSM2	OLS	DiD Pr	OLS	DiD Pd
										
ReggioMaterna	0.002	-0.044	0.070	-0.003	0.003	-0.003	0.002	0.051	0.008	-0.056
	[0.036]	[0.198]	[0.302]	[0.028]	[0.028]	[0.028]	[0.036]	[0.050]	[0.037]	[0.066]
unobsM			-0.123							
			[0.427]							
unobsM2			0.343**							
			[0.149]							
unobsM3			0.262							
			[0.474]							
Age	-0.005	-0.009	0.005	0.072**	0.123**	0.069*	0.000	-0.024	0.044	0.133**
	[0.060]	[0.063]	[0.062]	[0.037]	[0.059]	[0.036]	[0.039]	[0.037]	[0.044]	[0.066]
Male	0.007	0.006	0.003	-0.042*	-0.055*	-0.047*	-0.024	-0.017	-0.027	-0.028
	[0.037]	[0.038]	[0.038]	[0.024]	[0.032]	[0.024]	[0.027]	[0.026]	[0.028]	[0.034]
poorBHealth	-0.001	-0.005	0.010	-0.016	0.011	-0.020	-0.026	-0.035	-0.011	0.036
	[0.069]	[0.071]	[0.068]	[0.042]	[0.046]	[0.043]	[0.045]	[0.045]	[0.051]	[0.044]
oldsibs	0.008	0.007	0.009	0.013	0.037	0.015	0.002	0.006	0.019	0.047
	[0.041]	[0.041]	[0.040]	[0.024]	[0.027]	[0.023]	[0.028]	[0.026]	[0.029]	[0.034]
momMaxEdu_Uni_F	-0.063	-0.068	-0.048	-0.016	-0.015	-0.011	-0.035	-0.029	-0.034	-0.028
	[0.055]	[0.058]	[0.058]	[0.034]	[0.044]	[0.033]	[0.037]	[0.038]	[0.039]	[0.050]
dadMaxEdu_Uni_F	0.084	0.087	0.082	-0.037	-0.056	-0.041	0.035	0.046	-0.004	-0.030
	[0.056]	[0.058]	[0.058]	[0.036]	[0.048]	[0.035]	[0.038]	[0.040]	[0.043]	[0.054]
momMaxEdu_Uni_Miss	0.086	0.084	0.076	-0.037	-0.038	-0.047	0.086***	0.074***	-0.037	-0.015
	[0.057]	[0.059]	[0.065]	[0.086]	[0.090]	[0.090]	[0.032]	[0.027]	[0.089]	[0.087]
dadMaxEdu_Uni_Miss	0.046	0.051	0.048	-0.016	-0.074	-0.013	0.040	0.055**	-0.010	-0.123
	[0.049]	[0.055]	[0.053]	[0.037]	[0.075]	[0.036]	[0.032]	[0.026]	[0.044]	[0.091]
HighInc_F	-0.064	-0.060	-0.066	-0.027	-0.056	-0.024	-0.053	-0.063*	-0.048	-0.091*
	[0.051]	[0.053]	[0.053]	[0.034]	[0.039]	[0.033]	[0.035]	[0.036]	[0.041]	[0.048]
HighInc_Miss	-0.006	-0.003	-0.008	-0.007	-0.041	-0.009	-0.033	-0.030	-0.000	-0.045
	[0.046]	[0.050]	[0.049]	[0.028]	[0.042]	[0.028]	[0.035]	[0.030]	[0.034]	[0.044]
houseOwn_F	-0.106***	-0.105***	-0.098***	-0.021	-0.014	-0.015	-0.033	-0.028	-0.061**	-0.045
	[0.033]	[0.034]	[0.033]	[0.028]	[0.043]	[0.029]	[0.030]	[0.025]	[0.030]	[0.043]
distCenter	-0.006	-0.006	-0.003	-0.006	-0.002	-0.005	-0.003	0.001	-0.006	-0.002
	[0.008]	[0.008]	[0.008]	[0.007]	[0.006]	[0.006]	[0.006]	[0.005]	[0.007]	[0.007]
cgRelig_F	0.022	0.009	-0.002	0.059	0.083*	0.059	0.036	0.030	0.031	0.072
	[0.051]	[0.069]	[0.068]	[0.038]	[0.049]	[0.038]	[0.040]	[0.037]	[0.041]	[0.054]
o.cgRelig_Miss			-		-			-		-
										
CAPI	-0.008	-0.003	-0.006	0.002	0.006	0.009	0.018	0.019	-0.005	0.008
	[0.037]	[0.043]	[0.042]	[0.024]	[0.031]	[0.024]	[0.027]	[0.026]	[0.028]	[0.035]
cgRelig_Miss	0.132**	0.145*		0.108**		0.106**	0.162***		0.090	
	[0.066]	[0.085]		[0.053]		[0.053]	[0.046]		[0.059]	
Parma							0.034			
							[0.033]			
Reggio								-0.052*		0.069
								[0.031]		[0.047]
materna_Municipal								-0.052		0.056
								[0.035]		[0.055]
Padova									-0.014	
									[0.036]	
Constant	1.071	1.177	0.781	-0.432	-1.388	-0.381	0.906	1.405**	0.136	-1.613
	[1.112]	[1.231]	[1.236]	[0.687]	[1.094]	[0.681]	[0.720]	[0.676]	[0.821]	[1.274]
										
Observations	289	289	288	660	623	660	524	522	555	519
R-squared	0.041	0.036	0.059	0.028	0.069	0.028	0.027	0.038	0.024	0.087
Sample	Reggio	Reggio	Reggio	RAvsPrPd	RAvsPP	RAvsPP	RePr	RePr	RePd	RePd
Mean	.89	.89	.89	.89	.89	.89	.89	.89	.89	.89
Robust standard errors in brackets										
*** p<0.01, ** p<0.05, * p<0.1										
Mean = average of the y-variable for the whole sample considered. Sample: Reggio = only respondents in the city of Reggio Emilia. RAvsPrPd = Reggio Approach and all the respondents in Parma and Padova. RePr= all of the respondents in Reggio Emilia and Parma. RePd= all of the respondents in Reggio Emilia and Padova. Estimation Procedure: OLS = Ordinary Least Square; IV = Instrumental variable approach; CF = control function approach										
cubic polynomial or residuals. PSM = simple propensity score matching. PSM2 = propensity sore matching using both demand and supply. DiD = differences-in-differences approach										
municipal schools vs other schools across different cities										
