	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)	(10)
VARIABLES	OLS	IV	CF	OLS	PSM	PSM2	OLS	DiD Pr	OLS	DiD Pd
										
ReggioAsilo	0.064	-0.161	0.203	0.042	0.055	0.021	0.225***	0.056	0.071	0.020
	[0.096]	[0.687]	[0.258]	[0.045]	[0.051]	[0.052]	[0.068]	[0.145]	[0.065]	[0.127]
asilo_Municipal								-0.088		-0.023
								[0.112]		[0.085]
nido	0.127	0.313	0.101	-0.006	-0.018	-0.015	-0.038	-0.059	0.113**	0.120
	[0.101]	[0.573]	[0.105]	[0.041]	[0.049]	[0.054]	[0.050]	[0.113]	[0.050]	[0.075]
unobs			-0.140							
			[0.370]							
unobs2			0.354**							
			[0.155]							
unobs3			0.045							
			[0.477]							
Age	-0.093	-0.098	-0.083	0.006	-0.004	0.075	-0.039	-0.012	-0.105*	-0.127**
	[0.082]	[0.084]	[0.081]	[0.051]	[0.063]	[0.062]	[0.058]	[0.079]	[0.056]	[0.057]
Male	0.036	0.038	0.026	0.011	0.020	0.028	0.022	0.013	0.022	0.030
	[0.054]	[0.055]	[0.056]	[0.035]	[0.043]	[0.046]	[0.040]	[0.048]	[0.037]	[0.041]
poorBHealth	0.096	0.103	0.087	0.072	0.082	0.136**	0.078	0.082	0.084	0.147***
	[0.088]	[0.094]	[0.099]	[0.053]	[0.070]	[0.057]	[0.064]	[0.085]	[0.061]	[0.054]
oldsibs	0.012	-0.014	0.014	-0.032	0.005	-0.012	0.021	0.034	0.034	0.034
	[0.101]	[0.132]	[0.115]	[0.074]	[0.072]	[0.086]	[0.083]	[0.084]	[0.065]	[0.062]
momMaxEdu_Uni_F	0.046	0.049	0.050	0.039	0.023	0.037	0.019	0.049	0.054	0.027
	[0.071]	[0.074]	[0.074]	[0.038]	[0.051]	[0.052]	[0.045]	[0.059]	[0.045]	[0.051]
dadMaxEdu_Uni_F	0.064	0.037	0.059	-0.021	-0.044	-0.093	0.013	-0.061	0.004	0.018
	[0.077]	[0.118]	[0.081]	[0.041]	[0.055]	[0.061]	[0.049]	[0.066]	[0.047]	[0.048]
momMaxEdu_Uni_Miss	-0.105	-0.102	-0.116	-0.059	-0.063	-0.038	-0.143	-0.084	-0.042	0.015
	[0.226]	[0.227]	[0.211]	[0.210]	[0.226]	[0.204]	[0.165]	[0.170]	[0.200]	[0.206]
dadMaxEdu_Uni_Miss	-0.051	-0.036	-0.055	-0.181***	-0.176**	-0.183**	-0.178**	-0.236***	-0.130**	-0.121
	[0.099]	[0.108]	[0.099]	[0.064]	[0.075]	[0.080]	[0.076]	[0.088]	[0.065]	[0.078]
HighInc_F	-0.061	-0.069	-0.071	0.013	-0.075	0.090	0.058	-0.044	-0.053	-0.040
	[0.075]	[0.077]	[0.076]	[0.048]	[0.070]	[0.058]	[0.053]	[0.074]	[0.054]	[0.055]
HighInc_Miss	-0.155**	-0.166**	-0.128	0.007	0.031	0.056	0.063	0.096	-0.181***	-0.150***
	[0.069]	[0.076]	[0.080]	[0.043]	[0.046]	[0.048]	[0.049]	[0.059]	[0.047]	[0.050]
houseOwn_F	0.137**	0.127**	0.142**	0.036	-0.008	-0.003	0.052	0.024	0.109***	0.081**
	[0.056]	[0.061]	[0.057]	[0.037]	[0.044]	[0.048]	[0.043]	[0.050]	[0.038]	[0.040]
o.houseOwn_Miss			-		-			-		-
										
distCenter	-0.002	-0.002	0.001	-0.034***	-0.032**	-0.016	-0.022**	-0.024*	-0.011	-0.009
	[0.011]	[0.011]	[0.011]	[0.009]	[0.014]	[0.012]	[0.009]	[0.013]	[0.009]	[0.009]
cgRelig_F	-0.072	-0.068	-0.077	-0.117**	-0.059	-0.100	-0.112**	-0.028	-0.069	-0.049
	[0.073]	[0.073]	[0.075]	[0.046]	[0.071]	[0.065]	[0.054]	[0.088]	[0.050]	[0.055]
cgRelig_Miss	0.160	0.122	0.185*	-0.509***	-0.614***	-0.547***	-0.014	-0.329**	-0.373***	-0.510***
	[0.107]	[0.168]	[0.102]	[0.111]	[0.089]	[0.109]	[0.162]	[0.150]	[0.114]	[0.099]
CAPI	-0.062	-0.059	-0.061	0.014	0.060	0.126***	0.068*	0.070	-0.063*	0.001
	[0.055]	[0.056]	[0.055]	[0.034]	[0.046]	[0.046]	[0.039]	[0.054]	[0.037]	[0.039]
houseOwn_Miss	0.526***	0.477*		0.343***		0.389***	0.495***		0.716***	
	[0.189]	[0.257]		[0.044]		[0.069]	[0.084]		[0.103]	
Parma							0.121**			
							[0.054]			
Reggio								-0.179**		-0.150**
								[0.078]		[0.066]
nidoXreggio								0.305**		0.083
								[0.150]		[0.123]
Padova									0.142***	
									[0.050]	
Constant	1.162**	1.205**	0.958*	0.813**	0.842**	0.241	0.847**	0.801	1.322***	1.572***
	[0.554]	[0.573]	[0.567]	[0.350]	[0.427]	[0.425]	[0.403]	[0.535]	[0.378]	[0.385]
										
Observations	309	309	307	725	722	725	597	593	586	583
R-squared	0.137	0.120	0.151	0.068	0.155	0.077	0.073	0.131	0.165	0.211
Sample	Reggio	Reggio	Reggio	RAvsPrPd	RAvsPP	RAvsPP	RePr	RePr	RePd	RePd
Mean	.62	.62	.62	.62	.62	.62	.62	.62	.62	.62
Robust standard errors in brackets										
*** p<0.01, ** p<0.05, * p<0.1										
Mean = average of the y-variable for the whole sample considered. Sample: Reggio = only respondents in the city of Reggio Emilia. RAvsPrPd = Reggio Approach and all the respondents in Parma and Padova. RePr= all of the respondents in Reggio Emilia and Parma. RePd= all of the respondents in Reggio Emilia and Padova. Estimation Procedure: OLS = Ordinary Least Square; IV = Instrumental variable approach; CF = control function approach										
cubic polynomial or residuals. PSM = simple propensity score matching. PSM2 = propensity sore matching using both demand and supply. DiD = differences-in-differences approach										
municipal schools vs other schools across different cities										
