	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)	(10)
VARIABLES	OLS	IV	CF	OLS	PSM	PSM2	OLS	DiD Pr	OLS	DiD Pd
										
ReggioAsilo	0.057	-0.140	0.015	0.042	0.068	0.163	0.220***	-0.028	0.069	-0.001
	[0.097]	[0.699]	[0.231]	[0.045]	[0.053]	[0.129]	[0.069]	[0.142]	[0.066]	[0.129]
asilo_Municipal								-0.017		-0.003
								[0.110]		[0.087]
nido	0.134	0.298	0.107	-0.000	-0.034	0.068	-0.032	-0.142	0.116**	0.123
	[0.102]	[0.582]	[0.103]	[0.041]	[0.059]	[0.120]	[0.051]	[0.116]	[0.051]	[0.079]
unobs			0.205							
			[0.326]							
unobs2			0.392***							
			[0.150]							
unobs3			-0.395							
			[0.426]							
Age	-0.091	-0.094	-0.090	0.005	0.008	-0.138	-0.042	-0.009	-0.098*	-0.093
	[0.082]	[0.084]	[0.081]	[0.051]	[0.068]	[0.120]	[0.059]	[0.087]	[0.056]	[0.056]
Male	0.036	0.037	0.032	0.010	0.036	0.405**	0.023	0.026	0.017	0.044
	[0.054]	[0.055]	[0.056]	[0.035]	[0.044]	[0.180]	[0.040]	[0.050]	[0.037]	[0.041]
poorBHealth	0.097	0.104	0.100	0.074	0.114	0.148*	0.080	0.104	0.087	0.158***
	[0.089]	[0.094]	[0.095]	[0.053]	[0.078]	[0.084]	[0.064]	[0.091]	[0.061]	[0.055]
oldsibs	-0.003	-0.043	-0.023	-0.043	-0.008	0.348	-0.012	0.008	0.008	-0.028
	[0.159]	[0.206]	[0.159]	[0.092]	[0.113]	[0.287]	[0.124]	[0.130]	[0.090]	[0.103]
momMaxEdu_Uni_F	0.044	0.046	0.055	0.039	0.019	0.084	0.020	0.025	0.052	0.037
	[0.071]	[0.073]	[0.072]	[0.038]	[0.053]	[0.115]	[0.045]	[0.065]	[0.046]	[0.052]
dadMaxEdu_Uni_F	0.063	0.040	0.045	-0.017	-0.053	0.056	0.013	-0.054	0.009	0.026
	[0.077]	[0.118]	[0.079]	[0.041]	[0.064]	[0.113]	[0.049]	[0.072]	[0.048]	[0.049]
momMaxEdu_Uni_Miss	-0.106	-0.105	-0.141	-0.058	-0.082	-0.202	-0.141	-0.027	-0.045	0.039
	[0.226]	[0.226]	[0.204]	[0.210]	[0.258]	[0.244]	[0.166]	[0.202]	[0.201]	[0.229]
dadMaxEdu_Uni_Miss	-0.049	-0.036	-0.048	-0.191***	-0.181**	-0.330*	-0.187**	-0.313***	-0.125*	-0.088
	[0.099]	[0.107]	[0.098]	[0.063]	[0.078]	[0.188]	[0.076]	[0.089]	[0.064]	[0.074]
HighInc_F	-0.062	-0.069	-0.085	0.010	-0.146*	-0.939***	0.056	-0.137	-0.054	-0.032
	[0.075]	[0.078]	[0.075]	[0.048]	[0.083]	[0.061]	[0.053]	[0.087]	[0.054]	[0.056]
HighInc_Miss	-0.157**	-0.167**	-0.149*	0.001	-0.014	0.079	0.060	0.033	-0.187***	-0.145***
	[0.069]	[0.078]	[0.079]	[0.043]	[0.048]	[0.119]	[0.049]	[0.060]	[0.047]	[0.049]
houseOwn_F	0.136**	0.127*	0.134**	0.036	-0.044	-0.216**	0.050	-0.008	0.113***	0.087**
	[0.056]	[0.065]	[0.058]	[0.037]	[0.047]	[0.109]	[0.043]	[0.052]	[0.038]	[0.039]
o.houseOwn_Miss			-		-			-		-
										
distCenter	-0.002	-0.002	0.003	-0.034***	-0.031*	-0.014	-0.022**	-0.023	-0.010	-0.009
	[0.011]	[0.011]	[0.011]	[0.009]	[0.016]	[0.025]	[0.009]	[0.014]	[0.010]	[0.009]
cgRelig_F	-0.072	-0.069	-0.092	-0.118**	-0.059	-0.105	-0.111**	0.020	-0.070	-0.083
	[0.073]	[0.073]	[0.076]	[0.046]	[0.077]	[0.216]	[0.054]	[0.091]	[0.050]	[0.055]
cgRelig_Miss	0.225**	0.205*	0.170	-0.597***	-0.676***	-1.262***	-0.089	-0.325**	-0.432***	-0.551***
	[0.091]	[0.119]	[0.109]	[0.098]	[0.088]	[0.209]	[0.183]	[0.152]	[0.111]	[0.085]
CAPI	-0.062	-0.059	-0.060	0.014	0.026	0.181*	0.069*	0.026	-0.067*	-0.001
	[0.055]	[0.055]	[0.055]	[0.034]	[0.051]	[0.104]	[0.039]	[0.057]	[0.037]	[0.039]
houseOwn_Miss	0.715***	0.712***		0.346***		0.055	0.491***		0.651***	
	[0.089]	[0.089]		[0.045]		[0.251]	[0.076]		[0.085]	
Parma							0.115**			
							[0.054]			
Reggio								-0.197**		-0.115*
								[0.087]		[0.067]
nidoXreggio								0.396**		0.070
								[0.154]		[0.124]
Padova									0.138***	
									[0.051]	
Constant	1.149**	1.179**	1.110*	0.814**	0.825*	1.541**	0.869**	0.848	1.281***	1.328***
	[0.555]	[0.572]	[0.567]	[0.349]	[0.458]	[0.703]	[0.405]	[0.595]	[0.380]	[0.381]
										
Observations	308	308	307	721	718	721	595	592	582	580
R-squared	0.137	0.124	0.157	0.077	0.192	0.984	0.073	0.150	0.170	0.256
Sample	Reggio	Reggio	Reggio	RAvsPrPd	RAvsPP	RAvsPP	RePr	RePr	RePd	RePd
Mean	.62	.62	.62	.62	.62	.62	.62	.62	.62	.62
Robust standard errors in brackets										
*** p<0.01, ** p<0.05, * p<0.1										
Mean = average of the y-variable for the whole sample considered. Sample: Reggio = only respondents in the city of Reggio Emilia. RAvsPrPd = Reggio Approach and all the respondents in Parma and Padova. RePr= all of the respondents in Reggio Emilia and Parma. RePd= all of the respondents in Reggio Emilia and Padova. Estimation Procedure: OLS = Ordinary Least Square; IV = Instrumental variable approach; CF = control function approach										
cubic polynomial or residuals. PSM = simple propensity score matching. PSM2 = propensity sore matching using both demand and supply. DiD = differences-in-differences approach										
municipal schools vs other schools across different cities										
