	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)	(10)
VARIABLES	OLS	IV	CF	OLS	PSM	PSM2	OLS	DiD Pr	OLS	DiD Pd
										
ReggioMaterna	0.080	0.156	0.431**	0.084*	0.106*	0.093**	0.057	0.609***	0.084	0.031
	[0.053]	[0.183]	[0.192]	[0.043]	[0.061]	[0.047]	[0.053]	[0.109]	[0.052]	[0.091]
unobs			-0.602*							
			[0.327]							
unobs2			0.210							
			[0.201]							
unobs3			0.794							
			[0.581]							
Age	-0.023	-0.024	-0.025	0.049	0.151	0.171**	0.040	0.022	-0.036	-0.072
	[0.079]	[0.079]	[0.079]	[0.049]	[0.133]	[0.084]	[0.058]	[0.081]	[0.051]	[0.118]
Male	-0.094*	-0.095*	-0.089	-0.042	-0.118	0.066	-0.082**	-0.083	-0.047	-0.012
	[0.053]	[0.054]	[0.054]	[0.033]	[0.109]	[0.049]	[0.038]	[0.073]	[0.036]	[0.046]
poorBHealth	0.057	0.052	0.054	0.064	0.209*	0.204**	0.065	0.112	0.052	0.313
	[0.087]	[0.087]	[0.089]	[0.059]	[0.125]	[0.102]	[0.065]	[0.100]	[0.063]	[0.195]
oldsibs	0.057	0.074	0.079	-0.001	0.020	0.044	-0.039	0.093	0.049	0.028
	[0.129]	[0.131]	[0.131]	[0.090]	[0.182]	[0.078]	[0.096]	[0.171]	[0.087]	[0.127]
momMaxEdu_Uni_F	0.109	0.108	0.105	0.087**	0.170	-0.107*	0.105**	0.192***	0.054	-0.003
	[0.067]	[0.067]	[0.068]	[0.039]	[0.125]	[0.060]	[0.045]	[0.058]	[0.044]	[0.084]
dadMaxEdu_Uni_F	0.036	0.038	0.043	-0.060	0.499***	0.065	-0.025	0.145**	-0.011	0.167*
	[0.072]	[0.073]	[0.072]	[0.040]	[0.155]	[0.058]	[0.048]	[0.064]	[0.046]	[0.098]
momMaxEdu_Uni_Miss	0.000	0.011	-0.025	-0.060	0.145	-0.035	0.017	0.061	-0.068	-0.007
	[0.154]	[0.162]	[0.162]	[0.174]	[0.311]	[0.236]	[0.155]	[0.172]	[0.140]	[0.192]
dadMaxEdu_Uni_Miss	-0.038	-0.049	-0.049	-0.027	0.472***	-0.102**	-0.025	0.281***	-0.020	-0.165
	[0.098]	[0.099]	[0.101]	[0.062]	[0.139]	[0.049]	[0.075]	[0.095]	[0.064]	[0.112]
HighInc_F	-0.002	-0.008	-0.009	0.004	0.360**	-0.033	0.025	0.186**	-0.008	-0.114
	[0.077]	[0.079]	[0.078]	[0.049]	[0.178]	[0.039]	[0.052]	[0.075]	[0.057]	[0.087]
HighInc_Miss	-0.145**	-0.146**	-0.151**	-0.086**	-0.310**	-0.132*	-0.094**	-0.080	-0.139***	-0.261***
	[0.065]	[0.066]	[0.065]	[0.038]	[0.125]	[0.071]	[0.046]	[0.064]	[0.040]	[0.068]
houseOwn_F	0.036	0.043	0.039	-0.007	-0.090	0.147**	-0.037	0.051	0.050	0.014
	[0.056]	[0.059]	[0.059]	[0.037]	[0.093]	[0.060]	[0.042]	[0.054]	[0.038]	[0.050]
o.houseOwn_Miss			-		-			-		-
										
distCenter	0.000	0.001	0.003	-0.011	0.053***	0.019	-0.008	0.021**	-0.001	0.013
	[0.010]	[0.010]	[0.010]	[0.009]	[0.018]	[0.012]	[0.008]	[0.010]	[0.008]	[0.014]
cgRelig_F	-0.005	0.008	0.010	-0.032	-0.038	0.126**	-0.011	0.019	-0.018	-0.187*
	[0.079]	[0.083]	[0.083]	[0.050]	[0.093]	[0.054]	[0.057]	[0.060]	[0.054]	[0.105]
cgRelig_Miss	-0.017	-0.019	-0.003	0.003	0.488***	0.160**	0.162	0.374***	-0.022	-0.188
	[0.245]	[0.240]	[0.283]	[0.103]	[0.149]	[0.078]	[0.180]	[0.091]	[0.091]	[0.137]
CAPI	-0.009	-0.017	-0.011	-0.034	-0.488***	-0.170**	0.045	0.022	-0.080**	-0.159*
	[0.057]	[0.060]	[0.061]	[0.033]	[0.127]	[0.068]	[0.038]	[0.047]	[0.036]	[0.082]
houseOwn_Miss	-0.065	-0.029		-0.193***		-0.162***	-0.227***		-0.087	
	[0.141]	[0.156]		[0.064]		[0.062]	[0.073]		[0.068]	
Parma							0.014			
							[0.047]			
Reggio								-0.274***		0.026
								[0.080]		[0.057]
materna_Municipal								-0.535***		0.048
								[0.092]		[0.071]
Padova									-0.054	
									[0.045]	
Constant	0.449	0.407	0.215	0.032	-0.766	-1.065**	0.066	0.169	0.588*	0.973
	[0.546]	[0.545]	[0.556]	[0.336]	[0.914]	[0.525]	[0.400]	[0.551]	[0.356]	[0.783]
										
Observations	309	309	307	731	728	728	597	593	586	583
R-squared	0.069	0.062	0.077	0.036	0.997	0.357	0.044	0.999	0.063	0.492
Sample	Reggio	Reggio	Reggio	RAvsPrPd	RAvsPP	RAvsPP	RePr	RePr	RePd	RePd
Mean	.3	.3	.3	.3	.3	.3	.3	.3	.3	.3
Robust standard errors in brackets										
*** p<0.01, ** p<0.05, * p<0.1										
Mean = average of the y-variable for the whole sample considered. Sample: Reggio = only respondents in the city of Reggio Emilia. RAvsPrPd = Reggio Approach and all the respondents in Parma and Padova. RePr= all of the respondents in Reggio Emilia and Parma. RePd= all of the respondents in Reggio Emilia and Padova. Estimation Procedure: OLS = Ordinary Least Square; IV = Instrumental variable approach; CF = control function approach										
cubic polynomial or residuals. PSM = simple propensity score matching. PSM2 = propensity sore matching using both demand and supply. DiD = differences-in-differences approach										
municipal schools vs other schools across different cities										
