	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)	(10)
VARIABLES	OLS	IV	CF	OLS	PSM	PSM2	OLS	DiD Pr	OLS	DiD Pd
										
ReggioMaterna	-0.003	-0.207	0.317	-0.005	-0.008	-0.009	-0.013	0.069	0.004	0.048
	[0.059]	[0.298]	[0.403]	[0.046]	[0.049]	[0.046]	[0.059]	[0.090]	[0.058]	[0.093]
unobsM			-0.770							
			[0.566]							
unobsM2			0.166							
			[0.224]							
unobsM3			1.475**							
			[0.633]							
Age	-0.157*	-0.173*	-0.166*	-0.078	-0.046	-0.066	-0.144**	-0.154**	-0.036	0.012
	[0.087]	[0.092]	[0.091]	[0.055]	[0.065]	[0.055]	[0.063]	[0.071]	[0.062]	[0.066]
Male	-0.083	-0.087	-0.081	-0.025	-0.043	-0.020	-0.114***	-0.150***	0.022	0.022
	[0.059]	[0.061]	[0.060]	[0.037]	[0.045]	[0.038]	[0.043]	[0.046]	[0.041]	[0.047]
poorBHealth	-0.054	-0.075	-0.061	0.115*	0.082	0.121*	-0.056	-0.060	0.163**	0.185**
	[0.108]	[0.114]	[0.111]	[0.068]	[0.075]	[0.069]	[0.075]	[0.080]	[0.076]	[0.081]
oldsibs	-0.039	-0.040	-0.035	-0.040	-0.052	-0.046	-0.029	-0.013	-0.041	-0.063
	[0.060]	[0.062]	[0.061]	[0.039]	[0.046]	[0.039]	[0.045]	[0.049]	[0.042]	[0.045]
momMaxEdu_Uni_F	0.173**	0.152**	0.165**	-0.021	-0.037	-0.033	0.032	0.033	0.077	0.072
	[0.072]	[0.077]	[0.079]	[0.047]	[0.058]	[0.047]	[0.054]	[0.061]	[0.050]	[0.062]
dadMaxEdu_Uni_F	-0.147*	-0.136*	-0.138*	-0.030	-0.022	-0.024	-0.079	-0.085	-0.080	-0.057
	[0.078]	[0.080]	[0.081]	[0.050]	[0.063]	[0.050]	[0.058]	[0.066]	[0.055]	[0.068]
momMaxEdu_Uni_Miss	-0.023	-0.028	-0.028	0.134	0.193	0.148	-0.080	-0.158	0.163	0.211
	[0.166]	[0.186]	[0.175]	[0.129]	[0.135]	[0.129]	[0.149]	[0.128]	[0.137]	[0.154]
dadMaxEdu_Uni_Miss	0.013	0.035	0.033	-0.037	-0.067	-0.037	-0.014	-0.069	0.007	-0.040
	[0.089]	[0.094]	[0.092]	[0.060]	[0.069]	[0.060]	[0.066]	[0.072]	[0.066]	[0.068]
HighInc_F	0.031	0.045	0.032	0.002	0.098*	0.015	0.023	0.067	0.108*	0.197***
	[0.072]	[0.074]	[0.076]	[0.053]	[0.059]	[0.054]	[0.055]	[0.059]	[0.059]	[0.066]
HighInc_Miss	-0.028	-0.017	-0.038	-0.079*	-0.085*	-0.079*	-0.012	-0.015	-0.061	-0.058
	[0.073]	[0.077]	[0.078]	[0.046]	[0.050]	[0.046]	[0.055]	[0.058]	[0.050]	[0.050]
houseOwn_F	0.029	0.032	0.016	-0.004	0.004	-0.002	-0.016	-0.036	0.026	0.041
	[0.084]	[0.088]	[0.084]	[0.049]	[0.060]	[0.049]	[0.060]	[0.065]	[0.051]	[0.055]
distCenter	-0.011	-0.011	-0.007	0.007	0.012	0.009	-0.005	-0.006	-0.001	0.002
	[0.013]	[0.013]	[0.013]	[0.010]	[0.012]	[0.010]	[0.010]	[0.011]	[0.010]	[0.011]
cgRelig_F	0.152**	0.098	0.109	0.050	0.036	0.048	0.084	0.069	0.130**	0.135**
	[0.067]	[0.108]	[0.104]	[0.052]	[0.058]	[0.052]	[0.056]	[0.064]	[0.053]	[0.054]
o.cgRelig_Miss			-		-			-		-
										
CAPI	0.125**	0.146**	0.152**	-0.005	-0.035	-0.012	0.052	0.018	0.040	0.004
	[0.060]	[0.066]	[0.066]	[0.038]	[0.044]	[0.038]	[0.044]	[0.048]	[0.041]	[0.047]
cgRelig_Miss	-0.223**	-0.170		-0.252***		-0.244***	-0.319***		-0.161**	
	[0.092]	[0.117]		[0.066]		[0.068]	[0.072]		[0.069]	
Parma							0.005			
							[0.055]			
Reggio								-0.077		-0.018
								[0.064]		[0.060]
materna_Municipal								-0.040		-0.017
								[0.069]		[0.071]
Padova									-0.019	
									[0.054]	
Constant	3.220*	3.661**	3.220*	1.865*	1.283	1.637	3.132***	3.424**	0.913	-0.018
	[1.636]	[1.775]	[1.780]	[1.040]	[1.231]	[1.048]	[1.176]	[1.338]	[1.162]	[1.240]
										
Observations	293	293	290	686	647	686	541	537	569	531
R-squared	0.089	0.050	0.099	0.050	0.038	0.052	0.039	0.052	0.074	0.071
Sample	Reggio	Reggio	Reggio	RAvsPrPd	RAvsPP	RAvsPP	RePr	RePr	RePd	RePd
Mean	.41	.41	.41	.41	.41	.41	.41	.41	.41	.41
Robust standard errors in brackets										
*** p<0.01, ** p<0.05, * p<0.1										
Mean = average of the y-variable for the whole sample considered. Sample: Reggio = only respondents in the city of Reggio Emilia. RAvsPrPd = Reggio Approach and all the respondents in Parma and Padova. RePr= all of the respondents in Reggio Emilia and Parma. RePd= all of the respondents in Reggio Emilia and Padova. Estimation Procedure: OLS = Ordinary Least Square; IV = Instrumental variable approach; CF = control function approach										
cubic polynomial or residuals. PSM = simple propensity score matching. PSM2 = propensity sore matching using both demand and supply. DiD = differences-in-differences approach										
municipal schools vs other schools across different cities										
