	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)	(10)
VARIABLES	OLS	IV	CF	OLS	PSM	PSM2	OLS	DiD Pr	OLS	DiD Pd
										
ReggioMaterna	0.009	0.117	-0.018	0.051	0.054	0.045	0.020	-0.003	0.020	0.084
	[0.039]	[0.146]	[0.230]	[0.031]	[0.033]	[0.031]	[0.039]	[0.055]	[0.039]	[0.076]
unobs			0.155							
			[0.353]							
unobs2			0.174							
			[0.130]							
unobs3			-0.393							
			[0.421]							
Age	0.043	0.041	0.042	0.017	0.049	0.027	-0.012	0.004	0.052	0.046
	[0.055]	[0.055]	[0.055]	[0.040]	[0.053]	[0.042]	[0.042]	[0.045]	[0.043]	[0.051]
Male	0.039	0.037	0.032	0.015	0.006	0.016	0.022	0.040	0.027	0.015
	[0.040]	[0.040]	[0.040]	[0.026]	[0.034]	[0.027]	[0.027]	[0.028]	[0.030]	[0.038]
poorBHealth	-0.052	-0.058	-0.058	0.005	0.014	0.018	-0.041	-0.016	0.047	0.052
	[0.073]	[0.075]	[0.071]	[0.044]	[0.065]	[0.041]	[0.048]	[0.043]	[0.052]	[0.080]
oldsibs	-0.085	-0.068	-0.041	-0.085	-0.114	-0.087	-0.050	-0.054	-0.105	-0.098
	[0.091]	[0.101]	[0.105]	[0.078]	[0.086]	[0.079]	[0.078]	[0.104]	[0.069]	[0.081]
momMaxEdu_Uni_F	-0.058	-0.059	-0.056	-0.044	-0.017	-0.041	-0.053	-0.034	-0.053	-0.035
	[0.052]	[0.053]	[0.052]	[0.031]	[0.042]	[0.031]	[0.032]	[0.036]	[0.037]	[0.046]
dadMaxEdu_Uni_F	0.103**	0.107**	0.108**	0.081***	0.081**	0.072**	0.094***	0.086**	0.089**	0.080*
	[0.051]	[0.052]	[0.051]	[0.030]	[0.038]	[0.030]	[0.031]	[0.035]	[0.038]	[0.041]
momMaxEdu_Uni_Miss	-0.065	-0.051	-0.042	0.007	0.050	0.004	-0.006	0.004	0.009	0.056
	[0.161]	[0.166]	[0.164]	[0.155]	[0.155]	[0.150]	[0.117]	[0.105]	[0.135]	[0.125]
dadMaxEdu_Uni_Miss	0.015	-0.000	-0.001	-0.044	-0.028	-0.006	0.031	0.042	-0.041	-0.054
	[0.079]	[0.083]	[0.079]	[0.054]	[0.069]	[0.050]	[0.056]	[0.055]	[0.059]	[0.071]
HighInc_F	0.036	0.029	0.026	0.016	-0.013	-0.004	0.017	0.008	0.040	0.023
	[0.046]	[0.045]	[0.046]	[0.030]	[0.036]	[0.033]	[0.032]	[0.035]	[0.037]	[0.038]
HighInc_Miss	-0.078	-0.080	-0.087*	-0.089***	-0.113**	-0.090***	-0.029	-0.019	-0.100***	-0.112**
	[0.050]	[0.052]	[0.050]	[0.034]	[0.046]	[0.035]	[0.035]	[0.036]	[0.039]	[0.047]
houseOwn_F	0.018	0.029	0.024	0.110***	0.137***	0.133***	0.067**	0.073**	0.076**	0.104***
	[0.040]	[0.041]	[0.041]	[0.030]	[0.036]	[0.031]	[0.031]	[0.032]	[0.032]	[0.034]
o.houseOwn_Miss			-		-			-		-
										
distCenter	0.009	0.010	0.010	-0.009	-0.011	-0.013**	0.004	0.005	-0.000	-0.006
	[0.007]	[0.007]	[0.007]	[0.006]	[0.008]	[0.007]	[0.005]	[0.005]	[0.007]	[0.007]
cgRelig_F	-0.093**	-0.074	-0.095**	-0.043	-0.030	-0.035	-0.040	-0.025	-0.097***	-0.081
	[0.040]	[0.046]	[0.046]	[0.034]	[0.050]	[0.036]	[0.035]	[0.043]	[0.035]	[0.052]
cgRelig_Miss	-0.326	-0.331	-0.216	-0.466***	-0.495***	-0.418***	-0.160	0.007	-0.646***	-0.666***
	[0.261]	[0.241]	[0.290]	[0.108]	[0.110]	[0.122]	[0.137]	[0.078]	[0.096]	[0.084]
CAPI	0.008	-0.003	0.003	-0.061**	-0.106***	-0.070**	0.019	0.011	-0.070**	-0.106***
	[0.037]	[0.044]	[0.043]	[0.026]	[0.034]	[0.027]	[0.026]	[0.029]	[0.030]	[0.036]
houseOwn_Miss	-0.141	-0.094		0.219***		0.228***	-0.011		0.149	
	[0.265]	[0.270]		[0.049]		[0.050]	[0.157]		[0.098]	
Parma							0.036			
							[0.036]			
Reggio								-0.004		0.067
								[0.043]		[0.041]
materna_Municipal								0.000		-0.088
								[0.039]		[0.065]
Padova									-0.053	
									[0.038]	
Constant	0.604	0.542	0.579	0.766***	0.552	0.698**	0.897***	0.783***	0.592**	0.604*
	[0.379]	[0.379]	[0.400]	[0.267]	[0.349]	[0.278]	[0.292]	[0.298]	[0.293]	[0.337]
										
Observations	309	309	307	731	728	731	597	593	586	583
R-squared	0.067	0.045	0.064	0.112	0.246	0.118	0.041	0.035	0.154	0.339
Sample	Reggio	Reggio	Reggio	RAvsPrPd	RAvsPP	RAvsPP	RePr	RePr	RePd	RePd
Mean	.86	.86	.86	.86	.86	.86	.86	.86	.86	.86
Robust standard errors in brackets										
*** p<0.01, ** p<0.05, * p<0.1										
Mean = average of the y-variable for the whole sample considered. Sample: Reggio = only respondents in the city of Reggio Emilia. RAvsPrPd = Reggio Approach and all the respondents in Parma and Padova. RePr= all of the respondents in Reggio Emilia and Parma. RePd= all of the respondents in Reggio Emilia and Padova. Estimation Procedure: OLS = Ordinary Least Square; IV = Instrumental variable approach; CF = control function approach										
cubic polynomial or residuals. PSM = simple propensity score matching. PSM2 = propensity sore matching using both demand and supply. DiD = differences-in-differences approach										
municipal schools vs other schools across different cities										
