	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)	(10)
VARIABLES	OLS	IV	CF	OLS	PSM	PSM2	OLS	DiD Pr	OLS	DiD Pd
										
ReggioAsilo	-0.002	-0.003	0.005	0.004	0.006	0.008	-0.017	0.007	-0.004	0.014
	[0.006]	[0.058]	[0.037]	[0.009]	[0.006]	[0.007]	[0.014]	[0.008]	[0.010]	[0.013]
asilo_Municipal								-0.006		-0.012
								[0.004]		[0.011]
nido	0.013	0.014	0.010	0.023**	0.017*	0.001	0.027**	0.025*	0.015	0.015
	[0.012]	[0.046]	[0.011]	[0.012]	[0.009]	[0.001]	[0.013]	[0.014]	[0.012]	[0.009]
unobs			0.008							
			[0.048]							
unobs2			0.051							
			[0.031]							
unobs3			-0.033							
			[0.062]							
Age	0.007	0.007	0.008	-0.017	-0.016	-0.004	-0.010	-0.016	-0.006	-0.006
	[0.025]	[0.025]	[0.025]	[0.018]	[0.012]	[0.003]	[0.020]	[0.015]	[0.014]	[0.009]
Male	-0.003	-0.003	-0.005	0.001	0.004	0.000	0.005	0.007	-0.002	0.004
	[0.010]	[0.010]	[0.009]	[0.008]	[0.007]	[0.001]	[0.009]	[0.007]	[0.009]	[0.008]
poorBHealth	-0.007	-0.007	-0.008	-0.001	0.007	0.006*	-0.009	0.007	0.011	0.015*
	[0.008]	[0.009]	[0.013]	[0.014]	[0.006]	[0.004]	[0.017]	[0.008]	[0.007]	[0.009]
oldsibs	0.004	0.003	0.003	0.014**	0.003	0.006	0.006	0.006	0.014*	0.009
	[0.009]	[0.013]	[0.010]	[0.006]	[0.006]	[0.004]	[0.007]	[0.004]	[0.007]	[0.007]
momMaxEdu_Uni_F	0.008	0.008	0.009	0.005	0.002	0.000	-0.000	0.000	0.014**	0.011**
	[0.007]	[0.008]	[0.010]	[0.006]	[0.004]	[0.001]	[0.007]	[0.005]	[0.007]	[0.005]
dadMaxEdu_Uni_F	0.012	0.012	0.011	0.006	0.002	-0.000	0.006	0.004	0.014**	0.009**
	[0.009]	[0.011]	[0.009]	[0.007]	[0.004]	[0.001]	[0.009]	[0.006]	[0.006]	[0.004]
momMaxEdu_Uni_Miss	-0.174	-0.174	-0.177	-0.187	-0.086	-0.119	-0.248	-0.141	-0.132	-0.083
	[0.152]	[0.152]	[0.150]	[0.180]	[0.099]	[0.129]	[0.154]	[0.107]	[0.132]	[0.090]
dadMaxEdu_Uni_Miss	0.030	0.031	0.030	0.000	-0.001	0.001	0.028**	0.017**	0.002	-0.005
	[0.023]	[0.022]	[0.022]	[0.015]	[0.009]	[0.002]	[0.014]	[0.009]	[0.021]	[0.020]
HighInc_F	-0.006	-0.006	-0.009	0.004	0.002	-0.000	-0.008	-0.002	0.000	-0.001
	[0.021]	[0.021]	[0.021]	[0.009]	[0.005]	[0.000]	[0.013]	[0.007]	[0.013]	[0.009]
HighInc_Miss	0.023*	0.023*	0.026	0.010	0.004	-0.013	0.003	0.003	0.023**	0.016**
	[0.013]	[0.014]	[0.017]	[0.011]	[0.008]	[0.015]	[0.013]	[0.010]	[0.010]	[0.007]
houseOwn_F	0.012	0.012	0.012	-0.003	-0.005	-0.002	0.001	-0.003	-0.001	-0.005
	[0.012]	[0.012]	[0.012]	[0.009]	[0.006]	[0.002]	[0.010]	[0.007]	[0.009]	[0.008]
o.houseOwn_Miss			-		-			-		-
										
distCenter	-0.000	-0.000	0.000	0.003*	0.002**	0.000	0.000	0.001	0.002	0.003
	[0.003]	[0.003]	[0.003]	[0.002]	[0.001]	[0.000]	[0.002]	[0.001]	[0.002]	[0.003]
cgRelig_F	0.011	0.011	0.009	-0.011**	-0.006*	0.001	0.003	0.001	-0.000	-0.004
	[0.020]	[0.020]	[0.022]	[0.005]	[0.003]	[0.001]	[0.011]	[0.007]	[0.012]	[0.010]
cgRelig_Miss	0.001	0.001	-0.005	-0.046	-0.006	0.019	-0.004	-0.006	-0.061	-0.029
	[0.016]	[0.021]	[0.015]	[0.049]	[0.013]	[0.014]	[0.010]	[0.006]	[0.058]	[0.031]
CAPI	0.027*	0.027*	0.027*	-0.006	-0.006	-0.000	0.001	-0.002	0.013	0.008
	[0.015]	[0.015]	[0.015]	[0.008]	[0.006]	[0.001]	[0.010]	[0.007]	[0.009]	[0.007]
houseOwn_Miss	0.019	0.019		0.015		0.015	0.010		0.014	
	[0.014]	[0.019]		[0.012]		[0.010]	[0.012]		[0.019]	
Parma							-0.021			
							[0.016]			
Reggio								0.017		0.006
								[0.017]		[0.012]
nidoXreggio								-0.017		-0.009
								[0.019]		[0.014]
Padova									-0.007	
									[0.010]	
Constant	0.895***	0.895***	0.880***	1.088***	1.088***	1.017***	1.046***	1.073***	1.001***	1.005***
	[0.178]	[0.176]	[0.175]	[0.118]	[0.077]	[0.022]	[0.140]	[0.101]	[0.096]	[0.056]
										
Observations	309	309	307	725	722	725	597	593	586	583
R-squared	0.095	0.095	0.103	0.037	0.022	0.016	0.075	0.041	0.048	0.033
Sample	Reggio	Reggio	Reggio	RAvsPrPd	RAvsPP	RAvsPP	RePr	RePr	RePd	RePd
Mean	.99	.99	.99	.99	.99	.99	.99	.99	.99	.99
Robust standard errors in brackets										
*** p<0.01, ** p<0.05, * p<0.1										
Mean = average of the y-variable for the whole sample considered. Sample: Reggio = only respondents in the city of Reggio Emilia. RAvsPrPd = Reggio Approach and all the respondents in Parma and Padova. RePr= all of the respondents in Reggio Emilia and Parma. RePd= all of the respondents in Reggio Emilia and Padova. Estimation Procedure: OLS = Ordinary Least Square; IV = Instrumental variable approach; CF = control function approach										
cubic polynomial or residuals. PSM = simple propensity score matching. PSM2 = propensity sore matching using both demand and supply. DiD = differences-in-differences approach										
municipal schools vs other schools across different cities										
