	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)	(10)
VARIABLES	OLS	IV	CF	OLS	PSM	PSM2	OLS	DiD Pr	OLS	DiD Pd
										
ReggioAsilo	0.031	-0.145	-0.019	-0.035**	-0.025*	-0.030**	-0.029	0.031	-0.021	0.022
	[0.049]	[0.173]	[0.053]	[0.016]	[0.014]	[0.014]	[0.028]	[0.039]	[0.027]	[0.040]
asilo_Municipal								-0.013*		-0.003
								[0.008]		[0.006]
nido	-0.076	0.070	-0.074	0.021**	0.014*	0.000	0.003	0.031*	-0.009	0.015
	[0.050]	[0.141]	[0.050]	[0.011]	[0.008]	[0.000]	[0.018]	[0.017]	[0.018]	[0.011]
unobs			0.024							
			[0.092]							
unobs2			0.035							
			[0.031]							
unobs3			0.092							
			[0.168]							
Age	-0.069**	-0.072**	-0.071**	-0.057***	-0.036***	-0.001	-0.062***	-0.047***	-0.040**	-0.030***
	[0.028]	[0.029]	[0.028]	[0.018]	[0.013]	[0.001]	[0.021]	[0.018]	[0.016]	[0.011]
Male	0.056**	0.057**	0.063**	0.010	0.005	0.001	0.021	0.015	0.033***	0.027***
	[0.023]	[0.024]	[0.025]	[0.010]	[0.007]	[0.001]	[0.013]	[0.010]	[0.012]	[0.010]
poorBHealth	0.027	0.033	0.043	0.010	0.013**	0.006**	0.016	0.017*	0.015	0.015*
	[0.030]	[0.032]	[0.035]	[0.013]	[0.006]	[0.003]	[0.016]	[0.009]	[0.017]	[0.008]
oldsibs	0.057*	0.018	0.046*	0.022**	0.008	0.006**	0.031**	0.022*	0.027**	0.016*
	[0.029]	[0.046]	[0.028]	[0.010]	[0.008]	[0.003]	[0.013]	[0.012]	[0.011]	[0.009]
momMaxEdu_Uni_F	-0.005	-0.003	0.005	0.009	0.002	0.000	0.007	0.002	0.001	-0.005
	[0.027]	[0.029]	[0.030]	[0.009]	[0.006]	[0.000]	[0.014]	[0.009]	[0.014]	[0.011]
dadMaxEdu_Uni_F	0.017	-0.004	0.011	-0.010	-0.001	-0.000	-0.005	0.007	0.009	0.016
	[0.030]	[0.035]	[0.029]	[0.010]	[0.007]	[0.000]	[0.016]	[0.011]	[0.014]	[0.013]
momMaxEdu_Uni_Miss	0.045	0.046	0.028	0.037*	0.040**	0.027**	0.045**	0.040**	0.038**	0.024**
	[0.035]	[0.032]	[0.034]	[0.020]	[0.017]	[0.012]	[0.019]	[0.017]	[0.017]	[0.012]
dadMaxEdu_Uni_Miss	-0.025	-0.013	-0.021	-0.018	-0.005	0.000	-0.017	-0.001	-0.006	0.005
	[0.046]	[0.049]	[0.047]	[0.021]	[0.007]	[0.000]	[0.028]	[0.013]	[0.024]	[0.011]
HighInc_F	-0.011	-0.017	-0.013	-0.005	-0.006	-0.000	-0.016	-0.012	0.000	-0.002
	[0.027]	[0.030]	[0.028]	[0.014]	[0.008]	[0.000]	[0.017]	[0.012]	[0.016]	[0.014]
HighInc_Miss	-0.012	-0.021	-0.030	-0.003	-0.007	-0.003	-0.004	-0.014	-0.009	-0.006
	[0.028]	[0.031]	[0.036]	[0.014]	[0.013]	[0.003]	[0.018]	[0.020]	[0.016]	[0.014]
houseOwn_F	0.030	0.022	0.023	0.011	0.005	-0.000	0.015	0.009	0.019	0.014
	[0.022]	[0.023]	[0.022]	[0.011]	[0.008]	[0.001]	[0.014]	[0.011]	[0.013]	[0.009]
o.houseOwn_Miss			-		-			-		-
										
distCenter	0.002	0.002	0.003	0.001	0.000	0.000	-0.000	-0.001	0.001	0.001
	[0.003]	[0.003]	[0.004]	[0.002]	[0.001]	[0.000]	[0.002]	[0.001]	[0.002]	[0.002]
cgRelig_F	0.019	0.022	0.013	-0.010	-0.010*	0.000	0.003	-0.001	0.007	0.005
	[0.031]	[0.034]	[0.032]	[0.010]	[0.005]	[0.001]	[0.018]	[0.012]	[0.016]	[0.010]
cgRelig_Miss	0.059	0.030	0.077*	0.013	0.009	0.008*	0.015	-0.002	0.010	0.021
	[0.040]	[0.079]	[0.043]	[0.013]	[0.010]	[0.004]	[0.022]	[0.014]	[0.016]	[0.017]
CAPI	-0.013	-0.011	-0.011	-0.012	-0.011	-0.000	-0.011	-0.011	0.000	-0.001
	[0.021]	[0.022]	[0.020]	[0.009]	[0.007]	[0.000]	[0.012]	[0.010]	[0.011]	[0.008]
houseOwn_Miss	0.010	-0.030		0.028		0.008**	0.021		0.016	
	[0.036]	[0.064]		[0.020]		[0.004]	[0.022]		[0.019]	
Parma							-0.006			
							[0.021]			
Reggio								0.032		0.013
								[0.022]		[0.012]
nidoXreggio								-0.080*		-0.064*
								[0.043]		[0.039]
Padova									0.008	
									[0.016]	
Constant	1.404***	1.433***	1.438***	1.357***	1.225***	1.002***	1.389***	1.277***	1.211***	1.151***
	[0.188]	[0.196]	[0.191]	[0.121]	[0.087]	[0.005]	[0.149]	[0.121]	[0.107]	[0.070]
										
Observations	309	309	307	725	722	725	597	593	586	583
R-squared	0.073	-0.006	0.079	0.047	0.037	0.023	0.040	0.043	0.045	0.046
Sample	Reggio	Reggio	Reggio	RAvsPrPd	RAvsPP	RAvsPP	RePr	RePr	RePd	RePd
Mean	.97	.97	.97	.97	.97	.97	.97	.97	.97	.97
Robust standard errors in brackets										
*** p<0.01, ** p<0.05, * p<0.1										
Mean = average of the y-variable for the whole sample considered. Sample: Reggio = only respondents in the city of Reggio Emilia. RAvsPrPd = Reggio Approach and all the respondents in Parma and Padova. RePr= all of the respondents in Reggio Emilia and Parma. RePd= all of the respondents in Reggio Emilia and Padova. Estimation Procedure: OLS = Ordinary Least Square; IV = Instrumental variable approach; CF = control function approach										
cubic polynomial or residuals. PSM = simple propensity score matching. PSM2 = propensity sore matching using both demand and supply. DiD = differences-in-differences approach										
municipal schools vs other schools across different cities										
