	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)	(10)
VARIABLES	OLS	IV	CF	OLS	PSM	PSM2	OLS	DiD Pr	OLS	DiD Pd
										
ReggioMaterna	0.007	0.041	-0.086	-0.024	0.051	-0.057	-0.013	0.411***	-0.017	-0.088
	[0.054]	[0.205]	[0.230]	[0.041]	[0.061]	[0.056]	[0.053]	[0.121]	[0.053]	[0.069]
unobs			0.355							
			[0.353]							
unobs2			-0.051							
			[0.205]							
unobs3			-0.879							
			[0.553]							
Age	0.146**	0.145**	0.142*	0.007	-0.558***	0.201	0.064	-0.072	0.030	-0.072
	[0.073]	[0.073]	[0.073]	[0.052]	[0.103]	[0.189]	[0.057]	[0.097]	[0.054]	[0.069]
Male	-0.096*	-0.097*	-0.108**	-0.068**	0.257***	0.172	-0.097**	0.001	-0.059	0.002
	[0.053]	[0.053]	[0.053]	[0.034]	[0.096]	[0.126]	[0.039]	[0.087]	[0.038]	[0.033]
poorBHealth	-0.168*	-0.170*	-0.180*	-0.091	-0.145	0.069	-0.086	-0.165*	-0.153**	-0.341**
	[0.094]	[0.095]	[0.096]	[0.060]	[0.088]	[0.240]	[0.067]	[0.088]	[0.068]	[0.140]
oldsibs	0.233**	0.241**	0.281***	0.132	0.231	-0.186	0.166*	0.230**	0.126	0.114
	[0.099]	[0.102]	[0.103]	[0.083]	[0.143]	[0.272]	[0.088]	[0.109]	[0.081]	[0.112]
momMaxEdu_Uni_F	0.062	0.062	0.068	0.032	-0.191*	0.187	0.061	-0.007	0.022	0.020
	[0.061]	[0.061]	[0.062]	[0.041]	[0.111]	[0.156]	[0.045]	[0.072]	[0.045]	[0.048]
dadMaxEdu_Uni_F	0.011	0.012	0.014	-0.022	0.030	-0.115	-0.009	0.104	-0.017	-0.000
	[0.070]	[0.071]	[0.070]	[0.043]	[0.119]	[0.116]	[0.048]	[0.082]	[0.048]	[0.038]
momMaxEdu_Uni_Miss	-0.077	-0.073	-0.016	0.146	0.009	0.063	-0.009	-0.006	-0.081	-0.118
	[0.236]	[0.232]	[0.243]	[0.146]	[0.185]	[0.222]	[0.185]	[0.258]	[0.200]	[0.192]
dadMaxEdu_Uni_Miss	-0.206**	-0.211**	-0.237**	-0.055	0.611***	-0.040	-0.120	0.701***	-0.102	0.043
	[0.102]	[0.104]	[0.105]	[0.062]	[0.118]	[0.102]	[0.077]	[0.124]	[0.068]	[0.063]
HighInc_F	0.043	0.041	0.030	0.011	0.630***	0.015	0.029	0.407***	0.052	0.058
	[0.070]	[0.072]	[0.072]	[0.049]	[0.166]	[0.091]	[0.051]	[0.077]	[0.054]	[0.061]
HighInc_Miss	0.023	0.022	0.021	0.069*	0.375***	0.326	0.066	0.068	0.046	0.069
	[0.068]	[0.068]	[0.068]	[0.042]	[0.140]	[0.221]	[0.048]	[0.073]	[0.046]	[0.060]
houseOwn_F	-0.042	-0.038	-0.021	-0.082**	0.247**	-0.157	-0.063	0.094	-0.055	-0.023
	[0.055]	[0.059]	[0.058]	[0.037]	[0.116]	[0.110]	[0.041]	[0.070]	[0.039]	[0.021]
o.houseOwn_Miss			-		-			-		-
										
distCenter	-0.025**	-0.025**	-0.024**	-0.021**	-0.038**	-0.018	-0.024***	-0.023*	-0.023**	0.006
	[0.011]	[0.011]	[0.011]	[0.010]	[0.017]	[0.032]	[0.009]	[0.014]	[0.010]	[0.006]
cgRelig_F	-0.003	0.003	0.014	-0.021	0.087	-0.103	-0.041	-0.016	0.013	-0.045
	[0.081]	[0.088]	[0.092]	[0.050]	[0.100]	[0.096]	[0.058]	[0.088]	[0.058]	[0.066]
cgRelig_Miss	0.228*	0.227*	0.237*	0.112	-0.097	-0.269	0.005	-0.581***	0.221**	0.037
	[0.120]	[0.127]	[0.124]	[0.103]	[0.175]	[0.204]	[0.189]	[0.147]	[0.087]	[0.090]
CAPI	-0.108*	-0.112*	-0.131**	0.050	0.089	0.352**	-0.034	-0.215***	0.015	0.173***
	[0.055]	[0.059]	[0.060]	[0.034]	[0.123]	[0.146]	[0.039]	[0.080]	[0.038]	[0.061]
houseOwn_Miss	0.319***	0.336**		-0.420		-0.484	-0.037		-0.208	
	[0.084]	[0.132]		[0.303]		[0.390]	[0.315]		[0.410]	
Parma							-0.062			
							[0.049]			
Reggio								-0.141		-0.044
								[0.090]		[0.055]
materna_Municipal								-0.423***		0.075*
								[0.103]		[0.038]
Padova									0.047	
									[0.048]	
Constant	-0.102	-0.121	-0.035	0.766**	3.881***	-0.815	0.448	1.279*	0.596	1.163**
	[0.507]	[0.511]	[0.512]	[0.356]	[0.788]	[1.281]	[0.393]	[0.744]	[0.382]	[0.458]
										
Observations	308	308	307	730	727	727	596	593	584	582
R-squared	0.113	0.112	0.120	0.038	0.998	0.480	0.052	0.999	0.050	0.350
Sample	Reggio	Reggio	Reggio	RAvsPrPd	RAvsPP	RAvsPP	RePr	RePr	RePd	RePd
Mean	.68	.68	.68	.68	.68	.68	.68	.68	.68	.68
Robust standard errors in brackets										
*** p<0.01, ** p<0.05, * p<0.1										
Mean = average of the y-variable for the whole sample considered. Sample: Reggio = only respondents in the city of Reggio Emilia. RAvsPrPd = Reggio Approach and all the respondents in Parma and Padova. RePr= all of the respondents in Reggio Emilia and Parma. RePd= all of the respondents in Reggio Emilia and Padova. Estimation Procedure: OLS = Ordinary Least Square; IV = Instrumental variable approach; CF = control function approach										
cubic polynomial or residuals. PSM = simple propensity score matching. PSM2 = propensity sore matching using both demand and supply. DiD = differences-in-differences approach										
municipal schools vs other schools across different cities										
