	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)	(10)
VARIABLES	OLS	IV	CF	OLS	PSM	PSM2	OLS	DiD Pr	OLS	DiD Pd
										
ReggioAsilo	0.010	-0.974*	-0.394**	-0.024	-0.037	0.075	-0.005	0.174	-0.010	0.018
	[0.071]	[0.562]	[0.187]	[0.039]	[0.045]	[0.067]	[0.056]	[0.110]	[0.056]	[0.097]
asilo_Municipal								-0.127		0.048
								[0.093]		[0.069]
nido	-0.022	0.788*	-0.005	0.004	0.052	0.095**	0.003	0.151	0.006	0.026
	[0.077]	[0.472]	[0.076]	[0.035]	[0.039]	[0.037]	[0.043]	[0.092]	[0.043]	[0.060]
unobs			0.526*							
			[0.283]							
unobs2			-0.071							
			[0.135]							
unobs3			-0.281							
			[0.407]							
Age	0.163**	0.148*	0.148**	0.246***	0.333***	0.022	0.211***	0.267***	0.226***	0.287***
	[0.064]	[0.084]	[0.064]	[0.045]	[0.065]	[0.061]	[0.048]	[0.073]	[0.048]	[0.058]
Male	0.074	0.078	0.108**	0.047	0.051	0.057*	0.066**	0.040	0.051	0.096**
	[0.045]	[0.061]	[0.048]	[0.029]	[0.033]	[0.033]	[0.032]	[0.031]	[0.032]	[0.040]
poorBHealth	-0.046	0.019	0.021	-0.085**	-0.048	0.062	-0.097**	-0.119**	-0.033	0.076
	[0.073]	[0.087]	[0.076]	[0.037]	[0.063]	[0.053]	[0.045]	[0.052]	[0.048]	[0.069]
oldsibs	0.065	-0.139	-0.001	0.020	-0.009	-0.404	0.065	0.042	0.002	-0.040
	[0.122]	[0.175]	[0.135]	[0.086]	[0.081]	[0.259]	[0.107]	[0.127]	[0.074]	[0.056]
momMaxEdu_Uni_F	-0.012	-0.002	0.020	-0.013	-0.011	-0.084*	-0.024	0.011	-0.036	-0.120**
	[0.057]	[0.083]	[0.058]	[0.033]	[0.041]	[0.045]	[0.037]	[0.041]	[0.039]	[0.049]
dadMaxEdu_Uni_F	0.040	-0.069	0.018	0.008	-0.016	0.010	-0.017	-0.024	0.058	0.121**
	[0.061]	[0.111]	[0.062]	[0.036]	[0.046]	[0.050]	[0.040]	[0.045]	[0.042]	[0.048]
momMaxEdu_Uni_Miss	0.010	0.023	-0.030	0.081	0.068	0.158	-0.004	0.017	0.032	-0.052
	[0.201]	[0.232]	[0.211]	[0.144]	[0.147]	[0.229]	[0.145]	[0.158]	[0.190]	[0.175]
dadMaxEdu_Uni_Miss	0.135	0.211*	0.160	0.091	0.140	0.027	0.100	0.038	0.087	0.156*
	[0.103]	[0.112]	[0.105]	[0.060]	[0.101]	[0.040]	[0.072]	[0.075]	[0.068]	[0.086]
HighInc_F	-0.024	-0.071	-0.033	0.041	-0.008	0.025	-0.013	-0.062	-0.001	0.031
	[0.059]	[0.091]	[0.059]	[0.043]	[0.053]	[0.027]	[0.044]	[0.058]	[0.046]	[0.049]
HighInc_Miss	0.031	-0.041	-0.043	-0.053	-0.037	0.059	-0.028	-0.034	-0.024	-0.019
	[0.065]	[0.089]	[0.073]	[0.035]	[0.042]	[0.060]	[0.044]	[0.049]	[0.041]	[0.046]
houseOwn_F	0.030	-0.020	0.004	-0.009	-0.024	-0.034	0.035	0.060	0.008	-0.037
	[0.049]	[0.069]	[0.051]	[0.031]	[0.045]	[0.069]	[0.036]	[0.040]	[0.035]	[0.039]
o.houseOwn_Miss			-		-			-		-
										
distCenter	0.001	0.001	0.001	0.001	-0.005	-0.008	0.002	-0.004	0.003	-0.002
	[0.010]	[0.012]	[0.010]	[0.007]	[0.009]	[0.011]	[0.008]	[0.007]	[0.009]	[0.009]
cgRelig_F	-0.114	-0.098	-0.134*	-0.014	-0.068	-0.843***	-0.034	-0.017	-0.085*	-0.129**
	[0.072]	[0.089]	[0.072]	[0.043]	[0.071]	[0.064]	[0.051]	[0.074]	[0.050]	[0.058]
cgRelig_Miss	-0.213**	-0.291	-0.149	-0.132**	-0.312***	-0.841***	-0.160**	-0.253***	-0.172***	-0.176*
	[0.083]	[0.316]	[0.093]	[0.063]	[0.108]	[0.070]	[0.069]	[0.082]	[0.061]	[0.102]
CAPI	0.032	0.040	0.038	0.006	0.048	0.022	0.008	-0.004	0.010	0.030
	[0.050]	[0.064]	[0.050]	[0.029]	[0.045]	[0.023]	[0.034]	[0.035]	[0.033]	[0.037]
houseOwn_Miss	-0.250***	-0.256***		-0.151***		-0.034	-0.268***		-0.219***	
	[0.085]	[0.097]		[0.056]		[0.075]	[0.069]		[0.058]	
Parma							0.032			
							[0.046]			
Reggio								0.007		0.008
								[0.057]		[0.056]
nidoXreggio								-0.171		-0.082
								[0.109]		[0.089]
Padova									-0.011	
									[0.043]	
Constant	-0.917**	-0.755	-0.583	-1.479***	-2.041***	0.603	-1.275***	-1.649***	-1.329***	-1.731***
	[0.445]	[0.591]	[0.467]	[0.301]	[0.422]	[0.375]	[0.330]	[0.478]	[0.328]	[0.384]
										
Observations	277	277	276	658	657	658	551	550	511	509
R-squared	0.070	-0.496	0.091	0.068	0.155	0.998	0.060	0.112	0.067	0.221
Sample	Reggio	Reggio	Reggio	RAvsPrPd	RAvsPP	RAvsPP	RePr	RePr	RePd	RePd
Mean	.18	.18	.18	.18	.18	.18	.18	.18	.18	.18
Robust standard errors in brackets										
*** p<0.01, ** p<0.05, * p<0.1										
Mean = average of the y-variable for the whole sample considered. Sample: Reggio = only respondents in the city of Reggio Emilia. RAvsPrPd = Reggio Approach and all the respondents in Parma and Padova. RePr= all of the respondents in Reggio Emilia and Parma. RePd= all of the respondents in Reggio Emilia and Padova. Estimation Procedure: OLS = Ordinary Least Square; IV = Instrumental variable approach; CF = control function approach										
cubic polynomial or residuals. PSM = simple propensity score matching. PSM2 = propensity sore matching using both demand and supply. DiD = differences-in-differences approach										
municipal schools vs other schools across different cities										
