	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)	(10)
VARIABLES	OLS	IV	CF	OLS	PSM	PSM2	OLS	DiD Pr	OLS	DiD Pd
										
ReggioAsilo	0.133	-0.643	-0.415**	-0.081*	-0.041	-0.263**	-0.077	0.253*	-0.011	0.328**
	[0.097]	[0.541]	[0.201]	[0.043]	[0.048]	[0.102]	[0.067]	[0.151]	[0.063]	[0.135]
asilo_Municipal								-0.008		-0.106
								[0.087]		[0.088]
nido	-0.257***	0.385	-0.231**	0.038	0.006	0.142**	-0.009	0.062	-0.066	0.040
	[0.098]	[0.453]	[0.095]	[0.036]	[0.046]	[0.072]	[0.048]	[0.091]	[0.046]	[0.070]
unobs			0.766**							
			[0.306]							
unobs2			-0.051							
			[0.138]							
unobs3			-0.536							
			[0.458]							
Age	-0.064	-0.077	-0.082	-0.172***	-0.132**	-0.466***	-0.116**	-0.095	-0.081*	-0.098*
	[0.073]	[0.079]	[0.073]	[0.048]	[0.060]	[0.142]	[0.053]	[0.064]	[0.049]	[0.059]
Male	-0.020	-0.016	0.020	-0.073**	-0.085**	-0.438***	-0.019	-0.023	-0.046	-0.068
	[0.050]	[0.058]	[0.052]	[0.030]	[0.035]	[0.143]	[0.034]	[0.037]	[0.034]	[0.042]
poorBHealth	-0.082	-0.054	0.002	-0.099*	-0.038	-0.233**	-0.066	0.100*	-0.120*	-0.247***
	[0.089]	[0.107]	[0.092]	[0.055]	[0.069]	[0.098]	[0.062]	[0.056]	[0.065]	[0.081]
oldsibs	0.119	-0.053	0.033	0.031	-0.154	-0.092	0.026	-0.038	0.081	-0.092
	[0.113]	[0.169]	[0.118]	[0.086]	[0.122]	[0.224]	[0.096]	[0.096]	[0.074]	[0.139]
momMaxEdu_Uni_F	0.053	0.063	0.088	-0.008	-0.050	-0.651***	0.003	-0.061	0.039	0.034
	[0.063]	[0.069]	[0.066]	[0.036]	[0.046]	[0.083]	[0.041]	[0.046]	[0.042]	[0.057]
dadMaxEdu_Uni_F	-0.080	-0.173*	-0.113	-0.021	0.044	0.421***	-0.045	0.009	-0.055	-0.060
	[0.069]	[0.103]	[0.069]	[0.038]	[0.054]	[0.068]	[0.045]	[0.056]	[0.044]	[0.058]
momMaxEdu_Uni_Miss	-0.105	-0.099	-0.154	-0.390	-0.332	-0.604	-0.265	-0.211	-0.023	-0.099
	[0.211]	[0.204]	[0.220]	[0.252]	[0.291]	[0.412]	[0.190]	[0.207]	[0.183]	[0.269]
dadMaxEdu_Uni_Miss	0.023	0.076	0.057	0.006	-0.125	-0.208**	0.044	-0.006	0.002	-0.122
	[0.096]	[0.106]	[0.099]	[0.057]	[0.086]	[0.104]	[0.067]	[0.073]	[0.063]	[0.081]
HighInc_F	0.032	0.004	0.022	0.004	-0.112	0.281***	-0.018	-0.099	0.029	-0.017
	[0.073]	[0.085]	[0.073]	[0.042]	[0.068]	[0.041]	[0.048]	[0.067]	[0.051]	[0.066]
HighInc_Miss	0.063	0.025	-0.028	-0.016	-0.070*	-0.201	-0.002	-0.076	0.053	0.031
	[0.066]	[0.073]	[0.074]	[0.039]	[0.042]	[0.142]	[0.046]	[0.051]	[0.041]	[0.050]
houseOwn_F	0.032	-0.003	-0.000	0.033	0.005	0.107	0.023	-0.020	0.021	0.037
	[0.053]	[0.065]	[0.054]	[0.033]	[0.041]	[0.070]	[0.038]	[0.038]	[0.036]	[0.041]
o.houseOwn_Miss			-		-			-		-
										
distCenter	0.001	0.001	0.002	-0.004	-0.007	0.080***	-0.003	-0.009	0.002	0.004
	[0.010]	[0.011]	[0.010]	[0.008]	[0.013]	[0.017]	[0.007]	[0.012]	[0.008]	[0.010]
cgRelig_F	0.049	0.063	0.016	0.034	0.157*	0.464***	0.073	0.150	0.031	0.077
	[0.074]	[0.092]	[0.075]	[0.046]	[0.083]	[0.101]	[0.056]	[0.097]	[0.051]	[0.065]
cgRelig_Miss	0.273***	0.141	0.356***	0.127	0.347***	0.563***	0.266***	0.297***	0.031	0.177*
	[0.095]	[0.237]	[0.108]	[0.085]	[0.087]	[0.142]	[0.071]	[0.104]	[0.096]	[0.091]
CAPI	-0.035	-0.024	-0.024	-0.040	-0.137***	0.190***	-0.046	-0.114**	-0.021	-0.020
	[0.053]	[0.063]	[0.052]	[0.031]	[0.046]	[0.071]	[0.036]	[0.048]	[0.034]	[0.042]
houseOwn_Miss	0.100	-0.076		-0.101		-0.201	-0.082		0.198***	
	[0.095]	[0.239]		[0.288]		[0.309]	[0.230]		[0.055]	
Parma							-0.025			
							[0.053]			
Reggio								0.119*		0.039
								[0.063]		[0.058]
nidoXreggio								-0.424***		-0.372***
								[0.153]		[0.126]
Padova									0.048	
									[0.044]	
Constant	1.223**	1.352**	1.655***	1.972***	1.735***	3.563***	1.569***	1.403***	1.329***	1.456***
	[0.503]	[0.567]	[0.528]	[0.328]	[0.405]	[0.852]	[0.371]	[0.438]	[0.348]	[0.412]
										
Observations	309	309	307	725	722	725	597	593	586	583
R-squared	0.066	-0.190	0.091	0.056	0.139	0.993	0.038	0.131	0.048	0.173
Sample	Reggio	Reggio	Reggio	RAvsPrPd	RAvsPP	RAvsPP	RePr	RePr	RePd	RePd
Mean	.75	.75	.75	.75	.75	.75	.75	.75	.75	.75
Robust standard errors in brackets										
*** p<0.01, ** p<0.05, * p<0.1										
Mean = average of the y-variable for the whole sample considered. Sample: Reggio = only respondents in the city of Reggio Emilia. RAvsPrPd = Reggio Approach and all the respondents in Parma and Padova. RePr= all of the respondents in Reggio Emilia and Parma. RePd= all of the respondents in Reggio Emilia and Padova. Estimation Procedure: OLS = Ordinary Least Square; IV = Instrumental variable approach; CF = control function approach										
cubic polynomial or residuals. PSM = simple propensity score matching. PSM2 = propensity sore matching using both demand and supply. DiD = differences-in-differences approach										
municipal schools vs other schools across different cities										
