	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)	(10)
VARIABLES	OLS	IV	CF	OLS	PSM	PSM2	OLS	DiD Pr	OLS	DiD Pd
										
ReggioAsilo	-0.023	-0.081	-0.163*	-0.002	0.017	-0.194**	-0.012	0.011	-0.006	0.102
	[0.041]	[0.196]	[0.098]	[0.023]	[0.030]	[0.080]	[0.030]	[0.037]	[0.030]	[0.070]
asilo_Municipal								-0.038***		-0.133***
								[0.014]		[0.050]
nido	0.030	0.078	0.035	0.004	-0.015	0.084	0.002	0.036*	0.021	0.033
	[0.049]	[0.164]	[0.050]	[0.021]	[0.027]	[0.055]	[0.025]	[0.021]	[0.025]	[0.038]
unobs			0.241							
			[0.160]							
unobs2			-0.007							
			[0.082]							
unobs3			-0.271							
			[0.229]							
Age	0.047	0.046	0.043	-0.021	-0.067*	-0.029	0.017	0.009	-0.008	-0.079**
	[0.034]	[0.033]	[0.034]	[0.023]	[0.035]	[0.072]	[0.027]	[0.023]	[0.023]	[0.037]
Male	-0.036	-0.035	-0.028	-0.021	-0.030	-0.266**	-0.014	-0.001	-0.036**	-0.069**
	[0.026]	[0.026]	[0.027]	[0.015]	[0.023]	[0.125]	[0.018]	[0.015]	[0.018]	[0.030]
poorBHealth	-0.004	-0.002	0.011	-0.024	-0.097*	-0.087	0.028	0.038***	-0.061	-0.211***
	[0.044]	[0.045]	[0.044]	[0.031]	[0.059]	[0.062]	[0.024]	[0.013]	[0.040]	[0.073]
oldsibs	0.028	0.015	0.010	0.017	0.030	0.104	-0.012	0.006	0.043***	0.070**
	[0.024]	[0.053]	[0.029]	[0.040]	[0.032]	[0.175]	[0.054]	[0.038]	[0.015]	[0.035]
momMaxEdu_Uni_F	0.009	0.009	0.013	0.014	0.022	-0.153**	0.017	0.016	0.005	0.069*
	[0.031]	[0.032]	[0.032]	[0.018]	[0.028]	[0.076]	[0.021]	[0.017]	[0.021]	[0.041]
dadMaxEdu_Uni_F	-0.012	-0.018	-0.019	-0.008	0.005	0.100*	-0.009	-0.017	-0.021	-0.070**
	[0.034]	[0.041]	[0.034]	[0.017]	[0.026]	[0.051]	[0.021]	[0.019]	[0.020]	[0.035]
momMaxEdu_Uni_Miss	0.050*	0.050*	0.045	-0.137	0.016	-0.083	-0.072	-0.004	0.067***	0.172**
	[0.028]	[0.028]	[0.032]	[0.184]	[0.143]	[0.295]	[0.121]	[0.071]	[0.023]	[0.075]
dadMaxEdu_Uni_Miss	0.003	0.007	0.011	-0.034	-0.179*	-0.653***	0.012	0.017	-0.039	-0.194***
	[0.040]	[0.042]	[0.042]	[0.035]	[0.092]	[0.164]	[0.033]	[0.025]	[0.035]	[0.071]
HighInc_F	-0.020	-0.022	-0.023	0.027	0.023	0.026	0.004	0.015	0.005	-0.025
	[0.037]	[0.041]	[0.038]	[0.020]	[0.020]	[0.026]	[0.024]	[0.016]	[0.025]	[0.030]
HighInc_Miss	-0.001	-0.004	-0.016	0.036*	0.011	-0.002	0.012	0.001	0.037**	0.039
	[0.027]	[0.031]	[0.030]	[0.019]	[0.025]	[0.041]	[0.022]	[0.024]	[0.019]	[0.030]
houseOwn_F	-0.004	-0.007	-0.010	0.002	0.035	0.041	0.003	-0.006	-0.009	0.011
	[0.027]	[0.031]	[0.027]	[0.016]	[0.031]	[0.043]	[0.020]	[0.017]	[0.017]	[0.025]
o.houseOwn_Miss			-		-			-		-
										
distCenter	0.007*	0.007*	0.007*	0.004	0.004	-0.015	0.007**	0.006***	0.002	-0.002
	[0.004]	[0.004]	[0.004]	[0.003]	[0.004]	[0.011]	[0.003]	[0.002]	[0.004]	[0.005]
cgRelig_F	-0.004	-0.003	-0.012	-0.038**	0.035	0.325**	-0.034	-0.029*	-0.017	0.037
	[0.038]	[0.038]	[0.037]	[0.016]	[0.053]	[0.161]	[0.021]	[0.015]	[0.023]	[0.049]
cgRelig_Miss	0.036	0.026	0.057	0.004	0.126	0.336**	0.018	0.020	0.017	0.067
	[0.044]	[0.052]	[0.046]	[0.018]	[0.078]	[0.164]	[0.024]	[0.019]	[0.024]	[0.054]
CAPI	-0.042	-0.041	-0.040	-0.021	-0.090**	-0.047	-0.017	-0.021	-0.026	-0.066**
	[0.027]	[0.027]	[0.027]	[0.016]	[0.036]	[0.037]	[0.018]	[0.015]	[0.018]	[0.027]
houseOwn_Miss	-0.047	-0.060		0.044**		-0.161*	0.024		0.002	
	[0.051]	[0.077]		[0.020]		[0.084]	[0.030]		[0.038]	
Parma							-0.006			
							[0.025]			
Reggio								-0.011		-0.003
								[0.033]		[0.038]
nidoXreggio								-0.006		0.009
								[0.044]		[0.058]
Padova									0.009	
									[0.022]	
Constant	0.654***	0.663***	0.759***	1.119***	1.416***	1.218**	0.846***	0.905***	1.042***	1.544***
	[0.236]	[0.228]	[0.225]	[0.150]	[0.219]	[0.520]	[0.184]	[0.150]	[0.159]	[0.247]
										
Observations	309	309	307	725	722	725	597	593	586	583
R-squared	0.033	0.027	0.040	0.025	0.219	0.997	0.016	0.032	0.035	0.360
Sample	Reggio	Reggio	Reggio	RAvsPrPd	RAvsPP	RAvsPP	RePr	RePr	RePd	RePd
Mean	.9500000000000001	.9500000000000001	.9500000000000001	.9500000000000001	.9500000000000001	.9500000000000001	.9500000000000001	.9500000000000001	.9500000000000001	.9500000000000001
Robust standard errors in brackets										
*** p<0.01, ** p<0.05, * p<0.1										
Mean = average of the y-variable for the whole sample considered. Sample: Reggio = only respondents in the city of Reggio Emilia. RAvsPrPd = Reggio Approach and all the respondents in Parma and Padova. RePr= all of the respondents in Reggio Emilia and Parma. RePd= all of the respondents in Reggio Emilia and Padova. Estimation Procedure: OLS = Ordinary Least Square; IV = Instrumental variable approach; CF = control function approach										
cubic polynomial or residuals. PSM = simple propensity score matching. PSM2 = propensity sore matching using both demand and supply. DiD = differences-in-differences approach										
municipal schools vs other schools across different cities										
