	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)	(10)
VARIABLES	OLS	IV	CF	OLS	PSM	PSM2	OLS	DiD Pr	OLS	DiD Pd
										
ReggioAsilo	0.069	0.630	0.056	0.005	-0.010	-0.019	0.046	-0.008	0.056	0.074
	[0.051]	[0.498]	[0.129]	[0.021]	[0.028]	[0.025]	[0.035]	[0.066]	[0.036]	[0.064]
asilo_Municipal								0.032		-0.056
								[0.043]		[0.040]
nido	-0.032	-0.496	-0.029	0.006	-0.001	0.010	0.005	0.002	-0.021	-0.008
	[0.058]	[0.422]	[0.057]	[0.022]	[0.020]	[0.022]	[0.027]	[0.050]	[0.030]	[0.031]
unobs			0.203							
			[0.198]							
unobs2			-0.021							
			[0.086]							
unobs3			-0.592**							
			[0.275]							
Age	-0.115***	-0.103**	-0.104***	-0.022	-0.040	-0.047	-0.101***	-0.107***	-0.034	-0.027
	[0.041]	[0.051]	[0.040]	[0.028]	[0.030]	[0.029]	[0.030]	[0.032]	[0.032]	[0.032]
Male	-0.031	-0.035	-0.041	0.020	0.018	-0.001	-0.003	0.006	-0.000	-0.000
	[0.027]	[0.035]	[0.030]	[0.017]	[0.019]	[0.017]	[0.019]	[0.020]	[0.020]	[0.022]
poorBHealth	-0.045	-0.064	-0.071	-0.021	-0.022	0.005	-0.030	-0.015	-0.059	-0.056
	[0.051]	[0.056]	[0.059]	[0.031]	[0.030]	[0.022]	[0.035]	[0.029]	[0.042]	[0.041]
oldsibs	-0.025	0.039	0.035	0.046***	0.047***	0.035***	-0.010	0.035*	0.006	0.045**
	[0.044]	[0.072]	[0.045]	[0.012]	[0.015]	[0.010]	[0.038]	[0.020]	[0.033]	[0.023]
momMaxEdu_Uni_F	0.010	0.004	-0.014	-0.019	-0.010	-0.020	-0.017	-0.016	0.004	0.022
	[0.027]	[0.043]	[0.030]	[0.019]	[0.017]	[0.017]	[0.020]	[0.019]	[0.022]	[0.022]
dadMaxEdu_Uni_F	0.090***	0.156**	0.096***	0.016	0.030	-0.012	0.072***	0.075***	0.027	0.027
	[0.032]	[0.078]	[0.032]	[0.020]	[0.022]	[0.024]	[0.022]	[0.026]	[0.023]	[0.024]
momMaxEdu_Uni_Miss	0.103**	0.096*	0.148***	0.047**	0.065**	0.059***	0.065**	0.082***	0.068**	0.083**
	[0.041]	[0.054]	[0.049]	[0.020]	[0.028]	[0.020]	[0.028]	[0.031]	[0.032]	[0.037]
dadMaxEdu_Uni_Miss	0.052	0.016	0.045	0.006	0.015	0.014	0.040	0.040*	0.032	0.042*
	[0.042]	[0.055]	[0.042]	[0.026]	[0.021]	[0.015]	[0.029]	[0.020]	[0.026]	[0.024]
HighInc_F	-0.111**	-0.092*	-0.109**	-0.021	-0.035	-0.010	-0.057**	-0.062**	-0.063**	-0.066*
	[0.044]	[0.054]	[0.043]	[0.025]	[0.027]	[0.026]	[0.029]	[0.031]	[0.032]	[0.034]
HighInc_Miss	-0.080**	-0.053	-0.045	-0.039	-0.059**	-0.052*	-0.039	-0.075**	-0.077***	-0.108***
	[0.040]	[0.046]	[0.047]	[0.024]	[0.028]	[0.027]	[0.025]	[0.033]	[0.030]	[0.037]
houseOwn_F	0.029	0.055	0.044	-0.021	-0.011	-0.017	0.003	-0.010	-0.003	0.005
	[0.030]	[0.038]	[0.030]	[0.016]	[0.016]	[0.016]	[0.020]	[0.019]	[0.020]	[0.021]
o.houseOwn_Miss			-		-			-		-
										
distCenter	-0.004	-0.004	-0.006	0.000	0.005**	0.004	-0.002	0.003	-0.006	-0.001
	[0.007]	[0.008]	[0.007]	[0.003]	[0.002]	[0.004]	[0.004]	[0.003]	[0.006]	[0.005]
cgRelig_F	-0.000	-0.010	0.004	-0.010	-0.019	-0.028*	-0.010	-0.018	-0.018	-0.034
	[0.038]	[0.052]	[0.036]	[0.021]	[0.016]	[0.016]	[0.025]	[0.019]	[0.023]	[0.020]
cgRelig_Miss	-0.091	0.003	0.019	0.009	0.007	-0.004	-0.208	-0.070	0.031	0.084**
	[0.124]	[0.217]	[0.071]	[0.055]	[0.030]	[0.039]	[0.129]	[0.049]	[0.045]	[0.037]
CAPI	-0.001	-0.009	-0.001	0.013	0.014	0.020	-0.002	-0.003	0.030	0.043*
	[0.031]	[0.039]	[0.031]	[0.017]	[0.016]	[0.016]	[0.019]	[0.018]	[0.021]	[0.023]
houseOwn_Miss	-0.174	-0.050		0.050*		0.062**	-0.088		-0.200	
	[0.317]	[0.280]		[0.026]		[0.026]	[0.146]		[0.263]	
Parma							0.030			
							[0.027]			
Reggio								0.002		-0.017
								[0.035]		[0.028]
nidoXreggio								-0.017		-0.004
								[0.071]		[0.056]
Padova									0.025	
									[0.027]	
Constant	1.734***	1.626***	1.657***	1.110***	1.219***	1.301***	1.616***	1.674***	1.193***	1.162***
	[0.272]	[0.340]	[0.281]	[0.185]	[0.211]	[0.199]	[0.199]	[0.220]	[0.207]	[0.222]
										
Observations	309	309	307	725	722	725	597	593	586	583
R-squared	0.123	-0.262	0.132	0.017	0.033	0.030	0.071	0.083	0.049	0.073
Sample	Reggio	Reggio	Reggio	RAvsPrPd	RAvsPP	RAvsPP	RePr	RePr	RePd	RePd
Mean	.9300000000000001	.9300000000000001	.9300000000000001	.9300000000000001	.9300000000000001	.9300000000000001	.9300000000000001	.9300000000000001	.9300000000000001	.9300000000000001
Robust standard errors in brackets										
*** p<0.01, ** p<0.05, * p<0.1										
Mean = average of the y-variable for the whole sample considered. Sample: Reggio = only respondents in the city of Reggio Emilia. RAvsPrPd = Reggio Approach and all the respondents in Parma and Padova. RePr= all of the respondents in Reggio Emilia and Parma. RePd= all of the respondents in Reggio Emilia and Padova. Estimation Procedure: OLS = Ordinary Least Square; IV = Instrumental variable approach; CF = control function approach										
cubic polynomial or residuals. PSM = simple propensity score matching. PSM2 = propensity sore matching using both demand and supply. DiD = differences-in-differences approach										
municipal schools vs other schools across different cities										
