	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)	(10)
VARIABLES	OLS	IV	CF	OLS	PSM	PSM2	OLS	DiD Pr	OLS	DiD Pd
										
ReggioAsilo	-0.115	-0.721	0.163	-0.018	-0.053	-0.028	-0.042	-0.172	-0.030	0.104
	[0.160]	[1.127]	[0.283]	[0.055]	[0.081]	[0.057]	[0.081]	[0.238]	[0.083]	[0.301]
asilo_Municipal								0.183		-0.167
								[0.148]		[0.236]
nido	-0.004	0.537	-0.050	-0.080*	0.011	-0.072	-0.081	-0.196	-0.089	0.199
	[0.162]	[1.053]	[0.168]	[0.046]	[0.076]	[0.050]	[0.060]	[0.149]	[0.064]	[0.225]
unobsA			-0.495							
			[0.390]							
unobsA2			0.178							
			[0.182]							
unobsA3			0.693							
			[0.549]							
Age	0.046	0.028	0.065	-0.029	0.035	-0.022	0.017	0.114	0.025	-0.089
	[0.090]	[0.110]	[0.092]	[0.057]	[0.101]	[0.061]	[0.065]	[0.111]	[0.062]	[0.070]
Male	0.009	-0.016	-0.012	-0.075*	-0.131**	-0.071*	-0.009	-0.091	-0.073*	-0.090*
	[0.062]	[0.065]	[0.063]	[0.039]	[0.060]	[0.042]	[0.044]	[0.064]	[0.043]	[0.052]
poorBHealth	0.221**	0.221**	0.228**	0.085	0.244**	0.032	0.092	0.249*	0.139*	0.130*
	[0.107]	[0.108]	[0.111]	[0.066]	[0.122]	[0.075]	[0.075]	[0.136]	[0.075]	[0.077]
oldsibs	-0.089	-0.105	-0.079	-0.037	0.002	-0.038	-0.073	-0.074	-0.040	-0.022
	[0.064]	[0.076]	[0.065]	[0.041]	[0.065]	[0.043]	[0.047]	[0.074]	[0.044]	[0.049]
momMaxEdu_Uni_F	-0.017	-0.040	-0.019	0.050	0.031	0.051	0.014	0.062	0.033	0.017
	[0.075]	[0.089]	[0.076]	[0.049]	[0.080]	[0.053]	[0.054]	[0.090]	[0.055]	[0.067]
dadMaxEdu_Uni_F	0.012	-0.036	-0.019	0.018	-0.068	0.025	0.033	0.008	0.032	0.020
	[0.087]	[0.096]	[0.091]	[0.053]	[0.085]	[0.058]	[0.061]	[0.100]	[0.060]	[0.070]
o.momMaxEdu_Uni_Miss			-		-			-		-
										
dadMaxEdu_Uni_Miss	-0.053	-0.007	-0.044	-0.096	-0.168	-0.087	-0.101	-0.210*	-0.045	-0.030
	[0.087]	[0.126]	[0.100]	[0.060]	[0.121]	[0.064]	[0.064]	[0.114]	[0.066]	[0.080]
HighInc_F	0.054	0.078	0.031	-0.026	0.024	-0.057	-0.022	-0.011	-0.004	-0.033
	[0.075]	[0.111]	[0.083]	[0.054]	[0.086]	[0.058]	[0.056]	[0.090]	[0.059]	[0.067]
HighInc_Miss	0.036	0.053	0.072	-0.053	-0.011	-0.049	-0.090	-0.083	0.018	0.019
	[0.081]	[0.090]	[0.088]	[0.048]	[0.077]	[0.050]	[0.056]	[0.087]	[0.052]	[0.065]
houseOwn_F	-0.023	-0.040	-0.029	-0.059	-0.023	-0.045	-0.006	-0.031	-0.064	-0.022
	[0.081]	[0.097]	[0.089]	[0.051]	[0.076]	[0.055]	[0.058]	[0.093]	[0.054]	[0.062]
distCenter	-0.017	-0.021	-0.015	-0.009	-0.018	-0.011	-0.008	-0.027*	-0.012	-0.000
	[0.013]	[0.013]	[0.014]	[0.010]	[0.016]	[0.011]	[0.010]	[0.015]	[0.010]	[0.013]
cgRelig_F	-0.044	-0.124	-0.079	0.045	0.105	0.048	0.005	0.074	0.021	0.010
	[0.072]	[0.098]	[0.079]	[0.054]	[0.073]	[0.060]	[0.057]	[0.081]	[0.056]	[0.068]
cgRelig_Miss	-0.133	-0.160	-0.191	0.281***	0.527***	0.268**	-0.163	-0.174	0.279***	0.481***
	[0.276]	[0.258]	[0.259]	[0.099]	[0.110]	[0.105]	[0.226]	[0.260]	[0.100]	[0.096]
CAPI	-0.044	-0.052	-0.045	-0.050	0.043	-0.036	-0.076*	0.010	-0.028	-0.025
	[0.060]	[0.066]	[0.063]	[0.039]	[0.061]	[0.042]	[0.044]	[0.063]	[0.043]	[0.050]
momMaxEdu_Uni_Miss	-0.335**			-0.123		-0.154	-0.226		-0.190	
	[0.163]			[0.126]		[0.127]	[0.146]		[0.125]	
Parma							0.005			
							[0.059]			
Reggio								0.048		0.139**
								[0.096]		[0.068]
nidoXreggio								0.048		-0.259
								[0.237]		[0.292]
Padova									-0.060	
									[0.055]	
Constant	-0.217	0.233	-0.689	1.144	-0.178	1.003	0.307	-1.516	0.160	2.120
	[1.687]	[2.120]	[1.744]	[1.075]	[1.913]	[1.151]	[1.212]	[2.090]	[1.162]	[1.322]
										
Observations	293	274	274	676	638	676	541	508	569	536
R-squared	0.058	0.004	0.069	0.044	0.176	0.041	0.041	0.111	0.054	0.217
Sample	Reggio	Reggio	Reggio	RAvsPrPd	RAvsPP	RAvsPP	RePr	RePr	RePd	RePd
Mean	.44	.44	.44	.44	.44	.44	.44	.44	.44	.44
Robust standard errors in brackets										
*** p<0.01, ** p<0.05, * p<0.1										
Mean = average of the y-variable for the whole sample considered. Sample: Reggio = only respondents in the city of Reggio Emilia. RAvsPrPd = Reggio Approach and all the respondents in Parma and Padova. RePr= all of the respondents in Reggio Emilia and Parma. RePd= all of the respondents in Reggio Emilia and Padova. Estimation Procedure: OLS = Ordinary Least Square; IV = Instrumental variable approach; CF = control function approach										
cubic polynomial or residuals. PSM = simple propensity score matching. PSM2 = propensity sore matching using both demand and supply. DiD = differences-in-differences approach										
municipal schools vs other schools across different cities										
