	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)	(10)
VARIABLES	OLS	IV	CF	OLS	PSM	PSM2	OLS	DiD Pr	OLS	DiD Pd
										
ReggioMaterna	0.033	0.124	0.303	0.003	0.008	0.008	0.045	0.099	0.030	0.102
	[0.061]	[0.301]	[0.388]	[0.047]	[0.049]	[0.047]	[0.060]	[0.094]	[0.060]	[0.097]
unobsM			-0.466							
			[0.561]							
unobsM2			-0.060							
			[0.244]							
unobsM3			0.592							
			[0.718]							
Age	0.049	0.056	0.063	0.013	-0.019	0.010	0.007	-0.001	0.026	-0.005
	[0.091]	[0.095]	[0.094]	[0.056]	[0.073]	[0.056]	[0.065]	[0.076]	[0.062]	[0.081]
Male	0.006	0.008	0.010	-0.049	-0.048	-0.054	-0.012	-0.047	-0.075*	-0.074
	[0.061]	[0.061]	[0.063]	[0.039]	[0.047]	[0.039]	[0.044]	[0.049]	[0.043]	[0.049]
poorBHealth	0.226**	0.235**	0.233**	0.092	0.045	0.080	0.094	0.051	0.139*	0.122
	[0.106]	[0.109]	[0.112]	[0.067]	[0.072]	[0.067]	[0.075]	[0.081]	[0.073]	[0.080]
oldsibs	-0.086	-0.086	-0.092	-0.030	-0.045	-0.030	-0.074	-0.077	-0.037	-0.056
	[0.064]	[0.064]	[0.064]	[0.041]	[0.047]	[0.041]	[0.047]	[0.050]	[0.044]	[0.051]
momMaxEdu_Uni_F	-0.016	-0.007	-0.005	0.052	0.028	0.052	0.012	0.013	0.024	-0.019
	[0.076]	[0.082]	[0.083]	[0.050]	[0.060]	[0.050]	[0.054]	[0.061]	[0.055]	[0.064]
dadMaxEdu_Uni_F	0.005	0.000	0.008	0.043	0.052	0.043	0.028	0.028	0.030	0.048
	[0.087]	[0.089]	[0.090]	[0.054]	[0.065]	[0.054]	[0.062]	[0.068]	[0.061]	[0.070]
momMaxEdu_Uni_Miss	-0.352**	-0.349**	-0.351**	-0.130	-0.155	-0.127	-0.255*	-0.248	-0.206*	-0.228*
	[0.154]	[0.147]	[0.156]	[0.124]	[0.132]	[0.125]	[0.141]	[0.162]	[0.123]	[0.123]
dadMaxEdu_Uni_Miss	-0.075	-0.085	-0.084	-0.072	0.026	-0.076	-0.110*	-0.052	-0.054	0.046
	[0.087]	[0.091]	[0.092]	[0.060]	[0.090]	[0.060]	[0.064]	[0.080]	[0.067]	[0.104]
HighInc_F	0.037	0.030	0.026	-0.036	-0.009	-0.046	-0.030	-0.000	-0.011	-0.005
	[0.075]	[0.078]	[0.078]	[0.054]	[0.060]	[0.054]	[0.056]	[0.062]	[0.059]	[0.065]
HighInc_Miss	0.046	0.041	0.032	-0.039	0.008	-0.043	-0.077	-0.045	0.024	0.074
	[0.080]	[0.082]	[0.084]	[0.046]	[0.057]	[0.047]	[0.056]	[0.063]	[0.052]	[0.062]
houseOwn_F	-0.038	-0.039	-0.051	-0.059	-0.012	-0.061	-0.016	-0.004	-0.073	-0.012
	[0.080]	[0.080]	[0.081]	[0.050]	[0.064]	[0.051]	[0.059]	[0.068]	[0.054]	[0.064]
distCenter	-0.014	-0.014	-0.012	0.002	-0.007	0.001	-0.006	-0.013	-0.010	-0.015
	[0.013]	[0.013]	[0.013]	[0.010]	[0.012]	[0.010]	[0.010]	[0.011]	[0.010]	[0.012]
cgRelig_F	-0.024	-0.000	0.002	0.038	0.033	0.044	0.020	0.036	0.033	0.045
	[0.073]	[0.104]	[0.104]	[0.052]	[0.066]	[0.053]	[0.058]	[0.069]	[0.057]	[0.069]
o.cgRelig_Miss			-		-			-		-
										
CAPI	-0.052	-0.061	-0.054	-0.056	-0.019	-0.052	-0.081*	-0.063	-0.032	-0.024
	[0.060]	[0.068]	[0.067]	[0.039]	[0.046]	[0.039]	[0.044]	[0.049]	[0.043]	[0.050]
cgRelig_Miss	-0.163	-0.187		0.284***		0.297***	-0.173		0.287***	
	[0.307]	[0.322]		[0.098]		[0.098]	[0.239]		[0.102]	
Parma							0.058			
							[0.055]			
Reggio								-0.090		-0.022
								[0.068]		[0.067]
materna_Municipal								-0.059		-0.063
								[0.072]		[0.076]
Padova									-0.003	
									[0.055]	
Constant	-0.369	-0.565	-0.753	0.284	0.825	0.336	0.403	0.623	0.057	0.580
	[1.711]	[1.842]	[1.847]	[1.060]	[1.366]	[1.065]	[1.216]	[1.416]	[1.177]	[1.522]
										
Observations	293	293	290	686	647	686	541	537	569	531
R-squared	0.046	0.039	0.051	0.033	0.012	0.034	0.032	0.026	0.045	0.030
Sample	Reggio	Reggio	Reggio	RAvsPrPd	RAvsPP	RAvsPP	RePr	RePr	RePd	RePd
Mean	.44	.44	.44	.44	.44	.44	.44	.44	.44	.44
Robust standard errors in brackets										
*** p<0.01, ** p<0.05, * p<0.1										
Mean = average of the y-variable for the whole sample considered. Sample: Reggio = only respondents in the city of Reggio Emilia. RAvsPrPd = Reggio Approach and all the respondents in Parma and Padova. RePr= all of the respondents in Reggio Emilia and Parma. RePd= all of the respondents in Reggio Emilia and Padova. Estimation Procedure: OLS = Ordinary Least Square; IV = Instrumental variable approach; CF = control function approach										
cubic polynomial or residuals. PSM = simple propensity score matching. PSM2 = propensity sore matching using both demand and supply. DiD = differences-in-differences approach										
municipal schools vs other schools across different cities										
