	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)	(10)
VARIABLES	OLS	IV	CF	OLS	PSM	PSM2	OLS	DiD Pr	OLS	DiD Pd
										
ReggioMaterna	0.063**	0.140	0.132	0.013	0.018	0.013	0.062**	-0.010	0.054*	0.044
	[0.028]	[0.137]	[0.191]	[0.018]	[0.017]	[0.017]	[0.028]	[0.042]	[0.028]	[0.040]
unobs			-0.063							
			[0.261]							
unobs2			0.186**							
			[0.092]							
unobs3			0.004							
			[0.273]							
Age	-0.118***	-0.119***	-0.115***	-0.016	-0.014	-0.009	-0.103***	-0.096***	-0.039	-0.006
	[0.041]	[0.042]	[0.042]	[0.027]	[0.033]	[0.027]	[0.030]	[0.031]	[0.031]	[0.032]
Male	-0.029	-0.031	-0.033	0.019	0.034*	0.023	-0.001	0.022	-0.001	0.003
	[0.027]	[0.027]	[0.027]	[0.017]	[0.020]	[0.016]	[0.019]	[0.021]	[0.020]	[0.020]
poorBHealth	-0.041	-0.045	-0.044	-0.023	-0.047	-0.031	-0.027	-0.022	-0.059	-0.095*
	[0.049]	[0.049]	[0.050]	[0.032]	[0.044]	[0.033]	[0.035]	[0.036]	[0.041]	[0.057]
oldsibs	-0.022	-0.010	0.028	0.053***	0.052***	0.051***	-0.005	0.028	0.006	0.042
	[0.046]	[0.052]	[0.048]	[0.011]	[0.013]	[0.011]	[0.038]	[0.029]	[0.034]	[0.026]
momMaxEdu_Uni_F	0.014	0.013	0.016	-0.016	-0.015	-0.018	-0.014	-0.008	0.003	0.008
	[0.028]	[0.029]	[0.028]	[0.019]	[0.019]	[0.018]	[0.020]	[0.020]	[0.022]	[0.023]
dadMaxEdu_Uni_F	0.085***	0.088***	0.091***	0.023	0.031	0.019	0.071***	0.085***	0.026	0.025
	[0.031]	[0.031]	[0.030]	[0.020]	[0.019]	[0.019]	[0.022]	[0.024]	[0.022]	[0.022]
momMaxEdu_Uni_Miss	0.107***	0.117**	0.112**	0.044**	0.039**	0.036**	0.063**	0.049**	0.066**	0.057**
	[0.039]	[0.049]	[0.048]	[0.018]	[0.017]	[0.018]	[0.026]	[0.021]	[0.031]	[0.025]
dadMaxEdu_Uni_Miss	0.048	0.037	0.038	0.012	-0.018	0.025	0.037	0.030	0.030	0.012
	[0.042]	[0.048]	[0.046]	[0.026]	[0.037]	[0.021]	[0.029]	[0.032]	[0.026]	[0.030]
HighInc_F	-0.117***	-0.123***	-0.122***	-0.025	-0.032	-0.020	-0.059**	-0.059**	-0.066**	-0.067**
	[0.043]	[0.043]	[0.043]	[0.025]	[0.025]	[0.024]	[0.029]	[0.030]	[0.032]	[0.033]
HighInc_Miss	-0.091**	-0.092**	-0.100***	-0.035	-0.044*	-0.027	-0.046*	-0.050*	-0.078***	-0.087***
	[0.037]	[0.038]	[0.037]	[0.022]	[0.027]	[0.020]	[0.024]	[0.026]	[0.028]	[0.032]
houseOwn_F	0.031	0.038	0.032	-0.016	-0.016	-0.013	0.004	-0.014	-0.002	-0.001
	[0.029]	[0.034]	[0.033]	[0.016]	[0.018]	[0.016]	[0.020]	[0.020]	[0.019]	[0.018]
o.houseOwn_Miss			-		-			-		-
										
distCenter	-0.003	-0.002	-0.002	0.001	0.002	0.000	-0.002	0.002	-0.005	-0.003
	[0.007]	[0.007]	[0.006]	[0.003]	[0.003]	[0.003]	[0.004]	[0.004]	[0.006]	[0.005]
cgRelig_F	0.009	0.022	0.005	-0.010	-0.017	-0.018	-0.008	-0.034*	-0.013	-0.019
	[0.038]	[0.048]	[0.045]	[0.020]	[0.020]	[0.018]	[0.024]	[0.020]	[0.023]	[0.027]
cgRelig_Miss	-0.094	-0.098	0.057	0.004	-0.021	-0.037	-0.202	-0.261	0.040	0.086**
	[0.124]	[0.131]	[0.059]	[0.055]	[0.066]	[0.068]	[0.128]	[0.173]	[0.045]	[0.040]
CAPI	-0.007	-0.015	-0.004	0.013	0.032	0.017	-0.003	0.006	0.030	0.042*
	[0.031]	[0.036]	[0.036]	[0.017]	[0.022]	[0.016]	[0.019]	[0.019]	[0.021]	[0.022]
houseOwn_Miss	-0.168	-0.135		0.049*		0.045*	-0.085		-0.196	
	[0.324]	[0.335]		[0.025]		[0.024]	[0.147]		[0.269]	
Parma							0.038			
							[0.026]			
Reggio								0.005		-0.018
								[0.035]		[0.028]
materna_Municipal								0.068**		0.013
								[0.030]		[0.028]
Padova									0.027	
									[0.027]	
Constant	1.729***	1.685***	1.625***	1.064***	1.042***	1.021***	1.621***	1.578***	1.213***	1.002***
	[0.264]	[0.262]	[0.286]	[0.178]	[0.220]	[0.183]	[0.195]	[0.203]	[0.203]	[0.221]
										
Observations	309	309	307	731	728	731	597	593	586	583
R-squared	0.129	0.109	0.125	0.015	0.033	0.016	0.073	0.102	0.051	0.067
Sample	Reggio	Reggio	Reggio	RAvsPrPd	RAvsPP	RAvsPP	RePr	RePr	RePd	RePd
Mean	.9300000000000001	.9300000000000001	.9300000000000001	.9300000000000001	.9300000000000001	.9300000000000001	.9300000000000001	.9300000000000001	.9300000000000001	.9300000000000001
Robust standard errors in brackets										
*** p<0.01, ** p<0.05, * p<0.1										
Mean = average of the y-variable for the whole sample considered. Sample: Reggio = only respondents in the city of Reggio Emilia. RAvsPrPd = Reggio Approach and all the respondents in Parma and Padova. RePr= all of the respondents in Reggio Emilia and Parma. RePd= all of the respondents in Reggio Emilia and Padova. Estimation Procedure: OLS = Ordinary Least Square; IV = Instrumental variable approach; CF = control function approach										
cubic polynomial or residuals. PSM = simple propensity score matching. PSM2 = propensity sore matching using both demand and supply. DiD = differences-in-differences approach										
municipal schools vs other schools across different cities										
