	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)	(10)
VARIABLES	OLS	IV	CF	OLS	PSM	PSM2	OLS	DiD Pr	OLS	DiD Pd
										
ReggioMaterna	0.039	0.222	0.102	0.010	-0.107*	0.011	0.033	-0.097	0.031	-0.108
	[0.043]	[0.166]	[0.192]	[0.033]	[0.058]	[0.057]	[0.042]	[0.076]	[0.043]	[0.100]
unobs			0.049							
			[0.298]							
unobs2			0.138							
			[0.163]							
unobs3			-0.378							
			[0.452]							
Age	-0.132**	-0.135**	-0.136**	-0.058	0.199*	-0.088	-0.110**	-0.100	-0.053	0.097
	[0.060]	[0.061]	[0.060]	[0.043]	[0.110]	[0.158]	[0.044]	[0.074]	[0.046]	[0.103]
Male	0.014	0.010	0.005	-0.020	-0.380***	0.535***	0.035	0.064	-0.028	-0.247**
	[0.042]	[0.043]	[0.042]	[0.026]	[0.104]	[0.120]	[0.029]	[0.046]	[0.030]	[0.107]
poorBHealth	-0.044	-0.055	-0.054	0.015	0.028	0.557***	-0.040	0.000	-0.012	-0.034
	[0.075]	[0.074]	[0.077]	[0.043]	[0.116]	[0.145]	[0.051]	[0.064]	[0.055]	[0.112]
oldsibs	0.041	0.083	0.089	0.040	0.062	-0.015	0.034	0.036	0.037	0.116
	[0.107]	[0.110]	[0.110]	[0.068]	[0.138]	[0.121]	[0.084]	[0.087]	[0.074]	[0.097]
momMaxEdu_Uni_F	0.062	0.061	0.069	0.027	0.033	0.266**	0.034	0.035	0.018	0.126**
	[0.045]	[0.047]	[0.047]	[0.030]	[0.107]	[0.120]	[0.032]	[0.047]	[0.035]	[0.062]
dadMaxEdu_Uni_F	0.039	0.045	0.044	0.025	0.449***	-0.332*	0.059*	-0.011	0.030	0.294***
	[0.050]	[0.054]	[0.052]	[0.032]	[0.083]	[0.173]	[0.035]	[0.076]	[0.036]	[0.089]
momMaxEdu_Uni_Miss	-0.422***	-0.398***	-0.386**	-0.122	0.086	-0.114	-0.306**	-0.300*	-0.316**	-0.180
	[0.155]	[0.153]	[0.155]	[0.147]	[0.420]	[0.299]	[0.148]	[0.166]	[0.159]	[0.446]
dadMaxEdu_Uni_Miss	-0.005	-0.031	-0.033	-0.139**	-0.028	0.021	-0.025	0.006	-0.142**	-0.084
	[0.074]	[0.080]	[0.077]	[0.058]	[0.128]	[0.083]	[0.055]	[0.060]	[0.067]	[0.142]
HighInc_F	-0.057	-0.071	-0.069	-0.051	0.112	0.177**	-0.097**	0.015	-0.029	-0.218***
	[0.056]	[0.059]	[0.058]	[0.038]	[0.106]	[0.087]	[0.041]	[0.070]	[0.041]	[0.084]
HighInc_Miss	0.034	0.031	0.030	-0.059*	-0.241**	0.151	-0.017	-0.014	-0.031	-0.145
	[0.054]	[0.056]	[0.054]	[0.033]	[0.113]	[0.163]	[0.037]	[0.070]	[0.038]	[0.093]
houseOwn_F	0.143***	0.160***	0.158***	0.045	-0.563***	0.018	0.101***	-0.021	0.073**	-0.468***
	[0.045]	[0.049]	[0.049]	[0.029]	[0.148]	[0.118]	[0.033]	[0.049]	[0.034]	[0.122]
o.houseOwn_Miss			-		-			-		-
										
distCenter	-0.003	-0.001	-0.000	-0.002	-0.053***	0.006	-0.002	0.025*	-0.009	-0.126***
	[0.010]	[0.009]	[0.009]	[0.007]	[0.018]	[0.021]	[0.007]	[0.013]	[0.008]	[0.017]
cgRelig_F	0.121*	0.154**	0.131*	0.035	-0.274***	0.126	0.081*	0.060	0.024	-0.077
	[0.067]	[0.074]	[0.068]	[0.041]	[0.077]	[0.083]	[0.048]	[0.065]	[0.047]	[0.094]
cgRelig_Miss	0.119	0.114	0.141	0.042	-0.245*	-0.062	0.144**	0.199*	0.028	-0.002
	[0.088]	[0.107]	[0.099]	[0.105]	[0.130]	[0.146]	[0.061]	[0.111]	[0.112]	[0.132]
CAPI	-0.039	-0.059	-0.054	-0.027	0.133	0.160*	-0.000	0.078	-0.061**	0.089
	[0.043]	[0.047]	[0.046]	[0.027]	[0.087]	[0.097]	[0.028]	[0.053]	[0.031]	[0.072]
houseOwn_Miss	-0.726***	-0.638***		-0.165		-0.025	-0.141		-0.738***	
	[0.079]	[0.119]		[0.260]		[0.388]	[0.246]		[0.048]	
Parma							0.031			
							[0.036]			
Reggio								0.034		0.023
								[0.061]		[0.073]
materna_Municipal								0.115*		0.110*
								[0.060]		[0.066]
Padova									-0.010	
									[0.038]	
Constant	1.527***	1.425***	1.474***	1.226***	0.384	0.759	1.427***	1.279***	1.205***	0.966
	[0.404]	[0.414]	[0.406]	[0.285]	[0.805]	[1.039]	[0.298]	[0.467]	[0.309]	[0.753]
										
Observations	308	308	307	728	725	726	594	591	584	582
R-squared	0.127	0.073	0.122	0.038	0.998	0.646	0.077	0.196	0.074	0.851
Sample	Reggio	Reggio	Reggio	RAvsPrPd	RAvsPP	RAvsPP	RePr	RePr	RePd	RePd
Mean	.8200000000000001	.8200000000000001	.8200000000000001	.8200000000000001	.8200000000000001	.8200000000000001	.8200000000000001	.8200000000000001	.8200000000000001	.8200000000000001
Robust standard errors in brackets										
*** p<0.01, ** p<0.05, * p<0.1										
Mean = average of the y-variable for the whole sample considered. Sample: Reggio = only respondents in the city of Reggio Emilia. RAvsPrPd = Reggio Approach and all the respondents in Parma and Padova. RePr= all of the respondents in Reggio Emilia and Parma. RePd= all of the respondents in Reggio Emilia and Padova. Estimation Procedure: OLS = Ordinary Least Square; IV = Instrumental variable approach; CF = control function approach										
cubic polynomial or residuals. PSM = simple propensity score matching. PSM2 = propensity sore matching using both demand and supply. DiD = differences-in-differences approach										
municipal schools vs other schools across different cities										
