	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)	(10)
VARIABLES	OLS	IV	CF	OLS	PSM	PSM2	OLS	DiD Pr	OLS	DiD Pd
										
ReggioAsilo	0.191*	0.340	0.312	0.022	-0.019	-0.598***	0.085	-0.115	0.168**	0.269*
	[0.097]	[0.677]	[0.242]	[0.049]	[0.057]	[0.165]	[0.071]	[0.155]	[0.070]	[0.158]
asilo_Municipal								0.220**		-0.147
								[0.096]		[0.104]
nido	-0.118	-0.241	-0.113	-0.034	-0.007	0.771***	0.009	-0.138	-0.105*	0.043
	[0.101]	[0.564]	[0.103]	[0.045]	[0.064]	[0.150]	[0.053]	[0.107]	[0.056]	[0.094]
unobs			-0.159							
			[0.356]							
unobs2			-0.170							
			[0.166]							
unobs3			0.055							
			[0.500]							
Age	-0.098	-0.096	-0.095	-0.058	-0.021	-0.350	-0.079	-0.021	-0.007	0.012
	[0.083]	[0.083]	[0.084]	[0.056]	[0.082]	[0.231]	[0.062]	[0.087]	[0.060]	[0.082]
Male	-0.043	-0.044	-0.053	-0.005	0.004	0.023	0.001	0.044	-0.060	-0.075
	[0.057]	[0.057]	[0.059]	[0.037]	[0.046]	[0.187]	[0.041]	[0.049]	[0.042]	[0.051]
poorBHealth	-0.050	-0.055	-0.078	-0.112*	-0.005	0.060	-0.120*	-0.062	-0.050	0.007
	[0.092]	[0.096]	[0.099]	[0.062]	[0.081]	[0.126]	[0.068]	[0.079]	[0.071]	[0.096]
oldsibs	-0.179	-0.149	-0.151	0.060	-0.050	0.005	-0.120	-0.282**	-0.002	-0.000
	[0.142]	[0.200]	[0.148]	[0.099]	[0.119]	[0.181]	[0.111]	[0.113]	[0.105]	[0.129]
momMaxEdu_Uni_F	0.083	0.082	0.064	-0.002	-0.104*	-0.836***	-0.006	-0.087	0.083	-0.000
	[0.074]	[0.075]	[0.078]	[0.043]	[0.057]	[0.176]	[0.049]	[0.059]	[0.052]	[0.067]
dadMaxEdu_Uni_F	0.092	0.110	0.109	0.041	0.086	0.716***	0.089*	0.107	0.037	0.052
	[0.076]	[0.113]	[0.077]	[0.046]	[0.069]	[0.113]	[0.051]	[0.070]	[0.054]	[0.066]
momMaxEdu_Uni_Miss	-0.224	-0.225	-0.186	0.224	0.061	-0.350	-0.078	-0.189	-0.072	-0.153
	[0.160]	[0.154]	[0.165]	[0.172]	[0.306]	[0.228]	[0.163]	[0.233]	[0.174]	[0.251]
dadMaxEdu_Uni_Miss	0.164*	0.154	0.156	0.029	0.286***	-0.462**	0.175**	0.286***	0.002	0.204**
	[0.097]	[0.105]	[0.100]	[0.068]	[0.089]	[0.183]	[0.072]	[0.068]	[0.074]	[0.101]
HighInc_F	-0.045	-0.039	-0.034	0.007	-0.057	-0.120	-0.053	-0.110	0.026	0.020
	[0.078]	[0.082]	[0.078]	[0.052]	[0.082]	[0.074]	[0.055]	[0.081]	[0.060]	[0.073]
HighInc_Miss	0.132*	0.140*	0.161*	-0.064	-0.082	0.528	-0.016	-0.052	0.044	0.065
	[0.071]	[0.080]	[0.084]	[0.048]	[0.063]	[0.426]	[0.053]	[0.063]	[0.051]	[0.059]
houseOwn_F	0.163***	0.170***	0.175***	0.054	0.064	0.054	0.124***	0.096*	0.057	0.039
	[0.058]	[0.064]	[0.059]	[0.040]	[0.057]	[0.142]	[0.044]	[0.055]	[0.043]	[0.055]
o.houseOwn_Miss			-		-			-		-
										
distCenter	0.016	0.016	0.013	0.006	0.009	0.117***	0.013	0.013	0.009	-0.006
	[0.012]	[0.011]	[0.012]	[0.009]	[0.015]	[0.034]	[0.008]	[0.013]	[0.010]	[0.013]
cgRelig_F	0.010	0.008	0.026	0.005	0.150*	-0.076	0.027	0.254**	0.016	-0.031
	[0.080]	[0.080]	[0.080]	[0.054]	[0.085]	[0.159]	[0.061]	[0.107]	[0.059]	[0.079]
cgRelig_Miss	0.314**	0.328**	0.307**	0.067	0.029	-0.458	-0.095	0.038	0.153	-0.065
	[0.130]	[0.166]	[0.132]	[0.128]	[0.154]	[0.430]	[0.212]	[0.140]	[0.127]	[0.190]
CAPI	-0.010	-0.012	-0.014	-0.033	-0.074	0.675***	-0.057	-0.143***	-0.002	0.082
	[0.059]	[0.061]	[0.060]	[0.038]	[0.056]	[0.123]	[0.041]	[0.054]	[0.042]	[0.057]
houseOwn_Miss	-0.494***	-0.492***		0.116		-0.292	0.132		-0.532***	
	[0.093]	[0.093]		[0.274]		[0.723]	[0.253]		[0.066]	
Parma							0.084			
							[0.058]			
Reggio								-0.073		-0.094
								[0.084]		[0.075]
nidoXreggio								0.121		-0.082
								[0.163]		[0.154]
Padova									0.070	
									[0.054]	
Constant	0.985*	0.962	0.919	0.961**	0.605	2.025	0.920**	0.470	0.485	0.462
	[0.578]	[0.586]	[0.614]	[0.382]	[0.548]	[1.481]	[0.430]	[0.601]	[0.416]	[0.545]
										
Observations	308	308	307	725	722	725	596	593	585	583
R-squared	0.096	0.089	0.098	0.018	0.068	0.860	0.052	0.147	0.039	0.045
Sample	Reggio	Reggio	Reggio	RAvsPrPd	RAvsPP	RAvsPP	RePr	RePr	RePd	RePd
Mean	.54	.54	.54	.54	.54	.54	.54	.54	.54	.54
Robust standard errors in brackets										
*** p<0.01, ** p<0.05, * p<0.1										
Mean = average of the y-variable for the whole sample considered. Sample: Reggio = only respondents in the city of Reggio Emilia. RAvsPrPd = Reggio Approach and all the respondents in Parma and Padova. RePr= all of the respondents in Reggio Emilia and Parma. RePd= all of the respondents in Reggio Emilia and Padova. Estimation Procedure: OLS = Ordinary Least Square; IV = Instrumental variable approach; CF = control function approach										
cubic polynomial or residuals. PSM = simple propensity score matching. PSM2 = propensity sore matching using both demand and supply. DiD = differences-in-differences approach										
municipal schools vs other schools across different cities										
