	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)	(10)
VARIABLES	OLS	IV	CF	OLS	PSM	PSM2	OLS	DiD Pr	OLS	DiD Pd
										
ReggioMaterna	0.053	0.341	0.377	0.027	0.029	0.027	0.052	0.119	0.049	-0.005
	[0.062]	[0.301]	[0.390]	[0.046]	[0.048]	[0.046]	[0.060]	[0.090]	[0.060]	[0.096]
unobsM			-0.428							
			[0.560]							
unobsM2			-0.128							
			[0.244]							
unobsM3			0.262							
			[0.699]							
Age	-0.067	-0.045	-0.046	0.033	-0.018	0.032	-0.021	-0.017	-0.026	-0.030
	[0.091]	[0.101]	[0.096]	[0.056]	[0.070]	[0.056]	[0.063]	[0.072]	[0.063]	[0.074]
Male	0.079	0.085	0.097	0.054	0.070	0.054	0.080*	0.041	0.064	0.080
	[0.062]	[0.066]	[0.064]	[0.038]	[0.045]	[0.038]	[0.043]	[0.047]	[0.043]	[0.049]
poorBHealth	-0.051	-0.021	-0.029	-0.163***	-0.135**	-0.156***	-0.066	-0.062	-0.139**	-0.123
	[0.105]	[0.125]	[0.110]	[0.059]	[0.067]	[0.060]	[0.069]	[0.074]	[0.070]	[0.076]
oldsibs	0.011	0.012	0.011	-0.008	-0.011	-0.014	0.003	0.003	-0.019	-0.069
	[0.063]	[0.065]	[0.064]	[0.041]	[0.048]	[0.041]	[0.046]	[0.052]	[0.044]	[0.050]
momMaxEdu_Uni_F	0.026	0.056	0.037	-0.027	-0.065	-0.026	-0.001	0.011	0.018	-0.025
	[0.077]	[0.085]	[0.084]	[0.049]	[0.057]	[0.049]	[0.054]	[0.059]	[0.054]	[0.062]
dadMaxEdu_Uni_F	0.107	0.092	0.082	0.044	0.062	0.039	0.152**	0.136**	-0.011	0.009
	[0.088]	[0.094]	[0.089]	[0.053]	[0.062]	[0.053]	[0.059]	[0.065]	[0.060]	[0.068]
momMaxEdu_Uni_Miss	-0.101	-0.094	-0.088	-0.149	-0.220**	-0.155	-0.085	-0.151	-0.203*	-0.312***
	[0.163]	[0.157]	[0.168]	[0.112]	[0.106]	[0.112]	[0.137]	[0.158]	[0.111]	[0.101]
dadMaxEdu_Uni_Miss	-0.043	-0.075	-0.070	-0.137**	-0.125	-0.144**	-0.115*	-0.207***	-0.094	-0.084
	[0.087]	[0.097]	[0.091]	[0.057]	[0.080]	[0.056]	[0.061]	[0.063]	[0.065]	[0.087]
HighInc_F	-0.035	-0.055	-0.048	0.010	0.015	0.017	0.036	0.028	-0.064	-0.084
	[0.076]	[0.083]	[0.077]	[0.053]	[0.059]	[0.053]	[0.055]	[0.060]	[0.059]	[0.063]
HighInc_Miss	-0.017	-0.032	-0.035	0.017	0.086	0.020	-0.029	0.011	0.027	0.102*
	[0.080]	[0.083]	[0.082]	[0.046]	[0.055]	[0.046]	[0.055]	[0.059]	[0.051]	[0.058]
houseOwn_F	-0.081	-0.085	-0.092	-0.000	-0.018	0.009	-0.075	-0.122*	0.040	0.036
	[0.083]	[0.084]	[0.085]	[0.049]	[0.061]	[0.049]	[0.058]	[0.064]	[0.054]	[0.062]
distCenter	0.024*	0.024*	0.023*	0.026**	0.023*	0.025**	0.031***	0.020*	0.016	0.011
	[0.013]	[0.013]	[0.014]	[0.010]	[0.012]	[0.011]	[0.010]	[0.011]	[0.011]	[0.012]
cgRelig_F	0.085	0.161	0.158	0.079	0.019	0.076	0.065	0.053	0.066	-0.027
	[0.076]	[0.112]	[0.110]	[0.052]	[0.062]	[0.053]	[0.057]	[0.063]	[0.057]	[0.065]
o.cgRelig_Miss			-		-			-		-
										
CAPI	0.016	-0.015	-0.007	-0.009	0.042	-0.014	0.008	0.019	-0.018	0.048
	[0.061]	[0.070]	[0.068]	[0.039]	[0.045]	[0.039]	[0.044]	[0.046]	[0.043]	[0.049]
cgRelig_Miss	-0.093	-0.167		-0.021		-0.018	-0.195		-0.028	
	[0.263]	[0.271]		[0.100]		[0.101]	[0.214]		[0.106]	
Parma							0.021			
							[0.054]			
Reggio								-0.061		0.010
								[0.064]		[0.066]
materna_Municipal								-0.068		0.059
								[0.066]		[0.073]
Padova									0.012	
									[0.056]	
Constant	1.557	0.933	0.976	-0.305	0.673	-0.281	0.684	0.756	0.800	0.915
	[1.720]	[1.977]	[1.902]	[1.055]	[1.318]	[1.063]	[1.193]	[1.369]	[1.187]	[1.391]
										
Observations	293	293	290	686	647	686	541	537	569	531
R-squared	0.042	-0.034	0.045	0.044	0.047	0.044	0.059	0.069	0.034	0.058
Sample	Reggio	Reggio	Reggio	RAvsPrPd	RAvsPP	RAvsPP	RePr	RePr	RePd	RePd
Mean	.44	.44	.44	.44	.44	.44	.44	.44	.44	.44
Robust standard errors in brackets										
*** p<0.01, ** p<0.05, * p<0.1										
Mean = average of the y-variable for the whole sample considered. Sample: Reggio = only respondents in the city of Reggio Emilia. RAvsPrPd = Reggio Approach and all the respondents in Parma and Padova. RePr= all of the respondents in Reggio Emilia and Parma. RePd= all of the respondents in Reggio Emilia and Padova. Estimation Procedure: OLS = Ordinary Least Square; IV = Instrumental variable approach; CF = control function approach										
cubic polynomial or residuals. PSM = simple propensity score matching. PSM2 = propensity sore matching using both demand and supply. DiD = differences-in-differences approach										
municipal schools vs other schools across different cities										
