	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)	(10)
VARIABLES	OLS	IV	CF	OLS	PSM	PSM2	OLS	DiD Pr	OLS	DiD Pd
										
ReggioAsilo	0.071	-0.167	0.175	0.093**	0.098*	0.076*	0.142**	-0.297*	0.059	0.175
	[0.118]	[0.871]	[0.209]	[0.041]	[0.057]	[0.043]	[0.061]	[0.174]	[0.058]	[0.155]
asilo_Municipal								0.331***		-0.118
								[0.127]		[0.104]
nido	-0.014	0.193	-0.045	-0.060*	-0.109**	-0.044	-0.104**	-0.449***	0.005	0.103*
	[0.120]	[0.813]	[0.129]	[0.036]	[0.053]	[0.040]	[0.047]	[0.119]	[0.043]	[0.060]
unobsA			-0.098							
			[0.278]							
unobsA2			0.222*							
			[0.115]							
unobsA3			0.029							
			[0.358]							
Age	0.068	0.057	0.078	-0.033	-0.028	-0.062	0.033	0.007	-0.033	-0.035
	[0.067]	[0.075]	[0.067]	[0.039]	[0.054]	[0.044]	[0.049]	[0.058]	[0.044]	[0.040]
Male	0.040	0.042	0.043	0.094***	0.063*	0.121***	0.091***	0.072*	0.051*	0.063**
	[0.042]	[0.044]	[0.044]	[0.028]	[0.037]	[0.031]	[0.032]	[0.039]	[0.028]	[0.031]
poorBHealth	0.010	0.038	0.051	-0.056	0.038	-0.067	-0.048	0.019	-0.014	-0.003
	[0.072]	[0.073]	[0.072]	[0.051]	[0.067]	[0.062]	[0.059]	[0.077]	[0.050]	[0.051]
oldsibs	-0.023	-0.030	-0.015	-0.008	-0.004	0.012	-0.006	0.001	-0.005	0.009
	[0.048]	[0.058]	[0.050]	[0.030]	[0.037]	[0.031]	[0.036]	[0.043]	[0.031]	[0.032]
momMaxEdu_Uni_F	0.057	0.050	0.056	0.023	0.039	0.040	0.069*	0.058	-0.007	-0.005
	[0.055]	[0.061]	[0.058]	[0.036]	[0.049]	[0.042]	[0.041]	[0.053]	[0.039]	[0.044]
dadMaxEdu_Uni_F	0.026	0.016	0.019	0.033	0.025	0.041	0.040	0.041	0.021	0.017
	[0.061]	[0.067]	[0.067]	[0.038]	[0.049]	[0.045]	[0.044]	[0.054]	[0.044]	[0.046]
o.momMaxEdu_Uni_Miss			-		-			-		-
										
dadMaxEdu_Uni_Miss	-0.191**	-0.144	-0.167**	-0.122**	-0.005	-0.115**	-0.159***	0.015	-0.126**	-0.132**
	[0.078]	[0.108]	[0.084]	[0.054]	[0.067]	[0.058]	[0.058]	[0.074]	[0.057]	[0.065]
HighInc_F	-0.056	-0.032	-0.047	-0.024	-0.040	-0.044	-0.023	-0.030	-0.066	-0.096**
	[0.055]	[0.087]	[0.058]	[0.038]	[0.048]	[0.044]	[0.040]	[0.051]	[0.045]	[0.048]
HighInc_Miss	-0.067	-0.060	-0.040	0.030	-0.022	0.016	-0.062	-0.064	0.021	-0.024
	[0.059]	[0.063]	[0.062]	[0.035]	[0.055]	[0.037]	[0.045]	[0.062]	[0.035]	[0.047]
houseOwn_F	-0.051	-0.064	-0.074	0.057	0.153**	0.049	0.013	0.138**	0.046	0.042
	[0.053]	[0.059]	[0.057]	[0.041]	[0.062]	[0.045]	[0.047]	[0.064]	[0.041]	[0.047]
distCenter	0.011	0.010	0.015	0.012	0.017	0.019**	0.010	0.020	0.008	0.001
	[0.010]	[0.011]	[0.011]	[0.008]	[0.012]	[0.008]	[0.008]	[0.013]	[0.008]	[0.009]
cgRelig_F	-0.042	-0.054	-0.036	0.037	0.102	0.032	0.002	0.029	-0.023	0.039
	[0.048]	[0.072]	[0.050]	[0.041]	[0.065]	[0.046]	[0.042]	[0.054]	[0.039]	[0.068]
cgRelig_Miss	0.140*	0.167**	0.140*	0.084	0.226**	0.048	0.115**	0.113	0.003	0.133
	[0.083]	[0.084]	[0.082]	[0.065]	[0.100]	[0.083]	[0.055]	[0.075]	[0.063]	[0.100]
CAPI	-0.013	0.001	-0.005	-0.032	-0.074*	-0.030	-0.043	-0.068	-0.006	-0.013
	[0.045]	[0.047]	[0.046]	[0.029]	[0.041]	[0.031]	[0.033]	[0.044]	[0.030]	[0.038]
momMaxEdu_Uni_Miss	-0.005			0.005		0.049	0.101		-0.121	
	[0.111]			[0.105]		[0.093]	[0.094]		[0.115]	
Parma							0.006			
							[0.045]			
Reggio								-0.071		-0.020
								[0.049]		[0.048]
nidoXreggio								0.448***		-0.128
								[0.167]		[0.130]
Padova									0.043	
									[0.041]	
Constant	-0.377	-0.171	-0.666	1.340*	1.138	1.833**	0.162	0.572	1.405*	1.467*
	[1.275]	[1.455]	[1.275]	[0.731]	[1.024]	[0.830]	[0.911]	[1.081]	[0.830]	[0.757]
										
Observations	293	274	274	676	638	676	541	508	569	536
R-squared	0.054	0.028	0.056	0.063	0.095	0.072	0.073	0.128	0.042	0.066
Sample	Reggio	Reggio	Reggio	RAvsPrPd	RAvsPP	RAvsPP	RePr	RePr	RePd	RePd
Mean	.85	.85	.85	.85	.85	.85	.85	.85	.85	.85
Robust standard errors in brackets										
*** p<0.01, ** p<0.05, * p<0.1										
Mean = average of the y-variable for the whole sample considered. Sample: Reggio = only respondents in the city of Reggio Emilia. RAvsPrPd = Reggio Approach and all the respondents in Parma and Padova. RePr= all of the respondents in Reggio Emilia and Parma. RePd= all of the respondents in Reggio Emilia and Padova. Estimation Procedure: OLS = Ordinary Least Square; IV = Instrumental variable approach; CF = control function approach										
cubic polynomial or residuals. PSM = simple propensity score matching. PSM2 = propensity sore matching using both demand and supply. DiD = differences-in-differences approach										
municipal schools vs other schools across different cities										
