	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)	(10)
VARIABLES	OLS	IV	CF	OLS	PSM	PSM2	OLS	DiD Pr	OLS	DiD Pd
										
ReggioMaterna	0.143**	0.482**	0.429**	0.067	0.006	0.083	0.153***	-0.153	0.127**	0.185
	[0.057]	[0.187]	[0.195]	[0.043]	[0.063]	[0.067]	[0.056]	[0.133]	[0.056]	[0.171]
unobs			-0.307							
			[0.329]							
unobs2			-0.306							
			[0.214]							
unobs3			-0.064							
			[0.593]							
Age	0.109	0.103	0.104	0.093*	0.271**	-0.193**	0.030	0.181	0.120**	0.322*
	[0.077]	[0.083]	[0.077]	[0.053]	[0.135]	[0.096]	[0.059]	[0.123]	[0.057]	[0.171]
Male	0.036	0.030	0.033	0.018	0.120	-0.178***	0.018	0.306***	0.051	0.078
	[0.055]	[0.058]	[0.056]	[0.036]	[0.106]	[0.061]	[0.040]	[0.087]	[0.040]	[0.128]
poorBHealth	0.001	-0.019	-0.021	-0.012	-0.083	0.273***	-0.016	0.097	0.017	-0.239*
	[0.092]	[0.100]	[0.093]	[0.061]	[0.094]	[0.074]	[0.067]	[0.105]	[0.068]	[0.144]
oldsibs	0.206	0.284*	0.270**	0.045	0.075	0.687*	0.192*	0.182	0.068	0.163
	[0.129]	[0.148]	[0.133]	[0.097]	[0.099]	[0.392]	[0.100]	[0.114]	[0.097]	[0.123]
momMaxEdu_Uni_F	0.122*	0.118*	0.110*	0.033	0.121	-0.457***	0.035	0.176*	0.096**	0.175
	[0.065]	[0.069]	[0.066]	[0.042]	[0.123]	[0.094]	[0.046]	[0.091]	[0.048]	[0.127]
dadMaxEdu_Uni_F	-0.122*	-0.110	-0.112	0.031	0.014	0.329***	0.010	0.041	-0.046	0.032
	[0.074]	[0.077]	[0.074]	[0.044]	[0.140]	[0.102]	[0.050]	[0.091]	[0.051]	[0.151]
momMaxEdu_Uni_Miss	-0.031	0.014	0.012	0.020	-0.206	-0.344	-0.083	-0.230	-0.011	-0.195
	[0.232]	[0.232]	[0.204]	[0.168]	[0.193]	[0.260]	[0.175]	[0.190]	[0.200]	[0.294]
dadMaxEdu_Uni_Miss	-0.224**	-0.273**	-0.267**	0.009	-0.239*	0.090*	-0.057	-0.374***	-0.111	-0.041
	[0.106]	[0.111]	[0.110]	[0.066]	[0.125]	[0.050]	[0.079]	[0.124]	[0.074]	[0.225]
HighInc_F	0.118	0.093	0.091	-0.039	-0.124	-0.786***	-0.033	-0.265***	0.091	-0.019
	[0.073]	[0.078]	[0.075]	[0.050]	[0.176]	[0.087]	[0.053]	[0.084]	[0.056]	[0.089]
HighInc_Miss	0.101	0.095	0.097	-0.076*	0.123	-0.219***	-0.038	0.056	0.073	0.080
	[0.070]	[0.075]	[0.070]	[0.044]	[0.110]	[0.074]	[0.051]	[0.093]	[0.048]	[0.077]
houseOwn_F	0.001	0.033	0.038	-0.012	-0.389***	0.256***	0.027	-0.227***	-0.025	-0.363**
	[0.057]	[0.062]	[0.060]	[0.038]	[0.126]	[0.091]	[0.043]	[0.071]	[0.042]	[0.146]
o.houseOwn_Miss			-		-			-		-
										
distCenter	-0.005	-0.002	-0.004	-0.009	-0.122***	-0.007	-0.000	-0.046***	-0.016*	-0.152***
	[0.011]	[0.011]	[0.011]	[0.009]	[0.023]	[0.016]	[0.008]	[0.014]	[0.010]	[0.027]
cgRelig_F	-0.043	0.017	0.041	-0.002	-0.062	-0.162***	-0.007	0.113	-0.028	-0.004
	[0.079]	[0.092]	[0.092]	[0.051]	[0.105]	[0.057]	[0.057]	[0.099]	[0.060]	[0.109]
cgRelig_Miss	0.230**	0.220	0.179	0.061	-0.332***	-0.729***	0.207	0.149	-0.016	-0.018
	[0.109]	[0.171]	[0.141]	[0.120]	[0.123]	[0.082]	[0.140]	[0.147]	[0.138]	[0.151]
CAPI	-0.057	-0.092	-0.102	-0.032	0.301**	0.271***	-0.112***	-0.051	0.006	0.183**
	[0.057]	[0.066]	[0.062]	[0.036]	[0.121]	[0.075]	[0.040]	[0.107]	[0.041]	[0.080]
houseOwn_Miss	-0.672***	-0.509***		0.039		0.143	-0.308		-0.107	
	[0.091]	[0.127]		[0.266]		[0.259]	[0.252]		[0.354]	
Parma							0.073			
							[0.052]			
Reggio								0.126		-0.105
								[0.098]		[0.093]
materna_Municipal								0.278**		-0.074
								[0.115]		[0.151]
Padova									0.062	
									[0.052]	
Constant	-0.170	-0.357	-0.277	0.052	-0.750	2.100***	0.394	-0.760	-0.247	-1.021
	[0.534]	[0.578]	[0.544]	[0.357]	[1.010]	[0.567]	[0.402]	[0.943]	[0.393]	[1.192]
										
Observations	308	308	307	731	728	728	596	593	585	583
R-squared	0.089	-0.026	0.099	0.018	0.998	0.910	0.038	0.998	0.045	0.729
Sample	Reggio	Reggio	Reggio	RAvsPrPd	RAvsPP	RAvsPP	RePr	RePr	RePd	RePd
Mean	.63	.63	.63	.63	.63	.63	.63	.63	.63	.63
Robust standard errors in brackets										
*** p<0.01, ** p<0.05, * p<0.1										
Mean = average of the y-variable for the whole sample considered. Sample: Reggio = only respondents in the city of Reggio Emilia. RAvsPrPd = Reggio Approach and all the respondents in Parma and Padova. RePr= all of the respondents in Reggio Emilia and Parma. RePd= all of the respondents in Reggio Emilia and Padova. Estimation Procedure: OLS = Ordinary Least Square; IV = Instrumental variable approach; CF = control function approach										
cubic polynomial or residuals. PSM = simple propensity score matching. PSM2 = propensity sore matching using both demand and supply. DiD = differences-in-differences approach										
municipal schools vs other schools across different cities										
