	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)	(10)
VARIABLES	OLS	IV	CF	OLS	PSM	PSM2	OLS	DiD Pr	OLS	DiD Pd
										
ReggioMaterna	0.132**	0.132	-0.008	0.039	0.039	0.036	0.126**	0.117	0.113**	0.198*
	[0.057]	[0.249]	[0.360]	[0.045]	[0.048]	[0.048]	[0.056]	[0.087]	[0.056]	[0.102]
unobs			0.242							
			[0.537]							
unobs2			-0.176							
			[0.217]							
unobs3			-0.350							
			[0.684]							
Age	0.016	0.016	0.018	0.014	-0.052	-0.040	-0.083	-0.094	0.049	0.027
	[0.079]	[0.079]	[0.079]	[0.055]	[0.064]	[0.062]	[0.061]	[0.064]	[0.058]	[0.069]
Male	0.113**	0.113**	0.116**	0.025	0.045	0.070*	0.035	0.058	0.091**	0.115**
	[0.057]	[0.057]	[0.057]	[0.037]	[0.042]	[0.041]	[0.040]	[0.044]	[0.041]	[0.048]
poorBHealth	-0.163*	-0.163*	-0.163*	-0.033	0.041	0.011	-0.110	-0.036	-0.052	0.002
	[0.092]	[0.092]	[0.093]	[0.064]	[0.073]	[0.066]	[0.068]	[0.073]	[0.071]	[0.088]
oldsibs	0.159	0.159	0.178	0.008	0.006	-0.016	0.068	0.072	0.100	0.108
	[0.109]	[0.111]	[0.121]	[0.092]	[0.103]	[0.102]	[0.087]	[0.103]	[0.080]	[0.090]
momMaxEdu_Uni_F	0.083	0.083	0.075	-0.004	-0.068	-0.006	0.027	-0.006	0.011	-0.073
	[0.070]	[0.070]	[0.070]	[0.043]	[0.047]	[0.047]	[0.048]	[0.050]	[0.050]	[0.057]
dadMaxEdu_Uni_F	0.003	0.002	0.003	0.098**	0.134***	0.128***	0.086*	0.139***	0.058	0.074
	[0.072]	[0.073]	[0.073]	[0.045]	[0.049]	[0.047]	[0.050]	[0.052]	[0.052]	[0.057]
momMaxEdu_Uni_Miss	-0.319*	-0.319*	-0.303*	-0.105	-0.246	-0.094	-0.282*	-0.352***	-0.252	-0.377***
	[0.177]	[0.183]	[0.180]	[0.194]	[0.177]	[0.188]	[0.153]	[0.123]	[0.175]	[0.134]
dadMaxEdu_Uni_Miss	-0.108	-0.108	-0.110	0.093	0.109	0.113	0.045	0.044	-0.028	-0.001
	[0.108]	[0.114]	[0.113]	[0.066]	[0.081]	[0.075]	[0.078]	[0.086]	[0.075]	[0.095]
HighInc_F	0.055	0.055	0.056	-0.040	-0.061	-0.054	-0.051	-0.089	0.051	0.070
	[0.078]	[0.080]	[0.080]	[0.052]	[0.057]	[0.055]	[0.055]	[0.058]	[0.060]	[0.066]
HighInc_Miss	0.110	0.110	0.113	-0.024	-0.083*	-0.078	0.005	-0.068	0.086*	0.027
	[0.071]	[0.072]	[0.072]	[0.044]	[0.050]	[0.053]	[0.051]	[0.054]	[0.049]	[0.058]
houseOwn_F	0.065	0.065	0.065	0.024	0.021	0.024	0.071	0.080*	0.018	0.017
	[0.059]	[0.061]	[0.062]	[0.040]	[0.047]	[0.044]	[0.044]	[0.046]	[0.043]	[0.052]
o.houseOwn_Miss			-		-			-		-
										
distCenter	-0.008	-0.008	-0.010	-0.020**	-0.016	-0.012	-0.007	-0.005	-0.023**	-0.019
	[0.011]	[0.011]	[0.011]	[0.010]	[0.011]	[0.011]	[0.008]	[0.009]	[0.010]	[0.011]
cgRelig_F	0.062	0.062	0.063	0.080	0.088	0.134*	0.078	0.127*	0.045	-0.019
	[0.081]	[0.092]	[0.095]	[0.053]	[0.058]	[0.069]	[0.061]	[0.066]	[0.060]	[0.069]
cgRelig_Miss	0.259**	0.259**	0.347***	0.143	0.140	0.197	0.201	0.177	0.078	0.036
	[0.128]	[0.128]	[0.114]	[0.124]	[0.143]	[0.136]	[0.144]	[0.202]	[0.139]	[0.167]
CAPI	-0.167***	-0.167***	-0.175***	-0.072*	-0.066	-0.082**	-0.127***	-0.139***	-0.090**	-0.082*
	[0.058]	[0.064]	[0.065]	[0.037]	[0.042]	[0.041]	[0.041]	[0.043]	[0.042]	[0.048]
houseOwn_Miss	-0.881***	-0.881***		0.063		0.059	-0.363*		-0.306	
	[0.235]	[0.259]		[0.255]		[0.226]	[0.205]		[0.309]	
Parma							0.080			
							[0.051]			
Reggio								-0.080		-0.110*
								[0.065]		[0.061]
materna_Municipal								0.016		-0.067
								[0.063]		[0.083]
Padova									0.051	
									[0.052]	
Constant	0.284	0.284	0.386	0.445	0.895**	0.721*	0.984**	1.092**	0.123	0.414
	[0.544]	[0.553]	[0.582]	[0.376]	[0.434]	[0.404]	[0.417]	[0.437]	[0.405]	[0.475]
										
Observations	309	309	307	731	728	731	597	593	586	583
R-squared	0.131	0.131	0.130	0.026	0.041	0.045	0.063	0.082	0.055	0.049
Sample	Reggio	Reggio	Reggio	RAvsPrPd	RAvsPP	RAvsPP	RePr	RePr	RePd	RePd
Mean	.53	.53	.53	.53	.53	.53	.53	.53	.53	.53
Robust standard errors in brackets										
*** p<0.01, ** p<0.05, * p<0.1										
Mean = average of the y-variable for the whole sample considered. Sample: Reggio = only respondents in the city of Reggio Emilia. RAvsPrPd = Reggio Approach and all the respondents in Parma and Padova. RePr= all of the respondents in Reggio Emilia and Parma. RePd= all of the respondents in Reggio Emilia and Padova. Estimation Procedure: OLS = Ordinary Least Square; IV = Instrumental variable approach; CF = control function approach										
cubic polynomial or residuals. PSM = simple propensity score matching. PSM2 = propensity sore matching using both demand and supply. DiD = differences-in-differences approach										
municipal schools vs other schools across different cities										
