	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)	(10)
VARIABLES	OLS	IV	CF	OLS	PSM	PSM2	OLS	DiD Pr	OLS	DiD Pd
										
ReggioAsilo	-0.041	0.322	-0.130	0.002	-0.076	0.010	0.024	-0.274	0.019	0.068
	[0.149]	[1.029]	[0.274]	[0.055]	[0.063]	[0.056]	[0.079]	[0.200]	[0.081]	[0.283]
asilo_Municipal								0.283**		0.026
								[0.124]		[0.225]
nido	0.047	-0.309	0.120	-0.033	0.072	-0.034	-0.045	-0.279**	-0.033	0.104
	[0.150]	[0.963]	[0.145]	[0.046]	[0.065]	[0.047]	[0.058]	[0.127]	[0.062]	[0.215]
unobsA			-0.168							
			[0.403]							
unobsA2			-0.159							
			[0.182]							
unobsA3			0.480							
			[0.552]							
Age	-0.024	0.021	-0.011	0.059	0.065	0.056	0.107*	0.018	-0.018	0.005
	[0.091]	[0.107]	[0.094]	[0.057]	[0.078]	[0.059]	[0.064]	[0.073]	[0.063]	[0.082]
Male	-0.159***	-0.149**	-0.149**	-0.149***	-0.267***	-0.175***	-0.102**	-0.185***	-0.187***	-0.187***
	[0.060]	[0.063]	[0.062]	[0.038]	[0.053]	[0.040]	[0.043]	[0.055]	[0.042]	[0.054]
poorBHealth	0.041	0.060	0.044	-0.034	-0.050	-0.091	-0.014	-0.040	-0.004	-0.060
	[0.104]	[0.112]	[0.108]	[0.065]	[0.085]	[0.071]	[0.072]	[0.092]	[0.074]	[0.084]
oldsibs	-0.005	0.009	-0.009	0.001	-0.113*	0.009	0.005	-0.014	0.031	-0.082
	[0.064]	[0.071]	[0.065]	[0.041]	[0.062]	[0.042]	[0.045]	[0.057]	[0.045]	[0.059]
momMaxEdu_Uni_F	0.022	0.010	-0.002	0.037	0.074	0.016	0.044	0.038	0.007	0.017
	[0.075]	[0.087]	[0.077]	[0.046]	[0.062]	[0.048]	[0.053]	[0.060]	[0.053]	[0.062]
dadMaxEdu_Uni_F	-0.011	-0.004	-0.005	0.071	0.148**	0.084	0.032	0.020	0.065	0.242***
	[0.087]	[0.098]	[0.091]	[0.050]	[0.069]	[0.052]	[0.058]	[0.065]	[0.058]	[0.076]
o.momMaxEdu_Uni_Miss			-		-			-		-
										
dadMaxEdu_Uni_Miss	-0.011	0.022	0.076	-0.015	0.176**	0.007	-0.000	0.151**	-0.033	-0.008
	[0.093]	[0.117]	[0.101]	[0.063]	[0.078]	[0.067]	[0.065]	[0.063]	[0.069]	[0.083]
HighInc_F	0.130*	0.118	0.157*	0.069	0.061	0.066	0.105**	0.086	0.063	0.027
	[0.075]	[0.110]	[0.082]	[0.050]	[0.067]	[0.052]	[0.053]	[0.061]	[0.058]	[0.069]
HighInc_Miss	0.157**	0.176**	0.160*	-0.117**	-0.088	-0.120**	-0.017	-0.044	0.013	0.019
	[0.077]	[0.080]	[0.082]	[0.048]	[0.068]	[0.050]	[0.056]	[0.068]	[0.052]	[0.062]
houseOwn_F	-0.112	-0.105	-0.098	-0.023	0.029	-0.041	-0.065	0.029	-0.033	-0.129*
	[0.081]	[0.095]	[0.088]	[0.051]	[0.064]	[0.053]	[0.058]	[0.067]	[0.056]	[0.067]
distCenter	-0.005	-0.006	-0.011	-0.005	-0.015	-0.005	0.003	0.009	-0.003	-0.027*
	[0.013]	[0.013]	[0.014]	[0.010]	[0.015]	[0.011]	[0.010]	[0.011]	[0.010]	[0.015]
cgRelig_F	-0.055	-0.048	-0.082	-0.000	0.083	0.028	-0.065	-0.010	0.014	0.066
	[0.071]	[0.094]	[0.073]	[0.053]	[0.065]	[0.057]	[0.055]	[0.066]	[0.055]	[0.069]
cgRelig_Miss	-0.636***	-0.660***	-0.620***	0.090	-0.059	0.096	-0.579***	-0.580***	0.052	-0.082
	[0.107]	[0.116]	[0.111]	[0.102]	[0.139]	[0.107]	[0.088]	[0.111]	[0.103]	[0.126]
CAPI	0.068	0.070	0.078	0.019	-0.037	0.030	0.036	-0.036	0.040	0.065
	[0.059]	[0.063]	[0.062]	[0.039]	[0.056]	[0.041]	[0.043]	[0.050]	[0.043]	[0.053]
momMaxEdu_Uni_Miss	0.063			0.093		0.091	0.046		0.029	
	[0.204]			[0.123]		[0.129]	[0.174]		[0.134]	
Parma							0.040			
							[0.058]			
Reggio								-0.161**		0.160**
								[0.078]		[0.076]
nidoXreggio								0.273		-0.204
								[0.203]		[0.278]
Padova									-0.057	
									[0.054]	
Constant	1.151	0.297	0.951	-0.435	-0.589	-0.379	-1.327	0.411	0.969	0.484
	[1.718]	[2.060]	[1.767]	[1.079]	[1.450]	[1.116]	[1.209]	[1.365]	[1.185]	[1.524]
										
Observations	293	274	274	676	638	676	541	508	569	536
R-squared	0.073	0.050	0.086	0.057	0.214	0.069	0.050	0.175	0.053	0.164
Sample	Reggio	Reggio	Reggio	RAvsPrPd	RAvsPP	RAvsPP	RePr	RePr	RePd	RePd
Mean	.58	.58	.58	.58	.58	.58	.58	.58	.58	.58
Robust standard errors in brackets										
*** p<0.01, ** p<0.05, * p<0.1										
Mean = average of the y-variable for the whole sample considered. Sample: Reggio = only respondents in the city of Reggio Emilia. RAvsPrPd = Reggio Approach and all the respondents in Parma and Padova. RePr= all of the respondents in Reggio Emilia and Parma. RePd= all of the respondents in Reggio Emilia and Padova. Estimation Procedure: OLS = Ordinary Least Square; IV = Instrumental variable approach; CF = control function approach										
cubic polynomial or residuals. PSM = simple propensity score matching. PSM2 = propensity sore matching using both demand and supply. DiD = differences-in-differences approach										
municipal schools vs other schools across different cities										
