	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)	(10)
VARIABLES	OLS	IV	CF	OLS	PSM	PSM2	OLS	DiD Pr	OLS	DiD Pd
										
ReggioMaterna	0.032	-0.389	-0.588	0.023	0.036	0.024	0.040	0.078	0.036	0.073
	[0.060]	[0.304]	[0.385]	[0.046]	[0.047]	[0.046]	[0.059]	[0.089]	[0.059]	[0.096]
unobsM			0.863							
			[0.545]							
unobsM2			0.249							
			[0.226]							
unobsM3			-0.644							
			[0.654]							
Age	-0.019	-0.052	-0.045	0.054	0.112*	0.060	0.101	0.160**	-0.017	0.021
	[0.091]	[0.100]	[0.093]	[0.055]	[0.063]	[0.056]	[0.063]	[0.070]	[0.063]	[0.072]
Male	-0.157***	-0.166**	-0.177***	-0.138***	-0.143***	-0.138***	-0.104**	-0.082*	-0.188***	-0.228***
	[0.060]	[0.066]	[0.060]	[0.038]	[0.044]	[0.038]	[0.043]	[0.046]	[0.042]	[0.048]
poorBHealth	0.045	0.001	0.009	-0.020	-0.057	-0.024	-0.013	-0.074	-0.004	-0.015
	[0.103]	[0.123]	[0.107]	[0.065]	[0.070]	[0.065]	[0.072]	[0.078]	[0.074]	[0.083]
oldsibs	-0.004	-0.006	-0.007	0.007	0.026	0.003	0.004	-0.014	0.032	0.064
	[0.063]	[0.068]	[0.065]	[0.040]	[0.047]	[0.040]	[0.046]	[0.050]	[0.045]	[0.050]
momMaxEdu_Uni_F	0.026	-0.017	-0.003	0.011	-0.007	0.014	0.044	0.032	0.005	-0.007
	[0.075]	[0.087]	[0.081]	[0.047]	[0.055]	[0.047]	[0.053]	[0.057]	[0.052]	[0.058]
dadMaxEdu_Uni_F	-0.010	0.012	0.012	0.088*	0.051	0.087*	0.030	0.029	0.065	0.047
	[0.086]	[0.097]	[0.087]	[0.050]	[0.060]	[0.050]	[0.058]	[0.063]	[0.058]	[0.065]
momMaxEdu_Uni_Miss	0.063	0.053	0.044	-0.037	0.025	-0.045	0.036	0.127	0.025	0.106
	[0.204]	[0.208]	[0.187]	[0.129]	[0.140]	[0.131]	[0.172]	[0.149]	[0.133]	[0.139]
dadMaxEdu_Uni_Miss	-0.016	0.030	0.028	-0.005	0.033	-0.009	-0.001	0.064	-0.035	-0.018
	[0.092]	[0.099]	[0.095]	[0.062]	[0.073]	[0.062]	[0.065]	[0.070]	[0.069]	[0.083]
HighInc_F	0.126*	0.154*	0.157**	0.091*	0.093*	0.085*	0.104*	0.108*	0.062	0.032
	[0.074]	[0.086]	[0.077]	[0.050]	[0.056]	[0.051]	[0.053]	[0.056]	[0.057]	[0.062]
HighInc_Miss	0.154**	0.177**	0.188**	-0.091**	-0.117**	-0.098**	-0.012	-0.034	0.014	-0.011
	[0.076]	[0.082]	[0.076]	[0.046]	[0.053]	[0.046]	[0.056]	[0.059]	[0.051]	[0.057]
houseOwn_F	-0.110	-0.103	-0.085	-0.038	-0.006	-0.033	-0.067	-0.054	-0.035	-0.010
	[0.080]	[0.089]	[0.080]	[0.050]	[0.061]	[0.050]	[0.057]	[0.061]	[0.055]	[0.063]
distCenter	-0.005	-0.006	-0.006	-0.001	-0.006	-0.003	0.003	0.008	-0.003	-0.011
	[0.013]	[0.013]	[0.013]	[0.010]	[0.012]	[0.010]	[0.010]	[0.011]	[0.010]	[0.012]
cgRelig_F	-0.044	-0.155	-0.172*	0.043	0.083	0.041	-0.057	-0.065	0.021	0.039
	[0.071]	[0.107]	[0.102]	[0.052]	[0.060]	[0.052]	[0.056]	[0.061]	[0.056]	[0.065]
o.cgRelig_Miss			-		-			-		-
										
CAPI	0.066	0.110	0.103	0.031	0.013	0.024	0.033	0.028	0.038	0.007
	[0.059]	[0.071]	[0.065]	[0.038]	[0.043]	[0.038]	[0.043]	[0.046]	[0.043]	[0.048]
cgRelig_Miss	-0.644***	-0.535***		0.099		0.120	-0.585***		0.059	
	[0.108]	[0.135]		[0.100]		[0.099]	[0.085]		[0.104]	
Parma							0.053			
							[0.054]			
Reggio								-0.052		0.073
								[0.064]		[0.065]
materna_Municipal								-0.048		-0.048
								[0.065]		[0.074]
Padova									-0.038	
									[0.055]	
Constant	1.033	1.944	1.862	-0.410	-1.509	-0.509	-1.256	-2.302*	0.922	0.201
	[1.711]	[1.932]	[1.837]	[1.043]	[1.183]	[1.048]	[1.195]	[1.321]	[1.187]	[1.346]
										
Observations	293	293	290	686	647	686	541	537	569	531
R-squared	0.073	-0.091	0.080	0.053	0.073	0.053	0.049	0.050	0.054	0.084
Sample	Reggio	Reggio	Reggio	RAvsPrPd	RAvsPP	RAvsPP	RePr	RePr	RePd	RePd
Mean	.58	.58	.58	.58	.58	.58	.58	.58	.58	.58
Robust standard errors in brackets										
*** p<0.01, ** p<0.05, * p<0.1										
Mean = average of the y-variable for the whole sample considered. Sample: Reggio = only respondents in the city of Reggio Emilia. RAvsPrPd = Reggio Approach and all the respondents in Parma and Padova. RePr= all of the respondents in Reggio Emilia and Parma. RePd= all of the respondents in Reggio Emilia and Padova. Estimation Procedure: OLS = Ordinary Least Square; IV = Instrumental variable approach; CF = control function approach										
cubic polynomial or residuals. PSM = simple propensity score matching. PSM2 = propensity sore matching using both demand and supply. DiD = differences-in-differences approach										
municipal schools vs other schools across different cities										
