	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)	(10)
VARIABLES	OLS	IV	CF	OLS	PSM	PSM2	OLS	DiD Pr	OLS	DiD Pd
										
ReggioMaterna	0.032	0.202	0.491**	-0.000	0.159**	0.111	0.025	0.170	0.031	0.250
	[0.058]	[0.210]	[0.213]	[0.046]	[0.070]	[0.083]	[0.057]	[0.111]	[0.058]	[0.208]
unobs			-0.823**							
			[0.336]							
unobs2			0.198							
			[0.212]							
unobs3			1.148**							
			[0.541]							
Age	-0.134	-0.138	-0.137*	0.078	-0.365***	-0.434***	-0.046	-0.305***	0.028	0.276
	[0.083]	[0.085]	[0.083]	[0.056]	[0.127]	[0.136]	[0.062]	[0.097]	[0.060]	[0.182]
Male	0.066	0.063	0.075	-0.069*	0.320***	-0.059	-0.024	0.100**	-0.015	0.143
	[0.058]	[0.059]	[0.057]	[0.037]	[0.120]	[0.185]	[0.041]	[0.050]	[0.042]	[0.148]
poorBHealth	0.081	0.071	0.080	0.072	0.428***	-0.064	0.043	-0.013	0.044	0.114
	[0.092]	[0.091]	[0.093]	[0.061]	[0.163]	[0.133]	[0.067]	[0.082]	[0.070]	[0.105]
oldsibs	0.112	0.151	0.128	0.105	0.281**	0.565**	0.048	0.197	0.145	0.145
	[0.152]	[0.163]	[0.153]	[0.102]	[0.127]	[0.252]	[0.115]	[0.128]	[0.097]	[0.120]
momMaxEdu_Uni_F	0.008	0.006	-0.000	0.033	0.279*	-0.065	0.016	-0.009	0.032	0.423***
	[0.071]	[0.072]	[0.073]	[0.043]	[0.152]	[0.243]	[0.048]	[0.058]	[0.051]	[0.157]
dadMaxEdu_Uni_F	0.243***	0.249***	0.252***	0.011	-0.294	-0.266	0.155***	0.381***	0.026	-0.309*
	[0.073]	[0.074]	[0.074]	[0.046]	[0.186]	[0.439]	[0.051]	[0.069]	[0.055]	[0.171]
momMaxEdu_Uni_Miss	-0.065	-0.042	-0.106	-0.115	-0.150	-0.190	0.033	-0.029	-0.106	-0.137
	[0.203]	[0.228]	[0.212]	[0.194]	[0.429]	[0.226]	[0.167]	[0.232]	[0.185]	[0.329]
dadMaxEdu_Uni_Miss	-0.095	-0.119	-0.103	-0.074	-0.087	-0.395***	0.008	0.179*	-0.169**	-0.043
	[0.100]	[0.105]	[0.105]	[0.066]	[0.162]	[0.084]	[0.078]	[0.094]	[0.071]	[0.166]
HighInc_F	-0.033	-0.045	-0.039	0.048	0.426**	-0.467**	0.028	0.300***	0.038	0.197
	[0.080]	[0.082]	[0.081]	[0.053]	[0.196]	[0.224]	[0.056]	[0.073]	[0.062]	[0.136]
HighInc_Miss	0.087	0.084	0.081	-0.001	0.074	-0.275**	0.100*	0.231**	-0.012	0.099
	[0.072]	[0.075]	[0.072]	[0.046]	[0.124]	[0.109]	[0.053]	[0.091]	[0.050]	[0.096]
houseOwn_F	0.040	0.056	0.043	0.065	0.552***	0.326	0.076*	0.129***	0.051	0.525***
	[0.059]	[0.062]	[0.061]	[0.040]	[0.155]	[0.281]	[0.044]	[0.049]	[0.044]	[0.149]
o.houseOwn_Miss			-		-			-		-
										
distCenter	0.004	0.006	0.007	0.005	0.054**	-0.210***	0.008	0.014	0.003	0.107***
	[0.011]	[0.012]	[0.012]	[0.010]	[0.027]	[0.041]	[0.009]	[0.011]	[0.010]	[0.030]
cgRelig_F	0.070	0.099	0.094	0.052	0.490***	0.166	0.070	0.195***	0.074	0.130
	[0.080]	[0.087]	[0.086]	[0.053]	[0.108]	[0.160]	[0.060]	[0.061]	[0.059]	[0.149]
cgRelig_Miss	0.492***	0.487***	0.488***	0.123	0.385***	0.513***	0.080	-0.437***	0.245*	0.256
	[0.142]	[0.150]	[0.151]	[0.122]	[0.129]	[0.154]	[0.183]	[0.097]	[0.128]	[0.198]
CAPI	-0.012	-0.029	-0.013	-0.038	0.109	0.287	0.023	-0.051	-0.057	-0.225***
	[0.060]	[0.066]	[0.065]	[0.038]	[0.188]	[0.205]	[0.042]	[0.050]	[0.042]	[0.077]
houseOwn_Miss	0.550***	0.631***		-0.108		0.098	0.198		0.053	
	[0.094]	[0.129]		[0.282]		[0.442]	[0.275]		[0.351]	
Parma							0.014			
							[0.052]			
Reggio								-0.033		-0.029
								[0.078]		[0.103]
materna_Municipal								-0.127		-0.207
								[0.090]		[0.193]
Padova									0.019	
									[0.053]	
Constant	1.162**	1.069*	0.870	-0.103	1.513	3.848***	0.562	2.006***	0.199	-2.213*
	[0.577]	[0.595]	[0.585]	[0.377]	[0.988]	[0.758]	[0.426]	[0.631]	[0.417]	[1.291]
										
Observations	308	308	307	731	728	728	596	593	585	583
R-squared	0.092	0.065	0.104	0.026	0.998	0.936	0.044	0.999	0.035	0.672
Sample	Reggio	Reggio	Reggio	RAvsPrPd	RAvsPP	RAvsPP	RePr	RePr	RePd	RePd
Mean	.48	.48	.48	.48	.48	.48	.48	.48	.48	.48
Robust standard errors in brackets										
*** p<0.01, ** p<0.05, * p<0.1										
Mean = average of the y-variable for the whole sample considered. Sample: Reggio = only respondents in the city of Reggio Emilia. RAvsPrPd = Reggio Approach and all the respondents in Parma and Padova. RePr= all of the respondents in Reggio Emilia and Parma. RePd= all of the respondents in Reggio Emilia and Padova. Estimation Procedure: OLS = Ordinary Least Square; IV = Instrumental variable approach; CF = control function approach										
cubic polynomial or residuals. PSM = simple propensity score matching. PSM2 = propensity sore matching using both demand and supply. DiD = differences-in-differences approach										
municipal schools vs other schools across different cities										
