	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)	(10)
VARIABLES	OLS	IV	CF	OLS	PSM	PSM2	OLS	DiD Pr	OLS	DiD Pd
										
ReggioAsilo	0.074	-0.055	-0.204	0.029	-0.017	0.052	0.112	-0.257	0.050	0.200
	[0.151]	[1.067]	[0.286]	[0.054]	[0.068]	[0.056]	[0.079]	[0.195]	[0.079]	[0.217]
asilo_Municipal								0.319***		-0.150
								[0.113]		[0.169]
nido	-0.008	0.111	0.098	-0.007	0.002	-0.033	-0.058	-0.283**	0.018	0.075
	[0.153]	[0.992]	[0.159]	[0.046]	[0.063]	[0.049]	[0.060]	[0.112]	[0.060]	[0.164]
unobsA			-0.033							
			[0.376]							
unobsA2			-0.089							
			[0.177]							
unobsA3			0.703							
			[0.499]							
Age	0.155*	0.148	0.141	0.079	0.035	0.096	0.143**	0.064	0.101*	0.028
	[0.093]	[0.111]	[0.096]	[0.056]	[0.079]	[0.058]	[0.065]	[0.082]	[0.061]	[0.072]
Male	-0.128**	-0.119*	-0.114*	-0.131***	-0.226***	-0.129***	-0.091**	-0.153***	-0.153***	-0.147***
	[0.060]	[0.062]	[0.061]	[0.038]	[0.053]	[0.040]	[0.043]	[0.058]	[0.041]	[0.048]
poorBHealth	0.171*	0.138	0.136	0.008	0.066	-0.011	0.060	0.080	0.096	0.077
	[0.103]	[0.110]	[0.108]	[0.066]	[0.086]	[0.074]	[0.072]	[0.100]	[0.073]	[0.086]
oldsibs	-0.080	-0.088	-0.095	-0.050	-0.020	-0.038	-0.097**	-0.080	0.012	0.008
	[0.062]	[0.070]	[0.063]	[0.040]	[0.055]	[0.043]	[0.045]	[0.060]	[0.043]	[0.048]
momMaxEdu_Uni_F	0.002	0.011	0.017	0.009	0.034	-0.005	0.024	0.075	-0.010	-0.014
	[0.076]	[0.086]	[0.078]	[0.047]	[0.066]	[0.050]	[0.055]	[0.070]	[0.053]	[0.059]
dadMaxEdu_Uni_F	0.127	0.078	0.095	0.082	0.040	0.094*	0.060	0.013	0.128**	0.155**
	[0.085]	[0.094]	[0.090]	[0.051]	[0.068]	[0.055]	[0.061]	[0.077]	[0.057]	[0.064]
o.momMaxEdu_Uni_Miss			-		-			-		-
										
dadMaxEdu_Uni_Miss	-0.106	-0.081	-0.018	-0.001	0.197**	0.010	-0.078	0.088	-0.026	-0.001
	[0.085]	[0.114]	[0.095]	[0.062]	[0.088]	[0.068]	[0.064]	[0.088]	[0.065]	[0.076]
HighInc_F	0.123	0.140	0.177**	0.094*	0.116	0.071	0.094*	0.066	0.062	0.072
	[0.075]	[0.109]	[0.081]	[0.053]	[0.072]	[0.057]	[0.056]	[0.072]	[0.058]	[0.066]
HighInc_Miss	-0.025	-0.009	-0.046	-0.159***	-0.119	-0.164***	-0.093*	-0.056	-0.106**	-0.098*
	[0.077]	[0.080]	[0.082]	[0.046]	[0.073]	[0.049]	[0.054]	[0.075]	[0.049]	[0.058]
houseOwn_F	-0.104	-0.095	-0.047	-0.050	0.053	-0.052	-0.068	0.078	-0.082	-0.122*
	[0.081]	[0.096]	[0.090]	[0.051]	[0.065]	[0.056]	[0.058]	[0.068]	[0.053]	[0.063]
distCenter	-0.005	-0.005	-0.015	-0.007	0.013	-0.003	-0.007	0.018	-0.002	0.006
	[0.013]	[0.014]	[0.016]	[0.011]	[0.014]	[0.012]	[0.010]	[0.014]	[0.010]	[0.012]
cgRelig_F	0.005	-0.014	-0.048	0.075	0.113	0.093*	0.047	0.107	0.052	0.060
	[0.070]	[0.095]	[0.074]	[0.051]	[0.070]	[0.056]	[0.055]	[0.073]	[0.053]	[0.061]
cgRelig_Miss	0.018	0.012	0.079	-0.014	-0.263**	-0.039	-0.043	-0.203	-0.025	-0.180**
	[0.286]	[0.279]	[0.282]	[0.093]	[0.104]	[0.095]	[0.232]	[0.189]	[0.093]	[0.087]
CAPI	-0.009	0.003	0.027	-0.017	-0.033	0.002	0.010	-0.035	-0.058	-0.040
	[0.059]	[0.062]	[0.062]	[0.038]	[0.057]	[0.041]	[0.043]	[0.056]	[0.041]	[0.049]
momMaxEdu_Uni_Miss	-0.103			0.014		0.031	-0.042		-0.040	
	[0.170]			[0.122]		[0.133]	[0.157]		[0.117]	
Parma							0.072			
							[0.058]			
Reggio								-0.249***		-0.015
								[0.082]		[0.066]
nidoXreggio								0.355*		0.007
								[0.194]		[0.213]
Padova									-0.019	
									[0.053]	
Constant	-2.353	-2.230	-1.995	-0.955	-0.261	-1.292	-2.169*	-0.742	-1.393	-0.063
	[1.738]	[2.141]	[1.814]	[1.052]	[1.490]	[1.096]	[1.214]	[1.536]	[1.156]	[1.353]
										
Observations	293	274	274	676	638	676	541	508	569	536
R-squared	0.086	0.071	0.096	0.080	0.260	0.081	0.063	0.192	0.090	0.170
Sample	Reggio	Reggio	Reggio	RAvsPrPd	RAvsPP	RAvsPP	RePr	RePr	RePd	RePd
Mean	.44	.44	.44	.44	.44	.44	.44	.44	.44	.44
Robust standard errors in brackets										
*** p<0.01, ** p<0.05, * p<0.1										
Mean = average of the y-variable for the whole sample considered. Sample: Reggio = only respondents in the city of Reggio Emilia. RAvsPrPd = Reggio Approach and all the respondents in Parma and Padova. RePr= all of the respondents in Reggio Emilia and Parma. RePd= all of the respondents in Reggio Emilia and Padova. Estimation Procedure: OLS = Ordinary Least Square; IV = Instrumental variable approach; CF = control function approach										
cubic polynomial or residuals. PSM = simple propensity score matching. PSM2 = propensity sore matching using both demand and supply. DiD = differences-in-differences approach										
municipal schools vs other schools across different cities										
