	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)	(10)
VARIABLES	OLS	IV	CF	OLS	PSM	PSM2	OLS	DiD Pr	OLS	DiD Pd
										
ReggioAsilo	-0.060	-0.039	0.003	0.025	-0.012	0.026	-0.019	0.005	0.051	-0.061
	[0.091]	[0.552]	[0.187]	[0.036]	[0.035]	[0.037]	[0.049]	[0.156]	[0.055]	[0.220]
asilo_Municipal								0.011		0.120
								[0.084]		[0.182]
nido	0.075	0.046	0.086	-0.005	0.043	0.006	0.033	0.076	-0.044	-0.129
	[0.089]	[0.511]	[0.093]	[0.031]	[0.031]	[0.034]	[0.037]	[0.096]	[0.045]	[0.170]
unobsA			-0.300							
			[0.285]							
unobsA2			0.042							
			[0.105]							
unobsA3			0.661*							
			[0.391]							
Age	-0.083*	-0.075	-0.079	0.015	-0.074	-0.004	-0.035	-0.102*	-0.034	-0.068
	[0.048]	[0.061]	[0.049]	[0.037]	[0.048]	[0.042]	[0.039]	[0.059]	[0.040]	[0.044]
Male	-0.030	-0.026	-0.024	-0.033	-0.074**	-0.027	-0.020	-0.048	-0.023	-0.045
	[0.037]	[0.038]	[0.039]	[0.025]	[0.036]	[0.026]	[0.027]	[0.044]	[0.028]	[0.033]
poorBHealth	-0.021	-0.020	-0.022	0.098***	0.129***	0.101***	0.032	0.127**	0.041	0.052
	[0.066]	[0.073]	[0.075]	[0.027]	[0.041]	[0.034]	[0.041]	[0.057]	[0.042]	[0.039]
oldsibs	-0.092**	-0.092*	-0.093**	-0.000	-0.009	0.016	-0.042	-0.043	-0.023	-0.010
	[0.044]	[0.047]	[0.045]	[0.027]	[0.037]	[0.028]	[0.031]	[0.050]	[0.031]	[0.031]
momMaxEdu_Uni_F	0.008	0.016	0.017	0.022	0.055	0.029	-0.001	0.041	0.016	0.022
	[0.050]	[0.058]	[0.052]	[0.032]	[0.034]	[0.035]	[0.035]	[0.045]	[0.035]	[0.043]
dadMaxEdu_Uni_F	0.027	0.013	0.021	-0.017	-0.055	-0.035	0.020	-0.022	-0.012	-0.056
	[0.059]	[0.067]	[0.064]	[0.036]	[0.037]	[0.039]	[0.037]	[0.045]	[0.043]	[0.050]
o.momMaxEdu_Uni_Miss			-		-			-		-
										
dadMaxEdu_Uni_Miss	-0.006	0.018	0.048	0.021	-0.011	0.005	-0.018	-0.008	0.020	-0.017
	[0.061]	[0.075]	[0.068]	[0.036]	[0.034]	[0.041]	[0.042]	[0.042]	[0.041]	[0.049]
HighInc_F	0.027	0.037	0.052	-0.059*	-0.029	-0.060*	0.011	0.039	-0.066	-0.093*
	[0.049]	[0.069]	[0.056]	[0.035]	[0.042]	[0.035]	[0.034]	[0.046]	[0.041]	[0.048]
HighInc_Miss	-0.008	0.007	0.005	-0.018	-0.004	-0.004	0.014	0.069	-0.052	-0.074*
	[0.051]	[0.053]	[0.057]	[0.030]	[0.044]	[0.030]	[0.035]	[0.045]	[0.034]	[0.043]
houseOwn_F	-0.096**	-0.087*	-0.076*	0.030	0.050	0.036	-0.053	-0.025	0.004	0.039
	[0.039]	[0.048]	[0.043]	[0.035]	[0.045]	[0.039]	[0.033]	[0.048]	[0.036]	[0.042]
distCenter	0.003	0.004	0.003	-0.006	0.001	-0.005	0.000	0.007	-0.004	-0.007
	[0.008]	[0.009]	[0.009]	[0.007]	[0.009]	[0.007]	[0.006]	[0.006]	[0.007]	[0.009]
cgRelig_F	-0.020	-0.024	-0.035	0.034	0.063	0.057	0.011	0.021	0.041	0.110*
	[0.045]	[0.059]	[0.050]	[0.037]	[0.052]	[0.041]	[0.038]	[0.048]	[0.040]	[0.063]
cgRelig_Miss	0.170**	0.171**	0.190***	-0.091	0.077	-0.098	0.138***	0.139**	-0.066	0.123
	[0.066]	[0.069]	[0.070]	[0.082]	[0.072]	[0.090]	[0.047]	[0.059]	[0.084]	[0.090]
CAPI	0.076**	0.089**	0.098**	0.027	-0.016	0.022	0.045*	0.019	0.041	0.069**
	[0.036]	[0.039]	[0.041]	[0.025]	[0.032]	[0.027]	[0.026]	[0.032]	[0.028]	[0.034]
momMaxEdu_Uni_Miss	-0.084			-0.077		-0.105	-0.036		-0.147	
	[0.135]			[0.103]		[0.126]	[0.106]		[0.116]	
Parma							-0.004			
							[0.036]			
Reggio								0.005		-0.009
								[0.061]		[0.045]
nidoXreggio								-0.065		0.093
								[0.164]		[0.210]
Padova									-0.015	
									[0.035]	
Constant	2.518***	2.350**	2.371**	0.567	2.197**	0.892	1.558**	2.742**	1.533**	2.088**
	[0.912]	[1.169]	[0.927]	[0.697]	[0.893]	[0.769]	[0.727]	[1.072]	[0.745]	[0.815]
										
Observations	293	274	274	676	638	676	541	508	569	536
R-squared	0.054	0.054	0.070	0.032	0.066	0.038	0.018	0.067	0.036	0.075
Sample	Reggio	Reggio	Reggio	RAvsPrPd	RAvsPP	RAvsPP	RePr	RePr	RePd	RePd
Mean	.89	.89	.89	.89	.89	.89	.89	.89	.89	.89
Robust standard errors in brackets										
*** p<0.01, ** p<0.05, * p<0.1										
Mean = average of the y-variable for the whole sample considered. Sample: Reggio = only respondents in the city of Reggio Emilia. RAvsPrPd = Reggio Approach and all the respondents in Parma and Padova. RePr= all of the respondents in Reggio Emilia and Parma. RePd= all of the respondents in Reggio Emilia and Padova. Estimation Procedure: OLS = Ordinary Least Square; IV = Instrumental variable approach; CF = control function approach										
cubic polynomial or residuals. PSM = simple propensity score matching. PSM2 = propensity sore matching using both demand and supply. DiD = differences-in-differences approach										
municipal schools vs other schools across different cities										
