	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)	(10)
VARIABLES	OLS	IV	CF	OLS	PSM	PSM2	OLS	DiD Pr	OLS	DiD Pd
										
ReggioMaterna	0.018	-0.088	-0.454	0.017	0.021	0.016	0.018	-0.082	0.022	0.030
	[0.041]	[0.208]	[0.275]	[0.031]	[0.033]	[0.032]	[0.041]	[0.056]	[0.041]	[0.070]
unobsM			0.831**							
			[0.391]							
unobsM2			-0.073							
			[0.168]							
unobsM3			-1.132**							
			[0.473]							
Age	-0.126**	-0.134**	-0.122**	0.029	0.065	0.039	0.001	0.001	-0.057	-0.010
	[0.054]	[0.055]	[0.054]	[0.035]	[0.041]	[0.036]	[0.039]	[0.039]	[0.040]	[0.052]
Male	0.041	0.038	0.038	0.043*	0.059*	0.042	0.055**	0.062**	0.032	0.047
	[0.040]	[0.040]	[0.038]	[0.026]	[0.031]	[0.026]	[0.028]	[0.028]	[0.030]	[0.036]
poorBHealth	-0.059	-0.070	-0.075	0.008	0.007	0.009	-0.026	-0.033	-0.012	0.015
	[0.077]	[0.077]	[0.078]	[0.045]	[0.048]	[0.045]	[0.051]	[0.052]	[0.054]	[0.051]
oldsibs	-0.025	-0.026	-0.037	-0.002	-0.013	-0.002	0.012	0.001	-0.015	-0.025
	[0.043]	[0.043]	[0.043]	[0.028]	[0.037]	[0.028]	[0.030]	[0.030]	[0.031]	[0.041]
momMaxEdu_Uni_F	0.077*	0.067	0.061	0.004	-0.011	0.007	0.055*	0.031	0.030	0.006
	[0.046]	[0.052]	[0.051]	[0.033]	[0.040]	[0.035]	[0.033]	[0.032]	[0.040]	[0.051]
dadMaxEdu_Uni_F	-0.051	-0.045	-0.054	-0.001	-0.016	-0.003	0.003	0.016	-0.051	-0.074
	[0.058]	[0.061]	[0.058]	[0.035]	[0.046]	[0.036]	[0.036]	[0.037]	[0.045]	[0.058]
momMaxEdu_Uni_Miss	-0.117	-0.119	-0.122	0.036	0.104	0.062	-0.075	-0.016	0.049	0.133**
	[0.175]	[0.171]	[0.169]	[0.089]	[0.064]	[0.080]	[0.136]	[0.098]	[0.092]	[0.067]
dadMaxEdu_Uni_Miss	-0.052	-0.041	-0.046	-0.021	0.020	-0.019	-0.057	-0.039	-0.019	0.003
	[0.069]	[0.075]	[0.073]	[0.042]	[0.044]	[0.042]	[0.048]	[0.046]	[0.049]	[0.048]
HighInc_F	0.091**	0.098**	0.109**	0.003	-0.019	-0.007	0.034	0.016	0.024	-0.003
	[0.045]	[0.049]	[0.048]	[0.034]	[0.040]	[0.035]	[0.033]	[0.035]	[0.041]	[0.049]
HighInc_Miss	0.006	0.012	0.026	-0.024	-0.026	-0.025	-0.037	-0.040	-0.011	-0.009
	[0.058]	[0.061]	[0.060]	[0.032]	[0.035]	[0.032]	[0.040]	[0.041]	[0.037]	[0.040]
houseOwn_F	-0.103**	-0.101**	-0.086*	0.013	0.026	0.023	-0.020	-0.006	-0.029	-0.010
	[0.046]	[0.048]	[0.047]	[0.035]	[0.043]	[0.036]	[0.039]	[0.038]	[0.037]	[0.047]
distCenter	-0.007	-0.008	-0.011	0.000	0.003	0.001	-0.003	-0.001	0.002	0.008
	[0.009]	[0.009]	[0.009]	[0.007]	[0.008]	[0.007]	[0.007]	[0.006]	[0.007]	[0.008]
cgRelig_F	-0.007	-0.035	-0.038	0.068*	0.055	0.067*	-0.008	-0.052*	0.056	0.055
	[0.046]	[0.060]	[0.058]	[0.039]	[0.046]	[0.040]	[0.036]	[0.030]	[0.042]	[0.050]
o.cgRelig_Miss			-		-			-		-
										
CAPI	0.038	0.050	0.042	0.078***	0.076**	0.075***	0.054*	0.068**	0.052*	0.040
	[0.040]	[0.049]	[0.047]	[0.027]	[0.033]	[0.027]	[0.029]	[0.030]	[0.031]	[0.036]
cgRelig_Miss	-0.209	-0.181		0.034		0.041	-0.150		0.029	
	[0.278]	[0.283]		[0.075]		[0.074]	[0.214]		[0.080]	
Parma							0.017			
							[0.039]			
Reggio								0.036		0.027
								[0.045]		[0.047]
materna_Municipal								0.086**		-0.025
								[0.041]		[0.058]
Padova									-0.000	
									[0.041]	
Constant	3.282***	3.512***	3.491***	0.195	-0.475	0.014	0.806	0.814	1.858**	0.963
	[1.019]	[1.072]	[1.086]	[0.672]	[0.789]	[0.684]	[0.732]	[0.742]	[0.764]	[0.987]
										
Observations	293	293	290	686	647	686	541	537	569	531
R-squared	0.074	0.053	0.091	0.025	0.034	0.025	0.039	0.047	0.022	0.033
Sample	Reggio	Reggio	Reggio	RAvsPrPd	RAvsPP	RAvsPP	RePr	RePr	RePd	RePd
Mean	.86	.86	.86	.86	.86	.86	.86	.86	.86	.86
Robust standard errors in brackets										
*** p<0.01, ** p<0.05, * p<0.1										
Mean = average of the y-variable for the whole sample considered. Sample: Reggio = only respondents in the city of Reggio Emilia. RAvsPrPd = Reggio Approach and all the respondents in Parma and Padova. RePr= all of the respondents in Reggio Emilia and Parma. RePd= all of the respondents in Reggio Emilia and Padova. Estimation Procedure: OLS = Ordinary Least Square; IV = Instrumental variable approach; CF = control function approach										
cubic polynomial or residuals. PSM = simple propensity score matching. PSM2 = propensity sore matching using both demand and supply. DiD = differences-in-differences approach										
municipal schools vs other schools across different cities										
