	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)	(10)
VARIABLES	OLS	IV	CF	OLS	PSM	PSM2	OLS	DiD Pr	OLS	DiD Pd
										
ReggioMaterna	-0.046	-0.319	-0.783*	0.056	0.076	0.058	-0.042	-0.199**	-0.043	-0.125
	[0.061]	[0.287]	[0.403]	[0.045]	[0.047]	[0.045]	[0.060]	[0.090]	[0.060]	[0.093]
unobsM			1.144*							
			[0.600]							
unobsM2			0.082							
			[0.240]							
unobsM3			-1.210							
			[0.771]							
Age	-0.063	-0.085	-0.083	0.069	0.084	0.066	0.041	0.029	-0.040	0.005
	[0.090]	[0.094]	[0.093]	[0.055]	[0.060]	[0.056]	[0.063]	[0.069]	[0.063]	[0.069]
Male	0.033	0.027	0.023	-0.082**	-0.071*	-0.090**	-0.015	0.004	-0.057	-0.063
	[0.061]	[0.063]	[0.061]	[0.038]	[0.041]	[0.038]	[0.043]	[0.047]	[0.043]	[0.047]
poorBHealth	-0.026	-0.055	-0.062	0.027	0.035	0.036	0.073	0.061	-0.008	0.002
	[0.098]	[0.100]	[0.106]	[0.064]	[0.067]	[0.065]	[0.071]	[0.071]	[0.074]	[0.080]
oldsibs	0.004	0.003	-0.002	-0.033	-0.014	-0.034	-0.005	0.023	-0.029	-0.026
	[0.064]	[0.066]	[0.064]	[0.039]	[0.045]	[0.039]	[0.045]	[0.052]	[0.044]	[0.048]
momMaxEdu_Uni_F	0.151*	0.123	0.113	0.102**	0.121**	0.097**	0.128**	0.101*	0.113**	0.160***
	[0.079]	[0.088]	[0.084]	[0.047]	[0.052]	[0.048]	[0.054]	[0.060]	[0.053]	[0.058]
dadMaxEdu_Uni_F	0.120	0.135	0.126	-0.005	0.004	-0.003	0.085	0.116*	0.019	-0.020
	[0.088]	[0.093]	[0.090]	[0.051]	[0.055]	[0.051]	[0.060]	[0.066]	[0.058]	[0.064]
momMaxEdu_Uni_Miss	0.203	0.197	0.191	0.194	0.179	0.190	0.316*	0.302	0.101	0.100
	[0.191]	[0.210]	[0.197]	[0.125]	[0.125]	[0.125]	[0.170]	[0.184]	[0.129]	[0.141]
dadMaxEdu_Uni_Miss	0.062	0.092	0.095	0.023	0.000	0.025	0.031	0.017	0.059	0.004
	[0.091]	[0.097]	[0.095]	[0.059]	[0.059]	[0.059]	[0.064]	[0.069]	[0.068]	[0.073]
HighInc_F	-0.068	-0.049	-0.032	0.016	-0.025	0.015	-0.045	-0.050	-0.017	-0.038
	[0.072]	[0.077]	[0.073]	[0.052]	[0.056]	[0.053]	[0.054]	[0.057]	[0.058]	[0.063]
HighInc_Miss	0.007	0.022	0.045	0.054	0.042	0.056	0.016	0.012	0.046	0.041
	[0.080]	[0.084]	[0.081]	[0.044]	[0.046]	[0.044]	[0.053]	[0.055]	[0.051]	[0.054]
houseOwn_F	0.061	0.066	0.090	0.007	0.010	0.009	0.021	0.008	0.029	0.037
	[0.078]	[0.081]	[0.078]	[0.048]	[0.052]	[0.048]	[0.055]	[0.062]	[0.053]	[0.060]
distCenter	0.008	0.007	0.004	-0.014	-0.020*	-0.014	-0.003	-0.003	-0.001	-0.003
	[0.013]	[0.013]	[0.013]	[0.010]	[0.011]	[0.010]	[0.010]	[0.011]	[0.011]	[0.012]
cgRelig_F	0.004	-0.068	-0.099	0.118**	0.163***	0.118**	0.042	0.049	0.061	0.114*
	[0.073]	[0.104]	[0.104]	[0.048]	[0.050]	[0.049]	[0.055]	[0.062]	[0.055]	[0.058]
o.cgRelig_Miss			-		-			-		-
										
CAPI	-0.013	0.016	0.014	0.047	0.045	0.051	0.035	0.035	0.018	-0.002
	[0.060]	[0.071]	[0.067]	[0.037]	[0.039]	[0.038]	[0.043]	[0.046]	[0.042]	[0.046]
cgRelig_Miss	-0.122	-0.051		0.060		0.059	-0.118		-0.023	
	[0.225]	[0.234]		[0.097]		[0.098]	[0.194]		[0.102]	
Parma							-0.122**			
							[0.053]			
Reggio								0.213***		0.129**
								[0.063]		[0.065]
materna_Municipal								0.146**		0.071
								[0.064]		[0.068]
Padova									-0.053	
									[0.055]	
Constant	1.473	2.063	2.259	-1.044	-1.342	-0.984	-0.438	-0.430	1.097	0.113
	[1.685]	[1.816]	[1.829]	[1.050]	[1.138]	[1.057]	[1.180]	[1.312]	[1.188]	[1.299]
										
Observations	293	293	290	686	647	686	541	537	569	531
R-squared	0.048	-0.022	0.064	0.039	0.061	0.041	0.045	0.062	0.024	0.048
Sample	Reggio	Reggio	Reggio	RAvsPrPd	RAvsPP	RAvsPP	RePr	RePr	RePd	RePd
Mean	.41	.41	.41	.41	.41	.41	.41	.41	.41	.41
Robust standard errors in brackets										
*** p<0.01, ** p<0.05, * p<0.1										
Mean = average of the y-variable for the whole sample considered. Sample: Reggio = only respondents in the city of Reggio Emilia. RAvsPrPd = Reggio Approach and all the respondents in Parma and Padova. RePr= all of the respondents in Reggio Emilia and Parma. RePd= all of the respondents in Reggio Emilia and Padova. Estimation Procedure: OLS = Ordinary Least Square; IV = Instrumental variable approach; CF = control function approach										
cubic polynomial or residuals. PSM = simple propensity score matching. PSM2 = propensity sore matching using both demand and supply. DiD = differences-in-differences approach										
municipal schools vs other schools across different cities										
