	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)	(10)
VARIABLES	OLS	IV	CF	OLS	PSM	PSM2	OLS	DiD Pr	OLS	DiD Pd
										
ReggioAsilo	-0.001	-0.278	-0.031	0.096*	-0.035	0.110*	0.051	-0.097	0.073	0.091
	[0.170]	[1.024]	[0.259]	[0.055]	[0.077]	[0.056]	[0.080]	[0.237]	[0.083]	[0.252]
asilo_Municipal								0.127		-0.032
								[0.144]		[0.181]
nido	0.057	0.292	-0.008	-0.032	0.093	-0.032	0.000	-0.099	-0.026	0.266*
	[0.171]	[0.951]	[0.169]	[0.046]	[0.077]	[0.049]	[0.058]	[0.144]	[0.065]	[0.160]
unobsA			0.211							
			[0.336]							
unobsA2			-0.274							
			[0.170]							
unobsA3			-0.441							
			[0.475]							
Age	-0.094	-0.122	-0.110	-0.052	0.159	-0.043	0.007	0.140	-0.116*	0.002
	[0.089]	[0.104]	[0.090]	[0.058]	[0.110]	[0.061]	[0.062]	[0.118]	[0.063]	[0.079]
Male	0.010	-0.010	-0.012	0.052	0.035	0.096**	0.013	-0.063	0.057	0.109**
	[0.060]	[0.060]	[0.060]	[0.039]	[0.060]	[0.040]	[0.043]	[0.066]	[0.042]	[0.053]
poorBHealth	0.107	0.100	0.090	0.035	0.230*	0.020	0.050	0.266**	0.059	0.026
	[0.110]	[0.107]	[0.108]	[0.066]	[0.119]	[0.073]	[0.073]	[0.123]	[0.078]	[0.095]
oldsibs	0.121*	0.115	0.118*	0.019	-0.090	0.033	0.036	0.017	0.065	-0.035
	[0.062]	[0.072]	[0.064]	[0.041]	[0.074]	[0.043]	[0.045]	[0.079]	[0.044]	[0.056]
momMaxEdu_Uni_F	0.092	0.111	0.123	0.039	0.028	0.019	0.047	0.010	0.069	0.074
	[0.075]	[0.085]	[0.075]	[0.047]	[0.076]	[0.049]	[0.053]	[0.091]	[0.053]	[0.063]
dadMaxEdu_Uni_F	-0.136	-0.211**	-0.209**	-0.067	0.036	-0.027	-0.033	-0.037	-0.107*	0.030
	[0.083]	[0.085]	[0.085]	[0.051]	[0.092]	[0.054]	[0.059]	[0.105]	[0.057]	[0.076]
o.momMaxEdu_Uni_Miss			-		-			-		-
										
dadMaxEdu_Uni_Miss	0.058	0.092	0.047	-0.117*	-0.181**	-0.144**	-0.142**	-0.216**	0.019	-0.026
	[0.087]	[0.119]	[0.098]	[0.060]	[0.090]	[0.062]	[0.060]	[0.097]	[0.068]	[0.088]
HighInc_F	-0.104	-0.102	-0.146*	-0.055	-0.051	-0.058	-0.119**	-0.105	-0.036	-0.032
	[0.074]	[0.103]	[0.076]	[0.053]	[0.090]	[0.056]	[0.056]	[0.094]	[0.059]	[0.069]
HighInc_Miss	-0.071	-0.077	-0.093	0.016	-0.002	0.005	-0.129**	-0.071	0.041	0.048
	[0.075]	[0.080]	[0.082]	[0.047]	[0.075]	[0.050]	[0.052]	[0.089]	[0.050]	[0.059]
houseOwn_F	-0.052	-0.039	-0.022	-0.009	0.026	-0.023	-0.007	0.024	-0.044	-0.074
	[0.084]	[0.098]	[0.090]	[0.053]	[0.074]	[0.057]	[0.058]	[0.082]	[0.056]	[0.069]
distCenter	-0.020	-0.019	-0.020	-0.021**	-0.048***	-0.009	-0.015	-0.028**	-0.027**	-0.050***
	[0.013]	[0.014]	[0.014]	[0.010]	[0.015]	[0.012]	[0.010]	[0.014]	[0.011]	[0.014]
cgRelig_F	0.143**	0.065	0.093	0.094*	0.179**	0.067	0.086	0.112	0.126**	0.175***
	[0.068]	[0.092]	[0.073]	[0.052]	[0.074]	[0.057]	[0.055]	[0.080]	[0.053]	[0.064]
cgRelig_Miss	0.045	0.034	0.022	0.151	0.209	0.147	0.174	0.390	0.079	0.086
	[0.330]	[0.336]	[0.323]	[0.100]	[0.144]	[0.108]	[0.255]	[0.257]	[0.103]	[0.122]
CAPI	0.141**	0.163***	0.169***	0.106***	0.063	0.114***	0.110**	0.113*	0.142***	0.146***
	[0.060]	[0.063]	[0.062]	[0.039]	[0.060]	[0.041]	[0.043]	[0.063]	[0.042]	[0.052]
momMaxEdu_Uni_Miss	-0.020			-0.136		-0.185*	-0.184		-0.117	
	[0.170]			[0.120]		[0.110]	[0.140]		[0.115]	
Parma							-0.070			
							[0.058]			
Reggio								0.001		0.076
								[0.096]		[0.070]
nidoXreggio								0.079		-0.315
								[0.237]		[0.240]
Padova									0.030	
									[0.054]	
Constant	2.081	2.664	2.523	1.339	-2.609	1.130	0.281	-2.190	2.500**	0.267
	[1.682]	[1.995]	[1.691]	[1.089]	[2.090]	[1.158]	[1.171]	[2.227]	[1.185]	[1.485]
										
Observations	293	274	274	676	638	676	541	508	569	536
R-squared	0.099	0.099	0.124	0.045	0.152	0.049	0.056	0.126	0.076	0.153
Sample	Reggio	Reggio	Reggio	RAvsPrPd	RAvsPP	RAvsPP	RePr	RePr	RePd	RePd
Mean	.44	.44	.44	.44	.44	.44	.44	.44	.44	.44
Robust standard errors in brackets										
*** p<0.01, ** p<0.05, * p<0.1										
Mean = average of the y-variable for the whole sample considered. Sample: Reggio = only respondents in the city of Reggio Emilia. RAvsPrPd = Reggio Approach and all the respondents in Parma and Padova. RePr= all of the respondents in Reggio Emilia and Parma. RePd= all of the respondents in Reggio Emilia and Padova. Estimation Procedure: OLS = Ordinary Least Square; IV = Instrumental variable approach; CF = control function approach										
cubic polynomial or residuals. PSM = simple propensity score matching. PSM2 = propensity sore matching using both demand and supply. DiD = differences-in-differences approach										
municipal schools vs other schools across different cities										
