	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)	(10)
VARIABLES	OLS	IV	CF	OLS	PSM	PSM2	OLS	DiD Pr	OLS	DiD Pd
										
ReggioMaterna	-0.096**	-0.284	-0.009	-0.065*	-0.057	-0.057	-0.090**	-0.010	-0.089*	-0.004
	[0.047]	[0.197]	[0.277]	[0.038]	[0.038]	[0.040]	[0.046]	[0.070]	[0.046]	[0.088]
unobs			-0.333							
			[0.413]							
unobs2			0.038							
			[0.166]							
unobs3			0.826							
			[0.516]							
Age	-0.251***	-0.248***	-0.239***	-0.106**	-0.080	-0.114**	-0.172***	-0.169***	-0.124***	-0.090
	[0.062]	[0.064]	[0.061]	[0.042]	[0.057]	[0.053]	[0.045]	[0.048]	[0.044]	[0.059]
Male	-0.069	-0.065	-0.059	-0.098***	-0.097***	-0.108***	-0.110***	-0.112***	-0.055*	-0.061
	[0.046]	[0.047]	[0.046]	[0.028]	[0.036]	[0.035]	[0.031]	[0.034]	[0.032]	[0.041]
poorBHealth	0.034	0.045	0.045	0.098**	0.093	0.123***	0.067	0.045	0.056	0.021
	[0.068]	[0.073]	[0.066]	[0.041]	[0.063]	[0.047]	[0.046]	[0.056]	[0.048]	[0.076]
oldsibs	0.001	-0.029	0.016	0.022	-0.014	-0.001	0.014	0.034	0.009	-0.002
	[0.063]	[0.075]	[0.070]	[0.064]	[0.087]	[0.074]	[0.058]	[0.075]	[0.049]	[0.073]
momMaxEdu_Uni_F	-0.013	-0.011	-0.012	0.022	-0.003	0.033	0.038	0.046	-0.016	-0.060
	[0.053]	[0.055]	[0.053]	[0.032]	[0.040]	[0.042]	[0.036]	[0.040]	[0.036]	[0.047]
dadMaxEdu_Uni_F	-0.004	-0.010	-0.003	-0.007	0.032	0.014	-0.010	-0.011	0.002	0.048
	[0.058]	[0.060]	[0.057]	[0.036]	[0.042]	[0.041]	[0.039]	[0.042]	[0.040]	[0.049]
momMaxEdu_Uni_Miss	-0.357*	-0.382**	-0.408**	-0.216	-0.344**	-0.150	-0.213	-0.264	-0.282*	-0.367**
	[0.194]	[0.167]	[0.196]	[0.146]	[0.169]	[0.142]	[0.152]	[0.189]	[0.158]	[0.168]
dadMaxEdu_Uni_Miss	-0.075	-0.048	-0.047	-0.126**	-0.123	-0.187**	-0.121*	-0.198**	-0.113*	-0.060
	[0.098]	[0.106]	[0.101]	[0.057]	[0.075]	[0.075]	[0.067]	[0.082]	[0.066]	[0.082]
HighInc_F	-0.012	0.002	0.009	0.026	0.019	0.022	0.036	0.014	-0.013	-0.023
	[0.062]	[0.063]	[0.062]	[0.038]	[0.043]	[0.043]	[0.041]	[0.043]	[0.045]	[0.051]
HighInc_Miss	0.014	0.017	0.012	-0.063*	-0.092*	-0.101**	0.015	-0.009	-0.094**	-0.119**
	[0.059]	[0.060]	[0.059]	[0.037]	[0.049]	[0.051]	[0.042]	[0.048]	[0.040]	[0.051]
houseOwn_F	-0.000	-0.018	-0.022	-0.003	-0.022	-0.025	0.023	0.003	-0.002	0.013
	[0.050]	[0.054]	[0.053]	[0.032]	[0.043]	[0.037]	[0.036]	[0.038]	[0.034]	[0.050]
o.houseOwn_Miss			-		-			-		-
										
distCenter	-0.001	-0.003	-0.002	0.005	0.017**	0.013	0.003	0.010	-0.004	0.001
	[0.009]	[0.009]	[0.009]	[0.007]	[0.008]	[0.009]	[0.006]	[0.007]	[0.008]	[0.009]
cgRelig_F	-0.019	-0.052	-0.047	0.010	0.011	0.025	-0.063	-0.099**	0.043	0.044
	[0.072]	[0.079]	[0.080]	[0.043]	[0.051]	[0.060]	[0.045]	[0.048]	[0.051]	[0.063]
cgRelig_Miss	-0.037	-0.028	0.129	-0.026	-0.066	-0.101	-0.241*	-0.330*	0.050	0.040
	[0.156]	[0.168]	[0.096]	[0.111]	[0.141]	[0.152]	[0.146]	[0.171]	[0.117]	[0.158]
CAPI	0.064	0.084	0.094*	-0.015	-0.005	0.019	0.051	0.065*	-0.026	-0.057
	[0.050]	[0.056]	[0.054]	[0.029]	[0.035]	[0.036]	[0.033]	[0.034]	[0.033]	[0.038]
houseOwn_Miss	-0.177	-0.259		-0.123		-0.114	0.057		-0.405	
	[0.372]	[0.378]		[0.250]		[0.257]	[0.161]		[0.297]	
Parma							-0.028			
							[0.038]			
Reggio								-0.005		-0.007
								[0.049]		[0.049]
materna_Municipal								-0.063		-0.069
								[0.050]		[0.072]
Padova									-0.020	
									[0.038]	
Constant	2.581***	2.690***	2.465***	1.589***	1.389***	1.596***	2.063***	2.067***	1.748***	1.518***
	[0.433]	[0.482]	[0.496]	[0.288]	[0.382]	[0.343]	[0.309]	[0.325]	[0.308]	[0.396]
										
Observations	309	309	307	731	728	731	597	593	586	583
R-squared	0.110	0.060	0.122	0.061	0.072	0.097	0.083	0.123	0.074	0.065
Sample	Reggio	Reggio	Reggio	RAvsPrPd	RAvsPP	RAvsPP	RePr	RePr	RePd	RePd
Mean	.79	.79	.79	.79	.79	.79	.79	.79	.79	.79
Robust standard errors in brackets										
*** p<0.01, ** p<0.05, * p<0.1										
Mean = average of the y-variable for the whole sample considered. Sample: Reggio = only respondents in the city of Reggio Emilia. RAvsPrPd = Reggio Approach and all the respondents in Parma and Padova. RePr= all of the respondents in Reggio Emilia and Parma. RePd= all of the respondents in Reggio Emilia and Padova. Estimation Procedure: OLS = Ordinary Least Square; IV = Instrumental variable approach; CF = control function approach										
cubic polynomial or residuals. PSM = simple propensity score matching. PSM2 = propensity sore matching using both demand and supply. DiD = differences-in-differences approach										
municipal schools vs other schools across different cities										
