	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)	(10)
VARIABLES	OLS	IV	CF	OLS	PSM	PSM2	OLS	DiD Pr	OLS	DiD Pd
										
ReggioAsilo	0.099	-0.280	-0.044	0.032	0.013	-0.511***	0.074	0.219	0.052	0.281*
	[0.097]	[0.680]	[0.232]	[0.050]	[0.055]	[0.194]	[0.071]	[0.138]	[0.072]	[0.147]
asilo_Municipal								-0.040		-0.139
								[0.090]		[0.110]
nido	-0.049	0.265	-0.036	0.016	0.048	0.866***	0.003	0.131	0.031	0.114
	[0.102]	[0.567]	[0.103]	[0.044]	[0.056]	[0.222]	[0.054]	[0.100]	[0.056]	[0.096]
unobs			0.261							
			[0.349]							
unobs2			-0.156							
			[0.166]							
unobs3			-0.346							
			[0.489]							
Age	-0.178**	-0.183**	-0.183**	0.123**	0.104*	-0.205	-0.081	0.000	0.060	-0.006
	[0.082]	[0.084]	[0.081]	[0.054]	[0.061]	[0.294]	[0.061]	[0.070]	[0.059]	[0.067]
Male	-0.139**	-0.137**	-0.133**	-0.131***	-0.183***	0.030	-0.123***	-0.163***	-0.163***	-0.163***
	[0.059]	[0.060]	[0.061]	[0.037]	[0.045]	[0.276]	[0.041]	[0.047]	[0.041]	[0.048]
poorBHealth	0.067	0.080	0.074	0.010	-0.028	0.220	0.049	0.015	-0.025	-0.075
	[0.092]	[0.104]	[0.097]	[0.061]	[0.084]	[0.159]	[0.069]	[0.093]	[0.070]	[0.081]
oldsibs	0.056	-0.021	0.040	0.015	0.043	-0.299	0.074	0.266**	-0.007	-0.018
	[0.127]	[0.196]	[0.133]	[0.094]	[0.115]	[0.259]	[0.104]	[0.108]	[0.093]	[0.111]
momMaxEdu_Uni_F	-0.034	-0.030	-0.040	-0.068	-0.014	-0.045	-0.021	0.006	-0.080	-0.061
	[0.074]	[0.077]	[0.076]	[0.043]	[0.052]	[0.276]	[0.048]	[0.055]	[0.051]	[0.062]
dadMaxEdu_Uni_F	-0.051	-0.096	-0.052	-0.042	-0.074	0.121	-0.063	-0.084	-0.026	-0.038
	[0.078]	[0.116]	[0.079]	[0.046]	[0.055]	[0.158]	[0.052]	[0.059]	[0.053]	[0.062]
momMaxEdu_Uni_Miss	-0.169	-0.165	-0.151	-0.086	-0.239	-0.338	-0.130	-0.224**	-0.136	-0.241**
	[0.138]	[0.129]	[0.133]	[0.208]	[0.146]	[0.377]	[0.146]	[0.114]	[0.143]	[0.112]
dadMaxEdu_Uni_Miss	0.016	0.042	0.023	-0.015	-0.051	-0.860**	-0.022	-0.018	0.001	-0.030
	[0.104]	[0.114]	[0.105]	[0.067]	[0.077]	[0.347]	[0.078]	[0.086]	[0.072]	[0.084]
HighInc_F	0.035	0.021	0.038	-0.001	0.095	0.159	0.026	0.147*	-0.017	-0.068
	[0.080]	[0.086]	[0.080]	[0.052]	[0.079]	[0.191]	[0.055]	[0.080]	[0.060]	[0.063]
HighInc_Miss	-0.027	-0.046	-0.034	-0.092**	-0.024	0.392	-0.028	0.031	-0.116**	-0.114**
	[0.073]	[0.078]	[0.080]	[0.046]	[0.050]	[0.365]	[0.053]	[0.058]	[0.049]	[0.054]
houseOwn_F	-0.015	-0.033	-0.016	0.024	0.044	-0.081	0.003	0.020	0.006	0.023
	[0.060]	[0.068]	[0.061]	[0.039]	[0.044]	[0.270]	[0.043]	[0.047]	[0.043]	[0.047]
o.houseOwn_Miss			-		-			-		-
										
distCenter	-0.010	-0.009	-0.012	-0.008	-0.018	-0.011	-0.014	-0.019*	-0.007	-0.012
	[0.011]	[0.011]	[0.012]	[0.009]	[0.011]	[0.056]	[0.009]	[0.011]	[0.010]	[0.011]
cgRelig_F	0.097	0.104	0.096	0.078	0.152**	0.505	0.100*	0.180***	0.099*	0.127*
	[0.084]	[0.087]	[0.084]	[0.053]	[0.060]	[0.317]	[0.058]	[0.066]	[0.059]	[0.067]
cgRelig_Miss	0.608***	0.571***	0.620***	-0.130	-0.136*	-0.301	0.070	-0.108	-0.001	-0.074
	[0.116]	[0.140]	[0.126]	[0.095]	[0.076]	[0.469]	[0.188]	[0.109]	[0.125]	[0.102]
CAPI	0.036	0.041	0.036	0.017	0.038	0.594**	0.006	0.033	0.029	0.030
	[0.059]	[0.062]	[0.059]	[0.037]	[0.048]	[0.280]	[0.041]	[0.050]	[0.041]	[0.048]
houseOwn_Miss	-0.226**	-0.232**		0.318		0.108	0.312		-0.275***	
	[0.089]	[0.090]		[0.254]		[0.576]	[0.240]		[0.062]	
Parma							0.013			
							[0.057]			
Reggio								0.086		0.027
								[0.086]		[0.074]
nidoXreggio								-0.272*		-0.217
								[0.156]		[0.135]
Padova									0.028	
									[0.055]	
Constant	1.645***	1.702***	1.781***	-0.341	-0.309	0.622	0.985**	0.267	0.058	0.509
	[0.570]	[0.593]	[0.584]	[0.367]	[0.441]	[1.824]	[0.423]	[0.520]	[0.413]	[0.446]
										
Observations	308	308	307	725	722	725	596	593	585	583
R-squared	0.081	0.034	0.083	0.054	0.127	0.901	0.041	0.122	0.062	0.108
Sample	Reggio	Reggio	Reggio	RAvsPrPd	RAvsPP	RAvsPP	RePr	RePr	RePd	RePd
Mean	.44	.44	.44	.44	.44	.44	.44	.44	.44	.44
Robust standard errors in brackets										
*** p<0.01, ** p<0.05, * p<0.1										
Mean = average of the y-variable for the whole sample considered. Sample: Reggio = only respondents in the city of Reggio Emilia. RAvsPrPd = Reggio Approach and all the respondents in Parma and Padova. RePr= all of the respondents in Reggio Emilia and Parma. RePd= all of the respondents in Reggio Emilia and Padova. Estimation Procedure: OLS = Ordinary Least Square; IV = Instrumental variable approach; CF = control function approach										
cubic polynomial or residuals. PSM = simple propensity score matching. PSM2 = propensity sore matching using both demand and supply. DiD = differences-in-differences approach										
municipal schools vs other schools across different cities										
