	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)	(10)
VARIABLES	OLS	IV	CF	OLS	PSM	PSM2	OLS	DiD Pr	OLS	DiD Pd
										
ReggioAsilo	0.120	0.400	-0.067	0.048	0.008	0.002	0.071	-0.066	0.117*	0.167
	[0.087]	[0.752]	[0.248]	[0.048]	[0.053]	[0.056]	[0.068]	[0.157]	[0.068]	[0.150]
asilo_Municipal								0.039		-0.146
								[0.109]		[0.102]
nido	-0.026	-0.257	-0.014	-0.009	0.044	0.078	0.036	0.020	-0.040	0.088
	[0.093]	[0.626]	[0.095]	[0.045]	[0.054]	[0.060]	[0.052]	[0.114]	[0.055]	[0.091]
unobs			0.362							
			[0.371]							
unobs2			-0.118							
			[0.166]							
unobs3			-0.518							
			[0.507]							
Age	0.070	0.076	0.069	0.053	0.016	-0.017	-0.008	-0.064	0.121**	0.135**
	[0.079]	[0.081]	[0.079]	[0.056]	[0.071]	[0.070]	[0.060]	[0.078]	[0.058]	[0.068]
Male	-0.039	-0.040	-0.031	-0.096***	-0.120***	-0.100**	-0.063	-0.074	-0.079*	-0.102**
	[0.057]	[0.058]	[0.058]	[0.037]	[0.042]	[0.044]	[0.040]	[0.046]	[0.041]	[0.049]
poorBHealth	-0.038	-0.047	-0.029	-0.072	-0.084	-0.136*	-0.125*	-0.140	0.003	0.021
	[0.096]	[0.099]	[0.102]	[0.061]	[0.081]	[0.077]	[0.068]	[0.085]	[0.070]	[0.095]
oldsibs	-0.091	-0.059	-0.075	0.039	-0.091	0.008	-0.079	-0.196***	0.018	-0.067
	[0.082]	[0.121]	[0.088]	[0.085]	[0.099]	[0.094]	[0.074]	[0.075]	[0.069]	[0.088]
momMaxEdu_Uni_F	0.126*	0.122*	0.120	0.057	-0.071	-0.089	0.064	-0.046	0.086*	0.000
	[0.069]	[0.072]	[0.074]	[0.042]	[0.052]	[0.058]	[0.047]	[0.056]	[0.050]	[0.062]
dadMaxEdu_Uni_F	0.197***	0.230*	0.191**	0.074*	0.084	0.125**	0.128***	0.106*	0.118**	0.124**
	[0.073]	[0.118]	[0.077]	[0.044]	[0.057]	[0.059]	[0.049]	[0.063]	[0.052]	[0.062]
momMaxEdu_Uni_Miss	-0.261**	-0.264**	-0.243*	0.030	-0.235	-0.135	-0.119	-0.293**	-0.164	-0.274**
	[0.124]	[0.123]	[0.128]	[0.188]	[0.166]	[0.181]	[0.152]	[0.137]	[0.141]	[0.129]
dadMaxEdu_Uni_Miss	-0.065	-0.083	-0.060	-0.006	0.170**	0.056	0.066	0.214***	-0.148**	-0.015
	[0.096]	[0.106]	[0.096]	[0.067]	[0.082]	[0.082]	[0.072]	[0.081]	[0.069]	[0.090]
HighInc_F	-0.033	-0.024	-0.031	-0.055	-0.077	-0.048	-0.072	-0.090	-0.000	0.044
	[0.077]	[0.084]	[0.077]	[0.051]	[0.068]	[0.057]	[0.053]	[0.071]	[0.060]	[0.069]
HighInc_Miss	0.041	0.055	0.032	-0.098**	-0.143***	-0.110**	-0.028	-0.047	-0.034	-0.042
	[0.070]	[0.080]	[0.081]	[0.047]	[0.055]	[0.054]	[0.052]	[0.061]	[0.050]	[0.056]
houseOwn_F	0.143**	0.156**	0.144**	0.073*	0.122**	0.148***	0.161***	0.184***	0.051	0.056
	[0.058]	[0.066]	[0.060]	[0.040]	[0.049]	[0.053]	[0.044]	[0.053]	[0.042]	[0.050]
o.houseOwn_Miss			-		-			-		-
										
distCenter	-0.006	-0.006	-0.008	-0.016*	-0.010	-0.010	-0.003	-0.004	-0.014	-0.017
	[0.011]	[0.011]	[0.011]	[0.009]	[0.012]	[0.013]	[0.008]	[0.012]	[0.010]	[0.011]
cgRelig_F	0.001	-0.004	-0.002	0.014	0.063	0.037	0.001	0.114	0.029	-0.057
	[0.083]	[0.084]	[0.084]	[0.052]	[0.073]	[0.071]	[0.059]	[0.087]	[0.060]	[0.072]
cgRelig_Miss	0.270*	0.317	0.299*	-0.049	-0.013	-0.029	0.014	0.022	0.001	-0.161
	[0.151]	[0.232]	[0.172]	[0.117]	[0.128]	[0.134]	[0.162]	[0.153]	[0.129]	[0.151]
CAPI	-0.104*	-0.108*	-0.100*	-0.095**	-0.156***	-0.094*	-0.115***	-0.190***	-0.074*	-0.045
	[0.058]	[0.059]	[0.058]	[0.037]	[0.048]	[0.051]	[0.041]	[0.051]	[0.041]	[0.049]
houseOwn_Miss	-0.453***	-0.392*		-0.184		0.061	-0.185		-0.429***	
	[0.121]	[0.213]		[0.233]		[0.255]	[0.181]		[0.080]	
Parma							0.025			
							[0.056]			
Reggio								-0.038		-0.085
								[0.079]		[0.073]
nidoXreggio								0.127		-0.012
								[0.163]		[0.145]
Padova									0.041	
									[0.053]	
Constant	-0.040	-0.094	0.083	0.288	0.517	0.673	0.527	0.904*	-0.279	-0.239
	[0.556]	[0.574]	[0.583]	[0.377]	[0.476]	[0.482]	[0.421]	[0.530]	[0.408]	[0.457]
										
Observations	309	309	307	725	722	725	597	593	586	583
R-squared	0.136	0.110	0.134	0.054	0.102	0.067	0.088	0.144	0.079	0.079
Sample	Reggio	Reggio	Reggio	RAvsPrPd	RAvsPP	RAvsPP	RePr	RePr	RePd	RePd
Mean	.53	.53	.53	.53	.53	.53	.53	.53	.53	.53
Robust standard errors in brackets										
*** p<0.01, ** p<0.05, * p<0.1										
Mean = average of the y-variable for the whole sample considered. Sample: Reggio = only respondents in the city of Reggio Emilia. RAvsPrPd = Reggio Approach and all the respondents in Parma and Padova. RePr= all of the respondents in Reggio Emilia and Parma. RePd= all of the respondents in Reggio Emilia and Padova. Estimation Procedure: OLS = Ordinary Least Square; IV = Instrumental variable approach; CF = control function approach										
cubic polynomial or residuals. PSM = simple propensity score matching. PSM2 = propensity sore matching using both demand and supply. DiD = differences-in-differences approach										
municipal schools vs other schools across different cities										
