	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)	(10)
VARIABLES	OLS	IV	CF	OLS	PSM	PSM2	OLS	DiD Pr	OLS	DiD Pd
										
ReggioMaterna	0.014	-0.486	-1.064**	0.035	0.026	0.035	0.037	0.035	0.031	0.008
	[0.062]	[0.329]	[0.410]	[0.047]	[0.049]	[0.047]	[0.061]	[0.095]	[0.060]	[0.099]
unobsM			1.567***							
			[0.588]							
unobsM2			-0.102							
			[0.248]							
unobsM3			-1.479**							
			[0.724]							
Age	0.135	0.096	0.092	0.085	0.067	0.085	0.097	0.053	0.088	0.149**
	[0.092]	[0.100]	[0.095]	[0.056]	[0.064]	[0.056]	[0.064]	[0.075]	[0.063]	[0.072]
Male	0.012	0.002	-0.001	-0.074*	-0.100**	-0.079**	-0.028	-0.051	-0.068	-0.094*
	[0.062]	[0.070]	[0.062]	[0.038]	[0.044]	[0.038]	[0.044]	[0.049]	[0.043]	[0.049]
poorBHealth	0.083	0.031	0.014	0.020	-0.003	0.014	0.000	-0.037	0.064	0.069
	[0.103]	[0.122]	[0.108]	[0.065]	[0.070]	[0.065]	[0.071]	[0.079]	[0.075]	[0.083]
oldsibs	-0.024	-0.027	-0.034	0.014	0.027	0.009	-0.013	0.000	0.027	0.016
	[0.065]	[0.074]	[0.065]	[0.041]	[0.046]	[0.041]	[0.046]	[0.051]	[0.045]	[0.049]
momMaxEdu_Uni_F	0.105	0.054	0.032	0.094*	0.079	0.092*	0.084	0.068	0.089*	0.051
	[0.076]	[0.094]	[0.083]	[0.048]	[0.057]	[0.049]	[0.053]	[0.062]	[0.054]	[0.062]
dadMaxEdu_Uni_F	0.117	0.144	0.136	0.102*	0.060	0.099*	0.126**	0.111	0.102*	0.078
	[0.087]	[0.100]	[0.088]	[0.053]	[0.064]	[0.053]	[0.060]	[0.069]	[0.060]	[0.070]
momMaxEdu_Uni_Miss	-0.146	-0.158	-0.160	-0.068	0.021	-0.069	-0.079	-0.049	-0.099	-0.023
	[0.176]	[0.211]	[0.175]	[0.126]	[0.150]	[0.127]	[0.147]	[0.178]	[0.128]	[0.153]
dadMaxEdu_Uni_Miss	-0.036	0.019	0.024	-0.123**	-0.116*	-0.124**	-0.147**	-0.104	-0.019	0.006
	[0.090]	[0.109]	[0.096]	[0.060]	[0.066]	[0.060]	[0.064]	[0.077]	[0.068]	[0.077]
HighInc_F	0.041	0.075	0.098	-0.080	-0.061	-0.085	-0.005	0.021	-0.074	-0.109*
	[0.076]	[0.086]	[0.079]	[0.053]	[0.060]	[0.053]	[0.055]	[0.061]	[0.059]	[0.064]
HighInc_Miss	-0.070	-0.044	-0.015	-0.100**	-0.116**	-0.108**	-0.120**	-0.114*	-0.078	-0.090
	[0.081]	[0.095]	[0.083]	[0.046]	[0.050]	[0.046]	[0.054]	[0.058]	[0.052]	[0.056]
houseOwn_F	-0.081	-0.072	-0.048	0.002	0.021	0.006	-0.030	0.008	-0.013	0.020
	[0.079]	[0.092]	[0.080]	[0.050]	[0.061]	[0.051]	[0.058]	[0.067]	[0.054]	[0.065]
distCenter	0.007	0.006	0.000	0.011	0.005	0.011	0.013	0.011	0.005	-0.001
	[0.013]	[0.014]	[0.014]	[0.010]	[0.012]	[0.010]	[0.010]	[0.011]	[0.011]	[0.012]
cgRelig_F	-0.097	-0.229*	-0.258**	0.105**	0.139**	0.109**	0.003	-0.016	0.023	0.051
	[0.074]	[0.118]	[0.104]	[0.053]	[0.059]	[0.053]	[0.061]	[0.072]	[0.058]	[0.063]
o.cgRelig_Miss			-		-			-		-
										
CAPI	0.025	0.078	0.078	-0.017	-0.011	-0.019	-0.010	0.009	0.007	-0.012
	[0.061]	[0.075]	[0.068]	[0.039]	[0.044]	[0.039]	[0.044]	[0.049]	[0.043]	[0.049]
cgRelig_Miss	-0.167	-0.037		0.026		0.037	-0.243		-0.026	
	[0.253]	[0.268]		[0.097]		[0.098]	[0.208]		[0.102]	
Parma							0.033			
							[0.054]			
Reggio								-0.021		0.071
								[0.070]		[0.066]
materna_Municipal								-0.029		0.000
								[0.069]		[0.075]
Padova									-0.014	
									[0.056]	
Constant	-1.952	-0.869	-0.459	-1.158	-0.824	-1.156	-1.302	-0.460	-1.166	-2.340*
	[1.729]	[1.927]	[1.870]	[1.061]	[1.225]	[1.065]	[1.204]	[1.414]	[1.186]	[1.358]
										
Observations	293	293	290	686	647	686	541	537	569	531
R-squared	0.045	-0.182	0.069	0.056	0.068	0.058	0.055	0.046	0.039	0.056
Sample	Reggio	Reggio	Reggio	RAvsPrPd	RAvsPP	RAvsPP	RePr	RePr	RePd	RePd
Mean	.52	.52	.52	.52	.52	.52	.52	.52	.52	.52
Robust standard errors in brackets										
*** p<0.01, ** p<0.05, * p<0.1										
Mean = average of the y-variable for the whole sample considered. Sample: Reggio = only respondents in the city of Reggio Emilia. RAvsPrPd = Reggio Approach and all the respondents in Parma and Padova. RePr= all of the respondents in Reggio Emilia and Parma. RePd= all of the respondents in Reggio Emilia and Padova. Estimation Procedure: OLS = Ordinary Least Square; IV = Instrumental variable approach; CF = control function approach										
cubic polynomial or residuals. PSM = simple propensity score matching. PSM2 = propensity sore matching using both demand and supply. DiD = differences-in-differences approach										
municipal schools vs other schools across different cities										
