	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)	(10)
VARIABLES	OLS	IV	CF	OLS	PSM	PSM2	OLS	DiD Pr	OLS	DiD Pd
										
ReggioAsilo	0.323**	0.563	0.299	-0.077	-0.132**	-0.104**	0.040	0.370*	0.007	0.368
	[0.141]	[0.993]	[0.254]	[0.050]	[0.060]	[0.051]	[0.074]	[0.205]	[0.080]	[0.239]
asilo_Municipal								-0.070		-0.107
								[0.105]		[0.127]
nido	-0.387***	-0.603	-0.337**	0.009	0.020	0.043	-0.082	0.038	-0.041	0.102
	[0.141]	[0.916]	[0.155]	[0.041]	[0.046]	[0.042]	[0.053]	[0.094]	[0.060]	[0.103]
unobsA			-0.110							
			[0.352]							
unobsA2			0.029							
			[0.171]							
unobsA3			0.275							
			[0.506]							
Age	0.023	0.037	0.021	0.050	0.119**	0.080	0.021	0.097*	0.024	0.050
	[0.085]	[0.102]	[0.088]	[0.049]	[0.050]	[0.049]	[0.058]	[0.058]	[0.055]	[0.056]
Male	0.083	0.089	0.089	-0.007	-0.049	-0.026	0.043	0.024	0.005	0.016
	[0.057]	[0.059]	[0.059]	[0.035]	[0.042]	[0.036]	[0.040]	[0.045]	[0.039]	[0.042]
poorBHealth	0.206**	0.187**	0.184*	-0.051	-0.028	-0.038	-0.001	-0.012	0.087	0.078
	[0.086]	[0.094]	[0.094]	[0.062]	[0.063]	[0.062]	[0.069]	[0.077]	[0.064]	[0.070]
oldsibs	-0.013	-0.004	-0.012	-0.035	0.012	-0.019	0.020	0.064	-0.048	-0.025
	[0.060]	[0.068]	[0.062]	[0.037]	[0.037]	[0.036]	[0.041]	[0.045]	[0.041]	[0.041]
momMaxEdu_Uni_F	0.086	0.078	0.069	0.025	-0.021	0.004	0.114**	0.059	-0.019	-0.083
	[0.066]	[0.078]	[0.069]	[0.042]	[0.047]	[0.044]	[0.045]	[0.048]	[0.049]	[0.057]
dadMaxEdu_Uni_F	0.084	0.073	0.071	0.051	0.004	0.039	0.024	-0.000	0.088*	0.074
	[0.074]	[0.085]	[0.081]	[0.043]	[0.047]	[0.045]	[0.051]	[0.055]	[0.050]	[0.053]
o.momMaxEdu_Uni_Miss			-		-			-		-
										
dadMaxEdu_Uni_Miss	-0.165*	-0.175	-0.141	-0.077	0.031	-0.068	-0.108*	0.057	-0.102	-0.141*
	[0.086]	[0.118]	[0.097]	[0.057]	[0.064]	[0.057]	[0.062]	[0.074]	[0.065]	[0.078]
HighInc_F	-0.099	-0.119	-0.091	-0.051	-0.064	-0.055	-0.105**	-0.091	-0.054	-0.068
	[0.071]	[0.108]	[0.079]	[0.047]	[0.053]	[0.047]	[0.050]	[0.056]	[0.055]	[0.062]
HighInc_Miss	-0.057	-0.049	-0.049	-0.006	-0.017	-0.014	-0.054	-0.018	-0.013	-0.052
	[0.071]	[0.074]	[0.075]	[0.043]	[0.055]	[0.044]	[0.051]	[0.060]	[0.048]	[0.059]
houseOwn_F	0.020	0.052	0.048	0.088*	0.137***	0.087*	0.074	0.167***	0.004	0.043
	[0.080]	[0.095]	[0.089]	[0.047]	[0.052]	[0.049]	[0.056]	[0.064]	[0.051]	[0.057]
distCenter	0.004	0.004	0.003	-0.002	0.004	-0.007	-0.001	0.009	-0.000	0.002
	[0.012]	[0.012]	[0.013]	[0.010]	[0.012]	[0.010]	[0.009]	[0.012]	[0.010]	[0.011]
cgRelig_F	0.017	0.015	-0.007	0.001	0.038	-0.002	0.015	0.042	-0.010	0.014
	[0.070]	[0.096]	[0.077]	[0.050]	[0.062]	[0.052]	[0.054]	[0.062]	[0.052]	[0.073]
cgRelig_Miss	0.013	-0.036	-0.018	0.175**	0.214**	0.175**	-0.239	-0.440	0.201***	0.303***
	[0.308]	[0.307]	[0.299]	[0.074]	[0.089]	[0.074]	[0.299]	[0.273]	[0.072]	[0.097]
CAPI	0.069	0.040	0.040	0.022	-0.006	0.023	0.020	-0.045	0.058	0.013
	[0.056]	[0.059]	[0.059]	[0.035]	[0.040]	[0.036]	[0.040]	[0.046]	[0.039]	[0.046]
momMaxEdu_Uni_Miss	0.211			0.034		-0.048	0.141		0.021	
	[0.158]			[0.119]		[0.143]	[0.149]		[0.126]	
Parma							0.078			
							[0.053]			
Reggio								-0.133**		-0.015
								[0.064]		[0.061]
nidoXreggio								-0.368*		-0.393*
								[0.201]		[0.225]
Padova									0.016	
									[0.051]	
Constant	0.197	-0.075	0.225	-0.249	-1.554	-0.783	0.227	-1.188	0.250	-0.220
	[1.595]	[1.961]	[1.644]	[0.917]	[0.956]	[0.914]	[1.083]	[1.095]	[1.040]	[1.055]
										
Observations	293	274	274	676	638	676	541	508	569	536
R-squared	0.076	0.046	0.060	0.037	0.078	0.041	0.044	0.103	0.044	0.128
Sample	Reggio	Reggio	Reggio	RAvsPrPd	RAvsPP	RAvsPP	RePr	RePr	RePd	RePd
Mean	.68	.68	.68	.68	.68	.68	.68	.68	.68	.68
Robust standard errors in brackets										
*** p<0.01, ** p<0.05, * p<0.1										
Mean = average of the y-variable for the whole sample considered. Sample: Reggio = only respondents in the city of Reggio Emilia. RAvsPrPd = Reggio Approach and all the respondents in Parma and Padova. RePr= all of the respondents in Reggio Emilia and Parma. RePd= all of the respondents in Reggio Emilia and Padova. Estimation Procedure: OLS = Ordinary Least Square; IV = Instrumental variable approach; CF = control function approach										
cubic polynomial or residuals. PSM = simple propensity score matching. PSM2 = propensity sore matching using both demand and supply. DiD = differences-in-differences approach										
municipal schools vs other schools across different cities										
