	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)	(10)
VARIABLES	OLS	IV	CF	OLS	PSM	PSM2	OLS	DiD Pr	OLS	DiD Pd
										
ReggioMaterna	-0.062	0.297	0.290	-0.083*	-0.080*	-0.082*	-0.056	-0.160*	-0.076	-0.065
	[0.058]	[0.296]	[0.353]	[0.044]	[0.046]	[0.044]	[0.057]	[0.085]	[0.056]	[0.087]
unobsM			-0.369							
			[0.512]							
unobsM2			0.017							
			[0.230]							
unobsM3			0.009							
			[0.645]							
Age	-0.004	0.025	0.017	0.051	0.063	0.055	0.005	0.031	0.022	-0.005
	[0.085]	[0.092]	[0.090]	[0.048]	[0.054]	[0.048]	[0.058]	[0.066]	[0.055]	[0.060]
Male	0.075	0.082	0.072	0.006	0.003	-0.003	0.037	0.031	0.004	0.014
	[0.058]	[0.062]	[0.058]	[0.034]	[0.041]	[0.034]	[0.040]	[0.045]	[0.039]	[0.044]
poorBHealth	0.196**	0.234**	0.232**	-0.030	-0.069	-0.048	-0.006	-0.043	0.083	0.058
	[0.086]	[0.092]	[0.094]	[0.063]	[0.072]	[0.063]	[0.069]	[0.078]	[0.065]	[0.070]
oldsibs	-0.021	-0.019	-0.017	-0.021	-0.006	-0.017	0.020	0.041	-0.046	-0.083*
	[0.061]	[0.065]	[0.062]	[0.036]	[0.041]	[0.036]	[0.041]	[0.044]	[0.041]	[0.047]
momMaxEdu_Uni_F	0.070	0.107	0.117	0.015	0.020	0.016	0.105**	0.116**	-0.028	-0.054
	[0.066]	[0.077]	[0.073]	[0.042]	[0.046]	[0.042]	[0.044]	[0.049]	[0.047]	[0.052]
dadMaxEdu_Uni_F	0.068	0.049	0.066	0.047	0.074	0.050	0.025	0.033	0.090*	0.130**
	[0.076]	[0.085]	[0.078]	[0.044]	[0.049]	[0.044]	[0.050]	[0.054]	[0.050]	[0.054]
momMaxEdu_Uni_Miss	0.208	0.217	0.214	-0.028	-0.141	-0.036	0.128	0.159	0.016	-0.080
	[0.150]	[0.175]	[0.156]	[0.126]	[0.156]	[0.127]	[0.148]	[0.125]	[0.124]	[0.144]
dadMaxEdu_Uni_Miss	-0.147*	-0.187*	-0.183**	-0.076	-0.019	-0.070	-0.104*	-0.029	-0.099	-0.038
	[0.086]	[0.099]	[0.091]	[0.057]	[0.065]	[0.057]	[0.062]	[0.068]	[0.064]	[0.069]
HighInc_F	-0.082	-0.106	-0.113	-0.049	-0.035	-0.050	-0.103**	-0.104*	-0.053	-0.051
	[0.071]	[0.080]	[0.075]	[0.048]	[0.053]	[0.048]	[0.050]	[0.055]	[0.055]	[0.058]
HighInc_Miss	-0.043	-0.062	-0.064	0.010	0.050	0.009	-0.042	-0.032	-0.009	0.023
	[0.073]	[0.075]	[0.076]	[0.042]	[0.045]	[0.041]	[0.050]	[0.055]	[0.048]	[0.051]
houseOwn_F	-0.005	-0.010	-0.013	0.069	0.038	0.068	0.072	0.056	0.002	-0.005
	[0.080]	[0.086]	[0.079]	[0.046]	[0.052]	[0.046]	[0.055]	[0.061]	[0.051]	[0.058]
distCenter	0.006	0.006	0.008	-0.001	-0.008	-0.003	-0.000	-0.003	0.000	0.002
	[0.012]	[0.013]	[0.012]	[0.010]	[0.011]	[0.009]	[0.009]	[0.011]	[0.010]	[0.011]
cgRelig_F	-0.014	0.081	0.077	-0.016	-0.027	-0.008	0.008	0.008	-0.019	-0.017
	[0.071]	[0.105]	[0.100]	[0.049]	[0.053]	[0.049]	[0.055]	[0.060]	[0.054]	[0.056]
o.cgRelig_Miss			-		-			-		-
										
CAPI	0.068	0.030	0.032	0.047	0.031	0.042	0.022	0.001	0.061	0.075*
	[0.057]	[0.067]	[0.062]	[0.035]	[0.040]	[0.035]	[0.041]	[0.044]	[0.039]	[0.044]
cgRelig_Miss	0.025	-0.068		0.148**		0.158**	-0.224		0.195***	
	[0.312]	[0.320]		[0.071]		[0.070]	[0.299]		[0.073]	
Parma							0.035			
							[0.049]			
Reggio								0.013		0.014
								[0.063]		[0.061]
materna_Municipal								0.073		-0.023
								[0.062]		[0.065]
Padova									-0.017	
									[0.051]	
Constant	0.723	-0.055	0.094	-0.266	-0.455	-0.352	0.541	0.072	0.328	0.815
	[1.595]	[1.788]	[1.753]	[0.904]	[1.019]	[0.895]	[1.086]	[1.234]	[1.039]	[1.132]
										
Observations	293	293	290	686	647	686	541	537	569	531
R-squared	0.055	-0.080	0.063	0.037	0.031	0.038	0.041	0.041	0.046	0.036
Sample	Reggio	Reggio	Reggio	RAvsPrPd	RAvsPP	RAvsPP	RePr	RePr	RePd	RePd
Mean	.68	.68	.68	.68	.68	.68	.68	.68	.68	.68
Robust standard errors in brackets										
*** p<0.01, ** p<0.05, * p<0.1										
Mean = average of the y-variable for the whole sample considered. Sample: Reggio = only respondents in the city of Reggio Emilia. RAvsPrPd = Reggio Approach and all the respondents in Parma and Padova. RePr= all of the respondents in Reggio Emilia and Parma. RePd= all of the respondents in Reggio Emilia and Padova. Estimation Procedure: OLS = Ordinary Least Square; IV = Instrumental variable approach; CF = control function approach										
cubic polynomial or residuals. PSM = simple propensity score matching. PSM2 = propensity sore matching using both demand and supply. DiD = differences-in-differences approach										
municipal schools vs other schools across different cities										
