	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)	(10)
VARIABLES	OLS	IV	CF	OLS	PSM	PSM2	OLS	DiD Pr	OLS	DiD Pd
										
ReggioMaterna	-0.047	0.103	0.207	-0.101***	-0.094*	-0.049	-0.041	-0.266***	-0.045	0.022
	[0.046]	[0.164]	[0.173]	[0.034]	[0.048]	[0.046]	[0.045]	[0.100]	[0.044]	[0.074]
unobs			-0.499*							
			[0.284]							
unobs2			-0.136							
			[0.177]							
unobs3			0.744							
			[0.499]							
Age	-0.026	-0.028	-0.025	0.033	-0.167**	-0.094**	0.003	-0.133***	0.045	0.102
	[0.066]	[0.067]	[0.066]	[0.039]	[0.083]	[0.048]	[0.043]	[0.051]	[0.046]	[0.139]
Male	-0.059	-0.062	-0.050	-0.012	0.176***	-0.026	-0.036	0.126*	-0.016	-0.020
	[0.046]	[0.047]	[0.046]	[0.025]	[0.067]	[0.050]	[0.029]	[0.070]	[0.030]	[0.051]
poorBHealth	-0.067	-0.076	-0.069	-0.014	-0.000	0.021	-0.040	0.026	-0.043	-0.295
	[0.082]	[0.084]	[0.082]	[0.045]	[0.116]	[0.058]	[0.052]	[0.067]	[0.057]	[0.183]
oldsibs	0.126	0.161*	0.132	0.007	0.138	0.309	0.056	0.160*	0.028	0.102
	[0.082]	[0.091]	[0.095]	[0.067]	[0.090]	[0.190]	[0.075]	[0.089]	[0.064]	[0.064]
momMaxEdu_Uni_F	0.062	0.061	0.048	0.002	-0.007	0.020	0.026	0.070	0.023	0.001
	[0.049]	[0.051]	[0.049]	[0.027]	[0.067]	[0.064]	[0.032]	[0.058]	[0.032]	[0.049]
dadMaxEdu_Uni_F	0.068	0.073	0.072	0.033	-0.044	0.169*	0.032	0.178***	0.062*	0.125*
	[0.054]	[0.057]	[0.055]	[0.030]	[0.097]	[0.095]	[0.035]	[0.058]	[0.034]	[0.069]
momMaxEdu_Uni_Miss	0.198***	0.218***	0.170***	-0.014	-0.013	-0.041	0.032	0.163	0.168***	0.127*
	[0.061]	[0.056]	[0.063]	[0.173]	[0.121]	[0.141]	[0.141]	[0.134]	[0.046]	[0.071]
dadMaxEdu_Uni_Miss	0.083	0.062	0.084	0.066	-0.295***	-0.005	0.094*	-0.239**	0.030	0.021
	[0.077]	[0.073]	[0.070]	[0.042]	[0.099]	[0.029]	[0.048]	[0.092]	[0.053]	[0.083]
HighInc_F	0.051	0.040	0.047	0.035	-0.165*	-0.722***	0.046	-0.155*	0.046	0.036
	[0.059]	[0.063]	[0.060]	[0.033]	[0.089]	[0.129]	[0.037]	[0.086]	[0.039]	[0.048]
HighInc_Miss	0.034	0.031	0.031	-0.014	-0.088	0.009	0.006	-0.167***	-0.021	-0.044
	[0.055]	[0.056]	[0.055]	[0.032]	[0.072]	[0.050]	[0.038]	[0.056]	[0.037]	[0.073]
houseOwn_F	-0.072	-0.057	-0.068	-0.005	-0.034	-0.002	-0.021	-0.086*	-0.051*	-0.084**
	[0.047]	[0.050]	[0.049]	[0.026]	[0.056]	[0.046]	[0.032]	[0.050]	[0.030]	[0.040]
o.houseOwn_Miss			-		-			-		-
										
distCenter	-0.011	-0.009	-0.011	-0.002	0.002	0.020	-0.006	0.006	-0.008	0.032
	[0.010]	[0.010]	[0.010]	[0.007]	[0.019]	[0.013]	[0.007]	[0.012]	[0.008]	[0.021]
cgRelig_F	-0.044	-0.018	-0.010	-0.039	0.081	0.025	-0.010	-0.022	-0.047	-0.010
	[0.069]	[0.080]	[0.075]	[0.033]	[0.074]	[0.043]	[0.045]	[0.058]	[0.039]	[0.059]
cgRelig_Miss	0.060	0.055	0.064	-0.060	-0.155*	0.078	-0.076	-0.225**	-0.020	0.066
	[0.087]	[0.105]	[0.103]	[0.095]	[0.088]	[0.068]	[0.144]	[0.089]	[0.093]	[0.095]
CAPI	-0.047	-0.063	-0.054	-0.024	0.387***	-0.059	-0.043	0.037	-0.027	0.072
	[0.045]	[0.047]	[0.047]	[0.025]	[0.100]	[0.060]	[0.029]	[0.041]	[0.029]	[0.071]
houseOwn_Miss	-0.906***	-0.835***		-0.222		-0.414*	-0.612***		-0.529**	
	[0.116]	[0.149]		[0.276]		[0.247]	[0.215]		[0.266]	
Parma							0.051			
							[0.037]			
Reggio								0.079		-0.106**
								[0.073]		[0.053]
materna_Municipal								0.231***		-0.057
								[0.085]		[0.051]
Padova									0.067*	
									[0.036]	
Constant	1.120**	1.038**	0.989**	0.717***	1.753***	1.547***	0.865***	1.637***	0.617**	0.160
	[0.451]	[0.450]	[0.461]	[0.258]	[0.595]	[0.281]	[0.296]	[0.365]	[0.308]	[0.936]
										
Observations	309	309	307	731	728	728	597	593	586	583
R-squared	0.095	0.062	0.084	0.029	0.977	0.766	0.056	0.991	0.062	0.209
Sample	Reggio	Reggio	Reggio	RAvsPrPd	RAvsPP	RAvsPP	RePr	RePr	RePd	RePd
Mean	.8100000000000001	.8100000000000001	.8100000000000001	.8100000000000001	.8100000000000001	.8100000000000001	.8100000000000001	.8100000000000001	.8100000000000001	.8100000000000001
Robust standard errors in brackets										
*** p<0.01, ** p<0.05, * p<0.1										
Mean = average of the y-variable for the whole sample considered. Sample: Reggio = only respondents in the city of Reggio Emilia. RAvsPrPd = Reggio Approach and all the respondents in Parma and Padova. RePr= all of the respondents in Reggio Emilia and Parma. RePd= all of the respondents in Reggio Emilia and Padova. Estimation Procedure: OLS = Ordinary Least Square; IV = Instrumental variable approach; CF = control function approach										
cubic polynomial or residuals. PSM = simple propensity score matching. PSM2 = propensity sore matching using both demand and supply. DiD = differences-in-differences approach										
municipal schools vs other schools across different cities										
