	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)	(10)
VARIABLES	OLS	IV	CF	OLS	PSM	PSM2	OLS	DiD Pr	OLS	DiD Pd
										
ReggioAsilo	0.003	-0.125	-0.065	0.005	0.009	0.004	0.012	-0.050	0.008	0.011
	[0.009]	[0.109]	[0.047]	[0.009]	[0.009]	[0.006]	[0.011]	[0.034]	[0.011]	[0.014]
asilo_Municipal								0.052		-0.012
								[0.037]		[0.011]
nido	0.009	0.115	0.013	-0.008	-0.009	-0.001	-0.004	-0.056	0.001	0.004
	[0.009]	[0.095]	[0.011]	[0.006]	[0.006]	[0.001]	[0.007]	[0.039]	[0.007]	[0.005]
unobs			0.094							
			[0.068]							
unobs2			-0.017							
			[0.033]							
unobs3			-0.065							
			[0.073]							
Age	-0.020	-0.022	-0.022	-0.019*	-0.021	-0.001	-0.023	-0.022	-0.016	-0.006
	[0.017]	[0.018]	[0.018]	[0.011]	[0.016]	[0.001]	[0.014]	[0.018]	[0.010]	[0.007]
Male	0.003	0.004	0.009	-0.004	-0.004	-0.001	0.004	0.004	-0.001	0.002
	[0.009]	[0.010]	[0.009]	[0.006]	[0.007]	[0.001]	[0.007]	[0.008]	[0.006]	[0.005]
poorBHealth	-0.026	-0.022	-0.016	0.007*	0.010	0.009	-0.009	0.004	-0.010	0.003
	[0.034]	[0.035]	[0.035]	[0.004]	[0.007]	[0.006]	[0.018]	[0.010]	[0.019]	[0.013]
oldsibs	0.025	-0.003	0.015	0.013*	0.013	0.008	0.022**	0.026	0.015*	0.010
	[0.017]	[0.024]	[0.014]	[0.006]	[0.009]	[0.006]	[0.010]	[0.016]	[0.008]	[0.006]
momMaxEdu_Uni_F	0.011	0.013	0.015	0.008*	0.008	0.001	0.009*	0.009	0.007	0.004
	[0.008]	[0.011]	[0.011]	[0.004]	[0.005]	[0.001]	[0.005]	[0.007]	[0.005]	[0.004]
dadMaxEdu_Uni_F	0.002	-0.014	-0.002	0.004	0.006	-0.000	0.004	0.006	0.003	0.003
	[0.007]	[0.018]	[0.008]	[0.002]	[0.004]	[0.001]	[0.004]	[0.006]	[0.003]	[0.003]
momMaxEdu_Uni_Miss	0.028	0.029	0.023	0.007	0.007	0.007	0.019	0.020	0.021	0.018
	[0.024]	[0.024]	[0.023]	[0.007]	[0.007]	[0.004]	[0.014]	[0.017]	[0.014]	[0.015]
dadMaxEdu_Uni_Miss	-0.019	-0.011	-0.015	0.010*	0.014	0.000	-0.008	-0.014	-0.008	-0.012
	[0.040]	[0.037]	[0.039]	[0.005]	[0.009]	[0.001]	[0.023]	[0.022]	[0.020]	[0.021]
HighInc_F	0.006	0.001	0.005	0.008*	0.004	0.000	0.007	-0.001	0.007	0.006
	[0.009]	[0.010]	[0.009]	[0.004]	[0.003]	[0.000]	[0.005]	[0.004]	[0.005]	[0.006]
HighInc_Miss	0.015	0.008	0.004	0.008*	0.007*	0.001	0.010	0.010	0.007	0.005
	[0.019]	[0.016]	[0.013]	[0.004]	[0.004]	[0.001]	[0.010]	[0.011]	[0.010]	[0.010]
houseOwn_F	0.020*	0.014	0.016	0.007	0.006	-0.001	0.013	0.011	0.015**	0.011*
	[0.012]	[0.011]	[0.010]	[0.007]	[0.006]	[0.001]	[0.008]	[0.008]	[0.007]	[0.006]
o.houseOwn_Miss			-		-			-		-
										
distCenter	-0.001	-0.001	-0.001	-0.001	0.001	0.000	-0.001	-0.000	0.000	0.001
	[0.002]	[0.002]	[0.002]	[0.002]	[0.001]	[0.000]	[0.002]	[0.002]	[0.001]	[0.001]
cgRelig_F	-0.011	-0.009	-0.015	0.004	-0.000	0.000	0.005	0.002	-0.010	-0.015
	[0.010]	[0.010]	[0.012]	[0.011]	[0.007]	[0.001]	[0.014]	[0.011]	[0.006]	[0.011]
cgRelig_Miss	-0.029	-0.051	-0.017	-0.002	0.004	0.007	0.004	0.026	-0.014	-0.013
	[0.021]	[0.049]	[0.016]	[0.011]	[0.005]	[0.005]	[0.015]	[0.019]	[0.010]	[0.014]
CAPI	0.028*	0.030*	0.029*	0.005	0.004	0.000	0.012	0.012	0.015**	0.013*
	[0.016]	[0.018]	[0.017]	[0.005]	[0.004]	[0.000]	[0.009]	[0.009]	[0.007]	[0.007]
houseOwn_Miss	0.040	0.011		0.008		0.008	0.023		0.022	
	[0.027]	[0.042]		[0.009]		[0.006]	[0.014]		[0.014]	
Parma							0.006			
							[0.009]			
Reggio								-0.020		-0.019
								[0.016]		[0.015]
nidoXreggio								0.070*		0.014
								[0.040]		[0.013]
Padova									0.008	
									[0.009]	
Constant	1.097***	1.118***	1.153***	1.109***	1.121***	0.999***	1.120***	1.123***	1.078***	1.032***
	[0.107]	[0.118]	[0.131]	[0.069]	[0.096]	[0.005]	[0.089]	[0.113]	[0.064]	[0.043]
										
Observations	309	309	307	725	722	725	597	593	586	583
R-squared	0.056	-0.081	0.065	0.026	0.031	0.010	0.030	0.059	0.035	0.036
Sample	Reggio	Reggio	Reggio	RAvsPrPd	RAvsPP	RAvsPP	RePr	RePr	RePd	RePd
Mean	.99	.99	.99	.99	.99	.99	.99	.99	.99	.99
Robust standard errors in brackets										
*** p<0.01, ** p<0.05, * p<0.1										
Mean = average of the y-variable for the whole sample considered. Sample: Reggio = only respondents in the city of Reggio Emilia. RAvsPrPd = Reggio Approach and all the respondents in Parma and Padova. RePr= all of the respondents in Reggio Emilia and Parma. RePd= all of the respondents in Reggio Emilia and Padova. Estimation Procedure: OLS = Ordinary Least Square; IV = Instrumental variable approach; CF = control function approach										
cubic polynomial or residuals. PSM = simple propensity score matching. PSM2 = propensity sore matching using both demand and supply. DiD = differences-in-differences approach										
municipal schools vs other schools across different cities										
