	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)	(10)
VARIABLES	OLS	IV	CF	OLS	PSM	PSM2	OLS	DiD Pr	OLS	DiD Pd
										
ReggioMaterna	-0.115**	0.137	0.030	-0.217***	-0.244***	-0.247***	-0.105**	-0.090	-0.108**	-0.118
	[0.052]	[0.240]	[0.319]	[0.041]	[0.043]	[0.043]	[0.052]	[0.087]	[0.052]	[0.086]
unobs			-0.043							
			[0.464]							
unobs2			0.027							
			[0.170]							
unobs3			-0.369							
			[0.535]							
Age	0.034	0.030	0.026	-0.026	0.038	0.021	0.069	0.115*	-0.011	0.010
	[0.077]	[0.078]	[0.077]	[0.052]	[0.063]	[0.059]	[0.057]	[0.064]	[0.056]	[0.060]
Male	-0.098*	-0.103*	-0.107**	-0.033	-0.012	-0.003	-0.067*	-0.049	-0.025	-0.031
	[0.053]	[0.055]	[0.053]	[0.036]	[0.040]	[0.041]	[0.040]	[0.044]	[0.039]	[0.043]
poorBHealth	0.131	0.116	0.115	-0.015	-0.022	0.016	0.096	0.128*	0.015	-0.006
	[0.090]	[0.098]	[0.089]	[0.061]	[0.076]	[0.064]	[0.066]	[0.067]	[0.069]	[0.084]
oldsibs	-0.082	-0.042	-0.056	-0.062	-0.042	-0.066	-0.097	-0.114*	-0.078	-0.072
	[0.067]	[0.079]	[0.082]	[0.082]	[0.072]	[0.089]	[0.066]	[0.064]	[0.062]	[0.060]
momMaxEdu_Uni_F	0.170**	0.168**	0.170**	0.015	0.048	-0.013	0.025	0.047	0.121**	0.140***
	[0.068]	[0.072]	[0.069]	[0.043]	[0.052]	[0.048]	[0.048]	[0.054]	[0.050]	[0.054]
dadMaxEdu_Uni_F	-0.038	-0.029	-0.032	0.060	0.074	0.101**	0.091*	0.094*	-0.037	-0.027
	[0.074]	[0.078]	[0.075]	[0.044]	[0.049]	[0.048]	[0.050]	[0.055]	[0.052]	[0.054]
momMaxEdu_Uni_Miss	0.139	0.172	0.182	-0.004	0.029	-0.015	0.051	0.015	0.015	0.019
	[0.225]	[0.218]	[0.222]	[0.227]	[0.188]	[0.250]	[0.191]	[0.166]	[0.201]	[0.179]
dadMaxEdu_Uni_Miss	-0.037	-0.073	-0.075	0.086	0.081	0.141*	0.100	0.147*	-0.007	-0.042
	[0.095]	[0.104]	[0.103]	[0.065]	[0.075]	[0.081]	[0.076]	[0.083]	[0.068]	[0.076]
HighInc_F	-0.019	-0.037	-0.041	-0.075	-0.076	-0.072	-0.038	-0.021	-0.055	-0.073
	[0.074]	[0.079]	[0.078]	[0.051]	[0.056]	[0.055]	[0.053]	[0.058]	[0.059]	[0.063]
HighInc_Miss	-0.115*	-0.120*	-0.119*	-0.186***	-0.202***	-0.143***	-0.167***	-0.146**	-0.153***	-0.172***
	[0.065]	[0.066]	[0.064]	[0.043]	[0.056]	[0.053]	[0.049]	[0.059]	[0.046]	[0.053]
houseOwn_F	-0.053	-0.029	-0.027	0.040	0.057	0.060	0.006	-0.001	0.006	-0.000
	[0.056]	[0.060]	[0.058]	[0.039]	[0.044]	[0.043]	[0.043]	[0.049]	[0.041]	[0.043]
o.houseOwn_Miss			-		-			-		-
										
distCenter	-0.001	0.001	0.002	0.014	0.017	0.015	0.012	0.013	-0.002	-0.010
	[0.011]	[0.011]	[0.011]	[0.009]	[0.011]	[0.010]	[0.008]	[0.010]	[0.009]	[0.009]
cgRelig_F	-0.071	-0.027	-0.029	-0.067	-0.062	-0.078	-0.041	-0.048	-0.050	-0.019
	[0.079]	[0.087]	[0.088]	[0.053]	[0.063]	[0.068]	[0.060]	[0.070]	[0.058]	[0.066]
cgRelig_Miss	-0.286**	-0.297**	-0.354***	-0.321***	-0.292***	-0.281**	-0.108	-0.029	-0.367***	-0.333***
	[0.114]	[0.143]	[0.109]	[0.085]	[0.105]	[0.140]	[0.146]	[0.230]	[0.066]	[0.079]
CAPI	-0.051	-0.077	-0.080	-0.073**	-0.067*	-0.103**	-0.063	-0.031	-0.054	-0.045
	[0.056]	[0.063]	[0.062]	[0.036]	[0.040]	[0.041]	[0.040]	[0.043]	[0.040]	[0.044]
houseOwn_Miss	-0.056	0.054		-0.075		-0.106	-0.047		-0.089	
	[0.174]	[0.199]		[0.212]		[0.223]	[0.183]		[0.146]	
Parma							0.115**			
							[0.051]			
Reggio								-0.149**		-0.113*
								[0.064]		[0.059]
materna_Municipal								-0.051		-0.022
								[0.067]		[0.066]
Padova									0.129**	
									[0.051]	
Constant	0.292	0.146	0.225	0.741**	0.267	0.405	-0.042	-0.233	0.554	0.546
	[0.531]	[0.550]	[0.555]	[0.355]	[0.432]	[0.393]	[0.395]	[0.440]	[0.385]	[0.413]
										
Observations	309	309	307	731	728	731	597	593	586	583
R-squared	0.087	0.015	0.092	0.097	0.131	0.099	0.091	0.110	0.109	0.150
Sample	Reggio	Reggio	Reggio	RAvsPrPd	RAvsPP	RAvsPP	RePr	RePr	RePd	RePd
Mean	.29	.29	.29	.29	.29	.29	.29	.29	.29	.29
Robust standard errors in brackets										
*** p<0.01, ** p<0.05, * p<0.1										
Mean = average of the y-variable for the whole sample considered. Sample: Reggio = only respondents in the city of Reggio Emilia. RAvsPrPd = Reggio Approach and all the respondents in Parma and Padova. RePr= all of the respondents in Reggio Emilia and Parma. RePd= all of the respondents in Reggio Emilia and Padova. Estimation Procedure: OLS = Ordinary Least Square; IV = Instrumental variable approach; CF = control function approach										
cubic polynomial or residuals. PSM = simple propensity score matching. PSM2 = propensity sore matching using both demand and supply. DiD = differences-in-differences approach										
municipal schools vs other schools across different cities										
