	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)	(10)
VARIABLES	OLS	IV	CF	OLS	PSM	PSM2	OLS	DiD Pr	OLS	DiD Pd
										
ReggioMaterna	0.041	0.150	0.197	-0.024	-0.033	-0.068	0.036	-0.096	0.036	0.165*
	[0.058]	[0.225]	[0.264]	[0.046]	[0.054]	[0.088]	[0.057]	[0.094]	[0.057]	[0.095]
unobs			-0.297							
			[0.401]							
unobs2			0.206							
			[0.212]							
unobs3			0.476							
			[0.594]							
Age	-0.019	-0.021	-0.019	0.025	-0.194**	0.236	0.014	-0.247***	0.040	-0.117
	[0.080]	[0.081]	[0.081]	[0.054]	[0.089]	[0.159]	[0.060]	[0.094]	[0.059]	[0.141]
Male	-0.088	-0.089	-0.085	-0.083**	-0.377***	0.460***	-0.113***	-0.267***	-0.035	-0.192
	[0.058]	[0.058]	[0.059]	[0.037]	[0.110]	[0.107]	[0.041]	[0.053]	[0.042]	[0.204]
poorBHealth	-0.098	-0.104	-0.095	0.044	-0.100	0.192	-0.044	-0.012	0.006	-0.135
	[0.089]	[0.089]	[0.090]	[0.062]	[0.102]	[0.194]	[0.066]	[0.100]	[0.068]	[0.120]
oldsibs	0.163	0.188	0.164	-0.031	0.017	-0.220	-0.036	0.027	0.054	0.150
	[0.147]	[0.148]	[0.152]	[0.106]	[0.138]	[0.288]	[0.117]	[0.158]	[0.104]	[0.112]
momMaxEdu_Uni_F	0.101	0.100	0.102	0.079*	-0.243**	-0.003	0.080*	-0.267***	0.094*	-0.059
	[0.071]	[0.071]	[0.072]	[0.043]	[0.102]	[0.157]	[0.048]	[0.068]	[0.051]	[0.086]
dadMaxEdu_Uni_F	-0.058	-0.055	-0.056	-0.040	-0.056	0.547***	-0.062	-0.091	-0.040	0.009
	[0.077]	[0.078]	[0.077]	[0.046]	[0.103]	[0.131]	[0.052]	[0.083]	[0.054]	[0.126]
momMaxEdu_Uni_Miss	0.197	0.212	0.174	-0.239	-0.105	-0.280	-0.002	0.148	0.064	0.193
	[0.206]	[0.213]	[0.207]	[0.169]	[0.344]	[0.313]	[0.183]	[0.225]	[0.205]	[0.233]
dadMaxEdu_Uni_Miss	-0.186*	-0.201**	-0.185*	-0.017	-0.244	0.389***	-0.089	-0.451***	-0.104	0.055
	[0.096]	[0.101]	[0.102]	[0.065]	[0.207]	[0.083]	[0.075]	[0.082]	[0.072]	[0.285]
HighInc_F	0.082	0.074	0.083	0.069	-0.168	0.746***	0.058	-0.173*	0.041	0.124
	[0.078]	[0.080]	[0.081]	[0.053]	[0.127]	[0.140]	[0.056]	[0.096]	[0.061]	[0.082]
HighInc_Miss	0.155**	0.153**	0.152**	0.011	-0.132*	0.243	0.089*	-0.083	0.046	0.077
	[0.071]	[0.073]	[0.071]	[0.045]	[0.079]	[0.188]	[0.052]	[0.059]	[0.050]	[0.086]
houseOwn_F	0.094	0.105	0.089	0.063	-0.058	-0.265*	0.092**	0.131**	0.074*	-0.029
	[0.059]	[0.064]	[0.064]	[0.040]	[0.101]	[0.138]	[0.044]	[0.066]	[0.044]	[0.101]
o.houseOwn_Miss			-		-			-		-
										
distCenter	-0.011	-0.010	-0.009	-0.011	-0.025	0.251***	-0.008	-0.026*	-0.011	-0.031
	[0.011]	[0.011]	[0.011]	[0.010]	[0.020]	[0.034]	[0.008]	[0.015]	[0.010]	[0.025]
cgRelig_F	-0.193**	-0.174*	-0.202**	-0.102*	-0.020	0.210**	-0.114*	-0.041	-0.157***	0.105
	[0.085]	[0.099]	[0.100]	[0.054]	[0.097]	[0.088]	[0.064]	[0.080]	[0.060]	[0.099]
cgRelig_Miss	-0.117	-0.121	-0.100	-0.342***	-0.428***	-0.362**	-0.174	-0.235**	-0.390***	-0.273*
	[0.321]	[0.343]	[0.336]	[0.109]	[0.090]	[0.164]	[0.190]	[0.113]	[0.135]	[0.140]
CAPI	0.093	0.081	0.101	-0.031	0.083	0.129	0.010	0.048	0.006	0.002
	[0.058]	[0.063]	[0.064]	[0.037]	[0.108]	[0.106]	[0.042]	[0.061]	[0.042]	[0.070]
houseOwn_Miss	0.720***	0.772***		-0.071		-0.354*	-0.050		0.645***	
	[0.091]	[0.138]		[0.316]		[0.183]	[0.309]		[0.067]	
Parma							0.038			
							[0.052]			
Reggio								0.001		-0.049
								[0.079]		[0.068]
materna_Municipal								0.147**		-0.117
								[0.067]		[0.072]
Padova									0.087	
									[0.053]	
Constant	0.623	0.566	0.500	0.427	2.291***	-2.634***	0.420	2.444***	0.255	1.346
	[0.561]	[0.578]	[0.584]	[0.367]	[0.633]	[0.961]	[0.418]	[0.670]	[0.409]	[1.105]
										
Observations	307	307	306	730	727	727	595	592	583	581
R-squared	0.079	0.068	0.079	0.040	0.612	0.952	0.041	0.761	0.046	0.354
Sample	Reggio	Reggio	Reggio	RAvsPrPd	RAvsPP	RAvsPP	RePr	RePr	RePd	RePd
Mean	.44	.44	.44	.44	.44	.44	.44	.44	.44	.44
Robust standard errors in brackets										
*** p<0.01, ** p<0.05, * p<0.1										
Mean = average of the y-variable for the whole sample considered. Sample: Reggio = only respondents in the city of Reggio Emilia. RAvsPrPd = Reggio Approach and all the respondents in Parma and Padova. RePr= all of the respondents in Reggio Emilia and Parma. RePd= all of the respondents in Reggio Emilia and Padova. Estimation Procedure: OLS = Ordinary Least Square; IV = Instrumental variable approach; CF = control function approach										
cubic polynomial or residuals. PSM = simple propensity score matching. PSM2 = propensity sore matching using both demand and supply. DiD = differences-in-differences approach										
municipal schools vs other schools across different cities										
