	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)	(10)
VARIABLES	OLS	IV	CF	OLS	PSM	PSM2	OLS	DiD Pr	OLS	DiD Pd
										
ReggioMaterna	0.032	-0.083	-0.041	0.017	0.053	-0.030	0.038	-0.376***	0.032	0.150
	[0.027]	[0.132]	[0.136]	[0.019]	[0.048]	[0.047]	[0.026]	[0.081]	[0.026]	[0.127]
unobs			0.058							
			[0.201]							
unobs2			-0.087							
			[0.097]							
unobs3			0.059							
			[0.297]							
Age	0.049	0.051	0.051	-0.005	-0.136**	0.496***	0.033	0.014	0.033	-0.042
	[0.039]	[0.040]	[0.039]	[0.022]	[0.068]	[0.072]	[0.028]	[0.053]	[0.028]	[0.082]
Male	-0.019	-0.018	-0.016	-0.012	0.181***	0.290***	-0.016	0.014	-0.012	0.032
	[0.025]	[0.026]	[0.026]	[0.016]	[0.060]	[0.085]	[0.017]	[0.062]	[0.019]	[0.029]
poorBHealth	0.011	0.017	0.015	-0.031	-0.138	-0.191**	-0.021	0.056	-0.011	-0.267*
	[0.033]	[0.038]	[0.037]	[0.031]	[0.135]	[0.088]	[0.034]	[0.073]	[0.032]	[0.148]
oldsibs	-0.034	-0.061	-0.057	0.003	0.018	-0.324*	-0.003	-0.051	-0.027	-0.017
	[0.076]	[0.092]	[0.086]	[0.040]	[0.078]	[0.192]	[0.050]	[0.082]	[0.052]	[0.080]
momMaxEdu_Uni_F	0.041	0.042	0.039	0.005	0.036	0.003	0.025	-0.015	0.014	-0.040
	[0.033]	[0.035]	[0.034]	[0.018]	[0.063]	[0.107]	[0.021]	[0.044]	[0.022]	[0.042]
dadMaxEdu_Uni_F	-0.082**	-0.086*	-0.085**	-0.018	-0.328***	0.300*	-0.048**	-0.139***	-0.035	0.065
	[0.041]	[0.044]	[0.043]	[0.021]	[0.078]	[0.160]	[0.024]	[0.042]	[0.025]	[0.065]
momMaxEdu_Uni_Miss	0.057	0.041	0.045	-0.141	-0.275**	-0.336	0.058***	0.094	-0.105	-0.138
	[0.035]	[0.035]	[0.033]	[0.151]	[0.139]	[0.293]	[0.020]	[0.093]	[0.134]	[0.100]
dadMaxEdu_Uni_Miss	-0.022	-0.006	-0.008	0.022	-0.473***	0.604***	-0.015	-0.556***	0.006	0.089
	[0.046]	[0.050]	[0.039]	[0.025]	[0.100]	[0.045]	[0.030]	[0.083]	[0.032]	[0.055]
HighInc_F	0.006	0.014	0.012	-0.023	-0.848***	0.028	-0.012	-0.382***	-0.027	-0.058
	[0.040]	[0.042]	[0.042]	[0.024]	[0.059]	[0.093]	[0.024]	[0.057]	[0.032]	[0.043]
HighInc_Miss	0.068***	0.069**	0.070***	-0.010	-0.080	0.163*	0.010	-0.186***	0.025	0.021
	[0.026]	[0.027]	[0.026]	[0.020]	[0.061]	[0.084]	[0.022]	[0.048]	[0.021]	[0.033]
houseOwn_F	0.019	0.008	0.012	0.001	0.032	-0.269**	0.012	-0.184***	0.012	0.014
	[0.029]	[0.035]	[0.035]	[0.018]	[0.068]	[0.118]	[0.020]	[0.038]	[0.022]	[0.038]
o.houseOwn_Miss			-		-			-		-
										
distCenter	-0.010	-0.011*	-0.011*	0.003	-0.054***	0.097***	-0.008	-0.050***	-0.003	0.006
	[0.006]	[0.007]	[0.006]	[0.005]	[0.013]	[0.022]	[0.005]	[0.010]	[0.006]	[0.006]
cgRelig_F	0.019	-0.001	0.012	0.028	0.175***	0.117*	0.038	0.127**	0.005	0.012
	[0.040]	[0.043]	[0.047]	[0.027]	[0.063]	[0.066]	[0.032]	[0.062]	[0.029]	[0.061]
cgRelig_Miss	0.020	0.024	0.010	-0.090	-0.209***	-0.933***	-0.069	0.031	-0.090	-0.136
	[0.051]	[0.048]	[0.043]	[0.088]	[0.059]	[0.096]	[0.139]	[0.096]	[0.090]	[0.094]
CAPI	0.021	0.034	0.028	0.015	0.442***	0.000	-0.008	0.119**	0.032*	0.139**
	[0.026]	[0.033]	[0.031]	[0.017]	[0.084]	[0.077]	[0.019]	[0.048]	[0.019]	[0.058]
houseOwn_Miss	0.066	0.010		0.056***		-0.260	0.053*		0.061**	
	[0.048]	[0.081]		[0.020]		[0.198]	[0.030]		[0.028]	
Parma							0.023			
							[0.026]			
Reggio								0.203***		-0.053
								[0.059]		[0.060]
materna_Municipal								0.415***		-0.108
								[0.070]		[0.123]
Padova									0.015	
									[0.026]	
Constant	0.593**	0.653**	0.646**	0.962***	1.837***	-2.935***	0.710***	0.926**	0.700***	1.157**
	[0.272]	[0.305]	[0.297]	[0.146]	[0.499]	[0.430]	[0.195]	[0.405]	[0.189]	[0.490]
										
Observations	307	307	306	730	727	727	595	592	583	581
R-squared	0.064	0.001	0.070	0.022	0.998	0.983	0.029	0.999	0.028	0.259
Sample	Reggio	Reggio	Reggio	RAvsPrPd	RAvsPP	RAvsPP	RePr	RePr	RePd	RePd
Mean	.9500000000000001	.9500000000000001	.9500000000000001	.9500000000000001	.9500000000000001	.9500000000000001	.9500000000000001	.9500000000000001	.9500000000000001	.9500000000000001
Robust standard errors in brackets										
*** p<0.01, ** p<0.05, * p<0.1										
Mean = average of the y-variable for the whole sample considered. Sample: Reggio = only respondents in the city of Reggio Emilia. RAvsPrPd = Reggio Approach and all the respondents in Parma and Padova. RePr= all of the respondents in Reggio Emilia and Parma. RePd= all of the respondents in Reggio Emilia and Padova. Estimation Procedure: OLS = Ordinary Least Square; IV = Instrumental variable approach; CF = control function approach										
cubic polynomial or residuals. PSM = simple propensity score matching. PSM2 = propensity sore matching using both demand and supply. DiD = differences-in-differences approach										
municipal schools vs other schools across different cities										
