	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)	(10)
VARIABLES	OLS	IV	CF	OLS	PSM	PSM2	OLS	DiD Pr	OLS	DiD Pd
										
ReggioAsilo	-0.112	-0.449	0.041	0.007	-0.025	0.022	-0.041	-0.288**	-0.051	0.040
	[0.097]	[0.884]	[0.190]	[0.045]	[0.051]	[0.047]	[0.063]	[0.133]	[0.061]	[0.118]
asilo_Municipal								0.086		-0.189**
								[0.117]		[0.079]
nido	0.071	0.380	0.050	-0.035	-0.037	-0.052	-0.024	-0.119	-0.002	0.174**
	[0.095]	[0.817]	[0.103]	[0.036]	[0.040]	[0.037]	[0.045]	[0.122]	[0.047]	[0.073]
unobsA			-0.138							
			[0.261]							
unobsA2			0.069							
			[0.148]							
unobsA3			-0.038							
			[0.411]							
Age	0.179**	0.163*	0.186**	0.025	0.035	0.011	0.053	0.037	0.156***	0.170***
	[0.073]	[0.090]	[0.075]	[0.046]	[0.054]	[0.047]	[0.054]	[0.060]	[0.048]	[0.049]
Male	-0.038	-0.032	-0.032	-0.026	-0.077**	-0.005	-0.024	-0.084*	-0.056*	-0.052
	[0.047]	[0.048]	[0.047]	[0.031]	[0.039]	[0.032]	[0.035]	[0.048]	[0.033]	[0.036]
poorBHealth	-0.029	-0.060	-0.057	-0.091	0.004	-0.072	-0.089	-0.005	-0.016	-0.021
	[0.081]	[0.087]	[0.087]	[0.057]	[0.064]	[0.057]	[0.063]	[0.070]	[0.058]	[0.065]
oldsibs	0.051	0.038	0.053	-0.085**	-0.130***	-0.094***	-0.035	-0.117**	-0.013	-0.015
	[0.047]	[0.052]	[0.048]	[0.034]	[0.044]	[0.036]	[0.037]	[0.056]	[0.034]	[0.036]
momMaxEdu_Uni_F	-0.081	-0.077	-0.067	-0.034	-0.030	-0.032	-0.024	0.021	-0.085*	-0.087*
	[0.062]	[0.072]	[0.063]	[0.038]	[0.045]	[0.038]	[0.044]	[0.050]	[0.044]	[0.050]
dadMaxEdu_Uni_F	-0.129*	-0.173**	-0.170**	-0.019	-0.009	-0.004	-0.039	-0.005	-0.078	-0.081
	[0.068]	[0.079]	[0.076]	[0.042]	[0.048]	[0.042]	[0.050]	[0.051]	[0.048]	[0.053]
o.momMaxEdu_Uni_Miss			-		-			-		-
										
dadMaxEdu_Uni_Miss	-0.147*	-0.122	-0.167**	-0.121**	-0.004	-0.111**	-0.085	0.023	-0.139**	-0.169**
	[0.078]	[0.096]	[0.084]	[0.053]	[0.049]	[0.056]	[0.056]	[0.055]	[0.058]	[0.071]
HighInc_F	0.014	0.034	-0.007	0.078*	0.075	0.100**	0.062	0.069	0.044	0.002
	[0.060]	[0.080]	[0.062]	[0.042]	[0.055]	[0.044]	[0.045]	[0.054]	[0.047]	[0.055]
HighInc_Miss	0.068	0.092	0.109*	0.090**	0.092**	0.097**	0.097**	0.087*	0.103***	0.096**
	[0.058]	[0.060]	[0.063]	[0.037]	[0.046]	[0.038]	[0.039]	[0.052]	[0.039]	[0.045]
houseOwn_F	-0.026	-0.048	-0.055	-0.016	0.081	-0.033	-0.009	0.066	-0.032	-0.033
	[0.058]	[0.064]	[0.061]	[0.039]	[0.055]	[0.039]	[0.044]	[0.071]	[0.038]	[0.041]
distCenter	-0.014	-0.017	-0.012	-0.007	0.015	-0.006	-0.007	0.011	-0.015*	-0.012
	[0.011]	[0.012]	[0.013]	[0.008]	[0.009]	[0.009]	[0.008]	[0.010]	[0.008]	[0.009]
cgRelig_F	0.029	-0.002	0.034	-0.012	0.023	-0.009	0.014	-0.003	0.011	0.006
	[0.058]	[0.076]	[0.065]	[0.043]	[0.053]	[0.045]	[0.046]	[0.051]	[0.045]	[0.056]
cgRelig_Miss	0.193	0.195	0.151	0.134**	0.159**	0.124**	0.191***	0.245***	0.186***	0.222***
	[0.121]	[0.149]	[0.136]	[0.055]	[0.067]	[0.059]	[0.070]	[0.081]	[0.058]	[0.072]
CAPI	-0.088*	-0.094*	-0.098*	-0.015	-0.063*	-0.013	-0.054	-0.067	-0.031	-0.081**
	[0.047]	[0.050]	[0.050]	[0.031]	[0.037]	[0.033]	[0.036]	[0.041]	[0.034]	[0.040]
momMaxEdu_Uni_Miss	0.204***			0.164***		0.162***	0.169***		0.159***	
	[0.062]			[0.031]		[0.033]	[0.041]		[0.041]	
Parma							-0.027			
							[0.043]			
Reggio								-0.038		0.046
								[0.066]		[0.050]
nidoXreggio								0.273**		-0.075
								[0.134]		[0.112]
Padova									-0.062	
									[0.039]	
Constant	-2.394*	-2.037	-2.573*	0.442	0.137	0.680	-0.091	0.154	-1.951**	-2.215**
	[1.386]	[1.725]	[1.421]	[0.875]	[1.025]	[0.892]	[1.026]	[1.123]	[0.920]	[0.935]
										
Observations	289	270	270	662	624	662	536	503	553	520
R-squared	0.107	0.083	0.115	0.065	0.106	0.065	0.047	0.091	0.100	0.152
Sample	Reggio	Reggio	Reggio	RAvsPrPd	RAvsPP	RAvsPP	RePr	RePr	RePd	RePd
Mean	.8200000000000001	.8200000000000001	.8200000000000001	.8200000000000001	.8200000000000001	.8200000000000001	.8200000000000001	.8200000000000001	.8200000000000001	.8200000000000001
Robust standard errors in brackets										
*** p<0.01, ** p<0.05, * p<0.1										
Mean = average of the y-variable for the whole sample considered. Sample: Reggio = only respondents in the city of Reggio Emilia. RAvsPrPd = Reggio Approach and all the respondents in Parma and Padova. RePr= all of the respondents in Reggio Emilia and Parma. RePd= all of the respondents in Reggio Emilia and Padova. Estimation Procedure: OLS = Ordinary Least Square; IV = Instrumental variable approach; CF = control function approach										
cubic polynomial or residuals. PSM = simple propensity score matching. PSM2 = propensity sore matching using both demand and supply. DiD = differences-in-differences approach										
municipal schools vs other schools across different cities										
