	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)	(10)
VARIABLES	OLS	IV	CF	OLS	PSM	PSM2	OLS	DiD Pr	OLS	DiD Pd
										
ReggioMaterna	0.046	0.141	0.269	-0.015	0.094*	-0.051	0.040	0.147	0.045	0.200*
	[0.053]	[0.170]	[0.207]	[0.038]	[0.056]	[0.054]	[0.051]	[0.089]	[0.051]	[0.107]
unobs			-0.454							
			[0.348]							
unobs2			-0.412**							
			[0.209]							
unobs3			0.653							
			[0.593]							
Age	-0.064	-0.066	-0.063	-0.152***	-0.552***	0.211*	-0.114**	-0.110	-0.090*	-0.148*
	[0.075]	[0.076]	[0.074]	[0.046]	[0.148]	[0.126]	[0.054]	[0.088]	[0.049]	[0.080]
Male	-0.037	-0.039	-0.026	-0.069**	0.132	0.340***	-0.024	-0.006	-0.054	-0.062
	[0.051]	[0.050]	[0.050]	[0.029]	[0.102]	[0.130]	[0.034]	[0.049]	[0.034]	[0.054]
poorBHealth	-0.112	-0.118	-0.118	-0.107*	0.032	0.060	-0.077	-0.029	-0.135**	-0.021
	[0.091]	[0.091]	[0.088]	[0.056]	[0.087]	[0.198]	[0.062]	[0.086]	[0.065]	[0.114]
oldsibs	0.090	0.112	0.088	0.007	-0.098	-0.363	0.040	-0.023	0.077	-0.053
	[0.119]	[0.124]	[0.113]	[0.087]	[0.151]	[0.259]	[0.097]	[0.167]	[0.075]	[0.139]
momMaxEdu_Uni_F	0.036	0.035	0.015	-0.012	0.267*	0.159*	-0.003	-0.006	0.026	0.390***
	[0.061]	[0.062]	[0.062]	[0.035]	[0.155]	[0.081]	[0.041]	[0.060]	[0.041]	[0.089]
dadMaxEdu_Uni_F	-0.104	-0.100	-0.100	-0.023	-0.361**	-0.063	-0.041	-0.035	-0.054	-0.287***
	[0.068]	[0.069]	[0.068]	[0.038]	[0.179]	[0.067]	[0.045]	[0.073]	[0.044]	[0.079]
momMaxEdu_Uni_Miss	-0.066	-0.054	-0.087	-0.287	-0.340	-0.444	-0.252	-0.244	-0.010	-0.032
	[0.217]	[0.220]	[0.198]	[0.241]	[0.270]	[0.287]	[0.195]	[0.192]	[0.185]	[0.289]
dadMaxEdu_Uni_Miss	0.026	0.012	0.028	0.004	0.171	-0.081	0.036	0.077	-0.007	-0.186
	[0.096]	[0.098]	[0.100]	[0.056]	[0.122]	[0.085]	[0.068]	[0.081]	[0.062]	[0.123]
HighInc_F	0.020	0.013	0.012	0.008	-0.278	0.020	-0.019	-0.068	0.024	0.028
	[0.071]	[0.072]	[0.073]	[0.042]	[0.175]	[0.052]	[0.048]	[0.077]	[0.051]	[0.067]
HighInc_Miss	0.090	0.089	0.090	0.008	-0.119	0.388***	0.011	-0.072	0.073*	0.043
	[0.064]	[0.066]	[0.063]	[0.036]	[0.097]	[0.140]	[0.045]	[0.047]	[0.039]	[0.059]
houseOwn_F	0.038	0.047	0.048	0.018	0.061	0.088	0.030	-0.079	0.023	-0.136***
	[0.054]	[0.057]	[0.056]	[0.032]	[0.086]	[0.104]	[0.038]	[0.064]	[0.036]	[0.045]
o.houseOwn_Miss			-		-			-		-
										
distCenter	0.000	0.001	-0.002	-0.003	-0.040	0.001	-0.002	-0.074***	0.002	0.056***
	[0.010]	[0.010]	[0.010]	[0.008]	[0.025]	[0.029]	[0.007]	[0.013]	[0.008]	[0.014]
cgRelig_F	0.075	0.091	0.134	0.041	0.366***	-0.160***	0.081	0.259***	0.039	-0.057
	[0.076]	[0.083]	[0.084]	[0.046]	[0.097]	[0.062]	[0.056]	[0.072]	[0.051]	[0.071]
cgRelig_Miss	0.181**	0.178**	0.140	0.102	0.550***	-0.284**	0.261***	0.343***	0.041	-0.088
	[0.089]	[0.090]	[0.087]	[0.085]	[0.131]	[0.124]	[0.070]	[0.115]	[0.095]	[0.102]
CAPI	-0.040	-0.050	-0.057	-0.038	-0.214	0.121	-0.050	-0.150***	-0.022	-0.035
	[0.054]	[0.057]	[0.057]	[0.030]	[0.162]	[0.102]	[0.035]	[0.054]	[0.034]	[0.061]
houseOwn_Miss	0.131	0.176		-0.133		-0.213	-0.058		0.220***	
	[0.118]	[0.147]		[0.296]		[0.261]	[0.239]		[0.059]	
Parma							0.036			
							[0.047]			
Reggio								-0.075		-0.174***
								[0.074]		[0.066]
materna_Municipal								-0.090		-0.148*
								[0.063]		[0.087]
Padova									0.085*	
									[0.045]	
Constant	1.107**	1.054*	1.038*	1.852***	4.323***	-0.913	1.478***	1.689***	1.315***	1.855***
	[0.524]	[0.536]	[0.532]	[0.316]	[1.003]	[0.942]	[0.375]	[0.644]	[0.350]	[0.573]
										
Observations	309	309	307	731	728	728	597	593	586	583
R-squared	0.037	0.026	0.062	0.042	0.998	0.489	0.035	0.988	0.044	0.493
Sample	Reggio	Reggio	Reggio	RAvsPrPd	RAvsPP	RAvsPP	RePr	RePr	RePd	RePd
Mean	.75	.75	.75	.75	.75	.75	.75	.75	.75	.75
Robust standard errors in brackets										
*** p<0.01, ** p<0.05, * p<0.1										
Mean = average of the y-variable for the whole sample considered. Sample: Reggio = only respondents in the city of Reggio Emilia. RAvsPrPd = Reggio Approach and all the respondents in Parma and Padova. RePr= all of the respondents in Reggio Emilia and Parma. RePd= all of the respondents in Reggio Emilia and Padova. Estimation Procedure: OLS = Ordinary Least Square; IV = Instrumental variable approach; CF = control function approach										
cubic polynomial or residuals. PSM = simple propensity score matching. PSM2 = propensity sore matching using both demand and supply. DiD = differences-in-differences approach										
municipal schools vs other schools across different cities										
