	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)	(10)
VARIABLES	OLS	IV	CF	OLS	PSM	PSM2	OLS	DiD Pr	OLS	DiD Pd
										
ReggioAsilo	0.054	0.296	0.319	-0.029	0.086	-0.029	-0.045	0.094	0.009	-0.081
	[0.101]	[0.973]	[0.215]	[0.046]	[0.070]	[0.046]	[0.064]	[0.121]	[0.067]	[0.174]
asilo_Municipal								0.027		0.122
								[0.085]		[0.152]
nido	-0.054	-0.301	-0.054	0.059	-0.047	0.058	0.074	-0.062	0.001	-0.173
	[0.104]	[0.902]	[0.112]	[0.039]	[0.064]	[0.039]	[0.048]	[0.087]	[0.050]	[0.145]
unobsA			-0.477							
			[0.306]							
unobsA2			0.177							
			[0.147]							
unobsA3			0.490							
			[0.425]							
Age	-0.030	-0.011	-0.020	-0.008	0.111	-0.001	-0.024	0.166**	-0.035	-0.069
	[0.083]	[0.101]	[0.084]	[0.046]	[0.072]	[0.047]	[0.054]	[0.077]	[0.053]	[0.069]
Male	-0.504***	-0.510***	-0.511***	-0.504***	-0.542***	-0.542***	-0.545***	-0.632***	-0.466***	-0.450***
	[0.051]	[0.052]	[0.052]	[0.032]	[0.041]	[0.032]	[0.036]	[0.045]	[0.035]	[0.043]
poorBHealth	-0.076	-0.065	-0.068	0.061	0.239***	0.061	-0.007	0.177**	0.035	0.101
	[0.087]	[0.090]	[0.086]	[0.049]	[0.080]	[0.053]	[0.055]	[0.082]	[0.064]	[0.072]
oldsibs	0.015	0.026	0.028	-0.012	0.063	-0.023	0.016	0.029	-0.021	0.021
	[0.053]	[0.058]	[0.054]	[0.034]	[0.046]	[0.034]	[0.038]	[0.046]	[0.037]	[0.042]
momMaxEdu_Uni_F	-0.022	-0.026	-0.038	0.081**	0.161***	0.086**	-0.003	0.106*	0.073	0.086*
	[0.067]	[0.077]	[0.070]	[0.039]	[0.051]	[0.039]	[0.044]	[0.059]	[0.045]	[0.048]
dadMaxEdu_Uni_F	0.049	0.062	0.055	-0.019	-0.088	-0.028	0.036	-0.043	-0.024	0.006
	[0.078]	[0.086]	[0.081]	[0.043]	[0.055]	[0.043]	[0.050]	[0.062]	[0.051]	[0.055]
o.momMaxEdu_Uni_Miss			-		-			-		-
										
dadMaxEdu_Uni_Miss	0.057	0.102	0.110	0.041	-0.145	0.002	0.028	-0.194*	0.027	0.082
	[0.074]	[0.104]	[0.081]	[0.048]	[0.120]	[0.047]	[0.056]	[0.113]	[0.052]	[0.059]
HighInc_F	-0.062	-0.053	-0.046	-0.075*	-0.031	-0.045	-0.032	-0.025	-0.071	-0.046
	[0.069]	[0.100]	[0.073]	[0.044]	[0.054]	[0.044]	[0.047]	[0.056]	[0.052]	[0.059]
HighInc_Miss	-0.087	-0.075	-0.043	-0.129***	-0.066	-0.142***	-0.078	-0.037	-0.127***	-0.120**
	[0.071]	[0.074]	[0.075]	[0.042]	[0.061]	[0.043]	[0.050]	[0.063]	[0.045]	[0.055]
houseOwn_F	0.134*	0.142*	0.109	0.040	-0.021	0.001	0.054	0.015	0.084*	0.026
	[0.073]	[0.081]	[0.075]	[0.044]	[0.058]	[0.043]	[0.051]	[0.064]	[0.049]	[0.054]
distCenter	-0.020*	-0.021*	-0.015	0.006	-0.030**	0.002	-0.008	-0.040***	-0.017*	-0.021**
	[0.012]	[0.012]	[0.013]	[0.009]	[0.015]	[0.009]	[0.008]	[0.014]	[0.009]	[0.009]
cgRelig_F	0.001	-0.015	-0.013	0.028	0.000	0.031	0.022	0.050	0.013	-0.024
	[0.064]	[0.081]	[0.069]	[0.045]	[0.057]	[0.045]	[0.049]	[0.069]	[0.047]	[0.054]
cgRelig_Miss	0.022	-0.009	-0.032	-0.247***	-0.482***	-0.252***	-0.017	-0.092	-0.242***	-0.471***
	[0.165]	[0.165]	[0.183]	[0.074]	[0.093]	[0.076]	[0.119]	[0.113]	[0.074]	[0.078]
CAPI	0.087*	0.092*	0.082	-0.032	-0.019	-0.035	0.027	0.026	0.013	0.025
	[0.052]	[0.055]	[0.054]	[0.033]	[0.051]	[0.034]	[0.038]	[0.050]	[0.037]	[0.045]
momMaxEdu_Uni_Miss	-0.234			0.151		0.142	-0.141		0.070	
	[0.194]			[0.113]		[0.106]	[0.152]		[0.135]	
Parma							0.019			
							[0.049]			
Reggio								0.070		0.094
								[0.065]		[0.063]
nidoXreggio								-0.103		0.098
								[0.112]		[0.167]
Padova									-0.029	
									[0.047]	
Constant	1.191	0.833	0.836	0.767	-1.309	0.712	1.091	-2.316	1.306	1.943
	[1.554]	[1.921]	[1.563]	[0.858]	[1.328]	[0.883]	[1.010]	[1.415]	[1.002]	[1.270]
										
Observations	293	274	274	676	638	676	541	508	569	536
R-squared	0.286	0.294	0.314	0.315	0.441	0.350	0.303	0.430	0.282	0.386
Sample	Reggio	Reggio	Reggio	RAvsPrPd	RAvsPP	RAvsPP	RePr	RePr	RePd	RePd
Mean	.46	.46	.46	.46	.46	.46	.46	.46	.46	.46
Robust standard errors in brackets										
*** p<0.01, ** p<0.05, * p<0.1										
Mean = average of the y-variable for the whole sample considered. Sample: Reggio = only respondents in the city of Reggio Emilia. RAvsPrPd = Reggio Approach and all the respondents in Parma and Padova. RePr= all of the respondents in Reggio Emilia and Parma. RePd= all of the respondents in Reggio Emilia and Padova. Estimation Procedure: OLS = Ordinary Least Square; IV = Instrumental variable approach; CF = control function approach										
cubic polynomial or residuals. PSM = simple propensity score matching. PSM2 = propensity sore matching using both demand and supply. DiD = differences-in-differences approach										
municipal schools vs other schools across different cities										
