	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)	(10)
VARIABLES	OLS	IV	CF	OLS	PSM	PSM2	OLS	DiD Pr	OLS	DiD Pd
										
ReggioMaterna	0.028	0.273	0.144	-0.014	-0.004	0.068	0.048	0.161**	0.046	-0.037
	[0.051]	[0.194]	[0.196]	[0.039]	[0.051]	[0.063]	[0.050]	[0.080]	[0.050]	[0.070]
unobs			-0.086							
			[0.315]							
unobs2			-0.027							
			[0.193]							
unobs3			-0.131							
			[0.483]							
Age	0.037	0.029	0.034	-0.052	-0.348***	-0.123	-0.033	-0.390***	-0.033	0.035
	[0.078]	[0.083]	[0.079]	[0.044]	[0.093]	[0.150]	[0.052]	[0.088]	[0.051]	[0.057]
Male	0.049	0.046	0.046	0.016	-0.052	0.295	0.028	-0.002	0.025	0.028
	[0.052]	[0.054]	[0.052]	[0.028]	[0.057]	[0.228]	[0.033]	[0.044]	[0.033]	[0.034]
poorBHealth	0.066	0.049	0.055	0.044	0.082	-0.232	0.023	0.053	0.062	-0.088
	[0.080]	[0.082]	[0.081]	[0.041]	[0.092]	[0.206]	[0.052]	[0.066]	[0.050]	[0.107]
oldsibs	-0.264*	-0.194	-0.226	0.080	0.177**	0.279*	-0.183	-0.106	-0.048	-0.029
	[0.155]	[0.157]	[0.166]	[0.063]	[0.074]	[0.146]	[0.119]	[0.152]	[0.081]	[0.083]
momMaxEdu_Uni_F	-0.025	-0.021	-0.026	0.001	-0.084	0.063	-0.022	-0.153**	0.022	0.048
	[0.061]	[0.065]	[0.061]	[0.032]	[0.061]	[0.112]	[0.038]	[0.064]	[0.037]	[0.039]
dadMaxEdu_Uni_F	0.079	0.086	0.084	0.053*	0.121*	-0.062	0.087**	0.165**	0.022	-0.003
	[0.060]	[0.063]	[0.059]	[0.032]	[0.071]	[0.182]	[0.037]	[0.082]	[0.039]	[0.041]
momMaxEdu_Uni_Miss	-0.033	-0.005	-0.010	-0.036	-0.062	-0.191	0.042	0.030	0.046	-0.108
	[0.145]	[0.184]	[0.132]	[0.192]	[0.291]	[0.329]	[0.124]	[0.232]	[0.163]	[0.234]
dadMaxEdu_Uni_Miss	0.106	0.053	0.082	-0.017	0.109	0.087	0.064	0.048	-0.013	-0.060
	[0.081]	[0.094]	[0.085]	[0.056]	[0.115]	[0.256]	[0.062]	[0.066]	[0.064]	[0.081]
HighInc_F	0.022	0.008	0.010	-0.065	-0.009	-0.660***	-0.018	-0.158*	-0.023	-0.087
	[0.065]	[0.072]	[0.066]	[0.042]	[0.067]	[0.158]	[0.045]	[0.089]	[0.049]	[0.055]
HighInc_Miss	-0.058	-0.046	-0.059	0.043	-0.327***	-0.324**	-0.003	-0.299***	-0.018	-0.118*
	[0.068]	[0.067]	[0.068]	[0.033]	[0.059]	[0.152]	[0.043]	[0.057]	[0.044]	[0.069]
houseOwn_F	-0.065	-0.049	-0.050	0.025	0.247***	-0.022	0.014	0.185***	-0.046	-0.017
	[0.052]	[0.056]	[0.054]	[0.032]	[0.057]	[0.122]	[0.038]	[0.055]	[0.035]	[0.035]
o.houseOwn_Miss			-		-			-		-
										
distCenter	0.002	0.005	0.004	-0.005	-0.003	0.069*	-0.003	0.011	-0.001	0.001
	[0.011]	[0.011]	[0.011]	[0.008]	[0.015]	[0.040]	[0.007]	[0.014]	[0.009]	[0.009]
cgRelig_F	-0.057	-0.003	-0.028	-0.029	0.025	0.268**	-0.015	0.043	-0.041	-0.038
	[0.068]	[0.093]	[0.080]	[0.038]	[0.068]	[0.118]	[0.048]	[0.065]	[0.042]	[0.056]
cgRelig_Miss	0.212***	0.198*	0.207**	0.080	0.211**	0.822***	0.114**	0.103	0.137**	0.277
	[0.081]	[0.105]	[0.086]	[0.049]	[0.100]	[0.260]	[0.055]	[0.102]	[0.059]	[0.170]
CAPI	-0.062	-0.090	-0.080	-0.023	-0.035	-0.158	-0.029	-0.087*	-0.061*	-0.023
	[0.055]	[0.060]	[0.058]	[0.029]	[0.050]	[0.117]	[0.034]	[0.050]	[0.035]	[0.038]
houseOwn_Miss	0.169*	0.255**		-0.913***		-0.748***	0.249***		-0.338	
	[0.091]	[0.119]		[0.051]		[0.198]	[0.071]		[0.388]	
Parma							0.060			
							[0.043]			
Reggio								-0.090		-0.045
								[0.064]		[0.049]
materna_Municipal								-0.141***		0.056
								[0.052]		[0.049]
Padova									0.085*	
									[0.045]	
Constant	0.616	0.500	0.556	1.215***	3.097***	1.336	1.007***	3.485***	1.085***	0.693*
	[0.541]	[0.579]	[0.551]	[0.287]	[0.613]	[1.045]	[0.354]	[0.569]	[0.356]	[0.413]
										
Observations	265	265	264	635	634	633	536	535	493	491
R-squared	0.056	-0.030	0.059	0.035	0.999	0.644	0.035	0.999	0.038	0.114
Sample	Reggio	Reggio	Reggio	RAvsPrPd	RAvsPP	RAvsPP	RePr	RePr	RePd	RePd
Mean	.8	.8	.8	.8	.8	.8	.8	.8	.8	.8
Robust standard errors in brackets										
*** p<0.01, ** p<0.05, * p<0.1										
Mean = average of the y-variable for the whole sample considered. Sample: Reggio = only respondents in the city of Reggio Emilia. RAvsPrPd = Reggio Approach and all the respondents in Parma and Padova. RePr= all of the respondents in Reggio Emilia and Parma. RePd= all of the respondents in Reggio Emilia and Padova. Estimation Procedure: OLS = Ordinary Least Square; IV = Instrumental variable approach; CF = control function approach										
cubic polynomial or residuals. PSM = simple propensity score matching. PSM2 = propensity sore matching using both demand and supply. DiD = differences-in-differences approach										
municipal schools vs other schools across different cities										
