	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)	(10)
VARIABLES	OLS	IV	CF	OLS	PSM	PSM2	OLS	DiD Pr	OLS	DiD Pd
										
ReggioMaterna	-0.076	-0.045	0.119	-0.069*	-0.069	-0.084*	-0.062	-0.109	-0.051	0.028
	[0.052]	[0.197]	[0.264]	[0.041]	[0.044]	[0.044]	[0.051]	[0.077]	[0.051]	[0.074]
unobs			-0.344							
			[0.392]							
unobs2			-0.039							
			[0.188]							
unobs3			0.462							
			[0.513]							
Age	-0.052	-0.052	-0.046	-0.022	-0.017	-0.012	-0.077	-0.119**	-0.020	0.022
	[0.077]	[0.077]	[0.078]	[0.046]	[0.053]	[0.048]	[0.053]	[0.056]	[0.052]	[0.055]
Male	0.038	0.038	0.043	-0.003	-0.005	-0.004	0.034	0.042	-0.004	0.007
	[0.052]	[0.052]	[0.052]	[0.031]	[0.034]	[0.034]	[0.034]	[0.038]	[0.035]	[0.038]
poorBHealth	0.162**	0.161**	0.160**	0.066	0.074	0.046	0.065	0.055	0.143**	0.153**
	[0.077]	[0.077]	[0.077]	[0.049]	[0.062]	[0.054]	[0.056]	[0.059]	[0.056]	[0.070]
oldsibs	-0.287***	-0.282***	-0.246***	0.055	0.052	0.077	-0.208***	-0.150	-0.088	-0.051
	[0.077]	[0.080]	[0.087]	[0.069]	[0.087]	[0.071]	[0.075]	[0.091]	[0.071]	[0.081]
momMaxEdu_Uni_F	-0.028	-0.028	-0.031	-0.011	-0.034	-0.040	-0.043	-0.050	0.028	0.007
	[0.061]	[0.061]	[0.061]	[0.035]	[0.042]	[0.042]	[0.040]	[0.048]	[0.040]	[0.043]
dadMaxEdu_Uni_F	0.065	0.066	0.071	0.081**	0.125***	0.105***	0.077*	0.126***	0.041	0.083*
	[0.063]	[0.063]	[0.063]	[0.036]	[0.041]	[0.040]	[0.040]	[0.047]	[0.043]	[0.045]
momMaxEdu_Uni_Miss	0.143	0.147	0.134	-0.016	-0.073	-0.039	0.161	0.066	0.067	0.024
	[0.146]	[0.149]	[0.145]	[0.228]	[0.210]	[0.250]	[0.115]	[0.180]	[0.198]	[0.178]
dadMaxEdu_Uni_Miss	0.085	0.081	0.079	-0.015	-0.017	-0.019	0.045	0.027	-0.041	-0.066
	[0.093]	[0.095]	[0.096]	[0.056]	[0.059]	[0.070]	[0.067]	[0.077]	[0.062]	[0.058]
HighInc_F	-0.017	-0.019	-0.015	-0.105**	-0.159***	-0.105**	-0.052	-0.100*	-0.040	-0.067
	[0.067]	[0.068]	[0.068]	[0.044]	[0.052]	[0.049]	[0.047]	[0.053]	[0.050]	[0.053]
HighInc_Miss	-0.268***	-0.269***	-0.271***	-0.219***	-0.304***	-0.195***	-0.189***	-0.225***	-0.269***	-0.347***
	[0.068]	[0.068]	[0.068]	[0.040]	[0.048]	[0.045]	[0.046]	[0.053]	[0.045]	[0.052]
houseOwn_F	0.002	0.005	0.005	0.050	0.058	0.053	0.034	0.056	0.021	0.022
	[0.053]	[0.056]	[0.056]	[0.033]	[0.036]	[0.035]	[0.038]	[0.042]	[0.037]	[0.037]
o.houseOwn_Miss			-		-			-		-
										
distCenter	0.007	0.007	0.007	-0.019**	-0.028***	-0.023**	-0.002	-0.012	-0.001	-0.005
	[0.010]	[0.010]	[0.010]	[0.008]	[0.009]	[0.010]	[0.007]	[0.009]	[0.008]	[0.009]
cgRelig_F	-0.130*	-0.124	-0.115	-0.071*	-0.043	-0.090**	-0.055	0.009	-0.117***	-0.118**
	[0.070]	[0.080]	[0.083]	[0.040]	[0.048]	[0.045]	[0.050]	[0.060]	[0.044]	[0.050]
cgRelig_Miss	0.199	0.198	0.319***	-0.407***	-0.414***	-0.411***	0.079	-0.052	-0.416***	-0.479***
	[0.131]	[0.131]	[0.100]	[0.104]	[0.090]	[0.125]	[0.131]	[0.158]	[0.111]	[0.083]
CAPI	0.018	0.015	0.016	-0.047	-0.075**	-0.042	0.017	-0.007	-0.067*	-0.082**
	[0.054]	[0.057]	[0.058]	[0.031]	[0.034]	[0.034]	[0.035]	[0.038]	[0.037]	[0.039]
houseOwn_Miss	0.098	0.111		-0.711***		-0.724***	-0.320		-0.034	
	[0.296]	[0.309]		[0.090]		[0.081]	[0.272]		[0.261]	
Parma							0.045			
							[0.043]			
Reggio								0.005		-0.028
								[0.057]		[0.050]
materna_Municipal								0.048		-0.091*
								[0.054]		[0.051]
Padova									0.011	
									[0.046]	
Constant	1.214**	1.197**	1.065**	1.091***	1.085***	1.047***	1.325***	1.583***	1.064***	0.849**
	[0.520]	[0.531]	[0.537]	[0.306]	[0.350]	[0.316]	[0.356]	[0.376]	[0.358]	[0.364]
										
Observations	309	309	307	731	728	731	597	593	586	583
R-squared	0.136	0.134	0.135	0.126	0.251	0.115	0.091	0.109	0.146	0.296
Sample	Reggio	Reggio	Reggio	RAvsPrPd	RAvsPP	RAvsPP	RePr	RePr	RePd	RePd
Mean	.71	.71	.71	.71	.71	.71	.71	.71	.71	.71
Robust standard errors in brackets										
*** p<0.01, ** p<0.05, * p<0.1										
Mean = average of the y-variable for the whole sample considered. Sample: Reggio = only respondents in the city of Reggio Emilia. RAvsPrPd = Reggio Approach and all the respondents in Parma and Padova. RePr= all of the respondents in Reggio Emilia and Parma. RePd= all of the respondents in Reggio Emilia and Padova. Estimation Procedure: OLS = Ordinary Least Square; IV = Instrumental variable approach; CF = control function approach										
cubic polynomial or residuals. PSM = simple propensity score matching. PSM2 = propensity sore matching using both demand and supply. DiD = differences-in-differences approach										
municipal schools vs other schools across different cities										
