	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)	(10)
VARIABLES	OLS	IV	CF	OLS	PSM	PSM2	OLS	DiD Pr	OLS	DiD Pd
										
ReggioMaterna	-0.037	-0.146	-0.285	0.017	0.032	0.011	-0.043	0.024	-0.035	0.079
	[0.057]	[0.242]	[0.335]	[0.046]	[0.048]	[0.049]	[0.057]	[0.088]	[0.057]	[0.096]
unobs			0.423							
			[0.490]							
unobs2			0.318							
			[0.197]							
unobs3			-0.479							
			[0.598]							
Age	-0.182**	-0.180**	-0.182**	0.030	-0.006	0.046	-0.071	-0.077	-0.075	-0.069
	[0.079]	[0.079]	[0.079]	[0.055]	[0.062]	[0.061]	[0.061]	[0.065]	[0.058]	[0.068]
Male	0.066	0.069	0.058	-0.082**	-0.123***	-0.115***	-0.014	-0.063	-0.059	-0.090*
	[0.058]	[0.058]	[0.057]	[0.037]	[0.042]	[0.041]	[0.041]	[0.045]	[0.042]	[0.047]
poorBHealth	0.124	0.130	0.130	0.015	-0.012	-0.005	0.071	0.051	0.025	0.012
	[0.086]	[0.085]	[0.086]	[0.061]	[0.075]	[0.066]	[0.065]	[0.070]	[0.069]	[0.084]
oldsibs	0.197**	0.179*	0.193*	0.178**	0.238***	0.159*	0.211**	0.254***	0.134*	0.183**
	[0.096]	[0.107]	[0.106]	[0.085]	[0.085]	[0.092]	[0.087]	[0.094]	[0.076]	[0.087]
momMaxEdu_Uni_F	0.127*	0.128*	0.135*	0.053	0.016	0.016	0.062	0.039	0.091*	0.081
	[0.069]	[0.069]	[0.070]	[0.043]	[0.048]	[0.048]	[0.047]	[0.049]	[0.050]	[0.055]
dadMaxEdu_Uni_F	0.137*	0.134*	0.133*	0.006	0.007	-0.015	0.054	0.064	0.036	0.023
	[0.076]	[0.076]	[0.077]	[0.046]	[0.050]	[0.049]	[0.052]	[0.055]	[0.055]	[0.057]
momMaxEdu_Uni_Miss	-0.049	-0.064	-0.051	0.082	-0.035	0.115	-0.065	-0.122	0.040	-0.044
	[0.201]	[0.206]	[0.215]	[0.207]	[0.196]	[0.205]	[0.180]	[0.150]	[0.179]	[0.161]
dadMaxEdu_Uni_Miss	0.126	0.141	0.140	0.105	0.041	0.157**	0.211***	0.260***	0.050	-0.018
	[0.101]	[0.107]	[0.107]	[0.065]	[0.081]	[0.078]	[0.078]	[0.084]	[0.071]	[0.093]
HighInc_F	0.006	0.015	0.008	0.017	0.010	0.029	0.034	0.042	-0.003	-0.027
	[0.078]	[0.080]	[0.080]	[0.054]	[0.058]	[0.056]	[0.056]	[0.059]	[0.062]	[0.065]
HighInc_Miss	-0.153**	-0.151**	-0.161**	-0.072	-0.078	-0.046	-0.094*	-0.083	-0.131***	-0.158***
	[0.069]	[0.070]	[0.070]	[0.044]	[0.054]	[0.054]	[0.052]	[0.056]	[0.048]	[0.053]
houseOwn_F	-0.059	-0.069	-0.073	0.019	0.088*	0.034	-0.019	0.024	-0.012	0.003
	[0.057]	[0.062]	[0.062]	[0.040]	[0.048]	[0.044]	[0.044]	[0.047]	[0.043]	[0.050]
o.houseOwn_Miss			-		-			-		-
										
distCenter	-0.004	-0.005	-0.004	0.015	0.014	0.010	0.002	-0.002	-0.000	-0.006
	[0.011]	[0.012]	[0.011]	[0.010]	[0.011]	[0.011]	[0.009]	[0.010]	[0.010]	[0.011]
cgRelig_F	0.062	0.043	0.015	0.006	-0.010	-0.052	-0.031	-0.052	0.107*	0.092
	[0.079]	[0.091]	[0.095]	[0.053]	[0.059]	[0.066]	[0.062]	[0.066]	[0.058]	[0.067]
cgRelig_Miss	-0.105	-0.100	-0.047	0.263**	0.316**	0.108	-0.070	-0.171	0.437***	0.525***
	[0.284]	[0.261]	[0.314]	[0.134]	[0.144]	[0.180]	[0.198]	[0.229]	[0.141]	[0.149]
CAPI	-0.049	-0.038	-0.028	-0.008	-0.016	-0.016	-0.053	-0.052	0.021	0.020
	[0.059]	[0.063]	[0.064]	[0.037]	[0.043]	[0.042]	[0.041]	[0.044]	[0.042]	[0.048]
houseOwn_Miss	0.615***	0.567**		-0.017		-0.005	0.268		0.174	
	[0.198]	[0.220]		[0.272]		[0.247]	[0.276]		[0.271]	
Parma							-0.069			
							[0.052]			
Reggio								0.050		0.043
								[0.065]		[0.060]
materna_Municipal								-0.073		-0.126*
								[0.064]		[0.075]
Padova									-0.072	
									[0.052]	
Constant	1.642***	1.705***	1.740***	0.189	0.451	0.176	0.987**	1.025**	0.913**	0.913*
	[0.553]	[0.564]	[0.582]	[0.370]	[0.425]	[0.409]	[0.421]	[0.447]	[0.409]	[0.477]
										
Observations	309	309	307	731	728	731	597	593	586	583
R-squared	0.126	0.114	0.130	0.031	0.057	0.041	0.051	0.067	0.057	0.096
Sample	Reggio	Reggio	Reggio	RAvsPrPd	RAvsPP	RAvsPP	RePr	RePr	RePd	RePd
Mean	.47	.47	.47	.47	.47	.47	.47	.47	.47	.47
Robust standard errors in brackets										
*** p<0.01, ** p<0.05, * p<0.1										
Mean = average of the y-variable for the whole sample considered. Sample: Reggio = only respondents in the city of Reggio Emilia. RAvsPrPd = Reggio Approach and all the respondents in Parma and Padova. RePr= all of the respondents in Reggio Emilia and Parma. RePd= all of the respondents in Reggio Emilia and Padova. Estimation Procedure: OLS = Ordinary Least Square; IV = Instrumental variable approach; CF = control function approach										
cubic polynomial or residuals. PSM = simple propensity score matching. PSM2 = propensity sore matching using both demand and supply. DiD = differences-in-differences approach										
municipal schools vs other schools across different cities										
