	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)	(10)
VARIABLES	OLS	IV	CF	OLS	PSM	PSM2	OLS	DiD Pr	OLS	DiD Pd
										
ReggioMaterna	-0.090*	-0.283	-0.316	-0.040	-0.096*	-0.006	-0.090*	-0.195**	-0.088*	-0.056
	[0.047]	[0.211]	[0.242]	[0.033]	[0.050]	[0.038]	[0.046]	[0.092]	[0.047]	[0.068]
unobs			0.297							
			[0.360]							
unobs2			0.008							
			[0.190]							
unobs3			-0.177							
			[0.500]							
Age	-0.048	-0.053	-0.043	-0.052	0.254***	-0.072*	-0.039	-0.027	-0.069	-0.058
	[0.067]	[0.072]	[0.068]	[0.044]	[0.092]	[0.040]	[0.048]	[0.086]	[0.048]	[0.043]
Male	-0.257***	-0.253***	-0.254***	-0.195***	-0.126*	0.039	-0.224***	-0.096*	-0.220***	-0.144***
	[0.046]	[0.048]	[0.046]	[0.031]	[0.069]	[0.059]	[0.034]	[0.057]	[0.034]	[0.032]
poorBHealth	-0.020	0.003	-0.009	0.033	0.048	-0.036	-0.013	-0.057	0.053	0.044
	[0.081]	[0.091]	[0.084]	[0.048]	[0.081]	[0.045]	[0.052]	[0.068]	[0.062]	[0.063]
oldsibs	-0.074	-0.108	-0.099	-0.049	-0.158	0.011	-0.006	-0.040	-0.061	-0.025
	[0.123]	[0.131]	[0.127]	[0.076]	[0.102]	[0.091]	[0.111]	[0.130]	[0.080]	[0.079]
momMaxEdu_Uni_F	0.026	0.022	0.030	0.088**	0.027	0.050	0.083**	0.189***	0.045	0.015
	[0.056]	[0.057]	[0.057]	[0.035]	[0.068]	[0.053]	[0.039]	[0.060]	[0.041]	[0.039]
dadMaxEdu_Uni_F	0.023	0.016	0.017	0.020	-0.060	0.125	-0.039	-0.039	0.122***	0.128***
	[0.059]	[0.064]	[0.062]	[0.038]	[0.082]	[0.099]	[0.041]	[0.073]	[0.046]	[0.040]
momMaxEdu_Uni_Miss	-0.099	-0.130	-0.111	0.051	0.028	-0.069	-0.117**	-0.190**	0.038	-0.045
	[0.083]	[0.107]	[0.087]	[0.148]	[0.155]	[0.117]	[0.059]	[0.093]	[0.106]	[0.086]
dadMaxEdu_Uni_Miss	0.078	0.100	0.100	-0.094**	-0.366***	0.046	0.005	-0.034	-0.017	0.015
	[0.097]	[0.088]	[0.096]	[0.044]	[0.093]	[0.069]	[0.069]	[0.090]	[0.056]	[0.054]
HighInc_F	-0.036	-0.032	-0.023	0.013	0.227	0.006	0.020	0.061	-0.049	-0.045
	[0.062]	[0.065]	[0.064]	[0.043]	[0.154]	[0.023]	[0.045]	[0.071]	[0.049]	[0.047]
HighInc_Miss	-0.030	-0.023	-0.030	0.059	0.013	0.061	0.021	0.096*	0.030	0.028
	[0.058]	[0.062]	[0.059]	[0.037]	[0.070]	[0.052]	[0.041]	[0.052]	[0.041]	[0.042]
houseOwn_F	0.047	0.026	0.030	0.039	-0.049	-0.016	0.057*	0.084	0.033	-0.039
	[0.045]	[0.054]	[0.051]	[0.031]	[0.066]	[0.112]	[0.034]	[0.064]	[0.035]	[0.044]
o.houseOwn_Miss			-		-			-		-
										
distCenter	-0.008	-0.010	-0.009	-0.014*	0.118***	-0.004	-0.008	0.079***	-0.015*	-0.018**
	[0.009]	[0.010]	[0.010]	[0.008]	[0.014]	[0.006]	[0.007]	[0.013]	[0.008]	[0.008]
cgRelig_F	0.075	0.045	0.037	-0.001	-0.107	0.157***	0.015	-0.250***	0.032	0.132***
	[0.057]	[0.071]	[0.073]	[0.042]	[0.070]	[0.053]	[0.048]	[0.074]	[0.043]	[0.043]
cgRelig_Miss	0.146	0.150	0.158	-0.127	-0.045	-0.085	-0.077	-0.312**	-0.081	-0.068
	[0.273]	[0.289]	[0.284]	[0.101]	[0.123]	[0.109]	[0.132]	[0.124]	[0.139]	[0.059]
CAPI	0.011	0.032	0.028	-0.007	-0.040	0.021	0.005	0.142**	0.001	-0.014
	[0.044]	[0.050]	[0.047]	[0.029]	[0.063]	[0.050]	[0.032]	[0.059]	[0.034]	[0.035]
houseOwn_Miss	0.001	-0.101		-0.185**		-0.232**	-0.137		-0.093	
	[0.067]	[0.139]		[0.074]		[0.106]	[0.089]		[0.084]	
Parma							-0.067			
							[0.045]			
Reggio								0.075		0.048
								[0.077]		[0.052]
materna_Municipal								0.121*		-0.027
								[0.070]		[0.046]
Padova									-0.033	
									[0.046]	
Constant	0.619	0.788	0.733	0.615**	-1.638***	0.422	0.569*	0.159	0.761**	0.578**
	[0.463]	[0.537]	[0.500]	[0.298]	[0.623]	[0.262]	[0.330]	[0.629]	[0.328]	[0.279]
										
Observations	265	265	264	636	634	634	515	513	500	498
R-squared	0.163	0.103	0.168	0.103	0.985	0.152	0.113	0.991	0.144	0.181
Sample	Reggio	Reggio	Reggio	RAvsPrPd	RAvsPP	RAvsPP	RePr	RePr	RePd	RePd
Mean	.17	.17	.17	.17	.17	.17	.17	.17	.17	.17
Robust standard errors in brackets										
*** p<0.01, ** p<0.05, * p<0.1										
Mean = average of the y-variable for the whole sample considered. Sample: Reggio = only respondents in the city of Reggio Emilia. RAvsPrPd = Reggio Approach and all the respondents in Parma and Padova. RePr= all of the respondents in Reggio Emilia and Parma. RePd= all of the respondents in Reggio Emilia and Padova. Estimation Procedure: OLS = Ordinary Least Square; IV = Instrumental variable approach; CF = control function approach										
cubic polynomial or residuals. PSM = simple propensity score matching. PSM2 = propensity sore matching using both demand and supply. DiD = differences-in-differences approach										
municipal schools vs other schools across different cities										
