	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)	(10)
VARIABLES	OLS	IV	CF	OLS	PSM	PSM2	OLS	DiD Pr	OLS	DiD Pd
										
ReggioAsilo	-0.029	-0.373	-0.019	-0.043*	-0.008	-0.034	-0.014	0.023	0.005	-0.035
	[0.045]	[0.423]	[0.098]	[0.024]	[0.029]	[0.026]	[0.033]	[0.056]	[0.038]	[0.075]
asilo_Municipal								-0.001		0.072
								[0.037]		[0.059]
nido	0.047	0.332	0.037	-0.014	-0.080**	-0.016	0.014	-0.053	0.007	-0.062
	[0.051]	[0.362]	[0.054]	[0.026]	[0.038]	[0.031]	[0.027]	[0.054]	[0.035]	[0.057]
unobs			-0.070							
			[0.160]							
unobs2			0.051							
			[0.086]							
unobs3			0.216							
			[0.264]							
Age	-0.004	-0.011	-0.011	-0.023	-0.066	-0.046	0.005	0.003	-0.027	-0.080
	[0.036]	[0.041]	[0.037]	[0.032]	[0.044]	[0.041]	[0.028]	[0.032]	[0.036]	[0.055]
Male	-0.032	-0.029	-0.029	-0.012	-0.021	-0.042	-0.013	-0.010	-0.022	-0.027
	[0.027]	[0.031]	[0.029]	[0.022]	[0.027]	[0.033]	[0.020]	[0.025]	[0.025]	[0.032]
poorBHealth	-0.055	-0.044	-0.043	0.041	0.043	0.085	0.007	0.014	-0.001	-0.013
	[0.035]	[0.043]	[0.041]	[0.039]	[0.041]	[0.061]	[0.033]	[0.040]	[0.045]	[0.061]
oldsibs	0.034	-0.006	-0.014	0.044	0.009	0.040	0.032	-0.042*	0.072	0.016
	[0.048]	[0.064]	[0.049]	[0.061]	[0.044]	[0.061]	[0.044]	[0.025]	[0.054]	[0.045]
momMaxEdu_Uni_F	-0.041	-0.037	-0.028	0.013	0.026	0.027	0.010	0.013	-0.023	-0.016
	[0.027]	[0.034]	[0.031]	[0.023]	[0.028]	[0.023]	[0.023]	[0.030]	[0.025]	[0.031]
dadMaxEdu_Uni_F	-0.044	-0.084	-0.050	-0.031	-0.068**	-0.011	-0.037	-0.087***	-0.011	-0.002
	[0.033]	[0.065]	[0.034]	[0.026]	[0.034]	[0.033]	[0.027]	[0.033]	[0.027]	[0.038]
momMaxEdu_Uni_Miss	-0.040	-0.035	-0.062	-0.065*	-0.072	-0.056	-0.033	-0.046	-0.059**	-0.065*
	[0.038]	[0.047]	[0.046]	[0.036]	[0.058]	[0.041]	[0.021]	[0.032]	[0.029]	[0.039]
dadMaxEdu_Uni_Miss	-0.040	-0.017	-0.035	-0.015	-0.073	-0.032	-0.054*	-0.064**	0.020	0.031
	[0.045]	[0.044]	[0.044]	[0.038]	[0.048]	[0.039]	[0.028]	[0.032]	[0.044]	[0.055]
HighInc_F	-0.010	-0.022	-0.013	0.088**	0.068*	0.066	0.037	0.043	0.038	0.012
	[0.039]	[0.047]	[0.039]	[0.034]	[0.037]	[0.042]	[0.033]	[0.034]	[0.036]	[0.041]
HighInc_Miss	-0.008	-0.024	-0.019	0.087***	0.118***	0.079**	0.003	0.004	0.061*	0.059
	[0.032]	[0.035]	[0.035]	[0.030]	[0.041]	[0.031]	[0.024]	[0.029]	[0.032]	[0.041]
houseOwn_F	-0.025	-0.040	-0.029	-0.010	-0.034	-0.009	-0.014	-0.047	-0.007	-0.003
	[0.026]	[0.035]	[0.027]	[0.023]	[0.034]	[0.028]	[0.021]	[0.032]	[0.024]	[0.032]
o.houseOwn_Miss			-		-			-		-
										
distCenter	-0.011**	-0.011**	-0.010**	0.001	-0.005	-0.002	-0.003	-0.006*	-0.009*	-0.014**
	[0.005]	[0.005]	[0.005]	[0.005]	[0.005]	[0.004]	[0.004]	[0.003]	[0.005]	[0.007]
cgRelig_F	0.039	0.045	0.038	0.013	-0.022	0.013	0.007	-0.018	0.032	0.046
	[0.033]	[0.039]	[0.034]	[0.027]	[0.038]	[0.034]	[0.028]	[0.040]	[0.029]	[0.037]
cgRelig_Miss	0.108	0.050	-0.019	0.349***	0.183*	0.275**	0.055	-0.033	0.452***	0.475***
	[0.115]	[0.160]	[0.039]	[0.118]	[0.106]	[0.119]	[0.079]	[0.041]	[0.124]	[0.147]
CAPI	0.026	0.030	0.025	-0.003	0.019	-0.033	0.003	-0.006	0.015	0.019
	[0.030]	[0.035]	[0.031]	[0.021]	[0.029]	[0.025]	[0.020]	[0.025]	[0.025]	[0.035]
houseOwn_Miss	0.393	0.317		-0.116***		-0.106***	0.161		0.066	
	[0.308]	[0.274]		[0.040]		[0.038]	[0.175]		[0.149]	
Parma							0.003			
							[0.027]			
Reggio								-0.064		-0.099**
								[0.051]		[0.048]
nidoXreggio								0.051		0.043
								[0.069]		[0.065]
Padova									0.088***	
									[0.032]	
Constant	0.121	0.187	0.160	0.228	0.628**	0.415	0.040	0.182	0.214	0.685*
	[0.266]	[0.301]	[0.294]	[0.221]	[0.311]	[0.281]	[0.202]	[0.238]	[0.256]	[0.374]
										
Observations	309	309	307	725	722	725	597	593	586	583
R-squared	0.070	-0.105	0.049	0.072	0.103	0.059	0.018	0.046	0.112	0.182
Sample	Reggio	Reggio	Reggio	RAvsPrPd	RAvsPP	RAvsPP	RePr	RePr	RePd	RePd
Mean	.06	.06	.06	.06	.06	.06	.06	.06	.06	.06
Robust standard errors in brackets										
*** p<0.01, ** p<0.05, * p<0.1										
Mean = average of the y-variable for the whole sample considered. Sample: Reggio = only respondents in the city of Reggio Emilia. RAvsPrPd = Reggio Approach and all the respondents in Parma and Padova. RePr= all of the respondents in Reggio Emilia and Parma. RePd= all of the respondents in Reggio Emilia and Padova. Estimation Procedure: OLS = Ordinary Least Square; IV = Instrumental variable approach; CF = control function approach										
cubic polynomial or residuals. PSM = simple propensity score matching. PSM2 = propensity sore matching using both demand and supply. DiD = differences-in-differences approach										
municipal schools vs other schools across different cities										
