	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)	(10)
VARIABLES	OLS	IV	CF	OLS	PSM	PSM2	OLS	DiD Pr	OLS	DiD Pd
										
ReggioAsilo	0.090	-0.805	-0.095	-0.041	-0.011	-0.048	0.110	0.339**	0.030	0.373***
	[0.090]	[0.923]	[0.277]	[0.047]	[0.053]	[0.056]	[0.067]	[0.146]	[0.067]	[0.124]
asilo_Municipal								-0.167		-0.194**
								[0.111]		[0.077]
nido	-0.011	0.728	0.003	0.005	-0.042	0.060	-0.035	0.057	0.071	0.216***
	[0.096]	[0.770]	[0.097]	[0.042]	[0.055]	[0.062]	[0.050]	[0.113]	[0.050]	[0.068]
unobs			0.104							
			[0.396]							
unobs2			-0.038							
			[0.165]							
unobs3			0.267							
			[0.491]							
Age	-0.166**	-0.185**	-0.177**	-0.051	-0.087	-0.039	-0.141**	-0.249***	-0.042	-0.041
	[0.082]	[0.092]	[0.082]	[0.051]	[0.067]	[0.073]	[0.058]	[0.073]	[0.056]	[0.062]
Male	-0.100*	-0.093	-0.077	-0.057	-0.069	-0.110**	-0.073*	-0.090*	-0.102***	-0.098**
	[0.056]	[0.065]	[0.061]	[0.035]	[0.044]	[0.047]	[0.040]	[0.047]	[0.039]	[0.042]
poorBHealth	-0.071	-0.041	-0.023	-0.022	-0.033	0.039	-0.012	-0.041	-0.106	-0.070
	[0.093]	[0.123]	[0.107]	[0.058]	[0.073]	[0.072]	[0.066]	[0.076]	[0.069]	[0.075]
oldsibs	-0.047	-0.148	-0.077	0.144*	0.046	0.172**	0.070	-0.030	0.034	-0.047
	[0.119]	[0.152]	[0.134]	[0.075]	[0.127]	[0.076]	[0.105]	[0.133]	[0.074]	[0.107]
momMaxEdu_Uni_F	-0.020	-0.009	0.007	-0.023	0.015	-0.049	0.000	0.018	-0.046	-0.095*
	[0.071]	[0.085]	[0.076]	[0.042]	[0.053]	[0.061]	[0.048]	[0.059]	[0.050]	[0.052]
dadMaxEdu_Uni_F	-0.155*	-0.260*	-0.169**	-0.023	-0.086	-0.006	-0.095*	-0.168***	-0.061	0.005
	[0.079]	[0.146]	[0.081]	[0.045]	[0.060]	[0.067]	[0.051]	[0.063]	[0.053]	[0.059]
momMaxEdu_Uni_Miss	0.034	0.046	-0.010	0.096	0.015	0.096	0.075	0.026	-0.022	-0.085
	[0.174]	[0.168]	[0.168]	[0.173]	[0.207]	[0.167]	[0.146]	[0.135]	[0.174]	[0.204]
dadMaxEdu_Uni_Miss	-0.124	-0.065	-0.110	0.036	0.040	0.015	-0.121	-0.141	0.019	0.106
	[0.114]	[0.133]	[0.115]	[0.061]	[0.080]	[0.084]	[0.078]	[0.090]	[0.065]	[0.070]
HighInc_F	0.076	0.046	0.074	0.149***	0.101	0.172***	0.148***	0.116*	0.058	0.031
	[0.075]	[0.096]	[0.074]	[0.048]	[0.073]	[0.058]	[0.051]	[0.070]	[0.056]	[0.062]
HighInc_Miss	0.046	0.002	-0.014	0.156***	0.248***	0.196***	0.152***	0.238***	0.024	0.022
	[0.072]	[0.092]	[0.086]	[0.043]	[0.053]	[0.052]	[0.051]	[0.057]	[0.047]	[0.053]
houseOwn_F	0.115*	0.074	0.093	0.016	-0.070	-0.021	0.040	-0.018	0.082**	0.071
	[0.059]	[0.077]	[0.060]	[0.038]	[0.049]	[0.054]	[0.043]	[0.049]	[0.041]	[0.048]
o.houseOwn_Miss			-		-			-		-
										
distCenter	-0.015	-0.015	-0.014	-0.014	-0.016	-0.001	-0.017*	-0.024*	-0.008	-0.007
	[0.012]	[0.013]	[0.012]	[0.009]	[0.015]	[0.014]	[0.009]	[0.013]	[0.010]	[0.012]
cgRelig_F	-0.105	-0.089	-0.119	0.006	0.013	-0.018	-0.117**	-0.067	-0.011	-0.029
	[0.072]	[0.086]	[0.075]	[0.051]	[0.075]	[0.074]	[0.054]	[0.088]	[0.056]	[0.062]
cgRelig_Miss	-0.170	-0.321	-0.144	-0.097	-0.335**	-0.209	-0.126	-0.406***	0.015	0.006
	[0.247]	[0.256]	[0.292]	[0.117]	[0.137]	[0.141]	[0.175]	[0.137]	[0.128]	[0.161]
CAPI	0.062	0.075	0.067	0.087**	0.109**	0.095*	0.095**	0.075	0.070*	0.077*
	[0.057]	[0.068]	[0.057]	[0.035]	[0.050]	[0.053]	[0.040]	[0.052]	[0.039]	[0.045]
houseOwn_Miss	0.720***	0.523*		-0.688***		-0.607***	-0.025		0.123	
	[0.177]	[0.276]		[0.076]		[0.102]	[0.292]		[0.339]	
Parma							0.075			
							[0.053]			
Reggio								-0.080		-0.129*
								[0.078]		[0.071]
nidoXreggio								-0.137		-0.306**
								[0.152]		[0.121]
Padova									0.155***	
									[0.051]	
Constant	1.830***	2.003***	2.016***	0.984***	1.287***	0.871*	1.611***	2.456***	0.864**	1.007**
	[0.559]	[0.642]	[0.586]	[0.349]	[0.451]	[0.498]	[0.402]	[0.503]	[0.389]	[0.418]
										
Observations	309	309	307	725	722	725	597	593	586	583
R-squared	0.087	-0.188	0.090	0.057	0.096	0.070	0.060	0.151	0.059	0.088
Sample	Reggio	Reggio	Reggio	RAvsPrPd	RAvsPP	RAvsPP	RePr	RePr	RePd	RePd
Mean	.62	.62	.62	.62	.62	.62	.62	.62	.62	.62
Robust standard errors in brackets										
*** p<0.01, ** p<0.05, * p<0.1										
Mean = average of the y-variable for the whole sample considered. Sample: Reggio = only respondents in the city of Reggio Emilia. RAvsPrPd = Reggio Approach and all the respondents in Parma and Padova. RePr= all of the respondents in Reggio Emilia and Parma. RePd= all of the respondents in Reggio Emilia and Padova. Estimation Procedure: OLS = Ordinary Least Square; IV = Instrumental variable approach; CF = control function approach										
cubic polynomial or residuals. PSM = simple propensity score matching. PSM2 = propensity sore matching using both demand and supply. DiD = differences-in-differences approach										
municipal schools vs other schools across different cities										
