	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)	(10)
VARIABLES	OLS	IV	CF	OLS	PSM	PSM2	OLS	DiD Pr	OLS	DiD Pd
										
ReggioAsilo	-0.099	-0.996	-0.116	0.127**	0.244***	0.139**	-0.027	0.141	-0.088	0.156
	[0.148]	[1.096]	[0.275]	[0.055]	[0.070]	[0.057]	[0.078]	[0.185]	[0.081]	[0.191]
asilo_Municipal								-0.347**		-0.345**
								[0.134]		[0.141]
nido	0.058	0.875	0.026	-0.032	-0.145**	-0.037	-0.030	0.065	0.040	0.350***
	[0.149]	[1.028]	[0.161]	[0.047]	[0.065]	[0.050]	[0.059]	[0.142]	[0.064]	[0.124]
unobsA			-0.017							
			[0.375]							
unobsA2			0.092							
			[0.179]							
unobsA3			0.206							
			[0.509]							
Age	-0.007	-0.059	-0.009	0.002	0.067	0.023	0.085	0.115	-0.058	-0.110
	[0.092]	[0.112]	[0.095]	[0.058]	[0.085]	[0.061]	[0.065]	[0.094]	[0.063]	[0.072]
Male	-0.076	-0.066	-0.060	-0.055	-0.003	-0.047	-0.080*	-0.104*	-0.035	0.017
	[0.058]	[0.065]	[0.060]	[0.038]	[0.056]	[0.041]	[0.044]	[0.060]	[0.042]	[0.052]
poorBHealth	0.088	0.099	0.114	0.161***	0.322***	0.170***	0.132*	0.298***	0.126*	0.150**
	[0.100]	[0.116]	[0.103]	[0.062]	[0.091]	[0.066]	[0.069]	[0.090]	[0.068]	[0.074]
oldsibs	0.122**	0.088	0.115*	-0.097**	-0.094	-0.095**	0.036	-0.021	-0.061	-0.079
	[0.061]	[0.072]	[0.063]	[0.041]	[0.058]	[0.043]	[0.046]	[0.067]	[0.043]	[0.048]
momMaxEdu_Uni_F	-0.003	-0.026	0.005	0.097**	0.074	0.089*	0.031	0.009	0.060	0.037
	[0.076]	[0.095]	[0.078]	[0.048]	[0.075]	[0.052]	[0.054]	[0.081]	[0.054]	[0.062]
dadMaxEdu_Uni_F	-0.132	-0.144	-0.121	-0.084	-0.044	-0.078	-0.171***	-0.102	-0.043	0.007
	[0.087]	[0.103]	[0.094]	[0.052]	[0.074]	[0.056]	[0.059]	[0.085]	[0.059]	[0.066]
o.momMaxEdu_Uni_Miss			-		-			-		-
										
dadMaxEdu_Uni_Miss	-0.184**	-0.105	-0.149	-0.104*	-0.121	-0.135**	-0.147**	-0.082	-0.123*	-0.082
	[0.087]	[0.117]	[0.094]	[0.060]	[0.080]	[0.065]	[0.066]	[0.070]	[0.067]	[0.079]
HighInc_F	0.033	0.099	0.049	0.041	0.036	0.041	0.088	0.084	0.030	0.058
	[0.071]	[0.104]	[0.076]	[0.053]	[0.080]	[0.056]	[0.054]	[0.080]	[0.058]	[0.068]
HighInc_Miss	-0.065	-0.063	-0.071	0.039	0.073	0.035	0.008	0.077	-0.000	0.002
	[0.075]	[0.084]	[0.082]	[0.048]	[0.073]	[0.050]	[0.055]	[0.074]	[0.051]	[0.063]
houseOwn_F	0.126	0.054	0.094	0.029	-0.031	0.033	0.060	-0.046	0.059	0.042
	[0.077]	[0.092]	[0.084]	[0.052]	[0.074]	[0.056]	[0.058]	[0.079]	[0.054]	[0.061]
distCenter	-0.005	-0.007	-0.006	-0.010	-0.010	-0.007	-0.012	-0.011	-0.012	-0.003
	[0.013]	[0.014]	[0.014]	[0.011]	[0.013]	[0.012]	[0.010]	[0.012]	[0.011]	[0.013]
cgRelig_F	0.225***	0.182*	0.224***	0.109*	0.009	0.079	0.111*	0.015	0.186***	0.152**
	[0.070]	[0.095]	[0.076]	[0.056]	[0.078]	[0.061]	[0.059]	[0.083]	[0.057]	[0.069]
cgRelig_Miss	0.305	0.363	0.352	-0.204**	-0.432***	-0.261***	0.084	-0.127	-0.135	-0.346***
	[0.269]	[0.273]	[0.268]	[0.096]	[0.106]	[0.098]	[0.260]	[0.251]	[0.098]	[0.101]
CAPI	0.078	0.087	0.102*	0.045	0.096*	0.027	0.067	0.095	0.062	0.088*
	[0.058]	[0.065]	[0.060]	[0.039]	[0.057]	[0.041]	[0.043]	[0.059]	[0.042]	[0.052]
momMaxEdu_Uni_Miss	0.008			0.055		-0.006	0.075		-0.006	
	[0.171]			[0.129]		[0.138]	[0.162]		[0.131]	
Parma							-0.166***			
							[0.057]			
Reggio								0.108		0.127*
								[0.089]		[0.071]
nidoXreggio								0.120		-0.186
								[0.192]		[0.180]
Padova									-0.132**	
									[0.054]	
Constant	0.481	1.535	0.527	0.371	-0.752	0.007	-1.068	-1.601	1.562	2.360*
	[1.730]	[2.159]	[1.787]	[1.093]	[1.613]	[1.148]	[1.226]	[1.768]	[1.183]	[1.342]
										
Observations	293	274	274	676	638	676	541	508	569	536
R-squared	0.106	-0.023	0.103	0.065	0.221	0.067	0.076	0.224	0.082	0.244
Sample	Reggio	Reggio	Reggio	RAvsPrPd	RAvsPP	RAvsPP	RePr	RePr	RePd	RePd
Mean	.6	.6	.6	.6	.6	.6	.6	.6	.6	.6
Robust standard errors in brackets										
*** p<0.01, ** p<0.05, * p<0.1										
Mean = average of the y-variable for the whole sample considered. Sample: Reggio = only respondents in the city of Reggio Emilia. RAvsPrPd = Reggio Approach and all the respondents in Parma and Padova. RePr= all of the respondents in Reggio Emilia and Parma. RePd= all of the respondents in Reggio Emilia and Padova. Estimation Procedure: OLS = Ordinary Least Square; IV = Instrumental variable approach; CF = control function approach										
cubic polynomial or residuals. PSM = simple propensity score matching. PSM2 = propensity sore matching using both demand and supply. DiD = differences-in-differences approach										
municipal schools vs other schools across different cities										
