	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)	(10)
VARIABLES	OLS	IV	CF	OLS	PSM	PSM2	OLS	DiD Pr	OLS	DiD Pd
										
ReggioAsilo	-0.014	0.714	0.478**	0.006	0.015	0.210	0.119*	0.115	-0.046	-0.243*
	[0.097]	[0.736]	[0.227]	[0.050]	[0.058]	[0.178]	[0.070]	[0.140]	[0.069]	[0.130]
asilo_Municipal								-0.267**		0.091
								[0.110]		[0.082]
nido	0.155	-0.447	0.145	0.043	-0.013	-0.572***	-0.001	0.051	0.171***	0.171**
	[0.100]	[0.617]	[0.102]	[0.045]	[0.069]	[0.160]	[0.053]	[0.128]	[0.055]	[0.086]
unobs			-0.689**							
			[0.343]							
unobs2			0.086							
			[0.163]							
unobs3			0.450							
			[0.484]							
Age	-0.141*	-0.129	-0.118	0.090	0.152**	0.759***	-0.005	0.101	-0.016	-0.007
	[0.084]	[0.089]	[0.084]	[0.055]	[0.069]	[0.174]	[0.061]	[0.082]	[0.058]	[0.061]
Male	-0.005	-0.009	-0.041	-0.032	-0.028	0.480**	-0.053	-0.051	-0.004	0.011
	[0.056]	[0.062]	[0.057]	[0.037]	[0.048]	[0.229]	[0.041]	[0.052]	[0.040]	[0.042]
poorBHealth	0.130	0.104	0.051	0.119**	0.148*	0.068	0.099	0.090	0.157**	0.203***
	[0.093]	[0.104]	[0.103]	[0.060]	[0.080]	[0.133]	[0.067]	[0.086]	[0.066]	[0.063]
oldsibs	0.014	0.176	0.154	0.124	0.256**	0.469*	0.100	0.060	0.027	0.053
	[0.153]	[0.227]	[0.170]	[0.095]	[0.104]	[0.280]	[0.121]	[0.134]	[0.094]	[0.093]
momMaxEdu_Uni_F	0.062	0.053	0.024	0.075*	0.063	0.143	0.089*	0.053	0.058	0.029
	[0.069]	[0.079]	[0.073]	[0.043]	[0.061]	[0.189]	[0.048]	[0.068]	[0.050]	[0.052]
dadMaxEdu_Uni_F	0.137*	0.225*	0.170**	0.071	0.079	-0.010	0.095*	0.110	0.092*	0.080
	[0.073]	[0.122]	[0.072]	[0.045]	[0.072]	[0.132]	[0.051]	[0.081]	[0.051]	[0.055]
momMaxEdu_Uni_Miss	0.184	0.178	0.230	0.145	0.155	0.248	0.130	0.237	0.191	0.289
	[0.218]	[0.206]	[0.185]	[0.210]	[0.348]	[0.585]	[0.181]	[0.218]	[0.202]	[0.232]
dadMaxEdu_Uni_Miss	0.040	-0.010	0.007	-0.009	-0.031	-0.185	-0.026	-0.130	-0.007	0.031
	[0.101]	[0.108]	[0.100]	[0.068]	[0.081]	[0.200]	[0.077]	[0.089]	[0.067]	[0.065]
HighInc_F	0.003	0.029	0.010	-0.021	-0.156**	-0.358***	0.053	-0.060	0.003	0.004
	[0.077]	[0.092]	[0.076]	[0.052]	[0.076]	[0.085]	[0.055]	[0.077]	[0.058]	[0.061]
HighInc_Miss	-0.043	-0.007	0.038	-0.096**	-0.104*	-0.593***	0.031	0.030	-0.154***	-0.125**
	[0.069]	[0.085]	[0.078]	[0.046]	[0.063]	[0.195]	[0.051]	[0.065]	[0.048]	[0.052]
houseOwn_F	0.085	0.118*	0.112*	0.034	-0.072	-0.010	0.043	-0.030	0.089**	0.088**
	[0.056]	[0.069]	[0.059]	[0.040]	[0.055]	[0.146]	[0.043]	[0.061]	[0.040]	[0.042]
o.houseOwn_Miss			-		-			-		-
										
distCenter	0.008	0.008	0.007	-0.009	-0.036***	-0.195***	-0.001	-0.021*	0.001	-0.005
	[0.011]	[0.012]	[0.011]	[0.010]	[0.013]	[0.037]	[0.009]	[0.012]	[0.010]	[0.011]
cgRelig_F	-0.178**	-0.192**	-0.153*	-0.134**	-0.107	-0.267	-0.174***	-0.095	-0.113**	-0.096*
	[0.080]	[0.087]	[0.080]	[0.053]	[0.071]	[0.214]	[0.060]	[0.087]	[0.057]	[0.058]
cgRelig_Miss	0.000	0.124	0.156	-0.252**	-0.339**	-0.490*	0.110	0.001	-0.277***	-0.349***
	[0.210]	[0.296]	[0.118]	[0.107]	[0.134]	[0.272]	[0.150]	[0.166]	[0.102]	[0.087]
CAPI	-0.163***	-0.173***	-0.171***	-0.017	0.057	-0.092	-0.025	0.007	-0.139***	-0.122***
	[0.058]	[0.065]	[0.058]	[0.037]	[0.052]	[0.104]	[0.041]	[0.055]	[0.040]	[0.040]
houseOwn_Miss	0.069	0.234		-0.089		-0.302	0.048		0.091	
	[0.507]	[0.442]		[0.314]		[0.404]	[0.320]		[0.294]	
Parma							0.023			
							[0.055]			
Reggio								-0.179*		-0.096
								[0.093]		[0.069]
nidoXreggio								0.256		0.127
								[0.157]		[0.131]
Padova									0.062	
									[0.051]	
Constant	1.448**	1.328**	0.997	-0.018	-0.288	-3.417***	0.530	-0.002	0.604	0.596
	[0.579]	[0.615]	[0.615]	[0.376]	[0.482]	[1.131]	[0.428]	[0.569]	[0.406]	[0.410]
										
Observations	309	309	307	725	722	725	597	593	586	583
R-squared	0.130	-0.040	0.157	0.056	0.143	0.971	0.060	0.126	0.146	0.255
Sample	Reggio	Reggio	Reggio	RAvsPrPd	RAvsPP	RAvsPP	RePr	RePr	RePd	RePd
Mean	.47	.47	.47	.47	.47	.47	.47	.47	.47	.47
Robust standard errors in brackets										
*** p<0.01, ** p<0.05, * p<0.1										
Mean = average of the y-variable for the whole sample considered. Sample: Reggio = only respondents in the city of Reggio Emilia. RAvsPrPd = Reggio Approach and all the respondents in Parma and Padova. RePr= all of the respondents in Reggio Emilia and Parma. RePd= all of the respondents in Reggio Emilia and Padova. Estimation Procedure: OLS = Ordinary Least Square; IV = Instrumental variable approach; CF = control function approach										
cubic polynomial or residuals. PSM = simple propensity score matching. PSM2 = propensity sore matching using both demand and supply. DiD = differences-in-differences approach										
municipal schools vs other schools across different cities										
